champion,picks,wins,losses,winrate
Aatrox,86,40,46,46.51162790697674
Ambessa,106,52,54,49.056603773584904
Amumu,3,0,3,0.0
Bel'Veth,1,0,1,0.0
Briar,1,0,1,0.0
Camille,1,0,1,0.0
Cho'Gath,4,1,3,25.0
Diana,14,4,10,28.57142857142857
Dr. Mundo,155,81,74,52.25806451612903
Ekko,1,1,0,100.0
Elise,1,0,1,0.0
Graves,5,4,1,80.0
Gwen,20,8,12,40.0
Hecarim,4,1,3,25.0
Ivern,9,3,6,33.33333333333333
Jarvan IV,320,170,150,53.125
Jax,19,10,9,52.63157894736842
Jayce,114,64,50,56.14035087719298
Karthus,3,1,2,33.33333333333333
Kha'Zix,10,6,4,60.0
Kindred,9,3,6,33.33333333333333
Lee Sin,60,33,27,55.00000000000001
Lillia,6,3,3,50.0
Malphite,59,28,31,47.45762711864407
Maokai,6,5,1,83.33333333333334
Morgana,3,2,1,66.66666666666666
Naafiri,44,20,24,45.45454545454545
Nautilus,3,1,2,33.33333333333333
Neeko,3,3,0,100.0
Nidalee,16,9,7,56.25
Nocturne,108,52,56,48.148148148148145
Nunu & Willump,3,1,2,33.33333333333333
Olaf,3,3,0,100.0
Pantheon,192,93,99,48.4375
Poppy,18,9,9,50.0
Qiyana,83,50,33,60.24096385542169
Rammus,2,1,1,50.0
Rek'Sai,9,6,3,66.66666666666666
Rengar,5,4,1,80.0
Rumble,1,1,0,100.0
Sejuani,47,21,26,44.680851063829785
Shaco,1,1,0,100.0
Sion,2,1,1,50.0
Skarner,16,7,9,43.75
Sylas,15,7,8,46.666666666666664
Taliyah,17,14,3,82.35294117647058
Talon,1,0,1,0.0
Trundle,54,34,20,62.96296296296296
Udyr,2,1,1,50.0
Urgot,1,0,1,0.0
Vi,266,143,123,53.75939849624061
Viego,42,14,28,33.33333333333333
Volibear,16,5,11,31.25
Wukong,338,155,183,45.857988165680474
Xin Zhao,309,145,164,46.92556634304207
Zaahen,45,25,20,55.55555555555556
Zac,7,1,6,14.285714285714285
Zed,6,2,4,33.33333333333333
Zyra,12,4,8,33.33333333333333
