champion,picks,wins,losses,winrate
"('Aatrox',)",105,41,64,39.04761904761905
"('Akali',)",12,6,6,50.0
"('Ambessa',)",205,111,94,54.146341463414636
"('Anivia',)",1,1,0,100.0
"('Annie',)",1,0,1,0.0
"('Aurora',)",41,23,18,56.09756097560976
"('Camille',)",24,13,11,54.166666666666664
"('Cassiopeia',)",2,2,0,100.0
"(""Cho'Gath"",)",15,5,10,33.33333333333333
"('Darius',)",10,5,5,50.0
"('Dr. Mundo',)",23,7,16,30.434782608695656
"('Fiora',)",12,7,5,58.333333333333336
"('Galio',)",18,6,12,33.33333333333333
"('Gangplank',)",3,1,2,33.33333333333333
"('Garen',)",3,1,2,33.33333333333333
"('Gnar',)",173,89,84,51.445086705202314
"('Gragas',)",25,17,8,68.0
"('Gwen',)",120,75,45,62.5
"('Illaoi',)",1,1,0,100.0
"('Irelia',)",13,6,7,46.15384615384615
"('Jax',)",81,40,41,49.382716049382715
"('Jayce',)",21,10,11,47.61904761904761
"(""K'Sante"",)",374,166,208,44.38502673796791
"('Karma',)",1,0,1,0.0
"('Kassadin',)",1,0,1,0.0
"('Kayle',)",5,2,3,40.0
"('Kennen',)",54,24,30,44.44444444444444
"('Kled',)",12,5,7,41.66666666666667
"('Lee Sin',)",1,0,1,0.0
"('Malphite',)",20,10,10,50.0
"('Maokai',)",1,1,0,100.0
"('Mordekaiser',)",11,2,9,18.181818181818183
"('Naafiri',)",1,1,0,100.0
"('Nasus',)",3,3,0,100.0
"('Nidalee',)",1,0,1,0.0
"('Olaf',)",18,11,7,61.111111111111114
"('Ornn',)",112,48,64,42.857142857142854
"('Pantheon',)",3,1,2,33.33333333333333
"('Poppy',)",15,7,8,46.666666666666664
"('Quinn',)",1,1,0,100.0
"(""Rek'Sai"",)",46,22,24,47.82608695652174
"('Renekton',)",232,125,107,53.879310344827594
"('Riven',)",5,4,1,80.0
"('Rumble',)",324,175,149,54.01234567901234
"('Ryze',)",7,3,4,42.857142857142854
"('Sejuani',)",3,1,2,33.33333333333333
"('Sett',)",5,2,3,40.0
"('Shen',)",7,1,6,14.285714285714285
"('Singed',)",2,1,1,50.0
"('Sion',)",301,156,145,51.82724252491694
"('Smolder',)",1,0,1,0.0
"('Swain',)",2,1,1,50.0
"('Sylas',)",2,0,2,0.0
"('Trundle',)",2,1,1,50.0
"('Tryndamere',)",3,1,2,33.33333333333333
"('Udyr',)",4,2,2,50.0
"('Urgot',)",4,1,3,25.0
"('Varus',)",5,2,3,40.0
"('Vayne',)",9,6,3,66.66666666666666
"('Vi',)",1,0,1,0.0
"('Vladimir',)",5,1,4,20.0
"('Volibear',)",15,7,8,46.666666666666664
"('Yasuo',)",7,3,4,42.857142857142854
"('Yone',)",8,4,4,50.0
"('Yorick',)",38,13,25,34.21052631578947
"('Zaahen',)",125,72,53,57.599999999999994
"('Zac',)",1,0,1,0.0
