gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,DejaVu,GMBLERS Esports,1.0,Ahri,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,1.0,6.0,5.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,0.0,11.0,13.0,2.0,45.0,9943.0,6085.0,207.9157,10010.0,226.0,226.0,0.0,7.7221,3373.0,4986.0,86.0,3784.0,5200.0,103.0,-411.0,-214.0,-17.0,0.0,2.0,0.0,1.0,0.0,0.0,5453.0,7073.0,127.0,5452.0,7277.0,143.0,1.0,-204.0,-16.0,1.0,2.0,2.0,2.0,1.0,2.0,7439.0,9601.0,165.0,7564.0,9792.0,165.0,-125.0,-191.0,0.0,1.0,4.0,4.0,5.0,3.0,5.0,9044.0,11959.0,213.0,9377.0,12766.0,221.0,-333.0,-807.0,-8.0,1.0,4.0,4.0,5.0,3.0,5.0
LOLTMNT03_335800,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,Cracker,Hanwha Life Esports Challengers,1.0,Ahri,Poppy,Malphite,Neeko,Varus,Ambessa,1441.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.458,0.0,0.0,7.0,5.0,4.0,29.0,8060.0,4845.0,201.7349,7750.0,250.0,250.0,0.0,10.4094,3449.0,5357.0,95.0,4260.0,5001.0,91.0,-811.0,356.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,4975.0,8075.0,148.0,5962.0,7629.0,138.0,-987.0,446.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,6828.0,11507.0,216.0,8974.0,11312.0,204.0,-2146.0,195.0,12.0,0.0,0.0,0.0,4.0,1.0,0.0,8060.0,13244.0,250.0,11361.0,13912.0,237.0,-3301.0,-668.0,13.0,0.0,0.0,0.0,4.0,4.0,0.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Blue,mid,Clozer,DN SOOPers,0.0,Ahri,Jayce,Azir,Orianna,Ambessa,Nautilus,1888.0,1.0,7.0,0.0,8.0,19.0,8.0,2.0,0.0,0.0,0.0,0.0,0.6038,0.8581,0.0,0.0,20.0,12.0,7.0,55.0,15466.0,11339.0,360.3496,13125.0,320.0,320.0,0.0,10.1695,3857.0,5759.0,98.0,3466.0,5073.0,93.0,391.0,686.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,5820.0,8777.0,159.0,5199.0,8174.0,147.0,621.0,603.0,12.0,0.0,2.0,0.0,0.0,3.0,1.0,9627.0,12137.0,218.0,6877.0,10938.0,196.0,2750.0,1199.0,22.0,4.0,3.0,0.0,0.0,4.0,2.0,11587.0,14544.0,262.0,9222.0,14009.0,252.0,2365.0,535.0,10.0,4.0,5.0,0.0,1.0,5.0,2.0
LOLTMNT03_336226,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Xen0gan,P11 Esports,1.0,Ahri,Ornn,Yasuo,Sion,Bard,Akali,1784.0,0.0,0.0,1.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0673,0.6726,0.0,0.0,4.0,6.0,2.0,24.0,9566.0,5651.0,190.0561,9000.0,249.0,245.0,4.0,8.3744,3355.0,4676.0,89.0,3865.0,5375.0,99.0,-510.0,-699.0,-10.0,0.0,1.0,1.0,1.0,0.0,0.0,4790.0,7041.0,133.0,6214.0,8479.0,153.0,-1424.0,-1438.0,-20.0,0.0,1.0,1.0,1.0,1.0,0.0,6447.0,9158.0,181.0,7902.0,11025.0,197.0,-1455.0,-1867.0,-16.0,0.0,1.0,1.0,1.0,1.0,0.0,7546.0,10048.0,197.0,11222.0,14332.0,226.0,-3676.0,-4284.0,-29.0,0.0,1.0,1.0,6.0,2.0,0.0
LOLTMNT03_337298,complete,LCK,2026.0,0.0,2.0,16.01,Blue,mid,Kemish,Gen.G Global Academy,0.0,Ahri,Orianna,Rumble,Jayce,Lulu,Leona,1388.0,0.0,1.0,3.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1297,1.0375,0.0,0.0,9.0,4.0,4.0,37.0,8358.0,5251.0,226.9885,8000.0,207.0,207.0,0.0,8.9481,3634.0,5592.0,101.0,3642.0,5565.0,102.0,-8.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5521.0,8128.0,148.0,5528.0,8590.0,155.0,-7.0,-462.0,-7.0,1.0,0.0,1.0,0.0,1.0,0.0,7493.0,10360.0,190.0,8294.0,11886.0,205.0,-801.0,-1526.0,-15.0,1.0,2.0,2.0,1.0,6.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_320312,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,VicLa,BNK FEARX,0.0,Ahri,Rumble,Orianna,Jayce,Alistar,Neeko,2071.0,1.0,7.0,3.0,12.0,26.0,13.0,0.0,0.0,0.0,0.0,1.0,0.7533,1.1299,0.0,0.0,14.0,9.0,7.0,56.0,16738.0,12238.0,354.5534,16050.0,321.0,317.0,4.0,9.2999,3879.0,5077.0,100.0,3554.0,5462.0,102.0,325.0,-385.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,6319.0,8211.0,166.0,5441.0,8485.0,164.0,878.0,-274.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,8792.0,11202.0,228.0,7721.0,11733.0,217.0,1071.0,-531.0,11.0,1.0,3.0,1.0,1.0,3.0,0.0,11821.0,14206.0,277.0,9552.0,15625.0,252.0,2269.0,-1419.0,25.0,3.0,7.0,1.0,2.0,3.0,1.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Scuffed,Deer Gaming,0.0,Ahri,Rumble,Jayce,Ryze,Caitlyn,Neeko,2597.0,0.0,3.0,4.0,2.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2772,0.7624,0.0,0.0,18.0,7.0,3.0,42.0,15310.0,9737.0,224.9596,14075.0,334.0,330.0,4.0,7.7166,3065.0,4717.0,77.0,4504.0,5110.0,98.0,-1439.0,-393.0,-21.0,0.0,0.0,1.0,2.0,0.0,0.0,5162.0,7032.0,120.0,6554.0,8060.0,159.0,-1392.0,-1028.0,-39.0,1.0,0.0,1.0,2.0,0.0,0.0,7452.0,9379.0,167.0,8583.0,10529.0,204.0,-1131.0,-1150.0,-37.0,2.0,0.0,1.0,2.0,2.0,1.0,8948.0,11398.0,206.0,10629.0,13099.0,239.0,-1681.0,-1701.0,-33.0,2.0,2.0,2.0,3.0,4.0,1.0
LOLTMNT03_337603,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Hwichan,KT Rolster Challengers,1.0,Ahri,Poppy,Jarvan IV,Malphite,Varus,Renekton,1810.0,1.0,7.0,2.0,15.0,28.0,16.0,1.0,0.0,0.0,0.0,0.0,0.9282,1.4586,0.0,0.0,7.0,3.0,1.0,28.0,15065.0,11097.0,367.8564,13525.0,284.0,284.0,0.0,9.4144,3699.0,5183.0,98.0,4026.0,5216.0,90.0,-327.0,-33.0,8.0,0.0,1.0,1.0,1.0,4.0,0.0,6407.0,7978.0,155.0,6183.0,8092.0,137.0,224.0,-114.0,18.0,1.0,1.0,2.0,3.0,4.0,1.0,9465.0,11107.0,198.0,8002.0,10445.0,183.0,1463.0,662.0,15.0,3.0,7.0,2.0,4.0,6.0,2.0,11929.0,15233.0,244.0,9047.0,11988.0,198.0,2882.0,3245.0,46.0,5.0,11.0,2.0,4.0,7.0,4.0
LOLTMNT06_164172,complete,AL,2026.0,0.0,2.0,16.01,Blue,mid,SeTab,Nongshim Esports Academy,0.0,Ahri,Azir,Orianna,Rumble,Poppy,Lulu,1700.0,1.0,5.0,2.0,4.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5647,0.7765,0.0,0.0,16.0,5.0,7.0,45.0,11497.0,7753.0,273.6353,9925.0,254.0,254.0,0.0,8.9647,3748.0,5160.0,95.0,3246.0,4593.0,85.0,502.0,567.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,6316.0,8594.0,148.0,4904.0,7236.0,137.0,1412.0,1358.0,11.0,3.0,1.0,0.0,0.0,0.0,1.0,8096.0,10920.0,193.0,7245.0,10916.0,197.0,851.0,4.0,-4.0,3.0,1.0,1.0,0.0,3.0,1.0,9665.0,13218.0,233.0,8634.0,12711.0,232.0,1031.0,507.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Blue,mid,HongSuo,Deep Cross Gaming,0.0,Ahri,Rumble,Orianna,Malphite,Poppy,Sion,2302.0,1.0,7.0,0.0,7.0,21.0,11.0,1.0,0.0,0.0,0.0,1.0,0.5474,0.8341,0.0,0.0,11.0,19.0,6.0,67.0,19304.0,14332.0,373.5534,16250.0,382.0,378.0,4.0,9.9566,3853.0,5273.0,105.0,3621.0,5031.0,99.0,232.0,242.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,6490.0,7869.0,159.0,5612.0,8110.0,162.0,878.0,-241.0,-3.0,1.0,2.0,0.0,0.0,0.0,1.0,9843.0,11091.0,224.0,7619.0,11095.0,215.0,2224.0,-4.0,9.0,2.0,3.0,0.0,0.0,2.0,1.0,12532.0,14174.0,276.0,9232.0,13457.0,260.0,3300.0,717.0,16.0,4.0,5.0,0.0,0.0,3.0,1.0
