gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_334841,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Garden,Dplus Kia Challengers,0.0,Anivia,Orianna,Azir,Rumble,Vi,Bard,1804.0,1.0,4.0,1.0,11.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5987,0.8647,0.0,0.0,14.0,11.0,4.0,43.0,14000.0,10044.0,334.0576,13150.0,291.0,287.0,4.0,9.6785,3685.0,5321.0,103.0,4160.0,5148.0,97.0,-475.0,173.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5364.0,7876.0,153.0,5977.0,7957.0,152.0,-613.0,-81.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8594.0,12070.0,217.0,7932.0,10580.0,195.0,662.0,1490.0,22.0,2.0,1.0,0.0,3.0,2.0,1.0,11186.0,16758.0,244.0,9703.0,14210.0,225.0,1483.0,2548.0,19.0,3.0,6.0,1.0,4.0,2.0,2.0
LOLTMNT05_171133,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Mentos,Team Insidious,0.0,Anivia,Ambessa,Orianna,Jarvan IV,Caitlyn,Ezreal,1759.0,0.0,2.0,3.0,5.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.9892,0.0,0.0,12.0,2.0,4.0,29.0,10409.0,6545.0,223.2518,10400.0,269.0,269.0,0.0,9.1757,3886.0,5582.0,104.0,3818.0,5368.0,100.0,68.0,214.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,5537.0,8369.0,153.0,5615.0,8030.0,150.0,-78.0,339.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,7553.0,11601.0,211.0,8065.0,10729.0,207.0,-512.0,872.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,9205.0,15702.0,243.0,10161.0,15187.0,259.0,-956.0,515.0,-16.0,2.0,4.0,0.0,2.0,2.0,0.0
LOLTMNT06_164175,complete,AL,2026.0,0.0,2.0,16.01,Blue,mid,Hwichan,KT Rolster Challengers,0.0,Anivia,Orianna,Jarvan IV,Aurora,Nocturne,Kai'Sa,1941.0,1.0,2.0,2.0,10.0,16.0,7.0,0.0,0.0,0.0,0.0,1.0,0.4946,0.711,0.0,0.0,15.0,3.0,4.0,36.0,14177.0,9942.0,307.3261,13450.0,320.0,320.0,0.0,9.8918,3791.0,5150.0,94.0,3145.0,4732.0,81.0,646.0,418.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,5495.0,8001.0,149.0,4668.0,7280.0,126.0,827.0,721.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,8206.0,10945.0,207.0,6367.0,9804.0,177.0,1839.0,1141.0,30.0,0.0,2.0,0.0,0.0,0.0,2.0,10648.0,16042.0,257.0,8269.0,13809.0,216.0,2379.0,2233.0,41.0,1.0,4.0,1.0,1.0,1.0,3.0
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Anivia,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,0.0,4.0,7.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,22.0,8.0,9.0,51.0,14111.0,9003.0,228.0203,16060.0,327.0,322.0,5.0,8.282,3603.0,5250.0,96.0,3440.0,4971.0,95.0,163.0,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.0,8526.0,159.0,5119.0,7693.0,146.0,403.0,833.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,11281.0,214.0,7008.0,10367.0,200.0,1117.0,914.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,9840.0,15225.0,253.0,8787.0,12910.0,252.0,1053.0,2315.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Kati,MVK Esports,1.0,Anivia,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,3.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4773,0.6136,0.0,0.0,14.0,2.0,4.0,34.0,12302.0,8436.0,287.5909,10550.0,279.0,279.0,0.0,9.5114,3668.0,5430.0,104.0,3623.0,5383.0,103.0,45.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5419.0,8040.0,158.0,5247.0,8067.0,155.0,172.0,-27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7980.0,11433.0,213.0,6791.0,10276.0,200.0,1189.0,1157.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,9662.0,15199.0,245.0,8567.0,14081.0,247.0,1095.0,1118.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0
LOLTMNT01_322119,complete,LCP,2026.0,0.0,2.0,16.01,Blue,mid,Chovy,Gen.G,0.0,Anivia,Azir,Orianna,Malphite,Aphelios,Corki,1682.0,1.0,6.0,1.0,16.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9631,1.2485,0.0,0.0,15.0,11.0,4.0,38.0,14405.0,10698.0,381.6171,13750.0,269.0,251.0,18.0,9.5957,4522.0,4832.0,86.0,3811.0,3845.0,76.0,711.0,987.0,10.0,2.0,4.0,1.0,2.0,1.0,3.0,7098.0,8016.0,149.0,5387.0,6564.0,131.0,1711.0,1452.0,18.0,4.0,4.0,1.0,2.0,1.0,3.0,10062.0,10987.0,199.0,6755.0,8222.0,164.0,3307.0,2765.0,35.0,5.0,7.0,1.0,2.0,1.0,4.0,12494.0,15672.0,248.0,8951.0,11730.0,201.0,3543.0,3942.0,47.0,6.0,10.0,1.0,3.0,1.0,5.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,mid,Caps,G2 Esports,0.0,Anivia,Rumble,Jayce,Orianna,Gwen,Gnar,2159.0,0.0,3.0,4.0,8.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3891,0.9171,0.0,0.0,15.0,8.0,6.0,59.0,13556.0,8876.0,246.6698,13200.0,302.0,298.0,4.0,8.3928,3519.0,5223.0,95.0,3602.0,5121.0,90.0,-83.0,102.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,5376.0,8469.0,160.0,5743.0,7885.0,147.0,-367.0,584.0,13.0,0.0,2.0,1.0,1.0,2.0,0.0,7450.0,11206.0,215.0,7670.0,10068.0,188.0,-220.0,1138.0,27.0,0.0,2.0,1.0,1.0,3.0,0.0,9235.0,14995.0,244.0,9836.0,14459.0,247.0,-601.0,536.0,-3.0,1.0,3.0,1.0,1.0,4.0,0.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Red,mid,SGE MID,Eintracht Frankfurt,0.0,Anivia,Neeko,Ambessa,Rumble,Varus,Sivir,2172.0,0.0,5.0,5.0,6.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.6354,1.5193,0.0,0.0,15.0,7.0,4.0,45.0,14047.0,9341.0,258.0387,13850.0,315.0,307.0,8.0,8.7017,3419.0,4947.0,81.0,3736.0,5033.0,93.0,-317.0,-86.0,-12.0,1.0,0.0,2.0,0.0,3.0,1.0,5164.0,7197.0,115.0,5374.0,7747.0,142.0,-210.0,-550.0,-27.0,2.0,0.0,2.0,0.0,3.0,2.0,7235.0,10015.0,164.0,7554.0,10971.0,192.0,-319.0,-956.0,-28.0,3.0,1.0,3.0,0.0,6.0,4.0,9256.0,14646.0,225.0,10212.0,16093.0,251.0,-956.0,-1447.0,-26.0,3.0,2.0,3.0,0.0,9.0,4.0
LOLTMNT03_341253,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Jimsnop,Team Paradox,0.0,Anivia,K'Sante,Jayce,Varus,Yunara,Caitlyn,1359.0,0.0,0.0,6.0,2.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.1325,1.6777,0.0,0.0,7.0,3.0,1.0,20.0,7191.0,4143.0,182.9139,6475.0,193.0,193.0,0.0,8.521,3456.0,5176.0,95.0,4366.0,5342.0,101.0,-910.0,-166.0,-6.0,0.0,0.0,1.0,2.0,1.0,0.0,4737.0,6707.0,122.0,6711.0,8125.0,142.0,-1974.0,-1418.0,-20.0,0.0,1.0,3.0,4.0,4.0,0.0,6327.0,9190.0,169.0,10261.0,12130.0,218.0,-3934.0,-2940.0,-49.0,0.0,1.0,5.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
LOLTMNT06_166077,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Chovy,Gen.G,0.0,Anivia,Jayce,Rumble,Orianna,Nautilus,Neeko,2034.0,1.0,4.0,2.0,5.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5605,0.7375,0.0,0.0,16.0,10.0,0.0,52.0,14785.0,10360.0,305.6047,13900.0,328.0,317.0,11.0,9.6755,3710.0,5173.0,106.0,4046.0,5181.0,101.0,-336.0,-8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5866.0,8019.0,155.0,5846.0,8089.0,157.0,20.0,-70.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,7696.0,10834.0,208.0,8731.0,11223.0,218.0,-1035.0,-389.0,-10.0,1.0,2.0,1.0,1.0,2.0,1.0,9764.0,14894.0,256.0,10281.0,15111.0,265.0,-517.0,-217.0,-9.0,2.0,2.0,1.0,1.0,2.0,1.0
