gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335791,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,LazyFeel,DRX Challengers,0.0,Ashe,Orianna,Rumble,Sion,Lulu,Nautilus,1428.0,1.0,5.0,1.0,9.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6303,0.7143,0.0,0.0,10.0,10.0,2.0,32.0,13245.0,10056.0,422.521,11500.0,263.0,259.0,4.0,11.0504,4628.0,3666.0,98.0,4431.0,3795.0,89.0,197.0,-129.0,9.0,3.0,0.0,1.0,2.0,0.0,1.0,7360.0,6172.0,165.0,6692.0,6206.0,153.0,668.0,-34.0,12.0,3.0,2.0,1.0,2.0,0.0,2.0,10257.0,9136.0,224.0,9013.0,8864.0,218.0,1244.0,272.0,6.0,4.0,4.0,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Ashe,Jayce,Azir,Orianna,Jarvan IV,Nocturne,1650.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.0,0.0,13.0,3.0,5.0,33.0,10223.0,6581.0,239.3091,9850.0,264.0,264.0,0.0,9.6,3552.0,3626.0,97.0,3192.0,3282.0,79.0,360.0,344.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.0,5515.0,139.0,5528.0,5421.0,136.0,36.0,94.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7391.0,7857.0,189.0,8810.0,8556.0,200.0,-1419.0,-699.0,-11.0,0.0,0.0,2.0,1.0,0.0,0.0,9414.0,9552.0,242.0,11990.0,11753.0,260.0,-2576.0,-2201.0,-18.0,0.0,0.0,3.0,2.0,3.0,0.0
LOLTMNT06_164125,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,Padawii,Axolotl,0.0,Ashe,Olaf,Wukong,Smolder,Sivir,Tristana,1603.0,1.0,5.0,1.0,8.0,31.0,11.0,1.0,0.0,0.0,0.0,1.0,1.1603,1.5721,0.0,0.0,9.0,2.0,0.0,21.0,12730.0,9184.0,343.7555,12200.0,189.0,189.0,0.0,7.0742,3727.0,3664.0,69.0,3388.0,3758.0,87.0,339.0,-94.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,6270.0,6260.0,120.0,5635.0,6536.0,146.0,635.0,-276.0,-26.0,2.0,0.0,0.0,0.0,0.0,0.0,8381.0,9238.0,150.0,7003.0,8113.0,172.0,1378.0,1125.0,-22.0,3.0,2.0,0.0,0.0,2.0,3.0,11968.0,12089.0,184.0,8763.0,10420.0,203.0,3205.0,1669.0,-19.0,5.0,5.0,1.0,0.0,3.0,4.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Blue,bot,OddEye,HANJIN BRION Challengers,1.0,Ashe,Neeko,Malphite,Jarvan IV,Ezreal,Gnar,2078.0,0.0,1.0,3.0,7.0,17.0,12.0,0.0,0.0,0.0,0.0,1.0,0.4909,0.8373,0.0,0.0,19.0,12.0,7.0,55.0,14254.0,9739.0,281.2031,13700.0,316.0,316.0,0.0,9.1242,3120.0,3151.0,75.0,3527.0,3851.0,97.0,-407.0,-700.0,-22.0,0.0,1.0,0.0,0.0,0.0,0.0,5626.0,5830.0,132.0,5734.0,6420.0,159.0,-108.0,-590.0,-27.0,0.0,2.0,0.0,0.0,0.0,0.0,7863.0,8840.0,197.0,7974.0,9201.0,224.0,-111.0,-361.0,-27.0,0.0,3.0,0.0,0.0,0.0,0.0,9929.0,10495.0,235.0,10562.0,11338.0,258.0,-633.0,-843.0,-23.0,0.0,5.0,1.0,2.0,2.0,0.0
LOLTMNT01_320319,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Padawii,Axolotl,0.0,Ashe,Syndra,Zac,Diana,Braum,Karma,2241.0,0.0,3.0,2.0,8.0,19.0,24.0,1.0,0.0,0.0,0.0,0.0,0.5087,1.1513,0.0,0.0,14.0,6.0,3.0,49.0,16728.0,11881.0,318.0991,15025.0,332.0,328.0,4.0,8.8889,2975.0,3936.0,78.0,3577.0,4137.0,97.0,-602.0,-201.0,-19.0,0.0,0.0,0.0,0.0,1.0,0.0,5251.0,6509.0,129.0,5810.0,6566.0,144.0,-559.0,-57.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,7940.0,9425.0,188.0,7943.0,8782.0,188.0,-3.0,643.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,10101.0,12053.0,243.0,10292.0,11259.0,238.0,-191.0,794.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,deokdam,DN SOOPers,1.0,Ashe,Qiyana,Jayce,LeBlanc,Bard,Neeko,1536.0,0.0,1.0,3.0,5.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2344,0.8203,0.0,0.0,12.0,10.0,4.0,40.0,10247.0,6838.0,267.1094,9800.0,239.0,239.0,0.0,9.3359,3825.0,3394.0,85.0,3301.0,3649.0,85.0,524.0,-255.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6256.0,5766.0,137.0,5388.0,5572.0,133.0,868.0,194.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,8370.0,8231.0,195.0,8201.0,8580.0,199.0,169.0,-349.0,-4.0,1.0,3.0,0.0,1.0,1.0,2.0,10175.0,10375.0,239.0,12575.0,12580.0,256.0,-2400.0,-2205.0,-17.0,1.0,5.0,2.0,4.0,5.0,2.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Shogun,MVK Esports,0.0,Ashe,K'Sante,Rumble,Azir,Orianna,Sylas,1691.0,1.0,1.0,0.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.6742,0.887,0.0,0.0,14.0,15.0,4.0,49.0,15567.0,11842.0,420.1774,13200.0,353.0,337.0,16.0,12.5251,4408.0,3735.0,101.0,2994.0,3081.0,66.0,1414.0,654.0,35.0,1.0,2.0,0.0,0.0,0.0,1.0,7891.0,6430.0,170.0,4886.0,5322.0,109.0,3005.0,1108.0,61.0,1.0,4.0,0.0,0.0,1.0,3.0,10574.0,9308.0,244.0,7254.0,8184.0,176.0,3320.0,1124.0,68.0,1.0,4.0,0.0,0.0,1.0,3.0,13488.0,13058.0,302.0,9522.0,10363.0,222.0,3966.0,2695.0,80.0,1.0,7.0,0.0,0.0,2.0,4.0
LOLTMNT02_344034,complete,HW,2026.0,0.0,3.0,16.01,Blue,bot,ardaffler,Team Phoenix,1.0,Ashe,Kai'Sa,Akali,Yunara,Aurora,LeBlanc,2482.0,0.0,2.0,5.0,9.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3626,0.9186,0.0,0.0,21.0,9.0,8.0,53.0,18378.0,13039.0,315.2055,18150.0,352.0,337.0,15.0,8.5093,3369.0,3222.0,71.0,4548.0,3842.0,74.0,-1179.0,-620.0,-3.0,1.0,0.0,2.0,3.0,1.0,0.0,6094.0,5214.0,116.0,7472.0,6533.0,131.0,-1378.0,-1319.0,-15.0,2.0,1.0,2.0,3.0,2.0,1.0,7842.0,7210.0,164.0,10067.0,9780.0,193.0,-2225.0,-2570.0,-29.0,2.0,2.0,2.0,4.0,2.0,1.0,10495.0,10217.0,208.0,12798.0,12642.0,258.0,-2303.0,-2425.0,-50.0,2.0,5.0,2.0,4.0,2.0,2.0
LOLTMNT04_149122,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Padawii,Axolotl,0.0,Ashe,Corki,Sion,Ambessa,K'Sante,Ornn,2017.0,0.0,4.0,2.0,6.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5354,1.1006,0.0,0.0,14.0,5.0,4.0,40.0,14799.0,10409.0,309.6381,15580.0,268.0,268.0,0.0,7.9722,3351.0,3855.0,87.0,3633.0,3893.0,100.0,-282.0,-38.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,6853.0,6407.0,128.0,7449.0,6689.0,144.0,-596.0,-282.0,-16.0,3.0,0.0,1.0,4.0,0.0,1.0,9269.0,8841.0,174.0,10190.0,9916.0,211.0,-921.0,-1075.0,-37.0,3.0,1.0,1.0,5.0,0.0,1.0,11309.0,10939.0,204.0,12723.0,12428.0,261.0,-1414.0,-1489.0,-57.0,4.0,3.0,1.0,6.0,1.0,1.0
LOLTMNT01_327530,complete,HW,2026.0,0.0,2.0,16.01,Blue,bot,Ruler,Gen.G,1.0,Ashe,Neeko,Malphite,Orianna,K'Sante,Ornn,1817.0,1.0,5.0,2.0,14.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7265,0.8916,0.0,0.0,14.0,11.0,6.0,52.0,15331.0,11349.0,374.7606,12305.0,297.0,289.0,8.0,9.8074,3893.0,3484.0,87.0,3328.0,2871.0,68.0,565.0,613.0,19.0,1.0,3.0,1.0,1.0,0.0,2.0,6240.0,5915.0,153.0,5529.0,4881.0,115.0,711.0,1034.0,38.0,1.0,3.0,1.0,1.0,2.0,2.0,9066.0,8794.0,213.0,7499.0,7448.0,171.0,1567.0,1346.0,42.0,2.0,5.0,1.0,1.0,2.0,2.0,11417.0,10849.0,259.0,9359.0,8923.0,217.0,2058.0,1926.0,42.0,3.0,6.0,1.0,1.0,2.0,3.0
