gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Click,HMBLE,1.0,Bard,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,1.0,2.0,13.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,37.0,10.0,7.0,83.0,6880.0,3644.0,150.6823,6090.0,24.0,24.0,0.0,0.9924,2374.0,2851.0,13.0,2246.0,2149.0,13.0,128.0,702.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3574.0,3904.0,17.0,3308.0,3416.0,19.0,266.0,488.0,-2.0,0.0,3.0,1.0,0.0,0.0,0.0,4891.0,5425.0,21.0,4561.0,5320.0,24.0,330.0,105.0,-3.0,0.0,4.0,2.0,0.0,2.0,0.0,6880.0,8106.0,24.0,5335.0,6306.0,26.0,1545.0,1800.0,-2.0,1.0,13.0,2.0,0.0,2.0,2.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,sup,Centu,Colossal Gaming,0.0,Bard,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,2.0,1.0,12.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,0.0,0.0,42.0,15.0,3.0,120.0,10162.0,6096.0,196.8568,8805.0,31.0,31.0,0.0,1.0011,2272.0,2700.0,8.0,2360.0,2886.0,13.0,-88.0,-186.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,4031.0,4439.0,13.0,3526.0,4334.0,19.0,505.0,105.0,-6.0,0.0,3.0,1.0,0.0,2.0,1.0,5570.0,5916.0,15.0,4755.0,5647.0,22.0,815.0,269.0,-7.0,0.0,5.0,1.0,0.0,3.0,1.0,7524.0,7853.0,20.0,5773.0,6749.0,26.0,1751.0,1104.0,-6.0,1.0,7.0,1.0,0.0,3.0,1.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Blue,sup,Career,Dplus Kia,0.0,Bard,Azir,Jayce,Vi,Rakan,Nautilus,1530.0,1.0,1.0,2.0,17.0,27.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0588,1.3333,0.0,0.0,48.0,19.0,12.0,121.0,7560.0,4163.0,163.2549,6680.0,29.0,29.0,0.0,1.1373,2886.0,1985.0,12.0,2932.0,1840.0,12.0,-46.0,145.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,4257.0,3347.0,18.0,4124.0,3086.0,16.0,133.0,261.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,5496.0,4430.0,24.0,5089.0,4226.0,16.0,407.0,204.0,8.0,1.0,6.0,2.0,1.0,3.0,4.0,7316.0,8490.0,29.0,6320.0,6240.0,22.0,996.0,2250.0,7.0,1.0,14.0,2.0,1.0,4.0,6.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Red,sup,Cloud,T1 Esports Academy,0.0,Bard,Rumble,Azir,Sion,Miss Fortune,Kai'Sa,2078.0,1.0,0.0,4.0,9.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3465,0.8373,0.0,0.0,77.0,16.0,17.0,148.0,8879.0,4364.0,126.0058,8655.0,47.0,47.0,0.0,1.3571,2325.0,2739.0,19.0,2630.0,2889.0,18.0,-305.0,-150.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3450.0,4090.0,29.0,3911.0,3993.0,29.0,-461.0,97.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,4671.0,5182.0,35.0,5063.0,5269.0,33.0,-392.0,-87.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,5735.0,7398.0,38.0,6475.0,7091.0,37.0,-740.0,307.0,1.0,0.0,2.0,3.0,2.0,5.0,1.0
LOLTMNT05_171148,complete,LIT,2026.0,0.0,2.0,16.01,Red,sup,Andil,DRX,0.0,Bard,Rumble,Jayce,Malphite,Nautilus,Rakan,1469.0,0.0,1.0,10.0,2.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.2042,1.5929,0.0,0.0,37.0,10.0,8.0,85.0,6045.0,2773.0,113.2607,5565.0,16.0,16.0,0.0,0.6535,2830.0,2461.0,3.0,2935.0,2839.0,14.0,-105.0,-378.0,-11.0,1.0,0.0,2.0,1.0,3.0,0.0,3994.0,3014.0,11.0,4792.0,3635.0,23.0,-798.0,-621.0,-12.0,1.0,0.0,4.0,2.0,6.0,0.0,5103.0,4187.0,14.0,6642.0,5456.0,30.0,-1539.0,-1269.0,-16.0,1.0,1.0,7.0,3.0,9.0,0.0,6045.0,5667.0,16.0,8223.0,8884.0,33.0,-2178.0,-3217.0,-17.0,1.0,2.0,10.0,3.0,17.0,0.0
LOLTMNT05_172117,complete,LIT,2026.0,0.0,2.0,16.01,Blue,sup,B Butcher,FN Esports,1.0,Bard,Qiyana,Fiora,Gwen,Vi,Xin Zhao,1579.0,1.0,0.0,2.0,14.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.874,1.254,0.0,0.0,39.0,10.0,6.0,91.0,8094.0,4597.0,174.6802,7110.0,28.0,28.0,0.0,1.064,2391.0,3031.0,15.0,2567.0,3180.0,19.0,-176.0,-149.0,-4.0,0.0,1.0,0.0,0.0,2.0,1.0,4090.0,4480.0,22.0,3802.0,4150.0,31.0,288.0,330.0,-9.0,0.0,3.0,0.0,0.0,2.0,1.0,5831.0,6645.0,25.0,5383.0,5847.0,36.0,448.0,798.0,-11.0,0.0,9.0,0.0,1.0,2.0,2.0,7632.0,9081.0,28.0,6511.0,8499.0,41.0,1121.0,582.0,-13.0,0.0,12.0,1.0,1.0,2.0,3.0
LOLTMNT01_321182,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Centu,Colossal Gaming,1.0,Bard,Naafiri,Gwen,Akali,Ekko,Kassadin,1443.0,1.0,3.0,0.0,15.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9148,0.9979,0.0,0.0,33.0,9.0,5.0,85.0,8407.0,5188.0,215.7173,7320.0,15.0,15.0,0.0,0.6237,2468.0,3338.0,9.0,2156.0,2533.0,12.0,312.0,805.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,4283.0,4906.0,13.0,3233.0,3819.0,19.0,1050.0,1087.0,-6.0,1.0,2.0,0.0,0.0,0.0,0.0,6466.0,6917.0,15.0,4595.0,6008.0,20.0,1871.0,909.0,-5.0,1.0,8.0,0.0,0.0,1.0,3.0,8407.0,9837.0,15.0,5323.0,7170.0,21.0,3084.0,2667.0,-6.0,3.0,15.0,0.0,0.0,1.0,5.0
LOLTMNT03_336502,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Seal,Frites Esports Club,1.0,Bard,Bel'Veth,Zed,Azir,Jax,Ambessa,1895.0,1.0,4.0,2.0,9.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6016,0.8232,0.0,0.0,69.0,22.0,18.0,164.0,9976.0,5835.0,184.7493,8850.0,31.0,31.0,0.0,0.9815,2635.0,2753.0,6.0,2227.0,2243.0,7.0,408.0,510.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,3785.0,3743.0,11.0,3505.0,3598.0,21.0,280.0,145.0,-10.0,1.0,1.0,1.0,0.0,0.0,0.0,5067.0,5504.0,16.0,4804.0,5511.0,28.0,263.0,-7.0,-12.0,1.0,2.0,1.0,0.0,2.0,0.0,6806.0,7370.0,23.0,6104.0,7416.0,35.0,702.0,-46.0,-12.0,3.0,2.0,2.0,0.0,3.0,0.0
LOLTMNT06_164172,complete,AL,2026.0,0.0,2.0,16.01,Red,sup,Loopy,Dplus Kia Challengers,1.0,Bard,Neeko,Malphite,Aphelios,Nautilus,Alistar,1700.0,0.0,0.0,1.0,5.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2118,0.7765,0.0,0.0,49.0,14.0,14.0,122.0,6907.0,3163.0,111.6353,6485.0,29.0,29.0,0.0,1.0235,2441.0,2794.0,12.0,2644.0,2774.0,12.0,-203.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3559.0,4102.0,20.0,4063.0,4047.0,22.0,-504.0,55.0,-2.0,0.0,0.0,0.0,0.0,4.0,0.0,5124.0,6276.0,25.0,5532.0,5191.0,26.0,-408.0,1085.0,-1.0,0.0,4.0,0.0,0.0,5.0,0.0,6167.0,7507.0,28.0,6754.0,6802.0,28.0,-587.0,705.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,sup,Vsta,Fukuoka SoftBank HAWKS gaming,1.0,Bard,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,1.0,4.0,9.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,90.0,25.0,13.0,203.0,10214.0,5242.0,136.629,9070.0,36.0,36.0,0.0,0.9383,2348.0,2212.0,10.0,2522.0,2672.0,23.0,-174.0,-460.0,-13.0,0.0,0.0,2.0,0.0,1.0,0.0,3467.0,3341.0,17.0,3951.0,3865.0,33.0,-484.0,-524.0,-16.0,0.0,0.0,2.0,0.0,2.0,0.0,5448.0,4803.0,20.0,5267.0,4869.0,41.0,181.0,-66.0,-21.0,1.0,1.0,3.0,0.0,2.0,0.0,6584.0,6345.0,28.0,6560.0,6759.0,44.0,24.0,-414.0,-16.0,1.0,1.0,3.0,0.0,6.0,0.0
