gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337247,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Diobello,GMBLERS Esports,0.0,Camille,Zac,Jayce,Sona,Karma,Braum,3079.0,0.0,5.0,8.0,7.0,22.0,24.0,2.0,0.0,0.0,0.0,0.0,0.4287,0.8964,0.0,0.0,16.0,9.0,0.0,50.0,19485.0,12928.0,251.9259,19183.0,357.0,357.0,0.0,6.9568,3227.0,5317.0,83.0,3599.0,5286.0,99.0,-372.0,31.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,4544.0,8256.0,120.0,5683.0,9344.0,146.0,-1139.0,-1088.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,7425.0,11911.0,169.0,7353.0,11664.0,182.0,72.0,247.0,-13.0,2.0,3.0,1.0,1.0,0.0,1.0,8985.0,13784.0,192.0,9266.0,14615.0,232.0,-281.0,-831.0,-40.0,3.0,5.0,2.0,1.0,2.0,1.0
LOLTMNT01_321152,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Drututt,4 Swines & A Bum,1.0,Camille,Olaf,Sona,Ambessa,Renekton,Jax,1878.0,0.0,5.0,6.0,3.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3834,1.278,0.0,0.0,11.0,5.0,0.0,30.0,14894.0,10787.0,344.6326,14983.0,313.0,297.0,16.0,10.0,3511.0,4997.0,82.0,3547.0,5229.0,86.0,-36.0,-232.0,-4.0,1.0,0.0,1.0,1.0,0.0,1.0,5199.0,8558.0,134.0,5653.0,9558.0,137.0,-454.0,-1000.0,-3.0,1.0,0.0,2.0,2.0,0.0,1.0,7194.0,11835.0,192.0,8027.0,12772.0,189.0,-833.0,-937.0,3.0,1.0,0.0,2.0,4.0,0.0,1.0,10069.0,14671.0,238.0,9495.0,14884.0,217.0,574.0,-213.0,21.0,2.0,2.0,4.0,4.0,1.0,2.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Red,top,Claww,3BL Esports,0.0,Camille,Neeko,Jayce,Rengar,Viktor,Xayah,2059.0,1.0,3.0,6.0,5.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9616,1.457,0.0,1.0,8.0,2.0,0.0,27.0,11423.0,6947.0,202.4381,10108.0,259.0,249.0,10.0,7.5474,2996.0,4671.0,74.0,3504.0,5257.0,83.0,-508.0,-586.0,-9.0,0.0,0.0,1.0,0.0,1.0,0.0,4482.0,8373.0,110.0,5234.0,8505.0,124.0,-752.0,-132.0,-14.0,0.0,1.0,2.0,0.0,2.0,1.0,6455.0,11977.0,158.0,6904.0,10911.0,161.0,-449.0,1066.0,-3.0,1.0,1.0,2.0,0.0,2.0,2.0,8060.0,14735.0,205.0,8314.0,12637.0,183.0,-254.0,2098.0,22.0,1.0,1.0,3.0,0.0,3.0,2.0
LOLTMNT02_344034,complete,HW,2026.0,0.0,3.0,16.01,Red,top,Sukru,Dark Passage,0.0,Camille,Jayce,Orianna,Sivir,Rakan,Lulu,2482.0,1.0,3.0,5.0,6.0,23.0,15.0,1.0,0.0,0.0,0.0,0.0,0.556,0.9186,0.0,0.0,12.0,4.0,3.0,41.0,15357.0,10018.0,242.1757,12533.0,326.0,314.0,12.0,7.8807,3361.0,5255.0,94.0,3413.0,5162.0,88.0,-52.0,93.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5011.0,8602.0,136.0,5716.0,9923.0,145.0,-705.0,-1321.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,6500.0,10733.0,168.0,7282.0,12066.0,185.0,-782.0,-1333.0,-17.0,0.0,0.0,2.0,2.0,0.0,0.0,7915.0,13084.0,206.0,9304.0,15387.0,222.0,-1389.0,-2303.0,-16.0,0.0,0.0,3.0,3.0,1.0,0.0
LOLTMNT03_340048,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Drututt,4 Swines & A Bum,1.0,Camille,Jayce,Ambessa,Jax,Gwen,Renekton,1552.0,0.0,0.0,4.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0773,0.8505,0.0,0.0,10.0,6.0,0.0,34.0,8642.0,5200.0,201.0309,8483.0,244.0,244.0,0.0,9.433,3360.0,5269.0,89.0,3274.0,5481.0,81.0,86.0,-212.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,4812.0,8234.0,131.0,5710.0,9371.0,138.0,-898.0,-1137.0,-7.0,0.0,0.0,2.0,2.0,2.0,0.0,6520.0,10849.0,177.0,8012.0,13352.0,196.0,-1492.0,-2503.0,-19.0,0.0,0.0,3.0,2.0,3.0,0.0,8460.0,14065.0,239.0,9799.0,16973.0,241.0,-1339.0,-2908.0,-2.0,0.0,0.0,3.0,2.0,3.0,0.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Metys,Andromeda Gaming,0.0,Camille,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,6.0,0.0,3.0,26.0,9.0,1.0,1.0,0.0,0.0,0.0,0.8834,1.1891,0.0,0.0,13.0,2.0,0.0,33.0,13275.0,9397.0,319.2639,11683.0,245.0,241.0,4.0,8.3239,3101.0,4979.0,83.0,3527.0,4899.0,87.0,-426.0,80.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4691.0,8613.0,125.0,4893.0,8006.0,124.0,-202.0,607.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6797.0,11533.0,171.0,6900.0,11224.0,165.0,-103.0,309.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,9445.0,14859.0,218.0,8469.0,13389.0,197.0,976.0,1470.0,21.0,1.0,1.0,0.0,1.0,2.0,3.0
LOLTMNT04_151154,complete,TCL,2026.0,0.0,1.0,16.02,Blue,top,Cripple,Axolotl,1.0,Camille,Sion,Orianna,Bard,Ornn,Shen,1847.0,1.0,7.0,2.0,4.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6822,1.007,0.0,0.0,11.0,3.0,1.0,24.0,13688.0,9645.0,313.3189,11858.0,249.0,239.0,10.0,8.0888,3621.0,4845.0,74.0,2899.0,4852.0,64.0,722.0,-7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,6449.0,9653.0,124.0,4438.0,8138.0,106.0,2011.0,1515.0,18.0,3.0,0.0,0.0,0.0,0.0,2.0,8236.0,11934.0,158.0,6170.0,10800.0,138.0,2066.0,1134.0,20.0,4.0,0.0,2.0,1.0,0.0,2.0,10427.0,14836.0,195.0,7366.0,12824.0,164.0,3061.0,2012.0,31.0,5.0,2.0,2.0,1.0,1.0,3.0
LOLTMNT04_152132,complete,TCL,2026.0,0.0,2.0,16.02,Blue,top,TheSerius,Team Paradox,1.0,Camille,Sion,Qiyana,K'Sante,Renekton,Xin Zhao,1318.0,0.0,1.0,9.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.4097,1.7299,0.0,0.0,9.0,2.0,1.0,19.0,6589.0,3625.0,165.0228,6508.0,130.0,130.0,0.0,5.9181,2535.0,3709.0,47.0,4373.0,5327.0,80.0,-1838.0,-1618.0,-33.0,0.0,0.0,5.0,4.0,2.0,0.0,3949.0,5775.0,85.0,6252.0,8772.0,114.0,-2303.0,-2997.0,-29.0,0.0,0.0,6.0,5.0,5.0,1.0,5396.0,8712.0,126.0,9111.0,12269.0,160.0,-3715.0,-3557.0,-34.0,0.0,0.0,8.0,8.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_334794,complete,LCS,2026.0,0.0,3.0,16.01,Red,top,Claww,3BL Esports,0.0,Camille,Jayce,Azir,Malphite,Varus,Corki,1584.0,1.0,5.0,0.0,4.0,30.0,10.0,0.0,0.0,0.0,0.0,1.0,1.1364,1.5152,0.0,0.0,11.0,2.0,0.0,29.0,11612.0,8105.0,307.0076,8733.0,235.0,232.0,3.0,8.9015,3635.0,5020.0,81.0,3253.0,4560.0,76.0,382.0,460.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5762.0,9054.0,130.0,4809.0,7913.0,124.0,953.0,1141.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,7523.0,12179.0,176.0,6389.0,10476.0,164.0,1134.0,1703.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,10276.0,15867.0,221.0,8312.0,13798.0,205.0,1964.0,2069.0,16.0,4.0,2.0,0.0,1.0,1.0,2.0
LOLTMNT01_334942,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,Strava,EKO Esports,1.0,Camille,Taliyah,Rumble,Azir,Kai'Sa,Varus,1336.0,0.0,1.0,3.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0898,0.8982,0.0,0.0,7.0,3.0,0.0,22.0,6939.0,3938.0,176.8563,5783.0,172.0,172.0,0.0,7.7246,2913.0,4635.0,66.0,4155.0,5414.0,100.0,-1242.0,-779.0,-34.0,0.0,0.0,1.0,1.0,0.0,0.0,4310.0,7676.0,110.0,6424.0,8689.0,147.0,-2114.0,-1013.0,-37.0,0.0,0.0,1.0,1.0,0.0,0.0,6356.0,10589.0,154.0,9678.0,12934.0,190.0,-3322.0,-2345.0,-36.0,1.0,0.0,2.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
