gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Hamudis,Deacoy,1.0,Dr. Mundo,Orianna,Ambessa,Ryze,Aatrox,Darius,2243.0,1.0,4.0,1.0,4.0,14.0,15.0,1.0,0.0,0.0,0.0,1.0,0.3745,0.7757,1.0,0.0,3.0,12.0,2.0,45.0,15420.0,10569.0,282.7196,12850.0,293.0,48.0,245.0,7.8377,3703.0,4256.0,85.0,3973.0,4611.0,86.0,-270.0,-355.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,5312.0,6503.0,125.0,6296.0,8225.0,140.0,-984.0,-1722.0,-15.0,0.0,1.0,0.0,2.0,1.0,0.0,7492.0,9712.0,173.0,8371.0,11136.0,192.0,-879.0,-1424.0,-19.0,0.0,1.0,0.0,2.0,1.0,0.0,9875.0,14194.0,238.0,10197.0,14214.0,237.0,-322.0,-20.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,Fragola,Colossal Gaming,0.0,Dr. Mundo,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,4.0,0.0,8.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,1.0,0.0,10.0,16.0,8.0,68.0,14744.0,10678.0,344.8224,13350.0,282.0,37.0,245.0,9.1066,3611.0,4515.0,88.0,3247.0,3533.0,70.0,364.0,982.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.0,7150.0,125.0,5068.0,5946.0,107.0,1024.0,1204.0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,8596.0,10477.0,171.0,6757.0,8209.0,138.0,1839.0,2268.0,33.0,3.0,3.0,0.0,1.0,0.0,2.0,11247.0,14436.0,234.0,7968.0,9955.0,157.0,3279.0,4481.0,77.0,3.0,4.0,0.0,1.0,0.0,3.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Elix1r,Axolotl,1.0,Dr. Mundo,Akali,Qiyana,Neeko,Kennen,Malphite,1913.0,0.0,0.0,2.0,2.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.69,0.0,1.0,7.0,9.0,5.0,40.0,11287.0,7109.0,222.9692,11075.0,259.0,38.0,221.0,8.1234,3575.0,4362.0,80.0,3885.0,4680.0,86.0,-310.0,-318.0,-6.0,0.0,1.0,0.0,1.0,0.0,0.0,5400.0,6670.0,124.0,5797.0,7490.0,138.0,-397.0,-820.0,-14.0,0.0,1.0,0.0,1.0,0.0,0.0,7359.0,9698.0,169.0,8308.0,10081.0,169.0,-949.0,-383.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,8919.0,11860.0,205.0,10057.0,12390.0,206.0,-1138.0,-530.0,-1.0,0.0,2.0,1.0,2.0,6.0,1.0
LOLTMNT03_334676,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Painter,T1 Esports Academy,1.0,Dr. Mundo,Poppy,Malphite,Varus,Pantheon,Sion,1878.0,0.0,1.0,4.0,6.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4792,1.1502,1.0,1.0,15.0,16.0,11.0,77.0,10982.0,6875.0,219.6486,10325.0,207.0,28.0,179.0,6.6134,3501.0,3987.0,78.0,3924.0,4272.0,83.0,-423.0,-285.0,-5.0,0.0,1.0,0.0,1.0,0.0,0.0,5444.0,6557.0,121.0,6128.0,6979.0,120.0,-684.0,-422.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,7214.0,8536.0,161.0,8264.0,9242.0,161.0,-1050.0,-706.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,8621.0,10719.0,184.0,10565.0,12312.0,181.0,-1944.0,-1593.0,3.0,0.0,4.0,3.0,4.0,4.0,0.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Luncafoer,The Bandits,1.0,Dr. Mundo,Syndra,Yunara,Lulu,Nami,Corki,1396.0,1.0,4.0,1.0,5.0,21.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9026,1.0745,0.0,0.0,3.0,3.0,2.0,23.0,11560.0,8437.0,362.6218,9900.0,232.0,23.0,209.0,9.9713,4384.0,4795.0,97.0,3350.0,3888.0,69.0,1034.0,907.0,28.0,1.0,2.0,0.0,0.0,1.0,2.0,6433.0,7965.0,149.0,4806.0,5918.0,101.0,1627.0,2047.0,48.0,1.0,3.0,0.0,0.0,2.0,2.0,9501.0,12492.0,210.0,6140.0,7767.0,116.0,3361.0,4725.0,94.0,2.0,4.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_318875,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Luncafoer,The Bandits,0.0,Dr. Mundo,Ambessa,Syndra,Heimerdinger,Aatrox,Seraphine,2195.0,1.0,7.0,3.0,13.0,30.0,18.0,1.0,0.0,0.0,0.0,0.0,0.82,1.3121,1.0,0.0,5.0,19.0,3.0,67.0,18840.0,14087.0,385.0661,16375.0,326.0,47.0,279.0,8.9112,3789.0,4459.0,85.0,3671.0,3622.0,62.0,118.0,837.0,23.0,0.0,1.0,1.0,2.0,0.0,0.0,5988.0,7084.0,119.0,6616.0,7175.0,111.0,-628.0,-91.0,8.0,1.0,1.0,1.0,4.0,0.0,0.0,8850.0,11164.0,174.0,8398.0,9359.0,146.0,452.0,1805.0,28.0,2.0,4.0,1.0,4.0,1.0,2.0,10533.0,13397.0,211.0,9934.0,11534.0,181.0,599.0,1863.0,30.0,2.0,5.0,2.0,4.0,1.0,3.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Dr. Mundo,Jayce,Azir,Orianna,Jarvan IV,Nocturne,1650.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.0,1.0,12.0,16.0,12.0,57.0,9081.0,5439.0,197.7818,8850.0,205.0,20.0,185.0,7.4545,3814.0,4953.0,97.0,4204.0,4485.0,85.0,-390.0,468.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,5474.0,7503.0,138.0,6109.0,6866.0,125.0,-635.0,637.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,7279.0,9578.0,175.0,8617.0,10221.0,179.0,-1338.0,-643.0,-4.0,0.0,0.0,0.0,1.0,2.0,0.0,8646.0,11148.0,200.0,11419.0,14060.0,237.0,-2773.0,-2912.0,-37.0,0.0,0.0,1.0,2.0,6.0,0.0
LOLTMNT06_164125,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,lobellan,EKO Esports,1.0,Dr. Mundo,Nocturne,Ziggs,Aatrox,Braum,Mel,1603.0,0.0,3.0,7.0,2.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4117,1.5721,0.0,1.0,3.0,6.0,0.0,27.0,10223.0,6677.0,249.9189,9050.0,196.0,41.0,155.0,7.3362,3459.0,4155.0,81.0,3595.0,3752.0,68.0,-136.0,403.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,5374.0,7138.0,128.0,5690.0,6817.0,116.0,-316.0,321.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,7849.0,9777.0,165.0,9424.0,9966.0,139.0,-1575.0,-189.0,26.0,2.0,2.0,3.0,6.0,4.0,2.0,9659.0,11436.0,183.0,13571.0,14946.0,193.0,-3912.0,-3510.0,-10.0,3.0,2.0,5.0,10.0,6.0,2.0
LOLTMNT03_336227,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Jackal,Hanwha Life Esports Challengers,0.0,Dr. Mundo,Rumble,Orianna,Poppy,Renekton,Yorick,2474.0,1.0,4.0,0.0,14.0,21.0,14.0,0.0,0.0,0.0,0.0,1.0,0.5093,0.8488,1.0,1.0,15.0,26.0,12.0,98.0,17971.0,12648.0,306.7421,15200.0,325.0,28.0,297.0,7.882,3949.0,4357.0,84.0,3575.0,4237.0,73.0,374.0,120.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,6051.0,7543.0,138.0,5804.0,6694.0,112.0,247.0,849.0,26.0,1.0,1.0,0.0,0.0,4.0,0.0,7618.0,9375.0,167.0,7493.0,8743.0,147.0,125.0,632.0,20.0,1.0,3.0,0.0,0.0,4.0,0.0,9398.0,11878.0,207.0,9158.0,11302.0,186.0,240.0,576.0,21.0,1.0,3.0,0.0,0.0,4.0,0.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,RAMES,Team Phantasma,0.0,Dr. Mundo,Jarvan IV,Orianna,Azir,Aphelios,Varus,1506.0,1.0,3.0,0.0,10.0,20.0,8.0,0.0,0.0,0.0,0.0,1.0,0.7968,1.1155,1.0,0.0,8.0,1.0,3.0,29.0,11622.0,8274.0,329.6414,10225.0,215.0,13.0,202.0,8.5657,4132.0,5063.0,90.0,4226.0,4201.0,78.0,-94.0,862.0,12.0,1.0,1.0,0.0,2.0,1.0,0.0,6237.0,8085.0,138.0,5853.0,6532.0,115.0,384.0,1553.0,23.0,2.0,1.0,0.0,2.0,3.0,0.0,8939.0,10988.0,177.0,7206.0,8393.0,141.0,1733.0,2595.0,36.0,2.0,6.0,0.0,2.0,5.0,1.0,11559.0,15242.0,215.0,8312.0,9937.0,156.0,3247.0,5305.0,59.0,3.0,10.0,0.0,2.0,6.0,3.0
