gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Sharon,Deacoy,1.0,Ekko,Orianna,Ambessa,Ryze,Aatrox,Darius,2243.0,1.0,3.0,3.0,6.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3745,0.7757,0.0,0.0,6.0,7.0,2.0,33.0,14701.0,9850.0,263.4864,14350.0,336.0,332.0,4.0,8.988,3658.0,5343.0,102.0,3298.0,4869.0,92.0,360.0,474.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,7683.0,148.0,4908.0,7813.0,144.0,205.0,-130.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,7057.0,10478.0,209.0,6837.0,10748.0,206.0,220.0,-270.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,9615.0,12844.0,260.0,8512.0,13311.0,247.0,1103.0,-467.0,13.0,1.0,0.0,1.0,1.0,2.0,0.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Sharon,Deacoy,0.0,Ekko,Ambessa,Zaahen,Wukong,Xin Zhao,Urgot,1913.0,1.0,4.0,0.0,4.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.69,0.0,0.0,4.0,4.0,1.0,22.0,15016.0,10838.0,339.9268,12925.0,339.0,331.0,8.0,10.6325,3889.0,5569.0,109.0,2960.0,4621.0,74.0,929.0,948.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5633.0,8622.0,169.0,4802.0,7514.0,135.0,831.0,1108.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,7928.0,10976.0,218.0,7485.0,10305.0,186.0,443.0,671.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,9962.0,13603.0,263.0,8837.0,11908.0,220.0,1125.0,1695.0,43.0,2.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Blue,mid,ShowMaker,Dplus Kia,0.0,Ekko,Orianna,Azir,Akali,Ezreal,Sivir,1536.0,1.0,4.0,0.0,6.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.5859,0.8203,0.0,0.0,10.0,7.0,10.0,36.0,12193.0,8784.0,343.125,10275.0,273.0,266.0,7.0,10.6641,3997.0,5625.0,103.0,3588.0,5286.0,98.0,409.0,339.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6094.0,8791.0,169.0,5363.0,8187.0,158.0,731.0,604.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,8136.0,11691.0,221.0,7224.0,11086.0,220.0,912.0,605.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11455.0,15915.0,273.0,9067.0,13569.0,266.0,2388.0,2346.0,7.0,3.0,4.0,0.0,1.0,1.0,2.0
LOLTMNT06_164546,complete,LFL,2026.0,0.0,1.0,16.01,Red,mid,RKR,Berlin International Gaming,0.0,Ekko,Rumble,Jayce,Varus,Karma,Leona,1485.0,1.0,6.0,2.0,3.0,25.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0101,1.2525,0.0,0.0,13.0,1.0,5.0,24.0,10687.0,7382.0,298.2626,16905.0,197.0,197.0,0.0,7.9596,3560.0,5276.0,85.0,3455.0,5575.0,98.0,105.0,-299.0,-13.0,0.0,1.0,0.0,0.0,0.0,0.0,6169.0,8061.0,126.0,5789.0,8365.0,149.0,380.0,-304.0,-23.0,4.0,1.0,0.0,1.0,1.0,1.0,8747.0,11399.0,171.0,7598.0,10593.0,199.0,1149.0,806.0,-28.0,5.0,2.0,0.0,1.0,1.0,2.0,10687.0,13634.0,197.0,9034.0,12839.0,236.0,1653.0,795.0,-39.0,6.0,3.0,2.0,1.0,3.0,4.0
LOLTMNT01_326685,complete,HLL,2026.0,0.0,1.0,16.02,Blue,mid,LIDER,SK Gaming,0.0,Ekko,Varus,Jayce,Rumble,Braum,Rell,2240.0,0.0,1.0,5.0,4.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1607,0.75,0.0,0.0,11.0,7.0,2.0,28.0,15282.0,10437.0,279.5625,15600.0,360.0,359.0,1.0,9.6429,3363.0,4842.0,83.0,3783.0,4968.0,95.0,-420.0,-126.0,-12.0,0.0,1.0,1.0,2.0,0.0,0.0,5494.0,7524.0,136.0,5869.0,8408.0,151.0,-375.0,-884.0,-15.0,1.0,1.0,2.0,2.0,2.0,0.0,7770.0,10266.0,189.0,8346.0,11302.0,207.0,-576.0,-1036.0,-18.0,1.0,2.0,3.0,3.0,4.0,0.0,9785.0,13051.0,239.0,10615.0,14282.0,266.0,-830.0,-1231.0,-27.0,1.0,3.0,3.0,3.0,5.0,0.0
LOLTMNT01_334313,complete,LCK,2026.0,0.0,2.0,16.02,Red,mid,Sharon,Deacoy,0.0,Ekko,Ornn,Rell,Aurora,Kai'Sa,Bard,2048.0,0.0,2.0,6.0,0.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.293,0.9082,0.0,0.0,4.0,8.0,3.0,29.0,12166.0,7712.0,225.9375,12375.0,286.0,278.0,8.0,8.3789,3515.0,5100.0,87.0,3643.0,5203.0,98.0,-128.0,-103.0,-11.0,0.0,0.0,0.0,0.0,1.0,0.0,5064.0,7502.0,134.0,5690.0,7885.0,148.0,-626.0,-383.0,-14.0,0.0,0.0,1.0,1.0,1.0,0.0,6760.0,10050.0,186.0,7655.0,10209.0,187.0,-895.0,-159.0,-1.0,0.0,0.0,2.0,1.0,4.0,1.0,8342.0,12029.0,223.0,9204.0,12760.0,221.0,-862.0,-731.0,2.0,0.0,0.0,4.0,1.0,7.0,2.0
LOLTMNT04_151244,complete,LCP,2026.0,0.0,2.0,16.02,Blue,jng,XnS,SU Esports,1.0,Ekko,Mel,Caitlyn,LeBlanc,Tristana,Sivir,1506.0,1.0,6.0,0.0,4.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.5578,0.6375,1.0,0.0,7.0,5.0,5.0,39.0,13756.0,10408.0,414.6614,12125.0,233.0,40.0,193.0,9.2829,4320.0,4405.0,88.0,3470.0,4273.0,81.0,850.0,132.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,6246.0,7265.0,133.0,5020.0,6367.0,117.0,1226.0,898.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,9760.0,11554.0,197.0,6917.0,8653.0,149.0,2843.0,2901.0,48.0,1.0,2.0,0.0,1.0,0.0,2.0,13744.0,15864.0,233.0,8009.0,10468.0,165.0,5735.0,5396.0,68.0,6.0,4.0,0.0,1.0,1.0,4.0
LOLTMNT02_346807,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,RKR,Berlin International Gaming,0.0,Ekko,Varus,Jayce,Yunara,Ezreal,Alistar,1833.0,1.0,10.0,5.0,8.0,27.0,11.0,2.0,0.0,0.0,0.0,1.0,0.8838,1.2439,0.0,0.0,13.0,4.0,4.0,28.0,14578.0,10563.0,345.761,12200.0,251.0,250.0,1.0,8.216,4005.0,4736.0,75.0,4281.0,5279.0,80.0,-276.0,-543.0,-5.0,2.0,2.0,2.0,3.0,0.0,1.0,7072.0,8199.0,129.0,6015.0,7446.0,122.0,1057.0,753.0,7.0,4.0,4.0,2.0,4.0,0.0,3.0,9183.0,10740.0,175.0,8303.0,10314.0,169.0,880.0,426.0,6.0,5.0,4.0,3.0,5.0,0.0,4.0,11478.0,13944.0,209.0,9860.0,12820.0,215.0,1618.0,1124.0,-6.0,7.0,5.0,4.0,5.0,0.0,5.0
LOLTMNT02_349142,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Ekko,Jarvan IV,Orianna,Yunara,Braum,Sivir,1721.0,0.0,4.0,2.0,2.0,9.0,22.0,0.0,0.0,0.0,0.0,1.0,0.3138,1.0808,0.0,0.0,11.0,7.0,2.0,32.0,11884.0,8098.0,282.3242,11950.0,269.0,265.0,4.0,9.3783,4200.0,5171.0,92.0,4107.0,4994.0,81.0,93.0,177.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,6193.0,8217.0,154.0,5926.0,8055.0,141.0,267.0,162.0,13.0,2.0,1.0,1.0,3.0,0.0,1.0,7965.0,11074.0,209.0,8251.0,11287.0,205.0,-286.0,-213.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,10723.0,13554.0,252.0,10359.0,13444.0,229.0,364.0,110.0,23.0,4.0,2.0,2.0,6.0,4.0,2.0
LOLTMNT05_175474,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Alleycat,CAG OSAKA,0.0,Ekko,Varus,Lee Sin,Wukong,Elise,Lux,1681.0,1.0,7.0,2.0,8.0,26.0,13.0,2.0,0.0,0.0,0.0,0.0,0.928,1.392,0.0,0.0,11.0,11.0,5.0,49.0,12806.0,9101.0,324.8424,10425.0,245.0,237.0,8.0,8.7448,3500.0,5172.0,89.0,3602.0,4724.0,82.0,-102.0,448.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,5166.0,7669.0,143.0,5295.0,7801.0,139.0,-129.0,-132.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,8058.0,10585.0,189.0,6984.0,9565.0,165.0,1074.0,1020.0,24.0,3.0,4.0,0.0,2.0,1.0,0.0,10548.0,13418.0,227.0,8573.0,11986.0,210.0,1975.0,1432.0,17.0,5.0,6.0,2.0,2.0,1.0,1.0
