gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_324998,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Septico1,GnG Amazigh,0.0,Irelia,Rell,Rumble,Jayce,K'Sante,Jax,2147.0,1.0,8.0,5.0,2.0,23.0,21.0,2.0,1.0,0.0,0.0,0.0,0.6428,1.2296,0.0,0.0,16.0,4.0,5.0,44.0,16729.0,12074.0,337.4197,14575.0,313.0,300.0,13.0,8.7471,3403.0,5108.0,94.0,3376.0,5255.0,86.0,27.0,-147.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5359.0,8479.0,145.0,4937.0,8342.0,119.0,422.0,137.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,7767.0,10703.0,182.0,6993.0,11939.0,168.0,774.0,-1236.0,14.0,1.0,0.0,3.0,1.0,4.0,0.0,10035.0,13396.0,227.0,8788.0,14082.0,203.0,1247.0,-686.0,24.0,3.0,0.0,4.0,1.0,5.0,0.0
LOLTMNT04_151631,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Irelia,Viktor,Bard,Rumble,Malphite,Jayce,1820.0,0.0,7.0,5.0,4.0,12.0,27.0,1.0,0.0,0.0,0.0,1.0,0.3956,1.2857,0.0,0.0,14.0,3.0,0.0,36.0,16334.0,12346.0,407.011,16550.0,296.0,288.0,8.0,9.7582,4393.0,5156.0,90.0,2695.0,4547.0,50.0,1698.0,609.0,40.0,2.0,0.0,1.0,0.0,1.0,2.0,8446.0,10001.0,157.0,3786.0,7138.0,73.0,4660.0,2863.0,84.0,4.0,1.0,1.0,0.0,1.0,4.0,12302.0,13465.0,224.0,5469.0,10344.0,120.0,6833.0,3121.0,104.0,6.0,4.0,1.0,0.0,2.0,5.0,14459.0,16800.0,269.0,6889.0,12743.0,157.0,7570.0,4057.0,112.0,6.0,4.0,2.0,0.0,4.0,5.0
LOLTMNT04_152666,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Irelia,Ryze,Alistar,Varus,Neeko,Poppy,1290.0,1.0,11.0,2.0,3.0,25.0,4.0,1.0,0.0,0.0,0.0,1.0,1.1628,1.3488,0.0,0.0,10.0,2.0,0.0,24.0,14375.0,11468.0,533.3953,11250.0,251.0,215.0,36.0,11.6744,4802.0,5709.0,97.0,2405.0,3970.0,34.0,2397.0,1739.0,63.0,4.0,0.0,1.0,0.0,1.0,4.0,8366.0,10512.0,167.0,4075.0,6668.0,64.0,4291.0,3844.0,103.0,5.0,0.0,2.0,1.0,2.0,5.0,13088.0,14343.0,237.0,5185.0,8982.0,87.0,7903.0,5361.0,150.0,8.0,2.0,2.0,1.0,2.0,7.0,,,,,,,,,,,,,,,
LOLTMNT02_346770,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,TheSerius,Team Paradox,1.0,Irelia,Jayce,Ambessa,K'Sante,Karma,Anivia,1562.0,0.0,2.0,9.0,1.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3457,1.2292,0.0,0.0,11.0,2.0,3.0,25.0,8843.0,5381.0,206.6965,8950.0,200.0,200.0,0.0,7.6825,3883.0,4576.0,73.0,4184.0,5152.0,74.0,-301.0,-576.0,-1.0,2.0,0.0,4.0,3.0,1.0,2.0,5566.0,7665.0,117.0,6224.0,8688.0,116.0,-658.0,-1023.0,1.0,2.0,0.0,5.0,4.0,3.0,2.0,7028.0,10436.0,162.0,8823.0,13228.0,168.0,-1795.0,-2792.0,-6.0,2.0,0.0,7.0,6.0,4.0,2.0,8648.0,12565.0,200.0,11136.0,17128.0,212.0,-2488.0,-4563.0,-12.0,2.0,0.0,8.0,6.0,7.0,2.0
LOLTMNT02_350872,complete,ROL,2026.0,1.0,3.0,16.02,Red,top,Septico1,GnG Amazigh,0.0,Irelia,Zoe,Udyr,Hecarim,Braum,K'Sante,1841.0,0.0,0.0,3.0,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2933,0.88,0.0,0.0,10.0,1.0,1.0,30.0,12528.0,8497.0,276.9256,11605.0,321.0,301.0,20.0,10.4617,3767.0,5245.0,100.0,3223.0,4960.0,85.0,544.0,285.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5632.0,8111.0,144.0,5110.0,8379.0,131.0,522.0,-268.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,7553.0,11594.0,204.0,8281.0,12222.0,178.0,-728.0,-628.0,26.0,0.0,0.0,2.0,2.0,4.0,0.0,10476.0,15370.0,270.0,9994.0,15137.0,214.0,482.0,233.0,56.0,0.0,3.0,2.0,2.0,4.0,1.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,advance,New Meta,1.0,Irelia,Taliyah,Kha'Zix,Elise,Alistar,Rakan,1966.0,1.0,13.0,3.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,14.0,9.0,0.0,46.0,19988.0,15702.0,479.2065,18350.0,314.0,306.0,8.0,9.5829,4647.0,5787.0,106.0,3553.0,4785.0,77.0,1094.0,1002.0,29.0,3.0,0.0,1.0,1.0,1.0,3.0,6462.0,9234.0,147.0,5352.0,8215.0,111.0,1110.0,1019.0,36.0,4.0,0.0,3.0,2.0,2.0,4.0,10035.0,14025.0,203.0,7331.0,10285.0,144.0,2704.0,3740.0,59.0,7.0,0.0,3.0,2.0,3.0,5.0,14826.0,17838.0,247.0,8451.0,11633.0,161.0,6375.0,6205.0,86.0,10.0,0.0,3.0,2.0,4.0,7.0
LOLTMNT02_351174,complete,HLL,2026.0,0.0,1.0,16.03,Blue,top,SnowRabbit,L Guide Gaming,1.0,Irelia,Skarner,Varus,Ashe,Syndra,Orianna,1635.0,1.0,5.0,4.0,9.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1009,1.6881,0.0,0.0,13.0,4.0,4.0,40.0,12502.0,8891.0,326.2752,12400.0,247.0,247.0,0.0,9.0642,3961.0,5365.0,94.0,2991.0,4606.0,75.0,970.0,759.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,6212.0,9816.0,153.0,4482.0,7615.0,121.0,1730.0,2201.0,32.0,2.0,0.0,0.0,0.0,0.0,2.0,8488.0,12564.0,190.0,7171.0,10883.0,162.0,1317.0,1681.0,28.0,3.0,3.0,2.0,3.0,2.0,3.0,10833.0,16147.0,230.0,8522.0,12660.0,181.0,2311.0,3487.0,49.0,4.0,6.0,3.0,4.0,2.0,5.0
LOLTMNT02_352194,complete,HLL,2026.0,0.0,1.0,16.03,Red,top,SnowRabbit,L Guide Gaming,0.0,Irelia,Varus,Neeko,Caitlyn,Bard,Elise,1806.0,0.0,1.0,8.0,0.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3322,1.0299,0.0,0.0,15.0,5.0,5.0,37.0,9148.0,5188.0,172.3588,9025.0,222.0,222.0,0.0,7.3754,2998.0,4653.0,76.0,3659.0,5477.0,86.0,-661.0,-824.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,4543.0,7340.0,117.0,6015.0,9544.0,131.0,-1472.0,-2204.0,-14.0,0.0,0.0,3.0,2.0,1.0,0.0,6078.0,9477.0,158.0,8229.0,12163.0,172.0,-2151.0,-2686.0,-14.0,0.0,0.0,5.0,3.0,2.0,1.0,7965.0,11952.0,198.0,10365.0,15738.0,203.0,-2400.0,-3786.0,-5.0,1.0,0.0,7.0,4.0,6.0,1.0
LOLTMNT05_175481,complete,NLC,2026.0,0.0,1.0,16.03,Blue,top,advance,New Meta,1.0,Irelia,Wukong,Galio,Vi,Neeko,Braum,1570.0,1.0,11.0,3.0,4.0,23.0,9.0,2.0,0.0,0.0,0.0,1.0,0.879,1.2229,0.0,0.0,11.0,3.0,1.0,25.0,16508.0,13030.0,497.9618,14125.0,272.0,250.0,22.0,10.3949,4603.0,5267.0,93.0,2847.0,4551.0,55.0,1756.0,716.0,38.0,3.0,0.0,1.0,0.0,1.0,3.0,8170.0,9902.0,139.0,4233.0,7492.0,92.0,3937.0,2410.0,47.0,7.0,1.0,1.0,0.0,1.0,6.0,11809.0,13607.0,205.0,5932.0,9703.0,117.0,5877.0,3904.0,88.0,9.0,2.0,1.0,1.0,2.0,7.0,14639.0,17183.0,260.0,8227.0,13562.0,170.0,6412.0,3621.0,90.0,9.0,2.0,2.0,2.0,2.0,8.0
LOLTMNT02_353164,complete,LPLOL,2026.0,0.0,2.0,16.03,Red,mid,NikiBombka,Priority,0.0,Irelia,Galio,Viego,Jarvan IV,Ryze,Ahri,1599.0,0.0,3.0,9.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4503,1.576,0.0,0.0,3.0,2.0,0.0,11.0,11577.0,8039.0,301.651,11800.0,265.0,260.0,5.0,9.9437,4063.0,4832.0,81.0,4465.0,5547.0,85.0,-402.0,-715.0,-4.0,1.0,0.0,4.0,4.0,0.0,1.0,6035.0,6693.0,113.0,7072.0,8015.0,114.0,-1037.0,-1322.0,-1.0,2.0,0.0,8.0,7.0,2.0,2.0,7951.0,9729.0,177.0,9219.0,11082.0,168.0,-1268.0,-1353.0,9.0,2.0,0.0,8.0,8.0,2.0,2.0,10441.0,12686.0,241.0,11713.0,14428.0,208.0,-1272.0,-1742.0,33.0,2.0,0.0,8.0,9.0,2.0,2.0
