gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_165024,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,DenVoksne,Unicorns of Love Sexy Edition,0.0,Jinx,Jayce,Varus,Jarvan IV,Xin Zhao,Vi,2245.0,1.0,6.0,3.0,7.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,0.4811,0.6682,0.0,0.0,12.0,9.0,4.0,35.0,22603.0,17748.0,474.3341,19650.0,430.0,398.0,32.0,11.4922,3527.0,3671.0,99.0,3327.0,3625.0,89.0,200.0,46.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6073.0,6404.0,166.0,5816.0,6062.0,148.0,257.0,342.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,9963.0,9323.0,236.0,9362.0,8741.0,213.0,601.0,582.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0,12222.0,11546.0,296.0,12444.0,12112.0,274.0,-222.0,-566.0,22.0,1.0,1.0,1.0,2.0,0.0,0.0
LOLTMNT03_341143,complete,LCK,2026.0,0.0,3.0,16.01,Blue,bot,Wayne,Dplus Kia Challengers,1.0,Jinx,Vi,Ambessa,Nautilus,Lulu,Kennen,2476.0,0.0,5.0,4.0,2.0,15.0,16.0,1.0,0.0,0.0,0.0,0.0,0.3635,0.7512,0.0,0.0,19.0,17.0,8.0,55.0,20942.0,15615.0,378.3926,19500.0,420.0,406.0,14.0,10.1777,3848.0,3659.0,107.0,3767.0,4053.0,104.0,81.0,-394.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7489.0,5919.0,168.0,6157.0,5825.0,141.0,1332.0,94.0,27.0,2.0,1.0,1.0,1.0,1.0,2.0,9823.0,7817.0,229.0,8860.0,8315.0,198.0,963.0,-498.0,31.0,2.0,1.0,2.0,2.0,2.0,2.0,12256.0,9842.0,271.0,11138.0,10261.0,252.0,1118.0,-419.0,19.0,3.0,1.0,2.0,2.0,2.0,3.0
LOLTMNT01_326685,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,Jopa,SK Gaming,0.0,Jinx,Varus,Jayce,Rumble,Braum,Rell,2240.0,0.0,3.0,2.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1607,0.75,0.0,0.0,18.0,16.0,5.0,55.0,16831.0,11986.0,321.0536,16625.0,389.0,380.0,9.0,10.4196,4063.0,3965.0,101.0,3792.0,3820.0,97.0,271.0,145.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,6556.0,6099.0,149.0,6689.0,6145.0,146.0,-133.0,-46.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,8572.0,8945.0,209.0,9158.0,8957.0,206.0,-586.0,-12.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,11643.0,11964.0,269.0,12491.0,12230.0,267.0,-848.0,-266.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0
LOLTMNT04_149479,complete,LFL,2026.0,0.0,2.0,16.02,Red,bot,Mobility,Dignitas,0.0,Jinx,Jayce,Neeko,Varus,Trundle,Xin Zhao,2228.0,0.0,7.0,4.0,4.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4309,0.8887,0.0,1.0,19.0,15.0,6.0,56.0,18881.0,14060.0,378.6355,18900.0,336.0,325.0,11.0,9.0485,3088.0,3058.0,64.0,4454.0,3701.0,93.0,-1366.0,-643.0,-29.0,1.0,0.0,2.0,3.0,0.0,1.0,5316.0,4952.0,100.0,7245.0,6019.0,145.0,-1929.0,-1067.0,-45.0,2.0,0.0,3.0,3.0,1.0,1.0,8946.0,8187.0,163.0,9745.0,8243.0,201.0,-799.0,-56.0,-38.0,3.0,3.0,3.0,4.0,1.0,3.0,11640.0,10531.0,224.0,12302.0,10408.0,262.0,-662.0,123.0,-38.0,4.0,3.0,3.0,5.0,2.0,3.0
LOLTMNT04_151052,complete,LIT,2026.0,1.0,3.0,16.02,Blue,bot,FenRir,KT Rolster Challengers,1.0,Jinx,Akali,Azir,Nocturne,Kennen,Renekton,1543.0,1.0,8.0,1.0,2.0,19.0,5.0,2.0,1.0,0.0,0.0,0.0,0.7388,0.9332,0.0,0.0,10.0,9.0,3.0,32.0,15972.0,12549.0,487.9715,14775.0,283.0,251.0,32.0,11.0045,3605.0,3659.0,95.0,3530.0,3527.0,93.0,75.0,132.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8332.0,6257.0,155.0,5590.0,5293.0,136.0,2742.0,964.0,19.0,4.0,0.0,0.0,0.0,0.0,2.0,11647.0,8846.0,221.0,7513.0,7759.0,189.0,4134.0,1087.0,32.0,4.0,1.0,0.0,0.0,0.0,2.0,15007.0,11358.0,276.0,10091.0,11145.0,237.0,4916.0,213.0,39.0,6.0,2.0,1.0,0.0,2.0,3.0
LOLTMNT01_332441,complete,ROL,2026.0,0.0,2.0,16.02,Red,bot,SM,Howl Esports,0.0,Jinx,Varus,Orianna,Ryze,Olaf,Rell,2485.0,0.0,7.0,1.0,5.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,0.3863,0.7485,0.0,3.0,8.0,13.0,0.0,42.0,25368.0,20023.0,483.4527,25700.0,498.0,480.0,18.0,12.0241,3979.0,3529.0,88.0,3396.0,3743.0,88.0,583.0,-214.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6695.0,5513.0,140.0,6289.0,5903.0,147.0,406.0,-390.0,-7.0,2.0,1.0,0.0,0.0,0.0,0.0,9465.0,7586.0,191.0,10632.0,8980.0,190.0,-1167.0,-1394.0,1.0,3.0,1.0,1.0,5.0,2.0,0.0,12087.0,9512.0,239.0,13171.0,11351.0,237.0,-1084.0,-1839.0,2.0,4.0,2.0,1.0,5.0,2.0,0.0
LOLTMNT04_151084,complete,CCWS,2026.0,0.0,3.0,16.02,Blue,bot,Jamie,ZennIT,1.0,Jinx,Rengar,Ambessa,Poppy,Sion,Kennen,1903.0,0.0,5.0,5.0,5.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.536,1.2296,0.0,0.0,10.0,9.0,1.0,29.0,15802.0,11644.0,367.1256,15025.0,308.0,292.0,16.0,9.711,3495.0,3765.0,92.0,3749.0,3588.0,75.0,-254.0,177.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,6406.0,5886.0,137.0,6651.0,5766.0,120.0,-245.0,120.0,17.0,1.0,0.0,1.0,2.0,2.0,0.0,9223.0,8810.0,200.0,9104.0,8123.0,174.0,119.0,687.0,26.0,2.0,1.0,2.0,2.0,4.0,1.0,12650.0,11635.0,260.0,11168.0,11023.0,221.0,1482.0,612.0,39.0,3.0,2.0,2.0,2.0,4.0,1.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,bot,Vespa,Lille Esport,1.0,Jinx,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,13.0,2.0,9.0,26.0,11.0,3.0,1.0,1.0,0.0,1.0,0.6681,0.9507,0.0,0.0,22.0,9.0,9.0,53.0,23538.0,18499.0,475.349,20705.0,414.0,365.0,49.0,10.6381,3807.0,3149.0,85.0,4047.0,3607.0,83.0,-240.0,-458.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6065.0,5198.0,136.0,6220.0,6258.0,145.0,-155.0,-1060.0,-9.0,1.0,1.0,1.0,1.0,1.0,1.0,9782.0,7953.0,188.0,9056.0,8709.0,200.0,726.0,-756.0,-12.0,4.0,2.0,2.0,2.0,3.0,3.0,13299.0,10814.0,242.0,10877.0,11116.0,229.0,2422.0,-302.0,13.0,8.0,5.0,2.0,2.0,3.0,5.0
LOLTMNT01_334389,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,Sebrej,Ruddy Corporation,1.0,Jinx,Varus,Jax,Viego,Galio,Lulu,1417.0,0.0,1.0,7.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.127,1.1856,0.0,0.0,10.0,3.0,1.0,16.0,8491.0,5325.0,225.4764,8645.0,177.0,177.0,0.0,7.4947,2878.0,2816.0,65.0,4780.0,3916.0,94.0,-1902.0,-1100.0,-29.0,0.0,0.0,2.0,3.0,1.0,0.0,4001.0,4120.0,89.0,7665.0,6611.0,146.0,-3664.0,-2491.0,-57.0,0.0,0.0,5.0,5.0,2.0,1.0,6061.0,6348.0,131.0,11450.0,9292.0,197.0,-5389.0,-2944.0,-66.0,0.0,0.0,6.0,7.0,4.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151290,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,Miella,La BOMBAS,0.0,Jinx,Jayce,Varus,Jarvan IV,Syndra,Akali,1457.0,0.0,4.0,4.0,1.0,8.0,25.0,1.0,0.0,0.0,0.0,0.0,0.3294,1.359,0.0,0.0,6.0,8.0,1.0,21.0,10602.0,7354.0,302.8415,10625.0,243.0,243.0,0.0,10.0069,3914.0,3018.0,80.0,3213.0,2981.0,81.0,701.0,37.0,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,6754.0,5396.0,140.0,5763.0,4923.0,128.0,991.0,473.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,8675.0,7344.0,198.0,9999.0,8040.0,171.0,-1324.0,-696.0,27.0,3.0,1.0,2.0,4.0,4.0,2.0,10602.0,9531.0,243.0,13770.0,11735.0,229.0,-3168.0,-2204.0,14.0,4.0,1.0,4.0,5.0,7.0,2.0
