gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_334607,complete,LCKC,2026.0,0.0,2.0,16.01,Red,bot,Enosh,DN SOOPers Challengers,1.0,Kalista,Neeko,Malphite,Poppy,Lulu,Ziggs,2074.0,0.0,2.0,6.0,8.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4339,1.3308,0.0,0.0,15.0,9.0,2.0,38.0,15127.0,10620.0,307.2324,14500.0,342.0,337.0,5.0,9.8939,3934.0,3712.0,103.0,3206.0,3476.0,70.0,728.0,236.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,6084.0,5952.0,155.0,5269.0,5283.0,110.0,815.0,669.0,45.0,1.0,0.0,1.0,0.0,2.0,1.0,8250.0,8588.0,213.0,9420.0,8573.0,171.0,-1170.0,15.0,42.0,1.0,2.0,2.0,3.0,3.0,1.0,10415.0,10530.0,246.0,13255.0,11366.0,215.0,-2840.0,-836.0,31.0,2.0,5.0,4.0,7.0,3.0,2.0
LOLTMNT03_338312,complete,LCKC,2026.0,0.0,3.0,16.01,Red,bot,Peyz,T1,0.0,Kalista,Jayce,Rumble,Akali,K'Sante,Kennen,2102.0,1.0,5.0,5.0,11.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8278,1.2559,2.0,0.0,15.0,12.0,5.0,55.0,15928.0,11364.0,324.3768,14500.0,303.0,287.0,16.0,8.6489,3452.0,3383.0,92.0,3435.0,3386.0,75.0,17.0,-3.0,17.0,0.0,2.0,1.0,1.0,0.0,0.0,5806.0,5568.0,138.0,5988.0,5756.0,122.0,-182.0,-188.0,16.0,1.0,4.0,2.0,2.0,1.0,1.0,8127.0,8242.0,194.0,8462.0,7946.0,167.0,-335.0,296.0,27.0,2.0,6.0,3.0,3.0,2.0,2.0,10756.0,10516.0,226.0,10415.0,10050.0,204.0,341.0,466.0,22.0,3.0,9.0,4.0,3.0,5.0,3.0
LOLTMNT03_339556,complete,LCKC,2026.0,0.0,3.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Kalista,Malphite,Poppy,Sion,Ahri,LeBlanc,1626.0,0.0,4.0,7.0,1.0,8.0,30.0,0.0,0.0,0.0,0.0,1.0,0.2952,1.4022,0.0,0.0,14.0,14.0,7.0,47.0,11002.0,7409.0,273.3948,10000.0,233.0,229.0,4.0,8.5978,4098.0,3245.0,91.0,3386.0,2953.0,77.0,712.0,292.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,6029.0,4705.0,138.0,6139.0,5214.0,123.0,-110.0,-509.0,15.0,2.0,0.0,2.0,2.0,2.0,2.0,8607.0,7155.0,190.0,9639.0,8253.0,178.0,-1032.0,-1098.0,12.0,3.0,1.0,4.0,4.0,4.0,3.0,10604.0,8575.0,226.0,12627.0,11388.0,228.0,-2023.0,-2813.0,-2.0,4.0,1.0,6.0,5.0,7.0,4.0
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Blue,bot,deokdam,DN SOOPers,1.0,Kalista,Malphite,Bard,Ambessa,Miss Fortune,Ashe,2003.0,1.0,6.0,4.0,7.0,21.0,16.0,2.0,2.0,0.0,0.0,0.0,0.6291,1.1083,0.0,1.0,15.0,7.0,3.0,44.0,16876.0,12514.0,374.8577,14225.0,309.0,288.0,21.0,9.2561,3001.0,2929.0,75.0,4149.0,3696.0,93.0,-1148.0,-767.0,-18.0,0.0,0.0,2.0,2.0,2.0,0.0,4984.0,5014.0,126.0,6510.0,6108.0,148.0,-1526.0,-1094.0,-22.0,0.0,0.0,2.0,2.0,2.0,0.0,6945.0,7339.0,185.0,9260.0,8812.0,218.0,-2315.0,-1473.0,-33.0,0.0,0.0,3.0,2.0,2.0,0.0,11184.0,10127.0,228.0,11124.0,10517.0,270.0,60.0,-390.0,-42.0,3.0,2.0,3.0,2.0,2.0,1.0
LOLTMNT01_325945,complete,CBLOL,2026.0,0.0,2.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Kalista,Malphite,Azir,Varus,Ahri,Bard,2054.0,1.0,10.0,6.0,9.0,24.0,17.0,1.0,0.0,0.0,0.0,1.0,0.7011,1.1977,1.0,0.0,19.0,12.0,9.0,79.0,17863.0,13397.0,391.3437,15850.0,315.0,299.0,16.0,9.2016,4252.0,3654.0,89.0,3768.0,3713.0,72.0,484.0,-59.0,17.0,2.0,0.0,1.0,1.0,1.0,1.0,6181.0,5498.0,139.0,6270.0,6018.0,128.0,-89.0,-520.0,11.0,2.0,0.0,2.0,1.0,2.0,1.0,9668.0,8573.0,195.0,8483.0,8825.0,182.0,1185.0,-252.0,13.0,5.0,1.0,3.0,1.0,3.0,1.0,11805.0,10742.0,238.0,10716.0,11450.0,225.0,1089.0,-708.0,13.0,6.0,2.0,5.0,1.0,7.0,2.0
LOLTMNT01_326658,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,Carzzy,Team Vitality,1.0,Kalista,Azir,Jayce,Varus,Karma,Neeko,1947.0,0.0,3.0,2.0,4.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2465,0.6471,0.0,1.0,15.0,8.0,4.0,48.0,15766.0,11519.0,354.9769,15850.0,323.0,319.0,4.0,9.9538,3540.0,3641.0,100.0,3728.0,3365.0,88.0,-188.0,276.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,5446.0,5231.0,149.0,6427.0,5908.0,147.0,-981.0,-677.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8222.0,8063.0,204.0,9442.0,8987.0,212.0,-1220.0,-924.0,-8.0,1.0,1.0,0.0,1.0,1.0,0.0,10992.0,11763.0,257.0,11278.0,10889.0,267.0,-286.0,874.0,-10.0,1.0,3.0,0.0,1.0,1.0,1.0
LOLTMNT01_331103,complete,LCK,2026.0,0.0,3.0,16.02,Red,bot,Pyeonsik,Hanwha Life Esports Challengers,1.0,Kalista,Poppy,Aphelios,Vi,Kennen,Jax,1354.0,0.0,0.0,3.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0886,1.0635,0.0,0.0,8.0,7.0,0.0,24.0,8205.0,5167.0,228.966,8200.0,227.0,227.0,0.0,10.0591,3584.0,3819.0,101.0,3392.0,4179.0,91.0,192.0,-360.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.0,6016.0,151.0,6889.0,6955.0,152.0,-1367.0,-939.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,7329.0,8260.0,201.0,9943.0,9836.0,201.0,-2614.0,-1576.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
LOLTMNT06_165073,complete,AL,2026.0,0.0,4.0,16.02,Blue,bot,Teddy,HANJIN BRION,0.0,Kalista,Rumble,Corki,Jayce,Galio,Twisted Fate,1921.0,0.0,2.0,5.0,6.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4373,0.9995,0.0,0.0,20.0,10.0,9.0,49.0,13253.0,9059.0,282.9464,13100.0,294.0,274.0,20.0,9.1827,3541.0,3587.0,96.0,3201.0,3487.0,81.0,340.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,5606.0,144.0,5277.0,5659.0,122.0,763.0,-53.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,7900.0,7763.0,192.0,8486.0,9294.0,192.0,-586.0,-1531.0,0.0,1.0,2.0,2.0,1.0,6.0,2.0,10262.0,10501.0,240.0,10980.0,11637.0,246.0,-718.0,-1136.0,-6.0,1.0,5.0,3.0,2.0,6.0,3.0
LOLTMNT01_334929,complete,LJL,2026.0,0.0,2.0,16.02,Blue,bot,Taeyoon,Nongshim RedForce,0.0,Kalista,Jayce,Rumble,Varus,Braum,Ziggs,2269.0,1.0,6.0,3.0,5.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.4495,0.6875,1.0,0.0,21.0,21.0,10.0,80.0,18273.0,13369.0,353.5214,15000.0,364.0,340.0,24.0,9.6254,3437.0,3329.0,87.0,3281.0,3390.0,82.0,156.0,-61.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5677.0,6010.0,150.0,5483.0,5699.0,133.0,194.0,311.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,7592.0,8005.0,206.0,8037.0,8476.0,193.0,-445.0,-471.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,9863.0,10209.0,261.0,11178.0,11699.0,254.0,-1315.0,-1490.0,7.0,1.0,2.0,3.0,1.0,2.0,0.0
LOLTMNT01_338317,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,ceo,Leviatan,1.0,Kalista,Malphite,Azir,Ryze,Ezreal,Yunara,1993.0,0.0,4.0,5.0,4.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2709,1.144,0.0,0.0,18.0,11.0,6.0,52.0,15294.0,10953.0,329.7441,15110.0,294.0,276.0,18.0,8.851,3355.0,3073.0,88.0,3299.0,3197.0,85.0,56.0,-124.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5318.0,4824.0,137.0,6219.0,5473.0,140.0,-901.0,-649.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,6971.0,6986.0,177.0,9667.0,8524.0,201.0,-2696.0,-1538.0,-24.0,0.0,1.0,2.0,1.0,8.0,0.0,11443.0,9245.0,216.0,12195.0,10952.0,246.0,-752.0,-1707.0,-30.0,3.0,4.0,3.0,1.0,12.0,1.0
