gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Shredder,GMBLERS Esports,1.0,Leona,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,1.0,4.0,14.0,22.0,29.0,0.0,0.0,0.0,0.0,1.0,0.7517,1.7426,0.0,0.0,47.0,11.0,8.0,119.0,8354.0,4496.0,153.6219,7985.0,26.0,26.0,0.0,0.8884,2839.0,2810.0,13.0,2483.0,2024.0,13.0,356.0,786.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,4713.0,4670.0,18.0,3872.0,3831.0,18.0,841.0,839.0,0.0,1.0,7.0,3.0,0.0,5.0,3.0,6422.0,6258.0,25.0,5193.0,6034.0,21.0,1229.0,224.0,4.0,1.0,11.0,3.0,0.0,10.0,4.0,7421.0,7596.0,26.0,6285.0,7496.0,23.0,1136.0,100.0,3.0,1.0,12.0,3.0,0.0,11.0,4.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Centu,Colossal Gaming,1.0,Leona,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,1.0,2.0,15.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.4623,0.6421,0.0,0.0,79.0,23.0,11.0,186.0,10462.0,5421.0,139.238,9585.0,42.0,42.0,0.0,1.0788,2505.0,2925.0,17.0,2392.0,2392.0,12.0,113.0,533.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3658.0,3599.0,24.0,3516.0,3532.0,20.0,142.0,67.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4883.0,5115.0,31.0,4784.0,5046.0,27.0,99.0,69.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,6389.0,6922.0,34.0,5856.0,5371.0,31.0,533.0,1551.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Shredder,GMBLERS Esports,1.0,Leona,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,0.0,2.0,5.0,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.1615,0.775,0.0,0.0,48.0,9.0,7.0,91.0,7172.0,3106.0,100.3014,6925.0,28.0,28.0,0.0,0.9042,2360.0,2886.0,13.0,2272.0,2700.0,8.0,88.0,186.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3526.0,4334.0,19.0,4031.0,4439.0,13.0,-505.0,-105.0,6.0,0.0,2.0,1.0,0.0,3.0,1.0,4755.0,5647.0,22.0,5570.0,5916.0,15.0,-815.0,-269.0,7.0,0.0,3.0,1.0,0.0,5.0,1.0,5773.0,6749.0,26.0,7524.0,7853.0,20.0,-1751.0,-1104.0,6.0,0.0,3.0,1.0,1.0,7.0,1.0
LOLTMNT03_334841,complete,LCKC,2026.0,0.0,2.0,16.01,Red,sup,Lumos,Gen.G Global Academy,1.0,Leona,Poppy,Malphite,Jayce,Gnar,Gwen,1804.0,0.0,0.0,3.0,6.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2661,0.8647,0.0,0.0,57.0,25.0,11.0,136.0,7463.0,3507.0,116.6408,7175.0,48.0,48.0,0.0,1.5965,2292.0,2381.0,19.0,2285.0,2876.0,17.0,7.0,-495.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3810.0,3566.0,29.0,3368.0,4122.0,24.0,442.0,-556.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,5084.0,4460.0,36.0,4730.0,6004.0,26.0,354.0,-1544.0,10.0,0.0,4.0,1.0,0.0,3.0,2.0,6346.0,6086.0,45.0,7280.0,8772.0,27.0,-934.0,-2686.0,18.0,0.0,5.0,2.0,1.0,8.0,2.0
LOLTMNT03_335800,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,sup,Minous,DRX Challengers,0.0,Leona,Orianna,Rumble,Ryze,Lulu,Renekton,1441.0,1.0,2.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4164,0.458,0.0,0.0,40.0,17.0,7.0,94.0,7337.0,4122.0,171.6308,5990.0,30.0,30.0,0.0,1.2491,2783.0,3031.0,15.0,2312.0,2658.0,16.0,471.0,373.0,-1.0,0.0,5.0,0.0,0.0,0.0,2.0,4143.0,4033.0,19.0,3362.0,3617.0,17.0,781.0,416.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,5378.0,4667.0,26.0,4384.0,4744.0,19.0,994.0,-77.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0,7337.0,7122.0,30.0,5353.0,6130.0,24.0,1984.0,992.0,6.0,2.0,6.0,0.0,0.0,1.0,2.0
LOLTMNT06_163113,complete,AL,2026.0,0.0,1.0,16.01,Blue,sup,sas,BAAM Esports,1.0,Leona,Rumble,Jarvan IV,Malphite,Wukong,Vi,1945.0,0.0,0.0,9.0,8.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4627,1.3882,0.0,0.0,62.0,16.0,13.0,134.0,7711.0,3468.0,106.982,7475.0,28.0,28.0,0.0,0.8638,2519.0,2655.0,13.0,2771.0,3151.0,19.0,-252.0,-496.0,-6.0,0.0,3.0,2.0,1.0,3.0,0.0,3841.0,3814.0,18.0,4448.0,4629.0,27.0,-607.0,-815.0,-9.0,0.0,4.0,4.0,1.0,8.0,0.0,5090.0,4996.0,20.0,6267.0,6213.0,32.0,-1177.0,-1217.0,-12.0,0.0,7.0,6.0,2.0,13.0,1.0,6183.0,6115.0,26.0,7254.0,6694.0,32.0,-1071.0,-579.0,-6.0,0.0,7.0,6.0,2.0,13.0,1.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Dovendyr,Myth Esports,1.0,Leona,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,0.0,4.0,4.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,35.0,14.0,9.0,107.0,6514.0,2679.0,92.1146,6130.0,43.0,43.0,0.0,1.4785,2138.0,2623.0,19.0,2336.0,3228.0,14.0,-198.0,-605.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3220.0,3989.0,32.0,3386.0,4504.0,22.0,-166.0,-515.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4393.0,5082.0,39.0,4875.0,6347.0,28.0,-482.0,-1265.0,11.0,0.0,1.0,1.0,0.0,5.0,0.0,5445.0,6267.0,43.0,6280.0,8060.0,29.0,-835.0,-1793.0,14.0,0.0,1.0,2.0,0.0,8.0,0.0
LOLTMNT01_319672,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Enkil,Senshi eSports,0.0,Leona,Yunara,Zaahen,Azir,Kai'Sa,Nautilus,1766.0,1.0,0.0,2.0,16.0,28.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9513,1.2231,0.0,0.0,44.0,16.0,8.0,114.0,8484.0,4606.0,156.4892,7870.0,28.0,28.0,0.0,0.9513,2590.0,2188.0,9.0,2584.0,2330.0,9.0,6.0,-142.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,3794.0,3508.0,16.0,3654.0,3760.0,13.0,140.0,-252.0,3.0,0.0,6.0,1.0,0.0,3.0,0.0,4971.0,3866.0,19.0,4682.0,4925.0,17.0,289.0,-1059.0,2.0,0.0,7.0,1.0,0.0,3.0,0.0,6728.0,6533.0,25.0,5825.0,5458.0,18.0,903.0,1075.0,7.0,0.0,12.0,2.0,0.0,4.0,2.0
LOLTMNT01_319687,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Dovendyr,Myth Esports,0.0,Leona,Azir,Orianna,Ambessa,Nami,Neeko,2278.0,0.0,0.0,5.0,7.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2897,0.8955,0.0,0.0,62.0,17.0,11.0,153.0,8861.0,3938.0,103.7226,8720.0,41.0,41.0,0.0,1.0799,2268.0,3133.0,21.0,2243.0,3131.0,15.0,25.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3279.0,4255.0,27.0,3403.0,4144.0,22.0,-124.0,111.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4427.0,5208.0,32.0,4526.0,5173.0,24.0,-99.0,35.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,5709.0,8101.0,35.0,5705.0,6441.0,25.0,4.0,1660.0,10.0,0.0,2.0,2.0,0.0,2.0,0.0
LOLTMNT03_336160,complete,HLL,2026.0,0.0,1.0,16.01,Red,sup,Abagnale,GOAL,0.0,Leona,Jayce,Aatrox,K'Sante,Zyra,Azir,2293.0,1.0,0.0,1.0,18.0,28.0,9.0,0.0,0.0,0.0,0.0,1.0,0.7327,0.9682,0.0,0.0,98.0,22.0,13.0,174.0,10656.0,5703.0,149.2281,9715.0,47.0,47.0,0.0,1.2298,2392.0,2854.0,21.0,2742.0,2803.0,13.0,-350.0,51.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,3508.0,4010.0,26.0,4019.0,3995.0,20.0,-511.0,15.0,6.0,0.0,3.0,0.0,0.0,1.0,2.0,4801.0,5265.0,29.0,5242.0,5174.0,24.0,-441.0,91.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,6223.0,6452.0,35.0,7249.0,7464.0,29.0,-1026.0,-1012.0,6.0,0.0,8.0,0.0,1.0,2.0,4.0
