gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Luon,BNK FEARX Youth,1.0,Lulu,Poppy,Vi,Ambessa,Varus,Neeko,2188.0,0.0,0.0,2.0,19.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5759,1.2066,0.0,0.0,69.0,12.0,13.0,141.0,9745.0,5006.0,137.2761,9295.0,39.0,39.0,0.0,1.0695,2427.0,2564.0,16.0,3088.0,2264.0,16.0,-661.0,300.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3730.0,3936.0,29.0,4345.0,3529.0,24.0,-615.0,407.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,4783.0,5723.0,31.0,5499.0,5025.0,27.0,-716.0,698.0,4.0,0.0,6.0,1.0,2.0,6.0,3.0,6338.0,8612.0,32.0,7125.0,6972.0,31.0,-787.0,1640.0,1.0,0.0,11.0,2.0,3.0,10.0,4.0
LOLTMNT03_334676,complete,LCKC,2026.0,0.0,2.0,16.01,Red,sup,Effort,KT Rolster Challengers,0.0,Lulu,Orianna,Jayce,Neeko,Qiyana,Ambessa,1878.0,1.0,0.0,4.0,18.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6709,1.1502,0.0,0.0,66.0,15.0,16.0,125.0,8937.0,4830.0,154.3131,8230.0,36.0,36.0,0.0,1.1502,2799.0,2862.0,19.0,2953.0,2884.0,16.0,-154.0,-22.0,3.0,0.0,2.0,2.0,0.0,4.0,0.0,4051.0,4279.0,29.0,4538.0,4906.0,28.0,-487.0,-627.0,1.0,0.0,2.0,3.0,0.0,7.0,0.0,5155.0,5700.0,32.0,5864.0,6480.0,39.0,-709.0,-780.0,-7.0,0.0,3.0,3.0,0.0,7.0,0.0,7016.0,9157.0,33.0,6980.0,7973.0,42.0,36.0,1184.0,-9.0,0.0,11.0,3.0,0.0,8.0,1.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Loopy,Dplus Kia Challengers,0.0,Lulu,Orianna,Azir,Rumble,Ryze,Galio,1775.0,1.0,0.0,3.0,10.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.507,0.7775,0.0,0.0,43.0,9.0,13.0,83.0,8224.0,4327.0,146.2648,6675.0,32.0,32.0,0.0,1.0817,2280.0,2633.0,16.0,2511.0,2909.0,9.0,-231.0,-276.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,3615.0,4366.0,22.0,4081.0,4552.0,16.0,-466.0,-186.0,6.0,0.0,1.0,2.0,1.0,3.0,1.0,4820.0,6117.0,26.0,5304.0,6151.0,19.0,-484.0,-34.0,7.0,0.0,3.0,3.0,1.0,6.0,2.0,5980.0,7571.0,30.0,6580.0,8037.0,28.0,-600.0,-466.0,2.0,0.0,4.0,3.0,1.0,7.0,2.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Nightmares,mCon esports,1.0,Lulu,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,1.0,4.0,18.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,0.0,46.0,9.0,2.0,99.0,10773.0,5383.0,128.8313,9070.0,32.0,32.0,0.0,0.7659,2252.0,2481.0,9.0,2751.0,3051.0,12.0,-499.0,-570.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,3708.0,4494.0,14.0,3991.0,4678.0,22.0,-283.0,-184.0,-8.0,0.0,3.0,1.0,1.0,1.0,0.0,4910.0,5559.0,17.0,5173.0,6301.0,25.0,-263.0,-742.0,-8.0,0.0,3.0,1.0,1.0,3.0,0.0,6690.0,8422.0,17.0,6585.0,8694.0,27.0,105.0,-272.0,-10.0,1.0,6.0,1.0,1.0,4.0,0.0
LOLTMNT01_319672,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Ranorr,Dynasty,1.0,Lulu,Fiora,Rell,Gwen,Renekton,Olaf,1766.0,0.0,0.0,3.0,5.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2718,1.2231,0.0,0.0,45.0,6.0,11.0,88.0,6728.0,2850.0,96.829,6345.0,20.0,20.0,0.0,0.6795,2584.0,2330.0,9.0,2590.0,2188.0,9.0,-6.0,142.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,3654.0,3760.0,13.0,3794.0,3508.0,16.0,-140.0,252.0,-3.0,0.0,3.0,0.0,0.0,6.0,1.0,4682.0,4925.0,17.0,4971.0,3866.0,19.0,-289.0,1059.0,-2.0,0.0,3.0,0.0,0.0,7.0,1.0,5825.0,5458.0,18.0,6728.0,6533.0,25.0,-903.0,-1075.0,-7.0,0.0,4.0,2.0,0.0,12.0,2.0
LOLTMNT05_171130,complete,LIT,2026.0,0.0,2.0,16.01,Red,sup,Rutzou,Gamespace Mediterranean College Esports,0.0,Lulu,Ambessa,Jayce,Neeko,Nautilus,Xayah,1374.0,0.0,1.0,6.0,4.0,7.0,27.0,0.0,0.0,0.0,0.0,1.0,0.3057,1.4847,0.0,0.0,35.0,7.0,7.0,65.0,6006.0,2927.0,127.8166,5285.0,30.0,26.0,4.0,1.31,2827.0,2573.0,20.0,2991.0,2375.0,14.0,-164.0,198.0,6.0,1.0,0.0,2.0,1.0,3.0,0.0,3843.0,3674.0,25.0,4498.0,3753.0,22.0,-655.0,-79.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,5116.0,5338.0,28.0,6385.0,6445.0,25.0,-1269.0,-1107.0,3.0,1.0,2.0,5.0,1.0,12.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Red,sup,B Butcher,FN Esports,0.0,Lulu,Qiyana,Jayce,Ryze,Braum,Poppy,2114.0,1.0,0.0,4.0,17.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6812,1.0785,0.0,0.0,60.0,19.0,11.0,162.0,10073.0,5485.0,155.6764,8685.0,33.0,33.0,0.0,0.9366,2618.0,2480.0,12.0,2581.0,2416.0,6.0,37.0,64.0,6.0,0.0,2.0,1.0,0.0,3.0,1.0,3955.0,3317.0,20.0,3728.0,3422.0,12.0,227.0,-105.0,8.0,0.0,5.0,2.0,0.0,5.0,2.0,5539.0,5296.0,24.0,5449.0,4305.0,12.0,90.0,991.0,12.0,0.0,8.0,3.0,2.0,5.0,3.0,7236.0,7508.0,31.0,6884.0,6451.0,12.0,352.0,1057.0,19.0,0.0,11.0,4.0,2.0,7.0,4.0
LOLTMNT03_337304,complete,LCK,2026.0,0.0,3.0,16.01,Red,sup,Luon,BNK FEARX Youth,1.0,Lulu,Neeko,Pantheon,Vi,Gnar,Blitzcrank,1991.0,0.0,0.0,2.0,12.0,16.0,26.0,0.0,0.0,0.0,0.0,1.0,0.4822,1.2657,0.0,0.0,73.0,14.0,12.0,142.0,8580.0,4243.0,127.8654,7900.0,25.0,25.0,0.0,0.7534,2869.0,2830.0,8.0,2522.0,2519.0,11.0,347.0,311.0,-3.0,0.0,5.0,0.0,0.0,3.0,1.0,4178.0,3805.0,16.0,4128.0,3574.0,18.0,50.0,231.0,-2.0,0.0,7.0,0.0,1.0,4.0,1.0,5528.0,5399.0,19.0,5512.0,5290.0,26.0,16.0,109.0,-7.0,0.0,8.0,0.0,1.0,6.0,1.0,6815.0,7117.0,20.0,7054.0,7628.0,29.0,-239.0,-511.0,-9.0,0.0,10.0,1.0,1.0,12.0,1.0
LOLTMNT01_320312,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Kellin,BNK FEARX,0.0,Lulu,Rumble,Orianna,Jayce,Alistar,Neeko,2071.0,1.0,0.0,1.0,23.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7533,1.1299,0.0,0.0,67.0,14.0,12.0,126.0,9438.0,4938.0,143.0613,8560.0,32.0,32.0,0.0,0.9271,2361.0,2822.0,17.0,2578.0,2879.0,16.0,-217.0,-57.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3505.0,4090.0,23.0,3751.0,4074.0,22.0,-246.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4655.0,5597.0,28.0,5128.0,5761.0,26.0,-473.0,-164.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,6142.0,8001.0,28.0,6388.0,7319.0,35.0,-246.0,682.0,-7.0,0.0,11.0,1.0,0.0,6.0,0.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Red,sup,REAVER,Team Phantasma,0.0,Lulu,Jarvan IV,Orianna,Azir,Aphelios,Varus,1506.0,1.0,1.0,1.0,14.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7968,1.1155,0.0,0.0,29.0,8.0,7.0,71.0,7565.0,4217.0,168.008,5950.0,21.0,21.0,0.0,0.8367,2445.0,3049.0,14.0,2222.0,3008.0,13.0,223.0,41.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3688.0,4655.0,17.0,3446.0,4294.0,18.0,242.0,361.0,-1.0,0.0,1.0,1.0,0.0,3.0,1.0,5181.0,6264.0,18.0,4649.0,5307.0,20.0,532.0,957.0,-2.0,0.0,6.0,1.0,0.0,5.0,2.0,7546.0,10155.0,21.0,5625.0,7155.0,21.0,1921.0,3000.0,0.0,1.0,14.0,1.0,0.0,6.0,4.0
