gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_318863,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Joekie,mCon esports,1.0,Malphite,Bel'Veth,Aphelios,Sylas,Darius,Jarvan IV,1935.0,1.0,2.0,3.0,7.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.5581,0.9922,1.0,0.0,9.0,13.0,7.0,67.0,12918.0,8695.0,269.6124,11275.0,255.0,41.0,214.0,7.907,3417.0,4020.0,80.0,4262.0,4203.0,74.0,-845.0,-183.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,5320.0,7037.0,128.0,6491.0,6712.0,110.0,-1171.0,325.0,18.0,0.0,0.0,1.0,3.0,3.0,1.0,7023.0,9003.0,159.0,8437.0,9197.0,138.0,-1414.0,-194.0,21.0,0.0,1.0,1.0,3.0,4.0,1.0,8962.0,11593.0,200.0,9912.0,11125.0,169.0,-950.0,468.0,31.0,0.0,3.0,2.0,3.0,5.0,2.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Cuzz,KT Rolster,1.0,Malphite,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,4.0,6.0,3.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,1.0,15.0,17.0,11.0,65.0,11310.0,7183.0,228.2733,10875.0,170.0,20.0,150.0,5.4025,3712.0,3525.0,69.0,4597.0,4419.0,82.0,-885.0,-894.0,-13.0,1.0,0.0,1.0,3.0,0.0,0.0,5633.0,6125.0,112.0,6340.0,6945.0,129.0,-707.0,-820.0,-17.0,1.0,2.0,1.0,3.0,0.0,1.0,7705.0,7319.0,126.0,9366.0,10387.0,171.0,-1661.0,-3068.0,-45.0,3.0,2.0,3.0,5.0,4.0,1.0,9126.0,8640.0,142.0,11651.0,12610.0,211.0,-2525.0,-3970.0,-69.0,4.0,2.0,4.0,6.0,5.0,1.0
LOLTMNT03_337182,complete,HLL,2026.0,0.0,2.0,16.01,Blue,jng,Kobs,GnG Amazigh,1.0,Malphite,Naafiri,Rumble,Neeko,Bard,Rell,1643.0,0.0,1.0,3.0,3.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2921,0.8764,0.0,0.0,5.0,10.0,4.0,51.0,9635.0,6008.0,219.4035,9500.0,203.0,17.0,186.0,7.4133,3814.0,4186.0,73.0,3579.0,4175.0,80.0,235.0,11.0,-7.0,1.0,1.0,0.0,0.0,1.0,0.0,5521.0,6418.0,114.0,5819.0,6541.0,122.0,-298.0,-123.0,-8.0,1.0,1.0,1.0,0.0,2.0,0.0,7657.0,9956.0,163.0,8472.0,9064.0,149.0,-815.0,892.0,14.0,1.0,3.0,1.0,2.0,2.0,0.0,8992.0,11684.0,189.0,10718.0,11663.0,186.0,-1726.0,21.0,3.0,1.0,3.0,2.0,2.0,5.0,0.0
LOLTMNT03_336219,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,iBo,WLGaming Esports,0.0,Malphite,Jayce,Rumble,K'Sante,Braum,Karma,2134.0,1.0,4.0,3.0,7.0,28.0,15.0,1.0,0.0,0.0,0.0,0.0,0.7873,1.209,0.0,0.0,23.0,4.0,9.0,54.0,13664.0,9035.0,254.03,12525.0,282.0,282.0,0.0,7.9288,3229.0,4981.0,83.0,3879.0,5054.0,85.0,-650.0,-73.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,4712.0,8525.0,131.0,5304.0,8668.0,130.0,-592.0,-143.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6874.0,11802.0,179.0,7289.0,11374.0,157.0,-415.0,428.0,22.0,0.0,1.0,1.0,2.0,0.0,1.0,8760.0,15065.0,226.0,10916.0,14694.0,204.0,-2156.0,371.0,22.0,1.0,1.0,1.0,3.0,1.0,1.0
LOLTMNT03_336226,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Fragola,Colossal Gaming,0.0,Malphite,Ambessa,Jarvan IV,Sivir,Xayah,Kai'Sa,1784.0,1.0,2.0,0.0,6.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6054,0.6726,0.0,0.0,6.0,13.0,4.0,49.0,12179.0,8264.0,277.9372,10900.0,247.0,42.0,205.0,8.3072,3611.0,4451.0,87.0,4027.0,4174.0,80.0,-416.0,277.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,5802.0,7226.0,130.0,6008.0,6693.0,121.0,-206.0,533.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,7834.0,9992.0,180.0,8113.0,9179.0,166.0,-279.0,813.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,9525.0,12463.0,205.0,9958.0,11208.0,204.0,-433.0,1255.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0
LOLTMNT03_336227,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Malphite,Jayce,Neeko,Sylas,Lulu,Kai'Sa,2474.0,0.0,1.0,3.0,9.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3395,0.8488,1.0,1.0,14.0,18.0,14.0,73.0,13896.0,8573.0,207.9143,13500.0,235.0,19.0,216.0,5.6993,3575.0,4237.0,73.0,3949.0,4357.0,84.0,-374.0,-120.0,-11.0,0.0,2.0,0.0,1.0,0.0,0.0,5804.0,6694.0,112.0,6051.0,7543.0,138.0,-247.0,-849.0,-26.0,0.0,4.0,0.0,1.0,1.0,0.0,7493.0,8743.0,147.0,7618.0,9375.0,167.0,-125.0,-632.0,-20.0,0.0,4.0,0.0,1.0,3.0,0.0,9158.0,11302.0,186.0,9398.0,11878.0,207.0,-240.0,-576.0,-21.0,0.0,4.0,0.0,1.0,3.0,0.0
LOLTMNT03_337304,complete,LCK,2026.0,0.0,3.0,16.01,Blue,jng,DDoiV,DN SOOPers Challengers,0.0,Malphite,Azir,Aphelios,Akali,Sylas,Renekton,1991.0,1.0,3.0,4.0,17.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.7835,1.2657,2.0,0.0,11.0,20.0,9.0,61.0,13350.0,9013.0,271.6123,12775.0,206.0,50.0,156.0,6.2079,3652.0,4217.0,81.0,3829.0,4054.0,76.0,-177.0,163.0,5.0,0.0,3.0,1.0,1.0,2.0,2.0,5930.0,5975.0,110.0,5421.0,6024.0,111.0,509.0,-49.0,-1.0,1.0,4.0,2.0,1.0,3.0,2.0,7294.0,7827.0,129.0,7588.0,8482.0,145.0,-294.0,-655.0,-16.0,1.0,6.0,2.0,2.0,3.0,2.0,8990.0,10426.0,161.0,9376.0,10760.0,172.0,-386.0,-334.0,-11.0,1.0,9.0,4.0,2.0,5.0,4.0
LOLTMNT01_320312,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Sponge,Nongshim RedForce,1.0,Malphite,Vi,Azir,Sylas,Ambessa,Dr. Mundo,2071.0,0.0,1.0,7.0,8.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3766,1.1299,0.0,1.0,16.0,16.0,15.0,76.0,11700.0,7200.0,208.5949,11535.0,201.0,21.0,180.0,5.8233,3534.0,4184.0,78.0,3343.0,3414.0,67.0,191.0,770.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,5283.0,6639.0,119.0,4770.0,5262.0,96.0,513.0,1377.0,23.0,0.0,1.0,1.0,0.0,3.0,0.0,7331.0,9072.0,152.0,6572.0,7573.0,121.0,759.0,1499.0,31.0,0.0,5.0,2.0,1.0,4.0,1.0,8352.0,10136.0,165.0,8182.0,9674.0,134.0,170.0,462.0,31.0,0.0,5.0,5.0,2.0,6.0,1.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,hammerul,ALMO Players,1.0,Malphite,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,2.0,3.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,1.0,4.0,5.0,2.0,19.0,8325.0,4977.0,198.2869,7950.0,156.0,18.0,138.0,6.2151,4226.0,4201.0,78.0,4132.0,5063.0,90.0,94.0,-862.0,-12.0,2.0,1.0,0.0,1.0,1.0,0.0,5853.0,6532.0,115.0,6237.0,8085.0,138.0,-384.0,-1553.0,-23.0,2.0,3.0,0.0,2.0,1.0,0.0,7206.0,8393.0,141.0,8939.0,10988.0,177.0,-1733.0,-2595.0,-36.0,2.0,5.0,1.0,2.0,6.0,0.0,8312.0,9937.0,156.0,11559.0,15242.0,215.0,-3247.0,-5305.0,-59.0,2.0,6.0,3.0,3.0,10.0,0.0
LOLTMNT05_172142,complete,LIT,2026.0,0.0,2.0,16.01,Red,jng,Hizto,Team Secret Whales,1.0,Malphite,Poppy,Varus,Sylas,Bard,Gnar,1820.0,1.0,3.0,2.0,22.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0549,1.4505,1.0,0.0,15.0,5.0,15.0,49.0,13109.0,9121.0,300.6923,12775.0,228.0,21.0,207.0,7.5165,3540.0,4170.0,79.0,4067.0,4419.0,79.0,-527.0,-249.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6205.0,7550.0,133.0,5853.0,7057.0,121.0,352.0,493.0,12.0,1.0,5.0,0.0,2.0,1.0,2.0,8000.0,9886.0,164.0,7928.0,9205.0,157.0,72.0,681.0,7.0,1.0,7.0,1.0,3.0,1.0,2.0,10635.0,13355.0,197.0,9474.0,10871.0,179.0,1161.0,2484.0,18.0,2.0,12.0,1.0,3.0,2.0,3.0
