gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Sprotte,Myth Esports,1.0,Mordekaiser,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,4.0,4.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,8.0,2.0,3.0,21.0,11644.0,7809.0,268.5043,11175.0,246.0,246.0,0.0,8.4585,3573.0,5501.0,104.0,3255.0,5286.0,86.0,318.0,215.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5834.0,9768.0,156.0,4500.0,8354.0,116.0,1334.0,1414.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,7660.0,12270.0,196.0,6949.0,12623.0,183.0,711.0,-353.0,13.0,1.0,0.0,1.0,1.0,1.0,1.0,9941.0,16253.0,245.0,8164.0,14687.0,205.0,1777.0,1566.0,40.0,2.0,0.0,2.0,1.0,3.0,2.0
LOLTMNT04_149122,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Cripple,Axolotl,0.0,Mordekaiser,Corki,Sion,Ambessa,K'Sante,Ornn,2017.0,0.0,7.0,6.0,1.0,18.0,19.0,1.0,0.0,0.0,0.0,0.0,0.5354,1.1006,0.0,0.0,11.0,5.0,3.0,32.0,13311.0,8921.0,265.3743,13475.0,276.0,276.0,0.0,8.2102,4150.0,5461.0,90.0,3227.0,4838.0,76.0,923.0,623.0,14.0,2.0,0.0,1.0,0.0,1.0,1.0,6293.0,9927.0,140.0,4549.0,8045.0,114.0,1744.0,1882.0,26.0,3.0,0.0,2.0,0.0,1.0,2.0,8594.0,14196.0,196.0,6742.0,10984.0,158.0,1852.0,3212.0,38.0,4.0,0.0,3.0,0.0,1.0,2.0,10088.0,16264.0,218.0,8353.0,13219.0,188.0,1735.0,3045.0,30.0,5.0,1.0,4.0,1.0,1.0,4.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Hiro,ZYB Esport,0.0,Mordekaiser,Orianna,Wukong,Rumble,Aphelios,Yunara,2307.0,1.0,6.0,5.0,10.0,37.0,28.0,0.0,0.0,0.0,0.0,0.0,0.9623,1.6905,0.0,0.0,18.0,2.0,3.0,51.0,15054.0,10072.0,261.9506,13225.0,259.0,239.0,20.0,6.736,4031.0,5733.0,91.0,3117.0,4826.0,81.0,914.0,907.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,5941.0,9820.0,154.0,4814.0,8548.0,138.0,1127.0,1272.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0,8306.0,12664.0,191.0,6475.0,11500.0,180.0,1831.0,1164.0,11.0,3.0,1.0,1.0,0.0,1.0,2.0,10057.0,15692.0,213.0,8541.0,14057.0,208.0,1516.0,1635.0,5.0,3.0,4.0,2.0,1.0,4.0,4.0
LOLTMNT01_326837,complete,LCK,2026.0,0.0,3.0,16.02,Red,top,Impact,Sentinels,1.0,Mordekaiser,Ryze,Nocturne,Varus,Ziggs,Miss Fortune,1716.0,0.0,3.0,2.0,3.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.8042,0.0,0.0,14.0,1.0,2.0,30.0,10727.0,6951.0,243.042,10700.0,239.0,235.0,4.0,8.3566,3301.0,5338.0,82.0,3308.0,4976.0,88.0,-7.0,362.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5239.0,8838.0,126.0,4970.0,7923.0,125.0,269.0,915.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7191.0,12065.0,170.0,6854.0,10709.0,172.0,337.0,1356.0,-2.0,2.0,2.0,0.0,0.0,2.0,2.0,9737.0,15385.0,218.0,8563.0,13336.0,216.0,1174.0,2049.0,2.0,3.0,2.0,1.0,0.0,4.0,2.0
LOLTMNT01_331640,complete,LCK,2026.0,0.0,2.0,16.02,Red,top,JNX,Eintracht Spandau,0.0,Mordekaiser,Rumble,Azir,Jayce,Ambessa,Braum,2365.0,0.0,3.0,8.0,2.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.2537,0.9133,0.0,0.0,15.0,4.0,0.0,39.0,14235.0,9135.0,231.7548,14160.0,314.0,302.0,12.0,7.9662,3295.0,4945.0,92.0,3728.0,5690.0,110.0,-433.0,-745.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,4567.0,7304.0,124.0,6155.0,10304.0,158.0,-1588.0,-3000.0,-34.0,0.0,0.0,2.0,2.0,0.0,0.0,6471.0,10432.0,177.0,8332.0,13789.0,208.0,-1861.0,-3357.0,-31.0,0.0,0.0,3.0,2.0,2.0,0.0,9126.0,13848.0,222.0,10202.0,16908.0,248.0,-1076.0,-3060.0,-26.0,2.0,0.0,5.0,2.0,5.0,0.0
LOLTMNT01_331650,complete,LCK,2026.0,0.0,1.0,16.02,Red,top,Fejkýý,Inside Games,0.0,Mordekaiser,Ryze,Zac,Gwen,Karma,Gnar,1403.0,0.0,1.0,4.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1283,0.9408,0.0,0.0,11.0,4.0,2.0,25.0,7827.0,4689.0,200.5274,7700.0,190.0,190.0,0.0,8.1254,2882.0,4450.0,68.0,4751.0,5880.0,99.0,-1869.0,-1430.0,-31.0,0.0,0.0,2.0,3.0,0.0,0.0,4502.0,8083.0,120.0,6444.0,9620.0,153.0,-1942.0,-1537.0,-33.0,0.0,0.0,2.0,3.0,0.0,0.0,7081.0,12044.0,173.0,8167.0,12379.0,197.0,-1086.0,-335.0,-24.0,1.0,0.0,3.0,3.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Blue,top,didie,Ethereal Enigmas,1.0,Mordekaiser,Aurora,Rumble,Jayce,Sion,Rell,1901.0,0.0,1.0,7.0,4.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4734,1.1047,0.0,0.0,11.0,2.0,4.0,27.0,9960.0,5806.0,183.2509,9350.0,241.0,241.0,0.0,7.6065,3308.0,4492.0,78.0,3933.0,5493.0,76.0,-625.0,-1001.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,4855.0,7909.0,109.0,6300.0,8752.0,116.0,-1445.0,-843.0,-7.0,1.0,3.0,4.0,4.0,1.0,3.0,6439.0,10696.0,156.0,8507.0,11952.0,162.0,-2068.0,-1256.0,-6.0,1.0,3.0,5.0,4.0,1.0,3.0,7939.0,13398.0,197.0,10223.0,14101.0,204.0,-2284.0,-703.0,-7.0,1.0,4.0,5.0,4.0,1.0,4.0
LOLTMNT01_332905,complete,HW,2026.0,0.0,2.0,16.02,Blue,top,Cripple,Axolotl,1.0,Mordekaiser,Sion,Orianna,Bard,Lulu,Janna,2623.0,0.0,8.0,5.0,7.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4804,1.281,0.0,0.0,9.0,2.0,0.0,14.0,20064.0,14437.0,330.2402,18250.0,343.0,330.0,13.0,7.846,4163.0,5133.0,100.0,3166.0,5023.0,69.0,997.0,110.0,31.0,1.0,0.0,0.0,1.0,0.0,1.0,5978.0,7848.0,132.0,4317.0,7549.0,84.0,1661.0,299.0,48.0,1.0,2.0,2.0,1.0,4.0,2.0,8625.0,10563.0,173.0,5761.0,10391.0,121.0,2864.0,172.0,52.0,3.0,2.0,3.0,1.0,5.0,2.0,11893.0,14704.0,231.0,6820.0,12600.0,133.0,5073.0,2104.0,98.0,4.0,4.0,3.0,1.0,10.0,3.0
LOLTMNT01_334168,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Turtle,Team Phoenix,0.0,Mordekaiser,Ezreal,Orianna,Rumble,K'Sante,Neeko,1780.0,0.0,1.0,5.0,3.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3371,0.9101,0.0,0.0,15.0,0.0,2.0,29.0,8857.0,4950.0,166.8539,8850.0,204.0,204.0,0.0,6.8764,3351.0,5011.0,80.0,3586.0,5017.0,95.0,-235.0,-6.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4678.0,8124.0,115.0,5717.0,9145.0,148.0,-1039.0,-1021.0,-33.0,0.0,0.0,1.0,1.0,0.0,0.0,6127.0,10620.0,158.0,8069.0,12570.0,199.0,-1942.0,-1950.0,-41.0,0.0,0.0,2.0,1.0,2.0,0.0,7675.0,12704.0,178.0,10314.0,15967.0,242.0,-2639.0,-3263.0,-64.0,1.0,3.0,4.0,2.0,5.0,1.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,UEC clodmattya,UEC eSports PlusPlus,0.0,Mordekaiser,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,2.0,5.0,1.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,16.0,3.0,5.0,39.0,9878.0,5979.0,201.9932,9425.0,219.0,219.0,0.0,7.3986,3133.0,5177.0,72.0,3786.0,4972.0,90.0,-653.0,205.0,-18.0,0.0,1.0,1.0,1.0,0.0,1.0,4779.0,8650.0,127.0,5816.0,8790.0,147.0,-1037.0,-140.0,-20.0,0.0,1.0,1.0,1.0,0.0,1.0,6931.0,11709.0,178.0,8593.0,12446.0,207.0,-1662.0,-737.0,-29.0,1.0,1.0,2.0,2.0,1.0,1.0,9048.0,14074.0,209.0,10867.0,14746.0,248.0,-1819.0,-672.0,-39.0,2.0,1.0,3.0,2.0,3.0,1.0
