gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Bisk,The Bandits,0.0,Olaf,Bel'Veth,Aphelios,Wukong,Rell,Ashe,1807.0,1.0,3.0,1.0,6.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.4981,0.7969,0.0,0.0,14.0,5.0,0.0,37.0,13364.0,9402.0,312.1859,10750.0,279.0,267.0,12.0,9.264,3428.0,5092.0,81.0,3249.0,4916.0,83.0,179.0,176.0,-2.0,0.0,2.0,0.0,0.0,1.0,1.0,5418.0,8690.0,124.0,5127.0,8857.0,121.0,291.0,-167.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,8129.0,12159.0,182.0,6694.0,11741.0,168.0,1435.0,418.0,14.0,1.0,3.0,1.0,1.0,2.0,3.0,9994.0,15172.0,236.0,8551.0,15491.0,222.0,1443.0,-319.0,14.0,1.0,3.0,1.0,1.0,3.0,3.0
LOLTMNT06_163405,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Pun,Team Secret Whales,0.0,Olaf,Jayce,Poppy,Anivia,Alistar,Aphelios,1961.0,1.0,9.0,4.0,8.0,22.0,7.0,3.0,1.0,1.0,0.0,0.0,0.6731,0.8873,0.0,0.0,12.0,2.0,2.0,32.0,16175.0,11899.0,364.0694,15250.0,269.0,253.0,16.0,8.2305,3247.0,4852.0,87.0,3700.0,5613.0,89.0,-453.0,-761.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,5177.0,8078.0,126.0,5503.0,8828.0,136.0,-326.0,-750.0,-10.0,1.0,0.0,2.0,1.0,0.0,1.0,7759.0,11136.0,169.0,7247.0,11915.0,188.0,512.0,-779.0,-19.0,3.0,2.0,2.0,1.0,0.0,2.0,11229.0,15566.0,222.0,9646.0,14772.0,224.0,1583.0,794.0,-2.0,7.0,2.0,3.0,2.0,0.0,2.0
LOLTMNT06_166032,complete,AL,2026.0,0.0,1.0,16.01,Red,top,DnDn,S2G Esports,0.0,Olaf,Mel,Wukong,Ambessa,Azir,Syndra,1541.0,1.0,3.0,0.0,5.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4283,0.5062,0.0,0.0,13.0,3.0,6.0,34.0,13839.0,10420.0,405.7106,11350.0,300.0,284.0,16.0,11.6807,3973.0,5476.0,103.0,3208.0,5038.0,83.0,765.0,438.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,6263.0,9258.0,160.0,4562.0,8091.0,123.0,1701.0,1167.0,37.0,0.0,1.0,0.0,0.0,0.0,2.0,8785.0,14141.0,232.0,6229.0,10849.0,166.0,2556.0,3292.0,66.0,1.0,1.0,0.0,0.0,0.0,3.0,13333.0,18556.0,291.0,7463.0,12786.0,192.0,5870.0,5770.0,99.0,3.0,3.0,0.0,0.0,0.0,4.0
LOLTMNT06_166043,complete,LFL,2026.0,0.0,2.0,16.01,Blue,top,Septico1,GnG Amazigh,1.0,Olaf,Neeko,Ambessa,Akali,Cassiopeia,Ahri,1705.0,1.0,7.0,2.0,5.0,20.0,8.0,3.0,0.0,0.0,0.0,0.0,0.7038,0.9853,0.0,0.0,12.0,4.0,1.0,36.0,12721.0,8967.0,315.5543,10775.0,251.0,249.0,2.0,8.8328,3251.0,4869.0,80.0,3872.0,5074.0,92.0,-621.0,-205.0,-12.0,0.0,0.0,1.0,1.0,0.0,0.0,4869.0,8631.0,135.0,5528.0,8874.0,143.0,-659.0,-243.0,-8.0,0.0,0.0,1.0,1.0,0.0,0.0,7083.0,11752.0,191.0,7269.0,11947.0,190.0,-186.0,-195.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9647.0,15161.0,244.0,9656.0,15627.0,248.0,-9.0,-466.0,-4.0,3.0,0.0,2.0,2.0,1.0,0.0
LOLTMNT05_174083,complete,LIT,2026.0,0.0,2.0,16.01,Red,top,Nenad,Team Insidious,0.0,Olaf,Orianna,Jayce,Malphite,Vi,Ambessa,1850.0,0.0,1.0,4.0,2.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4216,1.0054,0.0,0.0,8.0,2.0,0.0,29.0,9361.0,5311.0,172.2486,9425.0,212.0,212.0,0.0,6.8757,3150.0,4344.0,61.0,3433.0,4923.0,84.0,-283.0,-579.0,-23.0,1.0,0.0,1.0,0.0,0.0,1.0,4546.0,7405.0,100.0,5373.0,8783.0,143.0,-827.0,-1378.0,-43.0,1.0,0.0,2.0,0.0,1.0,1.0,5984.0,9340.0,123.0,7200.0,11834.0,190.0,-1216.0,-2494.0,-67.0,1.0,2.0,3.0,0.0,2.0,1.0,7293.0,11122.0,153.0,9009.0,13993.0,215.0,-1716.0,-2871.0,-62.0,1.0,2.0,4.0,1.0,3.0,1.0
LOLTMNT01_326687,complete,HW,2026.0,0.0,1.0,16.02,Blue,top,Robo,paiN Gaming,0.0,Olaf,Jayce,Varus,Orianna,Corki,Aphelios,1911.0,0.0,3.0,5.0,4.0,14.0,19.0,0.0,0.0,0.0,0.0,1.0,0.4396,1.0361,0.0,0.0,9.0,5.0,2.0,29.0,12533.0,8359.0,262.449,12000.0,276.0,273.0,3.0,8.6656,4176.0,5223.0,94.0,3089.0,4658.0,66.0,1087.0,565.0,28.0,2.0,1.0,0.0,1.0,0.0,2.0,6040.0,8807.0,151.0,5385.0,8953.0,123.0,655.0,-146.0,28.0,2.0,1.0,1.0,2.0,0.0,2.0,8388.0,11560.0,196.0,6866.0,11504.0,159.0,1522.0,56.0,37.0,2.0,2.0,1.0,2.0,0.0,3.0,10105.0,14372.0,248.0,8663.0,14378.0,199.0,1442.0,-6.0,49.0,2.0,3.0,2.0,3.0,0.0,3.0
LOLTMNT04_151083,complete,LFL,2026.0,0.0,2.0,16.02,Blue,top,NuQ,Frites Esports Club,1.0,Olaf,Heimerdinger,Jarvan IV,Dr. Mundo,Aatrox,Gnar,1528.0,1.0,3.0,2.0,6.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9031,1.3351,0.0,0.0,10.0,3.0,2.0,30.0,10234.0,6841.0,268.6257,9550.0,207.0,203.0,4.0,8.1283,3641.0,5038.0,97.0,3398.0,5350.0,86.0,243.0,-312.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,5695.0,8285.0,143.0,5274.0,8725.0,139.0,421.0,-440.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,8000.0,12079.0,187.0,7358.0,11192.0,171.0,642.0,887.0,16.0,2.0,2.0,2.0,1.0,3.0,3.0,10067.0,14935.0,206.0,9315.0,14336.0,219.0,752.0,599.0,-13.0,3.0,5.0,2.0,1.0,4.0,4.0
LOLTMNT04_151179,complete,LFL,2026.0,0.0,5.0,16.02,Red,jng,Iso99,P11 Esports,0.0,Olaf,Diana,Gwen,Urgot,Jax,Zaahen,1879.0,1.0,6.0,2.0,13.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.7344,1.1176,2.0,0.0,7.0,6.0,4.0,46.0,15134.0,11025.0,352.049,13900.0,265.0,38.0,227.0,8.4619,4226.0,4012.0,72.0,3807.0,3665.0,64.0,419.0,347.0,8.0,2.0,3.0,1.0,1.0,2.0,2.0,6343.0,7328.0,129.0,6314.0,7009.0,109.0,29.0,319.0,20.0,2.0,4.0,1.0,2.0,2.0,2.0,8540.0,9903.0,166.0,7954.0,9430.0,139.0,586.0,473.0,27.0,3.0,5.0,2.0,2.0,5.0,3.0,11462.0,14377.0,219.0,9645.0,11708.0,164.0,1817.0,2669.0,55.0,4.0,8.0,2.0,2.0,6.0,4.0
LOLTMNT04_152172,complete,LFL,2026.0,0.0,3.0,16.02,Red,top,Nazgul,Crvena zvezda Esports,0.0,Olaf,Rumble,Jayce,Varus,Braum,Ornn,1927.0,0.0,1.0,4.0,3.0,9.0,27.0,0.0,0.0,0.0,0.0,1.0,0.2802,1.1209,0.0,0.0,14.0,4.0,0.0,43.0,12706.0,8499.0,264.629,12450.0,312.0,306.0,6.0,9.7146,4215.0,5495.0,103.0,3300.0,5118.0,91.0,915.0,377.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,6252.0,9369.0,159.0,5238.0,8693.0,139.0,1014.0,676.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,8493.0,12727.0,218.0,7373.0,11751.0,172.0,1120.0,976.0,46.0,1.0,1.0,1.0,3.0,0.0,1.0,10817.0,16631.0,286.0,9743.0,15612.0,241.0,1074.0,1019.0,45.0,1.0,1.0,1.0,3.0,0.0,1.0
LOLTMNT01_333287,complete,LJL,2026.0,0.0,1.0,16.01,Red,top,Septico1,GnG Amazigh,0.0,Olaf,Jayce,Orianna,Neeko,Akali,Taliyah,1687.0,1.0,8.0,1.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,1.0,0.5335,0.6758,0.0,0.0,11.0,5.0,1.0,29.0,15499.0,11782.0,419.0397,12825.0,302.0,296.0,6.0,10.741,4823.0,6023.0,105.0,2936.0,4879.0,70.0,1887.0,1144.0,35.0,3.0,0.0,0.0,0.0,0.0,2.0,7507.0,10268.0,171.0,4219.0,6773.0,105.0,3288.0,3495.0,66.0,3.0,0.0,0.0,0.0,0.0,2.0,10232.0,13686.0,233.0,5920.0,10096.0,151.0,4312.0,3590.0,82.0,4.0,0.0,0.0,0.0,0.0,3.0,12242.0,16152.0,273.0,7574.0,12862.0,198.0,4668.0,3290.0,75.0,5.0,0.0,1.0,0.0,1.0,3.0
