gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Life,DN SOOPers,0.0,Pantheon,Jayce,Azir,Orianna,Ambessa,Nautilus,1888.0,1.0,1.0,5.0,9.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,0.6038,0.8581,0.0,0.0,57.0,14.0,12.0,121.0,8375.0,4248.0,135.0,7435.0,28.0,28.0,0.0,0.8898,2582.0,2526.0,14.0,2477.0,2876.0,16.0,105.0,-350.0,-2.0,0.0,1.0,1.0,0.0,1.0,0.0,3634.0,3240.0,17.0,4449.0,3561.0,19.0,-815.0,-321.0,-2.0,0.0,1.0,2.0,2.0,1.0,0.0,5098.0,5140.0,22.0,5670.0,5083.0,20.0,-572.0,57.0,2.0,0.0,5.0,2.0,2.0,3.0,2.0,6572.0,6026.0,25.0,7003.0,6330.0,22.0,-431.0,-304.0,3.0,1.0,5.0,4.0,2.0,5.0,3.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Lucid,Dplus Kia,0.0,Pantheon,Azir,Jayce,Vi,Rakan,Nautilus,1530.0,1.0,9.0,2.0,12.0,27.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0588,1.3333,1.0,0.0,8.0,8.0,9.0,43.0,12604.0,9207.0,361.0588,11275.0,179.0,18.0,161.0,7.0196,4330.0,3988.0,72.0,3964.0,3744.0,80.0,366.0,244.0,-8.0,2.0,2.0,1.0,1.0,1.0,1.0,6426.0,6656.0,113.0,6053.0,6077.0,122.0,373.0,579.0,-9.0,3.0,5.0,2.0,2.0,1.0,2.0,8686.0,9440.0,149.0,9068.0,9122.0,160.0,-382.0,318.0,-11.0,4.0,6.0,2.0,4.0,1.0,2.0,12178.0,13139.0,178.0,10891.0,10974.0,186.0,1287.0,2165.0,-8.0,8.0,10.0,2.0,5.0,2.0,4.0
LOLTMNT03_336246,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Painter,T1 Esports Academy,1.0,Pantheon,Akali,Malphite,Jarvan IV,Rakan,Kai'Sa,2109.0,0.0,4.0,8.0,2.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2845,0.7966,0.0,1.0,18.0,6.0,15.0,61.0,12053.0,7475.0,212.66,12710.0,206.0,15.0,191.0,5.8606,3166.0,3553.0,64.0,3718.0,3933.0,74.0,-552.0,-380.0,-10.0,0.0,0.0,1.0,1.0,1.0,0.0,5332.0,6088.0,97.0,5717.0,6684.0,118.0,-385.0,-596.0,-21.0,2.0,0.0,2.0,2.0,1.0,1.0,7884.0,8748.0,130.0,7990.0,9122.0,158.0,-106.0,-374.0,-28.0,4.0,2.0,4.0,3.0,3.0,2.0,9421.0,10571.0,160.0,10119.0,11479.0,199.0,-698.0,-908.0,-39.0,4.0,2.0,5.0,4.0,3.0,2.0
LOLTMNT03_336395,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Canyon,Gen.G,1.0,Pantheon,Neeko,Malphite,Varus,Lulu,Bard,1783.0,1.0,3.0,2.0,6.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5384,0.774,0.0,1.0,13.0,8.0,10.0,52.0,11451.0,7538.0,253.6624,9775.0,206.0,8.0,198.0,6.9321,3141.0,3329.0,62.0,3666.0,3776.0,72.0,-525.0,-447.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,5155.0,6239.0,104.0,5474.0,6492.0,119.0,-319.0,-253.0,-15.0,1.0,0.0,1.0,1.0,0.0,0.0,7150.0,9192.0,145.0,6879.0,8290.0,148.0,271.0,902.0,-3.0,1.0,1.0,1.0,1.0,0.0,1.0,9298.0,11684.0,183.0,9352.0,11085.0,173.0,-54.0,599.0,10.0,2.0,2.0,2.0,2.0,2.0,3.0
LOLTMNT03_337429,complete,HLL,2026.0,0.0,2.0,16.01,Blue,jng,Raptor,BNK FEARX,0.0,Pantheon,Rumble,Jayce,Jarvan IV,Nocturne,Xin Zhao,1732.0,1.0,5.0,2.0,9.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6582,1.0393,1.0,0.0,11.0,7.0,9.0,54.0,13358.0,9549.0,330.7968,11725.0,226.0,13.0,213.0,7.8291,4124.0,4498.0,81.0,3901.0,4181.0,78.0,223.0,317.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,5904.0,7117.0,129.0,5678.0,6782.0,115.0,226.0,335.0,14.0,2.0,0.0,0.0,1.0,1.0,0.0,8784.0,9781.0,161.0,8811.0,9373.0,151.0,-27.0,408.0,10.0,4.0,3.0,1.0,4.0,2.0,1.0,10968.0,12657.0,203.0,10515.0,11221.0,177.0,453.0,1436.0,26.0,5.0,4.0,2.0,5.0,3.0,2.0
LOLTMNT03_337603,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Winner,DRX Challengers,0.0,Pantheon,Rumble,Orianna,Akali,Jhin,Yunara,1810.0,0.0,5.0,7.0,6.0,16.0,28.0,1.0,0.0,0.0,0.0,0.0,0.5304,1.4586,0.0,0.0,13.0,8.0,10.0,67.0,10669.0,6701.0,222.1326,9400.0,173.0,11.0,162.0,5.7348,3999.0,3361.0,61.0,3773.0,3710.0,73.0,226.0,-349.0,-12.0,3.0,2.0,1.0,1.0,1.0,1.0,5618.0,5694.0,99.0,5456.0,6112.0,103.0,162.0,-418.0,-4.0,3.0,2.0,1.0,1.0,3.0,2.0,7424.0,7353.0,120.0,7222.0,8940.0,132.0,202.0,-1587.0,-12.0,4.0,4.0,3.0,1.0,8.0,3.0,9217.0,9461.0,144.0,9248.0,11996.0,155.0,-31.0,-2535.0,-11.0,5.0,6.0,5.0,2.0,12.0,4.0
LOLTMNT05_172145,complete,LIT,2026.0,0.0,3.0,16.01,Blue,jng,Husha,Ground Zero Gaming,1.0,Pantheon,Jarvan IV,Neeko,Nocturne,Kennen,Sylas,1750.0,0.0,2.0,4.0,2.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0286,0.0,0.0,11.0,11.0,7.0,52.0,10417.0,6571.0,225.2914,10175.0,199.0,24.0,175.0,6.8229,3146.0,3206.0,63.0,4290.0,4459.0,83.0,-1144.0,-1253.0,-20.0,0.0,1.0,1.0,2.0,2.0,0.0,5486.0,6136.0,104.0,6229.0,6887.0,119.0,-743.0,-751.0,-15.0,1.0,1.0,1.0,2.0,4.0,1.0,7883.0,9333.0,154.0,8565.0,10323.0,168.0,-682.0,-990.0,-14.0,2.0,1.0,1.0,2.0,5.0,1.0,9652.0,11607.0,190.0,10407.0,12865.0,201.0,-755.0,-1258.0,-11.0,2.0,2.0,2.0,2.0,7.0,2.0
LOLTMNT01_321834,complete,LCP,2026.0,0.0,1.0,16.01,Blue,jng,Oner,T1,0.0,Pantheon,Jayce,Azir,Varus,Rell,Nautilus,2205.0,0.0,4.0,3.0,2.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3537,0.7891,0.0,1.0,16.0,11.0,13.0,59.0,13184.0,8410.0,228.8435,13025.0,249.0,25.0,224.0,6.7755,3629.0,3857.0,74.0,3682.0,4350.0,79.0,-53.0,-493.0,-5.0,1.0,0.0,0.0,0.0,1.0,0.0,5784.0,6560.0,119.0,5414.0,7137.0,120.0,370.0,-577.0,-1.0,2.0,0.0,0.0,0.0,2.0,0.0,7844.0,9327.0,164.0,7832.0,10308.0,174.0,12.0,-981.0,-10.0,3.0,0.0,1.0,1.0,3.0,0.0,9485.0,11289.0,199.0,9385.0,12468.0,210.0,100.0,-1179.0,-11.0,3.0,0.0,1.0,1.0,3.0,0.0
LOLTMNT06_164234,complete,LEC,2026.0,0.0,2.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Pantheon,Neeko,Malphite,Akali,Thresh,LeBlanc,1742.0,1.0,6.0,2.0,11.0,20.0,6.0,1.0,1.0,0.0,0.0,1.0,0.6889,0.8955,1.0,0.0,15.0,7.0,6.0,57.0,13344.0,9515.0,327.7268,11500.0,191.0,25.0,166.0,6.5786,4355.0,3965.0,71.0,3188.0,3484.0,69.0,1167.0,481.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5909.0,5397.0,94.0,5191.0,6226.0,109.0,718.0,-829.0,-15.0,3.0,1.0,1.0,1.0,1.0,0.0,8580.0,8739.0,145.0,7055.0,8502.0,144.0,1525.0,237.0,1.0,3.0,4.0,2.0,1.0,4.0,0.0,10769.0,11125.0,168.0,8613.0,10419.0,173.0,2156.0,706.0,-5.0,5.0,7.0,2.0,1.0,5.0,1.0
LOLTMNT03_337847,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,jng,Raptor,BNK FEARX,1.0,Pantheon,Neeko,Malphite,Gwen,Poppy,Yunara,1913.0,1.0,5.0,4.0,7.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.9409,0.0,0.0,10.0,7.0,10.0,37.0,13536.0,9358.0,293.5076,12600.0,196.0,14.0,182.0,6.1474,3585.0,4561.0,87.0,3916.0,4222.0,78.0,-331.0,339.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,4961.0,6002.0,116.0,6668.0,7076.0,126.0,-1707.0,-1074.0,-10.0,0.0,0.0,1.0,3.0,2.0,0.0,7514.0,9086.0,150.0,9440.0,10052.0,168.0,-1926.0,-966.0,-18.0,1.0,2.0,2.0,6.0,3.0,1.0,9968.0,11691.0,173.0,11828.0,13645.0,218.0,-1860.0,-1954.0,-45.0,3.0,2.0,3.0,7.0,4.0,1.0
