gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,Haruhiro,P11 Esports,0.0,Rumble,Azir,Taliyah,Zaahen,Yunara,Alistar,1451.0,0.0,0.0,5.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.827,0.0,0.0,10.0,2.0,2.0,22.0,7000.0,3764.0,155.6444,6750.0,173.0,173.0,0.0,7.1537,3262.0,4759.0,83.0,3971.0,5495.0,84.0,-709.0,-736.0,-1.0,0.0,0.0,2.0,2.0,1.0,0.0,4569.0,6171.0,109.0,6911.0,9818.0,148.0,-2342.0,-3647.0,-39.0,0.0,0.0,3.0,3.0,1.0,0.0,6173.0,9914.0,157.0,8740.0,12649.0,183.0,-2567.0,-2735.0,-26.0,0.0,0.0,3.0,4.0,1.0,0.0,7000.0,11139.0,173.0,11407.0,15820.0,207.0,-4407.0,-4681.0,-34.0,0.0,0.0,5.0,7.0,6.0,0.0
LOLTMNT03_335649,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Haetae,T1 Esports Academy,1.0,Rumble,Poppy,Malphite,Varus,Kai'Sa,Lulu,1926.0,0.0,2.0,5.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2181,0.9346,0.0,0.0,16.0,2.0,4.0,45.0,11200.0,6995.0,217.9128,10700.0,269.0,269.0,0.0,8.3801,3312.0,5038.0,86.0,3130.0,5025.0,83.0,182.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5012.0,8939.0,143.0,4731.0,8623.0,135.0,281.0,316.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.0,13556.0,203.0,6535.0,11542.0,186.0,1043.0,2014.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,9150.0,16439.0,242.0,8338.0,15281.0,238.0,812.0,1158.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,NuQ,Frites Esports Club,1.0,Rumble,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,12.0,4.0,8.0,35.0,12.0,2.0,0.0,0.0,0.0,1.0,1.2674,1.7019,0.0,0.0,10.0,3.0,4.0,36.0,13980.0,10324.0,373.8322,12650.0,203.0,196.0,7.0,7.3506,3900.0,5366.0,89.0,2298.0,4002.0,34.0,1602.0,1364.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,6962.0,9635.0,134.0,4062.0,7083.0,66.0,2900.0,2552.0,68.0,4.0,1.0,1.0,1.0,0.0,4.0,10159.0,13340.0,168.0,7250.0,10163.0,102.0,2909.0,3177.0,66.0,8.0,2.0,2.0,3.0,0.0,6.0,12416.0,15669.0,190.0,9548.0,11752.0,106.0,2868.0,3917.0,84.0,11.0,5.0,4.0,6.0,1.0,8.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,NuQ,Frites Esports Club,1.0,Rumble,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,7.0,1.0,8.0,26.0,12.0,0.0,0.0,0.0,0.0,1.0,0.825,1.2057,0.0,0.0,8.0,3.0,3.0,34.0,14498.0,10365.0,328.8736,13775.0,223.0,223.0,0.0,7.0756,3932.0,5458.0,84.0,2920.0,4888.0,70.0,1012.0,570.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,6663.0,9960.0,132.0,4094.0,7185.0,92.0,2569.0,2775.0,40.0,3.0,1.0,0.0,0.0,0.0,3.0,9208.0,13272.0,173.0,5922.0,10334.0,145.0,3286.0,2938.0,28.0,5.0,2.0,0.0,0.0,0.0,3.0,10991.0,16484.0,203.0,7528.0,13030.0,183.0,3463.0,3454.0,20.0,5.0,5.0,0.0,0.0,1.0,4.0
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,John P,mCon esports,1.0,Rumble,Aatrox,Orianna,Gwen,Kai'Sa,Varus,2507.0,0.0,3.0,4.0,5.0,22.0,26.0,1.0,0.0,0.0,0.0,0.0,0.5265,1.1488,0.0,0.0,18.0,3.0,7.0,47.0,15556.0,10166.0,243.3028,14975.0,349.0,345.0,4.0,8.3526,3341.0,5472.0,87.0,3380.0,5411.0,91.0,-39.0,61.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5118.0,9524.0,149.0,5009.0,9039.0,145.0,109.0,485.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6680.0,12390.0,195.0,6995.0,12431.0,200.0,-315.0,-41.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,8402.0,14989.0,239.0,8911.0,15971.0,232.0,-509.0,-982.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Juzu,Dragons Esports,1.0,Rumble,Hecarim,Sion,Caitlyn,Renekton,K'Sante,1975.0,1.0,3.0,4.0,12.0,24.0,19.0,1.0,0.0,0.0,0.0,1.0,0.7291,1.3063,0.0,0.0,16.0,4.0,3.0,55.0,12602.0,8297.0,252.0608,11025.0,240.0,228.0,12.0,7.2911,3373.0,4757.0,79.0,3361.0,5087.0,74.0,12.0,-330.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,4955.0,8240.0,125.0,5049.0,8844.0,123.0,-94.0,-604.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,7365.0,11088.0,168.0,6514.0,11761.0,161.0,851.0,-673.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,9313.0,14655.0,198.0,8426.0,14516.0,195.0,887.0,139.0,3.0,1.0,7.0,3.0,1.0,7.0,3.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,DuDu,DN SOOPers,0.0,Rumble,Jayce,Azir,Orianna,Ambessa,Nautilus,1888.0,1.0,4.0,0.0,5.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6038,0.8581,0.0,0.0,13.0,8.0,6.0,52.0,13654.0,9527.0,302.7648,12525.0,335.0,323.0,12.0,10.6462,3733.0,5586.0,105.0,3368.0,5100.0,89.0,365.0,486.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,5426.0,9375.0,162.0,5115.0,8875.0,147.0,311.0,500.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,7979.0,13869.0,223.0,6937.0,12157.0,201.0,1042.0,1712.0,22.0,1.0,1.0,0.0,0.0,0.0,1.0,10015.0,17408.0,283.0,8606.0,15273.0,246.0,1409.0,2135.0,37.0,1.0,1.0,0.0,0.0,1.0,1.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Blue,top,Siwoo,Dplus Kia,0.0,Rumble,Azir,Jayce,Vi,Rakan,Nautilus,1530.0,1.0,2.0,1.0,6.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0588,1.3333,0.0,0.0,13.0,2.0,4.0,26.0,11096.0,7699.0,301.9216,9900.0,249.0,249.0,0.0,9.7647,3415.0,5242.0,93.0,3204.0,5183.0,80.0,211.0,59.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5122.0,8736.0,144.0,4661.0,8699.0,125.0,461.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7675.0,12156.0,205.0,6546.0,12152.0,186.0,1129.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.0,16081.0,243.0,7808.0,14226.0,209.0,2985.0,1855.0,34.0,2.0,4.0,1.0,0.0,0.0,2.0
LOLTMNT06_164122,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Rumble,Akali,Naafiri,Jayce,Poppy,Taric,1403.0,1.0,9.0,1.0,5.0,26.0,5.0,2.0,0.0,0.0,0.0,1.0,1.1119,1.3257,0.0,0.0,7.0,2.0,2.0,20.0,11026.0,7888.0,337.3343,9000.0,203.0,192.0,11.0,8.6814,3906.0,5381.0,92.0,3046.0,4558.0,76.0,860.0,823.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5916.0,9135.0,129.0,4248.0,6690.0,102.0,1668.0,2445.0,27.0,3.0,1.0,0.0,0.0,0.0,3.0,8431.0,12604.0,179.0,6067.0,9112.0,143.0,2364.0,3492.0,36.0,5.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT06_164126,complete,AL,2026.0,0.0,3.0,16.01,Blue,top,Color,Anubis Gaming,1.0,Rumble,Fiora,Qiyana,Taliyah,Corki,Miss Fortune,1670.0,1.0,5.0,1.0,7.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9341,1.2575,0.0,0.0,12.0,0.0,1.0,25.0,11749.0,8067.0,289.8323,9275.0,230.0,230.0,0.0,8.2635,3370.0,5335.0,92.0,3174.0,5211.0,82.0,196.0,124.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5817.0,8665.0,138.0,4731.0,8435.0,131.0,1086.0,230.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,8013.0,12128.0,188.0,6764.0,11098.0,172.0,1249.0,1030.0,16.0,2.0,3.0,0.0,1.0,0.0,2.0,10291.0,14987.0,208.0,9952.0,14925.0,230.0,339.0,62.0,-22.0,4.0,5.0,1.0,2.0,0.0,3.0
