gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319634,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Fishue,Dynasty,0.0,Sejuani,Zed,Trundle,Orianna,Gwen,Fiora,2120.0,1.0,4.0,0.0,18.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7358,0.9057,1.0,0.0,4.0,9.0,4.0,33.0,13390.0,8790.0,248.7736,11450.0,193.0,17.0,176.0,5.4623,3258.0,3719.0,69.0,3439.0,4109.0,82.0,-181.0,-390.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4679.0,5553.0,98.0,5303.0,5853.0,106.0,-624.0,-300.0,-8.0,0.0,0.0,0.0,2.0,0.0,0.0,6758.0,8343.0,132.0,7074.0,8511.0,137.0,-316.0,-168.0,-5.0,1.0,3.0,0.0,2.0,1.0,1.0,9202.0,12160.0,169.0,8929.0,11147.0,178.0,273.0,1013.0,-9.0,2.0,6.0,0.0,2.0,2.0,1.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Fishue,Dynasty,0.0,Sejuani,Tristana,Zoe,Fiora,Jax,Kayle,1396.0,0.0,0.0,5.0,3.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1719,1.0745,0.0,0.0,2.0,2.0,1.0,12.0,6654.0,3531.0,151.7622,6575.0,120.0,4.0,116.0,5.1576,3350.0,3888.0,69.0,4384.0,4795.0,97.0,-1034.0,-907.0,-28.0,0.0,1.0,2.0,1.0,2.0,0.0,4806.0,5918.0,101.0,6433.0,7965.0,149.0,-1627.0,-2047.0,-48.0,0.0,2.0,2.0,1.0,3.0,0.0,6140.0,7767.0,116.0,9501.0,12492.0,210.0,-3361.0,-4725.0,-94.0,0.0,3.0,3.0,2.0,4.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_319644,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Baumeef,Once Upon A Team,0.0,Sejuani,Karma,Lucian,Taliyah,Aphelios,Miss Fortune,2507.0,1.0,2.0,7.0,17.0,26.0,22.0,0.0,0.0,0.0,0.0,1.0,0.6223,1.1488,3.0,0.0,10.0,13.0,9.0,68.0,15052.0,9662.0,231.2405,14825.0,252.0,34.0,218.0,6.0311,3608.0,3925.0,69.0,3869.0,4062.0,77.0,-261.0,-137.0,-8.0,1.0,0.0,0.0,1.0,0.0,0.0,4961.0,5512.0,100.0,5736.0,6904.0,122.0,-775.0,-1392.0,-22.0,1.0,0.0,0.0,1.0,1.0,0.0,7025.0,8784.0,142.0,7392.0,8891.0,154.0,-367.0,-107.0,-12.0,1.0,2.0,0.0,1.0,1.0,2.0,8656.0,11495.0,169.0,9627.0,11479.0,181.0,-971.0,16.0,-12.0,1.0,3.0,2.0,2.0,4.0,2.0
LOLTMNT01_318874,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Cboi,Frites Esports Club,0.0,Sejuani,Malphite,Ryze,Kai'Sa,Yunara,Sivir,1387.0,1.0,4.0,0.0,17.0,34.0,5.0,0.0,0.0,0.0,0.0,1.0,1.4708,1.6871,1.0,0.0,8.0,1.0,4.0,25.0,10210.0,7105.0,307.354,9150.0,162.0,8.0,154.0,7.0079,4173.0,4674.0,80.0,3298.0,3679.0,72.0,875.0,995.0,8.0,1.0,5.0,0.0,0.0,0.0,1.0,6305.0,7755.0,125.0,5302.0,5446.0,96.0,1003.0,2309.0,29.0,2.0,9.0,0.0,1.0,1.0,2.0,8751.0,10365.0,152.0,7928.0,8368.0,139.0,823.0,1997.0,13.0,4.0,13.0,0.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,1.0,Sejuani,Neeko,Malphite,Jarvan IV,Ezreal,Gnar,2078.0,0.0,3.0,2.0,6.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4909,0.8373,0.0,0.0,16.0,5.0,4.0,39.0,12183.0,7668.0,221.4052,11950.0,291.0,291.0,0.0,8.4023,3441.0,4608.0,73.0,3389.0,4286.0,73.0,52.0,322.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4881.0,8018.0,114.0,5300.0,7581.0,122.0,-419.0,437.0,-8.0,1.0,2.0,1.0,1.0,0.0,2.0,6661.0,11601.0,168.0,7355.0,10653.0,173.0,-694.0,948.0,-5.0,2.0,2.0,1.0,1.0,0.0,2.0,8506.0,13917.0,212.0,10138.0,14620.0,237.0,-1632.0,-703.0,-25.0,3.0,3.0,1.0,2.0,2.0,2.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,jng,hammerul,ALMO Players,0.0,Sejuani,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,5.0,0.0,16.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,0.8549,1.2665,2.0,0.0,5.0,0.0,3.0,25.0,13537.0,9396.0,297.4987,11825.0,209.0,26.0,183.0,6.6174,4153.0,3634.0,62.0,3483.0,4294.0,85.0,670.0,-660.0,-23.0,3.0,2.0,0.0,0.0,0.0,1.0,6123.0,6871.0,107.0,5388.0,7242.0,129.0,735.0,-371.0,-22.0,3.0,5.0,0.0,0.0,1.0,2.0,7554.0,8961.0,133.0,7127.0,9487.0,165.0,427.0,-526.0,-32.0,3.0,7.0,0.0,0.0,2.0,3.0,9915.0,12936.0,168.0,8891.0,12332.0,206.0,1024.0,604.0,-38.0,4.0,11.0,0.0,0.0,3.0,4.0
LOLTMNT04_147233,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,Fishue,Dynasty,1.0,Sejuani,Rumble,Akali,Jayce,Olaf,Ornn,1490.0,0.0,2.0,6.0,4.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4027,1.8121,0.0,1.0,4.0,4.0,3.0,17.0,7588.0,4273.0,172.0671,7075.0,122.0,6.0,116.0,4.9128,3614.0,3770.0,67.0,3852.0,4737.0,89.0,-238.0,-967.0,-22.0,1.0,1.0,1.0,0.0,3.0,1.0,5392.0,6150.0,98.0,6983.0,8656.0,147.0,-1591.0,-2506.0,-49.0,2.0,1.0,2.0,2.0,6.0,1.0,6413.0,7412.0,105.0,9676.0,11673.0,179.0,-3263.0,-4261.0,-74.0,2.0,3.0,4.0,4.0,10.0,2.0,7588.0,9792.0,122.0,12487.0,14917.0,197.0,-4899.0,-5125.0,-75.0,2.0,4.0,6.0,6.0,16.0,2.0
LOLTMNT05_172129,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,Hatred,ZennIT,0.0,Sejuani,Jayce,Cho'Gath,Orianna,Rumble,Sion,2077.0,1.0,0.0,2.0,17.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6355,0.8955,1.0,0.0,13.0,10.0,10.0,55.0,12367.0,7854.0,226.8849,10500.0,207.0,15.0,192.0,5.9798,3339.0,3810.0,73.0,3251.0,3738.0,73.0,88.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5119.0,6157.0,106.0,5131.0,5941.0,112.0,-12.0,216.0,-6.0,0.0,3.0,0.0,0.0,1.0,1.0,7100.0,8385.0,135.0,7038.0,8755.0,153.0,62.0,-370.0,-18.0,0.0,6.0,1.0,0.0,4.0,3.0,8928.0,11300.0,172.0,8371.0,10379.0,179.0,557.0,921.0,-7.0,0.0,8.0,1.0,0.0,5.0,4.0
LOLTMNT01_320336,complete,ROL,2026.0,0.0,2.0,16.01,Blue,jng,Nikolex,Howl Esports,1.0,Sejuani,Gwen,Jarvan IV,K'Sante,Kog'Maw,Vayne,1738.0,1.0,3.0,4.0,19.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.9666,1.6916,0.0,0.0,8.0,4.0,4.0,42.0,11763.0,7942.0,274.1772,10650.0,174.0,9.0,165.0,6.0069,4127.0,4323.0,83.0,3742.0,4259.0,81.0,385.0,64.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,5766.0,6682.0,112.0,6019.0,6441.0,114.0,-253.0,241.0,-2.0,1.0,7.0,0.0,2.0,4.0,3.0,7772.0,9379.0,136.0,8970.0,8888.0,143.0,-1198.0,491.0,-7.0,2.0,11.0,2.0,5.0,6.0,6.0,9382.0,11649.0,158.0,10704.0,11556.0,175.0,-1322.0,93.0,-17.0,2.0,13.0,3.0,5.0,8.0,6.0
LOLTMNT03_337495,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Joekie,mCon esports,0.0,Sejuani,Azir,Orianna,Jayce,Lulu,Syndra,3396.0,0.0,2.0,10.0,9.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.477,1.1661,3.0,1.0,9.0,21.0,7.0,78.0,18947.0,11744.0,207.4912,16475.0,319.0,58.0,261.0,5.636,3324.0,3537.0,70.0,3593.0,3651.0,63.0,-269.0,-114.0,7.0,0.0,2.0,3.0,1.0,3.0,1.0,5358.0,5763.0,102.0,5918.0,6301.0,100.0,-560.0,-538.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,7240.0,8513.0,144.0,8040.0,9579.0,147.0,-800.0,-1066.0,-3.0,1.0,4.0,3.0,3.0,5.0,1.0,8901.0,10740.0,167.0,9484.0,11422.0,177.0,-583.0,-682.0,-10.0,1.0,5.0,3.0,3.0,5.0,2.0
