gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Ferrari,Myth Esports,1.0,Skarner,Rengar,Aurelion Sol,Tristana,Vayne,Dr. Mundo,1807.0,0.0,0.0,3.0,4.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2988,0.7969,0.0,0.0,7.0,0.0,6.0,22.0,8955.0,4993.0,165.7886,9100.0,177.0,4.0,173.0,5.8771,3239.0,3437.0,66.0,4569.0,4170.0,74.0,-1330.0,-733.0,-8.0,0.0,1.0,1.0,2.0,1.0,1.0,4835.0,6085.0,102.0,6673.0,7197.0,123.0,-1838.0,-1112.0,-21.0,0.0,2.0,1.0,3.0,1.0,2.0,6397.0,8197.0,129.0,9036.0,10310.0,171.0,-2639.0,-2113.0,-42.0,0.0,3.0,2.0,3.0,3.0,2.0,7959.0,11008.0,165.0,11141.0,13451.0,225.0,-3182.0,-2443.0,-60.0,0.0,4.0,2.0,3.0,3.0,2.0
LOLTMNT01_324588,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,jng,Fishue,Dynasty,1.0,Skarner,Rumble,Malphite,Ornn,Cho'Gath,Fiora,2375.0,0.0,4.0,6.0,7.0,17.0,22.0,1.0,0.0,0.0,0.0,1.0,0.4295,0.9853,0.0,1.0,2.0,8.0,1.0,28.0,12867.0,7746.0,195.6884,12375.0,182.0,21.0,161.0,4.5979,3718.0,3954.0,75.0,4008.0,4611.0,84.0,-290.0,-657.0,-9.0,1.0,0.0,1.0,1.0,3.0,1.0,5615.0,6161.0,109.0,5646.0,6965.0,119.0,-31.0,-804.0,-10.0,2.0,1.0,1.0,1.0,5.0,2.0,7184.0,7822.0,138.0,7454.0,9529.0,160.0,-270.0,-1707.0,-22.0,2.0,1.0,1.0,1.0,5.0,2.0,8444.0,9376.0,153.0,10062.0,13210.0,189.0,-1618.0,-3834.0,-36.0,2.0,3.0,3.0,3.0,11.0,3.0
LOLTMNT01_331650,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,SGooB,Divernex,1.0,Skarner,Draven,Ambessa,Twitch,Lulu,Rakan,1403.0,1.0,0.0,0.0,13.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.8125,0.9408,1.0,0.0,8.0,9.0,7.0,47.0,9595.0,6457.0,276.1368,8175.0,174.0,12.0,162.0,7.4412,3785.0,4302.0,75.0,3120.0,3160.0,64.0,665.0,1142.0,11.0,0.0,5.0,0.0,0.0,0.0,2.0,5612.0,6893.0,123.0,4800.0,5643.0,105.0,812.0,1250.0,18.0,0.0,5.0,0.0,0.0,0.0,2.0,7868.0,9748.0,151.0,6174.0,7654.0,134.0,1694.0,2094.0,17.0,0.0,11.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Blender,Bamboo Juice,1.0,Skarner,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,7.0,1.0,19.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9122,1.1824,1.0,0.0,2.0,5.0,2.0,20.0,13734.0,9835.0,332.2635,11850.0,221.0,11.0,210.0,7.4662,4215.0,4433.0,78.0,3283.0,3431.0,66.0,932.0,1002.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0,6397.0,7015.0,116.0,4612.0,5314.0,94.0,1785.0,1701.0,22.0,3.0,6.0,0.0,0.0,1.0,1.0,8413.0,9756.0,152.0,5931.0,7653.0,120.0,2482.0,2103.0,32.0,3.0,9.0,0.0,0.0,1.0,2.0,10942.0,13098.0,185.0,7420.0,9874.0,148.0,3522.0,3224.0,37.0,5.0,11.0,1.0,0.0,2.0,3.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,UEC Fahren,UEC eSports PlusPlus,0.0,Skarner,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,0.0,4.0,7.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3741,1.2245,0.0,1.0,9.0,16.0,4.0,48.0,9067.0,5193.0,176.6327,8300.0,171.0,26.0,145.0,5.8163,3155.0,3129.0,59.0,4825.0,4416.0,78.0,-1670.0,-1287.0,-19.0,0.0,2.0,2.0,4.0,1.0,0.0,4731.0,5357.0,94.0,7437.0,7853.0,131.0,-2706.0,-2496.0,-37.0,0.0,2.0,2.0,6.0,1.0,0.0,6622.0,8472.0,139.0,9332.0,9959.0,164.0,-2710.0,-1487.0,-25.0,0.0,2.0,2.0,6.0,2.0,0.0,7981.0,10235.0,160.0,13200.0,14182.0,212.0,-5219.0,-3947.0,-52.0,0.0,4.0,3.0,11.0,4.0,0.0
LOLTMNT04_152540,complete,LIT,2026.0,0.0,1.0,16.02,Red,jng,UEC Fahren,UEC eSports PlusPlus,0.0,Skarner,Jayce,Rumble,Varus,Jarvan IV,Malphite,1640.0,0.0,0.0,5.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1098,0.9878,0.0,1.0,7.0,5.0,6.0,35.0,7614.0,3993.0,146.0854,7150.0,147.0,14.0,133.0,5.378,3042.0,3211.0,61.0,4297.0,3988.0,74.0,-1255.0,-777.0,-13.0,0.0,0.0,1.0,2.0,1.0,0.0,4549.0,5471.0,93.0,6669.0,7779.0,113.0,-2120.0,-2308.0,-20.0,0.0,1.0,1.0,5.0,1.0,0.0,6112.0,7929.0,123.0,9366.0,11665.0,174.0,-3254.0,-3736.0,-51.0,0.0,1.0,2.0,5.0,4.0,0.0,7329.0,9686.0,147.0,12904.0,15726.0,222.0,-5575.0,-6040.0,-75.0,0.0,1.0,3.0,7.0,6.0,0.0
LOLTMNT01_335948,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Boukada,Shifters,0.0,Skarner,Jayce,Jarvan IV,Orianna,Alistar,Nautilus,2000.0,1.0,0.0,4.0,11.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.42,0.87,0.0,1.0,10.0,12.0,7.0,59.0,10866.0,6510.0,195.3,10275.0,196.0,16.0,180.0,5.88,3430.0,3966.0,79.0,3311.0,3946.0,73.0,119.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5440.0,6634.0,123.0,5725.0,6591.0,110.0,-285.0,43.0,13.0,0.0,2.0,1.0,2.0,1.0,1.0,6861.0,8411.0,144.0,7145.0,8245.0,137.0,-284.0,166.0,7.0,0.0,5.0,2.0,2.0,2.0,2.0,8372.0,10072.0,170.0,9228.0,10789.0,173.0,-856.0,-717.0,-3.0,0.0,6.0,3.0,3.0,2.0,2.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Red,jng,Blender,Bamboo Juice,0.0,Skarner,Ambessa,Yunara,Jayce,Rakan,Nautilus,1916.0,1.0,15.0,4.0,17.0,39.0,14.0,2.0,0.0,0.0,0.0,1.0,1.2213,1.6597,2.0,0.0,6.0,10.0,5.0,41.0,16706.0,12522.0,392.1294,13058.0,237.0,20.0,217.0,7.4217,4293.0,4076.0,74.0,3309.0,3841.0,72.0,984.0,235.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,6988.0,7630.0,117.0,5828.0,6811.0,112.0,1160.0,819.0,5.0,6.0,4.0,3.0,1.0,2.0,5.0,8814.0,10188.0,154.0,8368.0,9669.0,158.0,446.0,519.0,-4.0,6.0,5.0,3.0,1.0,2.0,5.0,11232.0,14221.0,181.0,9720.0,11534.0,179.0,1512.0,2687.0,2.0,8.0,14.0,4.0,1.0,4.0,8.0
LOLTMNT04_152705,complete,LIT,2026.0,1.0,2.0,16.02,Blue,jng,Sheshwa,Huskies Esports,1.0,Skarner,Sion,Smolder,Malphite,Orianna,Galio,2093.0,1.0,6.0,3.0,10.0,23.0,18.0,1.0,0.0,0.0,0.0,0.0,0.6593,1.1753,1.0,0.0,25.0,6.0,11.0,68.0,14186.0,9641.0,276.3784,13325.0,213.0,17.0,196.0,6.1061,3759.0,3618.0,60.0,3580.0,3896.0,69.0,179.0,-278.0,-9.0,2.0,0.0,1.0,1.0,0.0,0.0,5823.0,5914.0,89.0,5653.0,6435.0,107.0,170.0,-521.0,-18.0,4.0,0.0,2.0,2.0,2.0,1.0,7446.0,8513.0,124.0,7778.0,9555.0,157.0,-332.0,-1042.0,-33.0,4.0,0.0,2.0,2.0,3.0,1.0,8910.0,10263.0,144.0,9227.0,11472.0,185.0,-317.0,-1209.0,-41.0,4.0,1.0,3.0,2.0,5.0,1.0
LOLTMNT01_338423,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,Sheshwa,Huskies Esports,1.0,Skarner,Jayce,Vladimir,Varus,Xin Zhao,Wukong,2099.0,0.0,0.0,8.0,6.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3144,1.0291,0.0,1.0,13.0,8.0,7.0,49.0,10749.0,6191.0,176.97,10375.0,193.0,18.0,175.0,5.5169,3369.0,3969.0,75.0,3953.0,4572.0,85.0,-584.0,-603.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,4557.0,5494.0,98.0,6272.0,7180.0,122.0,-1715.0,-1686.0,-24.0,0.0,0.0,2.0,2.0,1.0,0.0,6128.0,7990.0,120.0,9352.0,10963.0,159.0,-3224.0,-2973.0,-39.0,0.0,1.0,4.0,5.0,3.0,0.0,7672.0,10298.0,144.0,11257.0,13983.0,197.0,-3585.0,-3685.0,-53.0,0.0,2.0,6.0,5.0,5.0,0.0
