gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164125,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Shack,Axolotl,0.0,Swain,Olaf,Wukong,Smolder,Sivir,Tristana,1603.0,1.0,2.0,2.0,18.0,31.0,11.0,0.0,0.0,0.0,0.0,1.0,1.1603,1.5721,0.0,0.0,8.0,3.0,0.0,18.0,11441.0,7895.0,295.5084,10700.0,225.0,219.0,6.0,8.4217,3628.0,4779.0,89.0,3175.0,4783.0,84.0,453.0,-4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,5838.0,7705.0,141.0,4741.0,7389.0,135.0,1097.0,316.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,8104.0,10886.0,186.0,6434.0,9722.0,164.0,1670.0,1164.0,22.0,1.0,8.0,1.0,1.0,2.0,3.0,10445.0,14048.0,217.0,9149.0,12898.0,200.0,1296.0,1150.0,17.0,1.0,14.0,2.0,2.0,4.0,4.0
LOLTMNT01_320496,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Simpli,Arctic Pandas,0.0,Swain,Varus,Jayce,Malphite,Poppy,Wukong,2183.0,1.0,3.0,5.0,21.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.7146,1.2643,0.0,0.0,21.0,4.0,9.0,36.0,14235.0,9506.0,261.2735,13425.0,265.0,265.0,0.0,7.2836,3445.0,4929.0,88.0,3621.0,4948.0,84.0,-176.0,-19.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,5054.0,7364.0,135.0,5904.0,7990.0,142.0,-850.0,-626.0,-7.0,0.0,2.0,2.0,2.0,1.0,0.0,7903.0,10493.0,178.0,7704.0,10954.0,190.0,199.0,-461.0,-12.0,2.0,4.0,3.0,2.0,5.0,0.0,9800.0,12873.0,206.0,8966.0,13005.0,215.0,834.0,-132.0,-9.0,3.0,9.0,4.0,2.0,8.0,2.0
LOLTMNT01_324613,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,mid,krabbypatty,Ruddy Corporation,0.0,Swain,Varus,Zed,Rakan,Bard,Kha'Zix,1319.0,0.0,1.0,3.0,2.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2274,1.2282,0.0,0.0,7.0,1.0,0.0,11.0,6671.0,3705.0,168.5368,5950.0,156.0,156.0,0.0,7.0963,2932.0,4664.0,71.0,4595.0,5599.0,100.0,-1663.0,-935.0,-29.0,0.0,0.0,1.0,2.0,1.0,0.0,4873.0,7722.0,119.0,7214.0,9168.0,153.0,-2341.0,-1446.0,-34.0,1.0,0.0,1.0,5.0,1.0,0.0,6285.0,9657.0,150.0,10148.0,11744.0,204.0,-3863.0,-2087.0,-54.0,1.0,2.0,2.0,7.0,2.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_150459,complete,CCWS,2026.0,0.0,1.0,16.02,Red,mid,nuc,Shifters,1.0,Swain,Renekton,Pantheon,Jayce,Rakan,Orianna,1977.0,0.0,3.0,3.0,4.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3642,0.9408,0.0,0.0,14.0,4.0,2.0,34.0,12629.0,8320.0,252.5038,12500.0,277.0,277.0,0.0,8.4067,3394.0,4802.0,93.0,4054.0,5031.0,97.0,-660.0,-229.0,-4.0,0.0,0.0,0.0,1.0,1.0,0.0,5308.0,7445.0,150.0,5953.0,8309.0,153.0,-645.0,-864.0,-3.0,0.0,0.0,0.0,1.0,2.0,0.0,8127.0,10769.0,214.0,8150.0,11218.0,207.0,-23.0,-449.0,7.0,2.0,0.0,0.0,1.0,3.0,0.0,10124.0,13437.0,245.0,9674.0,13400.0,243.0,450.0,37.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0
LOLTMNT01_331405,complete,ROL,2026.0,0.0,2.0,16.02,Red,mid,Dolis,ZennIT,0.0,Swain,Rengar,Ambessa,Syndra,Nautilus,Sion,2476.0,1.0,1.0,3.0,7.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4604,0.7512,0.0,0.0,23.0,9.0,9.0,64.0,14041.0,8714.0,211.1632,14425.0,311.0,310.0,1.0,7.5363,3085.0,4496.0,78.0,3643.0,5193.0,87.0,-558.0,-697.0,-9.0,0.0,0.0,1.0,1.0,1.0,0.0,5043.0,7534.0,136.0,5579.0,8148.0,143.0,-536.0,-614.0,-7.0,0.0,0.0,1.0,1.0,2.0,0.0,6682.0,10118.0,185.0,7549.0,11227.0,189.0,-867.0,-1109.0,-4.0,0.0,0.0,1.0,1.0,3.0,0.0,8212.0,12394.0,231.0,8700.0,12388.0,211.0,-488.0,6.0,20.0,0.0,0.0,1.0,1.0,3.0,1.0
LOLTMNT04_152149,complete,LIT,2026.0,1.0,4.0,16.02,Red,mid,Shack,Axolotl,0.0,Swain,Sion,Bard,Sylas,Kled,Shen,1861.0,1.0,4.0,4.0,11.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8705,1.2896,0.0,0.0,12.0,0.0,1.0,29.0,11565.0,7493.0,241.5798,11025.0,224.0,224.0,0.0,7.2219,3098.0,4825.0,77.0,4045.0,5425.0,103.0,-947.0,-600.0,-26.0,0.0,0.0,3.0,1.0,2.0,0.0,5069.0,7762.0,118.0,6100.0,8191.0,152.0,-1031.0,-429.0,-34.0,1.0,3.0,3.0,2.0,3.0,1.0,7390.0,11189.0,158.0,7174.0,9413.0,174.0,216.0,1776.0,-16.0,2.0,8.0,3.0,2.0,4.0,3.0,8905.0,15151.0,199.0,8747.0,11659.0,214.0,158.0,3492.0,-15.0,2.0,8.0,3.0,2.0,5.0,3.0
LOLTMNT01_333254,complete,LJL,2026.0,0.0,3.0,16.02,Blue,mid,HongSuo,Deep Cross Gaming,0.0,Swain,Orianna,Zyra,Neeko,Sylas,Dr. Mundo,1714.0,1.0,2.0,1.0,11.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0502,1.2602,0.0,0.0,17.0,6.0,9.0,44.0,11112.0,7340.0,256.9428,9700.0,235.0,235.0,0.0,8.2264,3336.0,4799.0,88.0,3247.0,5035.0,83.0,89.0,-236.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5647.0,7690.0,149.0,4698.0,7417.0,127.0,949.0,273.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7169.0,9712.0,182.0,6250.0,9815.0,176.0,919.0,-103.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,9272.0,12480.0,219.0,8578.0,12387.0,203.0,694.0,93.0,16.0,1.0,6.0,1.0,1.0,3.0,1.0
LOLTMNT02_349319,complete,CBLOL,2026.0,0.0,5.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Swain,Poppy,Neeko,Jarvan IV,Yorick,Cho'Gath,1965.0,0.0,0.0,3.0,6.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3359,0.855,0.0,0.0,18.0,6.0,6.0,46.0,10860.0,6576.0,200.7939,10450.0,273.0,273.0,0.0,8.3359,3218.0,5117.0,85.0,4022.0,5861.0,98.0,-804.0,-744.0,-13.0,0.0,0.0,1.0,1.0,1.0,0.0,5133.0,7973.0,134.0,5588.0,8659.0,150.0,-455.0,-686.0,-16.0,0.0,2.0,1.0,1.0,1.0,0.0,7238.0,11420.0,195.0,8119.0,11065.0,187.0,-881.0,355.0,8.0,0.0,3.0,1.0,2.0,3.0,1.0,8944.0,14577.0,230.0,9745.0,13312.0,232.0,-801.0,1265.0,-2.0,0.0,6.0,1.0,2.0,3.0,1.0
LOLTMNT05_175360,complete,AL,2026.0,0.0,1.0,16.03,Red,mid,Karaage,Fast8,0.0,Swain,Orianna,Ambessa,Jayce,Neeko,Gwen,1313.0,1.0,5.0,0.0,12.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4166,1.508,0.0,0.0,7.0,3.0,2.0,17.0,10627.0,7673.0,350.6321,9250.0,182.0,182.0,0.0,8.3168,4007.0,5409.0,99.0,2859.0,4500.0,68.0,1148.0,909.0,31.0,0.0,4.0,0.0,0.0,0.0,2.0,7018.0,8495.0,146.0,4305.0,7030.0,109.0,2713.0,1465.0,37.0,2.0,8.0,0.0,0.0,1.0,4.0,9463.0,10551.0,172.0,5663.0,8957.0,143.0,3800.0,1594.0,29.0,4.0,9.0,0.0,0.0,1.0,7.0,,,,,,,,,,,,,,,
LOLTMNT02_356296,complete,HW,2026.0,0.0,3.0,16.03,Blue,mid,Dehaste,Lupus Esports,1.0,Swain,Malphite,Pantheon,Jarvan IV,Nocturne,Trundle,1799.0,1.0,9.0,4.0,8.0,21.0,22.0,1.0,1.0,0.0,0.0,0.0,0.7004,1.4341,0.0,0.0,12.0,5.0,0.0,33.0,14503.0,10557.0,352.0956,13950.0,249.0,249.0,0.0,8.3046,3629.0,4823.0,89.0,3678.0,4828.0,76.0,-49.0,-5.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,5566.0,6768.0,123.0,5989.0,8218.0,128.0,-423.0,-1450.0,-5.0,2.0,1.0,4.0,2.0,4.0,2.0,8450.0,9871.0,180.0,8389.0,11448.0,191.0,61.0,-1577.0,-11.0,3.0,1.0,4.0,2.0,5.0,2.0,12333.0,13632.0,228.0,10665.0,13943.0,227.0,1668.0,-311.0,1.0,7.0,3.0,4.0,6.0,5.0,3.0
