gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335791,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Bluffing,Hanwha Life Esports Challengers,1.0,Thresh,Poppy,Malphite,Gnar,Ambessa,Varus,1428.0,0.0,0.0,4.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.084,0.7143,0.0,0.0,33.0,12.0,8.0,75.0,5367.0,2178.0,91.5126,5110.0,35.0,35.0,0.0,1.4706,2356.0,2539.0,15.0,2492.0,2951.0,16.0,-136.0,-412.0,-1.0,0.0,1.0,2.0,0.0,3.0,1.0,3519.0,3842.0,27.0,4049.0,4564.0,26.0,-530.0,-722.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,4651.0,5324.0,33.0,5492.0,5943.0,28.0,-841.0,-619.0,5.0,0.0,1.0,3.0,1.0,7.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_337109,complete,LCK,2026.0,0.0,3.0,16.01,Blue,sup,Ghost,KT Rolster,0.0,Thresh,Vi,Neeko,Orianna,Nautilus,Leona,2197.0,1.0,0.0,6.0,12.0,17.0,14.0,0.0,0.0,0.0,0.0,1.0,0.4643,0.8466,0.0,0.0,63.0,23.0,14.0,162.0,9370.0,4613.0,125.9809,8250.0,38.0,38.0,0.0,1.0378,2463.0,3075.0,16.0,2302.0,2606.0,20.0,161.0,469.0,-4.0,0.0,2.0,0.0,0.0,0.0,1.0,3650.0,3853.0,23.0,3530.0,3270.0,25.0,120.0,583.0,-2.0,0.0,3.0,2.0,0.0,2.0,2.0,5022.0,5193.0,28.0,5045.0,4054.0,27.0,-23.0,1139.0,1.0,0.0,5.0,3.0,1.0,4.0,3.0,6153.0,6183.0,31.0,6256.0,4858.0,32.0,-103.0,1325.0,-1.0,0.0,6.0,4.0,1.0,6.0,4.0
LOLTMNT05_171125,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,marlon,Anubis Gaming,1.0,Thresh,Fiora,Qiyana,Malphite,Karma,Ezreal,3053.0,0.0,0.0,7.0,15.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,0.3144,0.963,0.0,0.0,106.0,24.0,16.0,212.0,12570.0,6066.0,119.2139,11390.0,44.0,44.0,0.0,0.8647,2238.0,2308.0,8.0,2414.0,2433.0,11.0,-176.0,-125.0,-3.0,0.0,0.0,1.0,0.0,2.0,0.0,3398.0,3823.0,15.0,3690.0,4027.0,21.0,-292.0,-204.0,-6.0,0.0,1.0,1.0,0.0,4.0,0.0,4566.0,5177.0,25.0,5308.0,4807.0,28.0,-742.0,370.0,-3.0,0.0,1.0,2.0,1.0,6.0,0.0,5685.0,6313.0,29.0,6445.0,5877.0,29.0,-760.0,436.0,0.0,0.0,2.0,3.0,1.0,8.0,0.0
LOLTMNT03_337298,complete,LCK,2026.0,0.0,2.0,16.01,Red,sup,Bluffing,Hanwha Life Esports Challengers,1.0,Thresh,Poppy,Neeko,Syndra,Bard,Ezreal,1388.0,1.0,0.0,3.0,19.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,0.9078,1.0375,0.0,0.0,36.0,7.0,10.0,80.0,7461.0,4354.0,188.2133,5905.0,23.0,23.0,0.0,0.9942,2461.0,2908.0,15.0,2275.0,2720.0,16.0,186.0,188.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4238.0,4179.0,21.0,3526.0,3594.0,23.0,712.0,585.0,-2.0,0.0,4.0,1.0,0.0,1.0,1.0,5954.0,6661.0,22.0,4749.0,5311.0,26.0,1205.0,1350.0,-4.0,0.0,11.0,3.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,sup,Vsta,Fukuoka SoftBank HAWKS gaming,1.0,Thresh,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,0.0,4.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,78.0,10.0,12.0,137.0,9472.0,4364.0,110.5276,8735.0,32.0,32.0,0.0,0.8105,2207.0,2451.0,16.0,2187.0,3088.0,18.0,20.0,-637.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3352.0,3913.0,23.0,3346.0,4311.0,26.0,6.0,-398.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,4690.0,5421.0,25.0,4541.0,5235.0,33.0,149.0,186.0,-8.0,0.0,3.0,0.0,0.0,0.0,0.0,5999.0,7426.0,25.0,5618.0,6660.0,35.0,381.0,766.0,-10.0,0.0,5.0,0.0,0.0,0.0,1.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Gaeng,DetonatioN FocusMe,1.0,Thresh,Ambessa,Jarvan IV,Akali,Seraphine,Neeko,1691.0,0.0,0.0,5.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2129,0.887,0.0,0.0,47.0,7.0,12.0,88.0,6207.0,2482.0,88.0662,5850.0,34.0,34.0,0.0,1.2064,2320.0,2932.0,20.0,3312.0,3407.0,10.0,-992.0,-475.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,3386.0,4334.0,26.0,5174.0,5022.0,15.0,-1788.0,-688.0,11.0,0.0,1.0,3.0,3.0,2.0,0.0,4423.0,5552.0,31.0,6256.0,5755.0,17.0,-1833.0,-203.0,14.0,0.0,1.0,3.0,3.0,2.0,0.0,5615.0,8133.0,34.0,7943.0,8015.0,23.0,-2328.0,118.0,11.0,0.0,2.0,4.0,3.0,3.0,0.0
LOLTMNT03_336978,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,0.0,Thresh,Rumble,Ryze,Neeko,Lulu,Blitzcrank,1634.0,1.0,1.0,1.0,21.0,29.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0649,1.3219,0.0,0.0,53.0,16.0,12.0,117.0,8630.0,5021.0,184.3696,7605.0,31.0,31.0,0.0,1.1383,2601.0,2850.0,14.0,2690.0,2504.0,18.0,-89.0,346.0,-4.0,0.0,1.0,1.0,0.0,2.0,1.0,3847.0,4241.0,22.0,3834.0,3627.0,31.0,13.0,614.0,-9.0,0.0,2.0,1.0,0.0,2.0,2.0,5872.0,6299.0,26.0,5156.0,5057.0,37.0,716.0,1242.0,-11.0,1.0,7.0,1.0,0.0,2.0,4.0,7403.0,8304.0,30.0,6437.0,6895.0,40.0,966.0,1409.0,-10.0,1.0,16.0,1.0,0.0,5.0,6.0
LOLTMNT06_163424,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Keria,T1,0.0,Thresh,Jayce,Varus,Jarvan IV,Renekton,Rek'Sai,1766.0,1.0,4.0,4.0,17.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.8834,1.4609,0.0,0.0,56.0,5.0,16.0,102.0,9746.0,5868.0,199.3658,9445.0,25.0,25.0,0.0,0.8494,3056.0,2870.0,18.0,2711.0,2711.0,14.0,345.0,159.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5318.0,4704.0,23.0,4334.0,4281.0,17.0,984.0,423.0,6.0,3.0,10.0,2.0,2.0,4.0,4.0,6597.0,5712.0,24.0,5918.0,6303.0,19.0,679.0,-591.0,5.0,4.0,10.0,2.0,2.0,9.0,5.0,7861.0,7718.0,25.0,7099.0,8064.0,19.0,762.0,-346.0,6.0,4.0,11.0,3.0,2.0,13.0,6.0
LOLTMNT06_164458,complete,LEC,2026.0,0.0,2.0,16.01,Red,sup,Vsta,Fukuoka SoftBank HAWKS gaming,0.0,Thresh,Nocturne,Orianna,Ambessa,Aurora,Galio,1909.0,0.0,0.0,3.0,5.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3143,0.88,0.0,0.0,57.0,16.0,13.0,125.0,7655.0,3485.0,109.5338,6675.0,36.0,36.0,0.0,1.1315,2354.0,2743.0,15.0,2344.0,2955.0,12.0,10.0,-212.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3513.0,3666.0,26.0,3331.0,3699.0,17.0,182.0,-33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.0,5257.0,31.0,4563.0,4507.0,25.0,356.0,750.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6099.0,6266.0,34.0,6323.0,7686.0,33.0,-224.0,-1420.0,1.0,0.0,3.0,2.0,0.0,6.0,1.0
LOLTMNT06_164556,complete,LFL,2026.0,0.0,2.0,16.01,Blue,sup,Seal,Frites Esports Club,1.0,Thresh,Bel'Veth,Zed,Malphite,Ezreal,Corki,1908.0,1.0,4.0,5.0,15.0,30.0,16.0,0.0,0.0,0.0,0.0,1.0,0.9434,1.4465,1.0,0.0,64.0,6.0,13.0,109.0,10397.0,6229.0,195.8805,9265.0,38.0,34.0,4.0,1.195,3050.0,2953.0,21.0,2288.0,1899.0,8.0,762.0,1054.0,13.0,2.0,2.0,1.0,0.0,3.0,2.0,4512.0,4296.0,31.0,3652.0,3843.0,19.0,860.0,453.0,12.0,2.0,4.0,3.0,0.0,6.0,3.0,6076.0,5895.0,34.0,5063.0,5414.0,22.0,1013.0,481.0,12.0,3.0,5.0,3.0,0.0,9.0,4.0,7321.0,7920.0,38.0,6284.0,6831.0,23.0,1037.0,1089.0,15.0,3.0,6.0,4.0,0.0,11.0,5.0
LOLTMNT03_341109,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Effort,KT Rolster Challengers,0.0,Thresh,Orianna,Azir,Varus,Bard,Neeko,2153.0,1.0,0.0,2.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.9754,0.0,0.0,85.0,16.0,26.0,166.0,9668.0,5000.0,139.3405,8680.0,46.0,46.0,0.0,1.2819,2419.0,2597.0,21.0,2277.0,2979.0,23.0,142.0,-382.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3718.0,3898.0,34.0,3334.0,4298.0,30.0,384.0,-400.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,5035.0,5232.0,40.0,4798.0,5998.0,33.0,237.0,-766.0,7.0,0.0,4.0,2.0,0.0,7.0,1.0,6660.0,7901.0,42.0,6010.0,7427.0,37.0,650.0,474.0,5.0,0.0,7.0,2.0,0.0,7.0,3.0
LOLTMNT03_341143,complete,LCK,2026.0,0.0,3.0,16.01,Blue,sup,Loopy,Dplus Kia Challengers,1.0,Thresh,Vi,Ambessa,Nautilus,Lulu,Kennen,2476.0,0.0,1.0,4.0,9.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.7512,0.0,0.0,70.0,10.0,16.0,141.0,10231.0,4904.0,118.8368,9685.0,39.0,39.0,0.0,0.9451,2372.0,3194.0,23.0,2256.0,3072.0,16.0,116.0,122.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3798.0,5217.0,33.0,3473.0,4477.0,21.0,325.0,740.0,12.0,0.0,3.0,1.0,0.0,2.0,2.0,4858.0,6526.0,34.0,4825.0,6713.0,25.0,33.0,-187.0,9.0,0.0,3.0,1.0,0.0,4.0,2.0,6091.0,7954.0,35.0,5927.0,8048.0,27.0,164.0,-94.0,8.0,0.0,5.0,1.0,0.0,4.0,2.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Blue,sup,IHEBIC,Dragons Esports,1.0,Thresh,Malphite,Cassiopeia,Neeko,Renekton,Mel,1732.0,1.0,0.0,2.0,13.0,22.0,6.0,0.0,0.0,0.0,0.0,1.0,0.7621,0.97,0.0,0.0,50.0,12.0,15.0,106.0,7741.0,3932.0,136.2125,7290.0,37.0,37.0,0.0,1.2818,2330.0,2580.0,17.0,2284.0,2820.0,20.0,46.0,-240.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3613.0,4031.0,27.0,3502.0,3870.0,31.0,111.0,161.0,-4.0,0.0,4.0,1.0,0.0,2.0,1.0,4985.0,5166.0,29.0,4587.0,5217.0,34.0,398.0,-51.0,-5.0,0.0,6.0,2.0,0.0,3.0,1.0,6358.0,6512.0,35.0,5627.0,7530.0,35.0,731.0,-1018.0,0.0,0.0,7.0,2.0,0.0,4.0,1.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,Cherry,Andromeda Gaming,0.0,Thresh,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,0.0,2.0,19.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8834,1.1891,0.0,0.0,38.0,12.0,3.0,100.0,8497.0,4619.0,156.9309,7040.0,39.0,39.0,0.0,1.325,2484.0,2949.0,22.0,2225.0,2695.0,17.0,259.0,254.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3734.0,4217.0,28.0,3278.0,4136.0,25.0,456.0,81.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,5275.0,6429.0,33.0,4607.0,6052.0,27.0,668.0,377.0,6.0,0.0,11.0,2.0,1.0,0.0,4.0,6588.0,7595.0,36.0,5865.0,8202.0,29.0,723.0,-607.0,7.0,0.0,11.0,2.0,1.0,1.0,4.0
LOLTMNT01_326451,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,sup,Vsta,Fukuoka SoftBank HAWKS gaming,1.0,Thresh,Malphite,Jax,Gwen,Nautilus,Azir,2167.0,0.0,0.0,5.0,11.0,15.0,24.0,0.0,0.0,0.0,0.0,1.0,0.4153,1.0798,0.0,0.0,61.0,10.0,16.0,127.0,8411.0,3715.0,102.8611,8010.0,30.0,30.0,0.0,0.8306,2505.0,2853.0,17.0,2265.0,2548.0,16.0,240.0,305.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,3770.0,4269.0,24.0,3447.0,3440.0,23.0,323.0,829.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,4817.0,5493.0,26.0,4695.0,5030.0,29.0,122.0,463.0,-3.0,0.0,5.0,2.0,0.0,3.0,1.0,5879.0,6735.0,27.0,6160.0,7355.0,31.0,-281.0,-620.0,-4.0,0.0,5.0,2.0,0.0,6.0,1.0
