gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Zephyr,BNK FEARX Youth,1.0,Trundle,Poppy,Vi,Ambessa,Varus,Neeko,2188.0,0.0,1.0,5.0,17.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5759,1.2066,2.0,0.0,16.0,19.0,13.0,88.0,13726.0,8987.0,246.4442,13558.0,212.0,27.0,185.0,5.8135,3639.0,4324.0,80.0,3435.0,3844.0,73.0,204.0,480.0,7.0,0.0,2.0,1.0,0.0,1.0,1.0,5338.0,6724.0,120.0,5994.0,6505.0,112.0,-656.0,219.0,8.0,0.0,3.0,2.0,3.0,1.0,2.0,6811.0,8406.0,147.0,7420.0,8217.0,137.0,-609.0,189.0,10.0,0.0,5.0,3.0,3.0,4.0,3.0,9352.0,11411.0,173.0,9474.0,10772.0,168.0,-122.0,639.0,5.0,1.0,9.0,4.0,4.0,7.0,5.0
LOLTMNT01_318863,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Ferrari,Myth Esports,0.0,Trundle,Diana,Lucian,Rumble,Orianna,Ziggs,1935.0,0.0,4.0,5.0,9.0,14.0,18.0,0.0,0.0,0.0,0.0,1.0,0.4341,0.9922,0.0,1.0,7.0,7.0,5.0,44.0,12235.0,8012.0,248.4341,11358.0,184.0,15.0,169.0,5.7054,4262.0,4203.0,74.0,3417.0,4020.0,80.0,845.0,183.0,-6.0,2.0,2.0,0.0,0.0,0.0,1.0,6491.0,6712.0,110.0,5320.0,7037.0,128.0,1171.0,-325.0,-18.0,3.0,3.0,1.0,0.0,0.0,1.0,8437.0,9197.0,138.0,7023.0,9003.0,159.0,1414.0,194.0,-21.0,3.0,4.0,1.0,0.0,1.0,1.0,9912.0,11125.0,169.0,8962.0,11593.0,200.0,950.0,-468.0,-31.0,3.0,5.0,2.0,0.0,3.0,2.0
LOLTMNT01_319687,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Hatred,ZennIT,1.0,Trundle,Jayce,Aphelios,Sion,K'Sante,Braum,2278.0,1.0,3.0,1.0,13.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6058,0.8955,0.0,2.0,9.0,14.0,6.0,72.0,15276.0,10353.0,272.6866,13833.0,269.0,29.0,240.0,7.0852,3552.0,4116.0,77.0,3674.0,4106.0,75.0,-122.0,10.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5503.0,6871.0,118.0,5008.0,6047.0,105.0,495.0,824.0,13.0,0.0,2.0,0.0,0.0,1.0,0.0,8198.0,10904.0,172.0,6726.0,8868.0,142.0,1472.0,2036.0,30.0,1.0,4.0,0.0,0.0,2.0,1.0,10823.0,14062.0,209.0,8727.0,12247.0,184.0,2096.0,1815.0,25.0,3.0,5.0,0.0,0.0,3.0,1.0
LOLTMNT03_337511,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Hatred,ZennIT,0.0,Trundle,Orianna,Aatrox,Neeko,Tristana,Corki,1519.0,1.0,2.0,0.0,12.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6715,0.9085,1.0,0.0,6.0,7.0,4.0,36.0,10901.0,7527.0,297.314,9583.0,187.0,15.0,172.0,7.3864,3743.0,3845.0,76.0,3229.0,3847.0,67.0,514.0,-2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,5840.0,6509.0,123.0,4575.0,5574.0,97.0,1265.0,935.0,26.0,1.0,2.0,0.0,0.0,0.0,1.0,7884.0,9831.0,163.0,6931.0,8795.0,139.0,953.0,1036.0,24.0,1.0,4.0,0.0,1.0,1.0,2.0,10443.0,12898.0,187.0,8172.0,10289.0,156.0,2271.0,2609.0,31.0,2.0,8.0,0.0,1.0,3.0,3.0
LOLTMNT01_320481,complete,LCP,2026.0,0.0,1.0,16.01,Red,jng,Ferrari,Myth Esports,0.0,Trundle,Azir,Orianna,Viktor,Leona,Lulu,1851.0,0.0,1.0,3.0,6.0,11.0,23.0,0.0,0.0,0.0,0.0,1.0,0.3566,1.1021,0.0,1.0,11.0,7.0,8.0,46.0,10255.0,6203.0,201.0697,9483.0,190.0,15.0,175.0,6.1588,3588.0,4185.0,78.0,3458.0,3988.0,74.0,130.0,197.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,5264.0,6364.0,116.0,4884.0,5879.0,100.0,380.0,485.0,16.0,0.0,3.0,0.0,0.0,3.0,1.0,7074.0,8819.0,141.0,7047.0,8738.0,132.0,27.0,81.0,9.0,1.0,3.0,2.0,0.0,9.0,1.0,8744.0,10915.0,167.0,8617.0,11458.0,159.0,127.0,-543.0,8.0,1.0,4.0,2.0,0.0,10.0,1.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Red,jng,Silva2,3BL Esports,0.0,Trundle,Neeko,Jayce,Rengar,Viktor,Xayah,2059.0,1.0,10.0,3.0,12.0,33.0,17.0,1.0,0.0,0.0,0.0,1.0,0.9616,1.457,0.0,0.0,7.0,11.0,7.0,39.0,16468.0,11992.0,349.4512,13808.0,248.0,38.0,210.0,7.2268,3987.0,3582.0,64.0,4558.0,3531.0,63.0,-571.0,51.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,6967.0,6675.0,102.0,6556.0,6437.0,105.0,411.0,238.0,-3.0,7.0,3.0,1.0,4.0,2.0,5.0,9848.0,9252.0,128.0,8161.0,7729.0,122.0,1687.0,1523.0,6.0,9.0,4.0,2.0,4.0,3.0,7.0,11514.0,11510.0,167.0,10912.0,10302.0,150.0,602.0,1208.0,17.0,9.0,4.0,2.0,5.0,4.0,7.0
LOLTMNT01_322090,complete,LCP,2026.0,0.0,2.0,16.01,Red,jng,GIDEON,HANJIN BRION,1.0,Trundle,Neeko,Jarvan IV,Malphite,Cassiopeia,Syndra,1506.0,1.0,4.0,1.0,10.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,0.7968,1.1952,0.0,0.0,8.0,13.0,7.0,48.0,11373.0,8025.0,319.7211,10408.0,163.0,19.0,144.0,6.494,3418.0,3017.0,58.0,3576.0,3285.0,57.0,-158.0,-268.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,5263.0,5952.0,106.0,5344.0,5942.0,98.0,-81.0,10.0,8.0,1.0,0.0,1.0,1.0,3.0,1.0,8147.0,9444.0,149.0,7588.0,8813.0,140.0,559.0,631.0,9.0,2.0,0.0,1.0,1.0,5.0,1.0,11311.0,13252.0,163.0,8624.0,9949.0,150.0,2687.0,3303.0,13.0,4.0,10.0,1.0,1.0,7.0,4.0
LOLTMNT01_323370,complete,ROL,2026.0,0.0,3.0,16.01,Blue,jng,Sylvie,KT Rolster Challengers,1.0,Trundle,Neeko,Malphite,Pantheon,LeBlanc,Qiyana,2132.0,1.0,3.0,2.0,23.0,30.0,19.0,1.0,0.0,0.0,0.0,0.0,0.8443,1.379,1.0,0.0,11.0,18.0,9.0,64.0,14454.0,9829.0,276.6135,13758.0,229.0,23.0,206.0,6.4447,3546.0,3780.0,72.0,3822.0,4034.0,69.0,-276.0,-254.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,5437.0,6441.0,123.0,5948.0,6552.0,105.0,-511.0,-111.0,18.0,0.0,2.0,0.0,2.0,5.0,1.0,7816.0,9587.0,158.0,7571.0,8721.0,138.0,245.0,866.0,20.0,0.0,11.0,1.0,2.0,6.0,3.0,9645.0,12001.0,186.0,9790.0,11166.0,166.0,-145.0,835.0,20.0,1.0,13.0,2.0,3.0,10.0,3.0
LOLTMNT02_344044,complete,ROL,2026.0,0.0,2.0,16.01,Red,jng,Goliah,NextGeneration Esports,0.0,Trundle,Sion,Hecarim,Malphite,Alistar,Braum,1879.0,1.0,6.0,2.0,12.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.7664,1.3092,1.0,0.0,8.0,13.0,6.0,57.0,13699.0,9590.0,306.2267,11733.0,222.0,23.0,199.0,7.0889,4045.0,3402.0,61.0,3843.0,4433.0,84.0,202.0,-1031.0,-23.0,3.0,0.0,1.0,0.0,4.0,2.0,6522.0,6072.0,94.0,5351.0,6186.0,116.0,1171.0,-114.0,-22.0,5.0,5.0,1.0,0.0,5.0,4.0,8481.0,8459.0,139.0,7193.0,9282.0,162.0,1288.0,-823.0,-23.0,5.0,5.0,1.0,0.0,5.0,4.0,10430.0,10428.0,176.0,9351.0,11538.0,185.0,1079.0,-1110.0,-9.0,6.0,5.0,2.0,1.0,10.0,4.0
LOLTMNT06_166042,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,White,Unicorns of Love Sexy Edition,1.0,Trundle,Sylas,Jayce,Varus,Alistar,Neeko,2345.0,0.0,3.0,3.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1791,0.6397,0.0,2.0,9.0,15.0,8.0,61.0,13665.0,8606.0,220.1962,13233.0,207.0,21.0,186.0,5.2964,3629.0,4012.0,72.0,3431.0,3815.0,74.0,198.0,197.0,-2.0,1.0,0.0,0.0,0.0,1.0,1.0,5144.0,5935.0,106.0,5400.0,6295.0,110.0,-256.0,-360.0,-4.0,1.0,0.0,1.0,0.0,4.0,1.0,7057.0,7872.0,132.0,7338.0,8895.0,147.0,-281.0,-1023.0,-15.0,1.0,0.0,2.0,0.0,5.0,1.0,9539.0,10497.0,165.0,8681.0,10757.0,177.0,858.0,-260.0,-12.0,2.0,0.0,2.0,0.0,5.0,1.0
