gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337304,complete,LCK,2026.0,0.0,3.0,16.01,Red,mid,FIESTA,BNK FEARX Youth,1.0,Twisted Fate,Neeko,Pantheon,Vi,Gnar,Blitzcrank,1991.0,0.0,5.0,4.0,10.0,16.0,26.0,1.0,0.0,0.0,0.0,1.0,0.4822,1.2657,0.0,0.0,7.0,14.0,5.0,50.0,15446.0,11109.0,334.7765,13925.0,256.0,252.0,4.0,7.7147,4992.0,4769.0,91.0,3249.0,4746.0,83.0,1743.0,23.0,8.0,3.0,3.0,0.0,0.0,2.0,2.0,7004.0,6905.0,136.0,4873.0,7022.0,128.0,2131.0,-117.0,8.0,3.0,5.0,1.0,0.0,4.0,3.0,9177.0,9204.0,178.0,6470.0,9464.0,169.0,2707.0,-260.0,9.0,3.0,6.0,1.0,0.0,5.0,4.0,11294.0,13344.0,220.0,9913.0,13790.0,217.0,1381.0,-446.0,3.0,3.0,8.0,2.0,4.0,8.0,4.0
LOLTMNT03_339556,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,mid,ShowMaker,Dplus Kia,0.0,Twisted Fate,Orianna,Azir,Lulu,Xin Zhao,Wukong,1626.0,1.0,11.0,0.0,7.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,1.107,1.4022,0.0,0.0,12.0,7.0,2.0,36.0,17296.0,13703.0,505.6458,15110.0,256.0,253.0,3.0,9.4465,4629.0,5256.0,91.0,3476.0,4901.0,92.0,1153.0,355.0,-1.0,2.0,1.0,0.0,0.0,0.0,1.0,7723.0,8075.0,134.0,5574.0,7657.0,144.0,2149.0,418.0,-10.0,4.0,2.0,0.0,1.0,0.0,2.0,12224.0,11626.0,184.0,8197.0,10870.0,200.0,4027.0,756.0,-16.0,8.0,5.0,0.0,2.0,1.0,3.0,15483.0,16591.0,235.0,9472.0,12738.0,232.0,6011.0,3853.0,3.0,10.0,5.0,0.0,2.0,1.0,5.0
LOLTMNT04_151154,complete,TCL,2026.0,0.0,1.0,16.02,Blue,mid,Shack,Axolotl,1.0,Twisted Fate,Sion,Orianna,Bard,Ornn,Shen,1847.0,1.0,5.0,2.0,8.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.6822,1.007,0.0,0.0,11.0,4.0,2.0,28.0,15449.0,11406.0,370.5252,13150.0,249.0,247.0,2.0,8.0888,4068.0,5326.0,98.0,3505.0,5326.0,101.0,563.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6025.0,7726.0,138.0,6340.0,8931.0,153.0,-315.0,-1205.0,-15.0,1.0,1.0,2.0,3.0,0.0,0.0,7917.0,9969.0,176.0,7663.0,10732.0,178.0,254.0,-763.0,-2.0,1.0,2.0,2.0,3.0,3.0,1.0,11344.0,13976.0,215.0,9360.0,13172.0,215.0,1984.0,804.0,0.0,3.0,4.0,2.0,4.0,3.0,2.0
LOLTMNT05_175449,complete,TCL,2026.0,0.0,2.0,16.03,Blue,mid,Shack,Axolotl,1.0,Twisted Fate,Kindred,Orianna,Jax,Braum,Thresh,1937.0,0.0,2.0,7.0,1.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.4646,1.4559,0.0,0.0,12.0,3.0,2.0,25.0,11569.0,7342.0,227.4239,11550.0,206.0,206.0,0.0,6.381,3611.0,4498.0,83.0,3796.0,5438.0,94.0,-185.0,-940.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,5340.0,6438.0,116.0,7080.0,8352.0,138.0,-1740.0,-1914.0,-22.0,0.0,0.0,2.0,4.0,1.0,0.0,7055.0,8508.0,144.0,9877.0,11113.0,167.0,-2822.0,-2605.0,-23.0,1.0,1.0,3.0,8.0,3.0,0.0,9030.0,12307.0,178.0,12639.0,13877.0,208.0,-3609.0,-1570.0,-30.0,1.0,1.0,5.0,11.0,6.0,0.0
LOLTMNT05_175553,complete,TCL,2026.0,0.0,5.0,16.03,Red,mid,SeTab,Nongshim Esports Academy,0.0,Twisted Fate,Neeko,Aphelios,Gwen,Caitlyn,Ashe,1721.0,1.0,4.0,0.0,9.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5578,0.767,0.0,0.0,17.0,12.0,5.0,49.0,15078.0,11292.0,393.6781,13775.0,272.0,272.0,0.0,9.4829,4791.0,4910.0,83.0,3461.0,4795.0,89.0,1330.0,115.0,-6.0,2.0,1.0,0.0,0.0,1.0,0.0,7061.0,7838.0,138.0,5091.0,7531.0,136.0,1970.0,307.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,9514.0,11993.0,193.0,6830.0,9495.0,181.0,2684.0,2498.0,12.0,2.0,3.0,0.0,0.0,1.0,1.0,12844.0,15258.0,242.0,7891.0,10876.0,200.0,4953.0,4382.0,42.0,3.0,5.0,0.0,0.0,1.0,2.0
LOLTMNT05_176577,complete,LIT,2026.0,1.0,5.0,16.03,Red,mid,Cracker,Hanwha Life Esports Challengers,1.0,Twisted Fate,Poppy,Ezreal,Malphite,Milio,Miss Fortune,1770.0,0.0,2.0,3.0,2.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1695,0.8814,0.0,0.0,11.0,2.0,5.0,24.0,11388.0,7502.0,254.3051,10775.0,203.0,200.0,3.0,6.8814,3797.0,5145.0,92.0,3497.0,5426.0,92.0,300.0,-281.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5541.0,7662.0,134.0,5066.0,8128.0,141.0,475.0,-466.0,-7.0,0.0,0.0,0.0,0.0,2.0,0.0,6957.0,9503.0,163.0,7355.0,10833.0,174.0,-398.0,-1330.0,-11.0,0.0,0.0,1.0,1.0,4.0,0.0,9523.0,13115.0,188.0,9314.0,13939.0,214.0,209.0,-824.0,-26.0,1.0,1.0,2.0,2.0,6.0,0.0
LOLTMNT02_355400,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,mid,WGE Dooma,Way Gaming Esports,0.0,Twisted Fate,Kai'Sa,Dr. Mundo,Viktor,Ambessa,Nautilus,1929.0,0.0,9.0,3.0,13.0,25.0,14.0,1.0,0.0,0.0,0.0,0.0,0.7776,1.182,0.0,0.0,18.0,6.0,8.0,47.0,14944.0,10733.0,333.8414,13750.0,278.0,278.0,0.0,8.647,4173.0,5351.0,95.0,3489.0,4920.0,89.0,684.0,431.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,7247.0,7677.0,131.0,5267.0,7469.0,137.0,1980.0,208.0,-6.0,5.0,5.0,1.0,0.0,1.0,2.0,9816.0,10706.0,190.0,7608.0,10129.0,193.0,2208.0,577.0,-3.0,6.0,6.0,1.0,0.0,1.0,2.0,12413.0,13307.0,231.0,9663.0,12348.0,226.0,2750.0,959.0,5.0,9.0,9.0,1.0,2.0,2.0,3.0
LOLTMNT02_356487,complete,HLL,2026.0,0.0,5.0,16.03,Blue,mid,ShowMaker,Dplus Kia,0.0,Twisted Fate,Pantheon,Neeko,Yone,Syndra,Wukong,1803.0,1.0,1.0,2.0,5.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4326,0.6323,0.0,0.0,10.0,5.0,5.0,29.0,13567.0,9613.0,319.9002,12325.0,283.0,281.0,2.0,9.4176,3975.0,5109.0,101.0,3485.0,5450.0,101.0,490.0,-341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6481.0,8000.0,153.0,5716.0,8478.0,158.0,765.0,-478.0,-5.0,1.0,1.0,1.0,1.0,0.0,0.0,8399.0,10329.0,193.0,8200.0,11539.0,219.0,199.0,-1210.0,-26.0,1.0,1.0,1.0,1.0,0.0,0.0,10948.0,14911.0,248.0,10111.0,14740.0,282.0,837.0,171.0,-34.0,1.0,2.0,1.0,1.0,0.0,0.0
LOLTMNT05_177016,complete,LEC,2026.0,1.0,4.0,16.03,Red,mid,HongSuo,Deep Cross Gaming,0.0,Twisted Fate,Neeko,Orianna,LeBlanc,Sejuani,Malphite,1889.0,1.0,4.0,1.0,12.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.6035,0.7941,0.0,0.0,7.0,9.0,3.0,33.0,16430.0,12301.0,390.7147,15675.0,293.0,293.0,0.0,9.3065,4240.0,4742.0,94.0,3631.0,5265.0,102.0,609.0,-523.0,-8.0,0.0,2.0,0.0,0.0,1.0,0.0,6153.0,7715.0,141.0,5573.0,7653.0,152.0,580.0,62.0,-11.0,0.0,3.0,1.0,0.0,1.0,0.0,8777.0,12230.0,194.0,7631.0,10540.0,209.0,1146.0,1690.0,-15.0,1.0,5.0,1.0,0.0,2.0,1.0,12678.0,15205.0,237.0,9149.0,12753.0,250.0,3529.0,2452.0,-13.0,3.0,7.0,1.0,0.0,2.0,1.0
LOLTMNT05_178010,complete,LEC,2026.0,1.0,4.0,16.03,Blue,mid,VicLa,BNK FEARX,1.0,Twisted Fate,Bard,Nocturne,Karma,Lee Sin,Taliyah,1669.0,1.0,3.0,2.0,9.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.719,1.0785,0.0,0.0,6.0,7.0,0.0,23.0,13428.0,9748.0,350.4374,11640.0,262.0,250.0,12.0,9.4188,4722.0,5720.0,96.0,3829.0,4848.0,93.0,893.0,872.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,7002.0,8312.0,143.0,5465.0,7260.0,139.0,1537.0,1052.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,9663.0,12170.0,195.0,7576.0,10062.0,186.0,2087.0,2108.0,9.0,3.0,0.0,1.0,2.0,2.0,3.0,11618.0,14032.0,232.0,10350.0,12560.0,229.0,1268.0,1472.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
