gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163114,complete,AL,2026.0,0.0,2.0,16.01,Red,mid,Warner,BAAM Esports,0.0,Veigar,Rumble,Jarvan IV,Jayce,Ezreal,Caitlyn,1829.0,1.0,9.0,3.0,12.0,28.0,17.0,1.0,1.0,0.0,0.0,0.0,0.9185,1.4762,0.0,0.0,13.0,8.0,5.0,36.0,15000.0,10993.0,360.6233,12825.0,251.0,243.0,8.0,8.234,3768.0,5015.0,93.0,4108.0,4856.0,101.0,-340.0,159.0,-8.0,1.0,0.0,0.0,1.0,1.0,1.0,5939.0,7718.0,141.0,6295.0,7411.0,150.0,-356.0,307.0,-9.0,2.0,2.0,1.0,2.0,1.0,2.0,8173.0,9693.0,182.0,8890.0,12130.0,206.0,-717.0,-2437.0,-24.0,2.0,3.0,2.0,3.0,3.0,2.0,10257.0,14026.0,209.0,11674.0,14468.0,241.0,-1417.0,-442.0,-32.0,4.0,6.0,3.0,6.0,5.0,3.0
LOLTMNT01_327096,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Divine,EKO Esports,0.0,Veigar,Gwen,Akali,Naafiri,Alistar,Braum,1755.0,1.0,18.0,2.0,11.0,42.0,17.0,4.0,2.0,1.0,1.0,0.0,1.4359,2.0171,0.0,0.0,10.0,3.0,4.0,20.0,16802.0,12946.0,442.5983,14850.0,249.0,241.0,8.0,8.5128,4416.0,5211.0,92.0,3484.0,5265.0,100.0,932.0,-54.0,-8.0,2.0,1.0,0.0,0.0,0.0,2.0,6107.0,8157.0,148.0,6155.0,8486.0,163.0,-48.0,-329.0,-15.0,2.0,1.0,1.0,1.0,0.0,2.0,8502.0,12389.0,190.0,7938.0,11312.0,204.0,564.0,1077.0,-14.0,3.0,4.0,2.0,1.0,4.0,3.0,13251.0,15309.0,218.0,9017.0,12313.0,220.0,4234.0,2996.0,-2.0,13.0,8.0,2.0,1.0,4.0,6.0
LOLTMNT01_332441,complete,ROL,2026.0,0.0,2.0,16.02,Red,mid,D1verse,Howl Esports,0.0,Veigar,Varus,Orianna,Ryze,Olaf,Rell,2485.0,0.0,3.0,2.0,10.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3863,0.7485,0.0,0.0,17.0,4.0,5.0,46.0,19728.0,14383.0,347.2757,17725.0,434.0,429.0,5.0,10.4789,3553.0,5515.0,101.0,3677.0,5385.0,106.0,-124.0,130.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,5090.0,7636.0,140.0,5788.0,8338.0,165.0,-698.0,-702.0,-25.0,0.0,1.0,0.0,0.0,0.0,0.0,6571.0,9783.0,178.0,8351.0,10818.0,216.0,-1780.0,-1035.0,-38.0,0.0,3.0,1.0,0.0,0.0,0.0,8969.0,12298.0,219.0,10800.0,13721.0,267.0,-1831.0,-1423.0,-48.0,1.0,4.0,1.0,0.0,0.0,1.0
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,mid,EPTM Spinda,Epitomy Masters,1.0,Veigar,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,2.0,3.0,9.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.918,0.0,0.0,11.0,1.0,3.0,22.0,10887.0,6878.0,225.5082,9575.0,223.0,223.0,0.0,7.3115,3203.0,4983.0,91.0,3521.0,4767.0,102.0,-318.0,216.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.0,7734.0,140.0,5150.0,7344.0,153.0,-300.0,390.0,-13.0,0.0,1.0,1.0,0.0,1.0,1.0,6694.0,10095.0,182.0,7341.0,10255.0,204.0,-647.0,-160.0,-22.0,0.0,3.0,2.0,1.0,2.0,1.0,7793.0,11632.0,199.0,9425.0,12369.0,234.0,-1632.0,-737.0,-35.0,0.0,6.0,3.0,3.0,3.0,2.0
LOLTMNT04_151668,complete,LFL,2026.0,0.0,1.0,16.02,Red,mid,BOO YonYon,Bamboo Juice,0.0,Veigar,LeBlanc,Ahri,Qiyana,Braum,Rakan,2333.0,1.0,12.0,2.0,8.0,36.0,15.0,2.0,0.0,0.0,0.0,0.0,0.9258,1.3116,0.0,0.0,19.0,10.0,4.0,48.0,19700.0,14665.0,377.1539,19400.0,335.0,316.0,19.0,8.6155,3701.0,5411.0,104.0,3372.0,5410.0,92.0,329.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5829.0,8097.0,158.0,4882.0,7587.0,134.0,947.0,510.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,8785.0,11408.0,194.0,6626.0,9802.0,183.0,2159.0,1606.0,11.0,3.0,2.0,1.0,0.0,0.0,3.0,11720.0,14448.0,243.0,8296.0,12873.0,228.0,3424.0,1575.0,15.0,6.0,2.0,1.0,0.0,3.0,3.0
LOLTMNT04_151780,complete,LIT,2026.0,1.0,3.0,16.02,Blue,mid,EPTM Spinda,Epitomy Masters,1.0,Veigar,Gwen,Aatrox,Urgot,Milio,Sylas,1831.0,0.0,1.0,5.0,7.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.6226,1.4418,0.0,0.0,14.0,1.0,1.0,23.0,10193.0,6182.0,202.5778,9875.0,218.0,218.0,0.0,7.1436,3852.0,5245.0,92.0,3847.0,5218.0,92.0,5.0,27.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5311.0,7293.0,127.0,6259.0,8359.0,142.0,-948.0,-1066.0,-15.0,1.0,0.0,3.0,1.0,3.0,0.0,6597.0,9077.0,153.0,8188.0,10862.0,185.0,-1591.0,-1785.0,-32.0,1.0,1.0,4.0,1.0,3.0,1.0,8318.0,11656.0,179.0,9975.0,14295.0,220.0,-1657.0,-2639.0,-41.0,1.0,4.0,4.0,2.0,3.0,2.0
LOLTMNT02_348803,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,Dyego,SPAXFAMILY,0.0,Veigar,Ambessa,Jayce,Varus,Syndra,Leona,1929.0,0.0,6.0,5.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5288,1.3997,0.0,0.0,12.0,3.0,1.0,28.0,12687.0,8476.0,263.6392,11625.0,260.0,256.0,4.0,8.0871,3253.0,4614.0,87.0,3674.0,4782.0,89.0,-421.0,-168.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5422.0,6885.0,128.0,6736.0,7551.0,133.0,-1314.0,-666.0,-5.0,2.0,0.0,3.0,3.0,1.0,0.0,7558.0,10967.0,183.0,8832.0,10559.0,183.0,-1274.0,408.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,9619.0,12358.0,213.0,10211.0,12930.0,220.0,-592.0,-572.0,-7.0,4.0,1.0,4.0,3.0,4.0,1.0
LOLTMNT02_346790,complete,LJL,2026.0,0.0,2.0,16.02,Red,mid,bbmuffin,The Bandits,0.0,Veigar,Neeko,Rumble,Akali,Elise,Karma,1458.0,0.0,2.0,4.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2058,1.3169,0.0,0.0,11.0,3.0,0.0,29.0,9963.0,6713.0,276.2551,9350.0,231.0,231.0,0.0,9.5062,3519.0,4755.0,89.0,3406.0,4780.0,90.0,113.0,-25.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,5881.0,7721.0,144.0,5319.0,7394.0,143.0,562.0,327.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,7760.0,9711.0,189.0,8689.0,11833.0,204.0,-929.0,-2122.0,-15.0,1.0,0.0,2.0,3.0,3.0,1.0,9963.0,11526.0,231.0,10583.0,16450.0,233.0,-620.0,-4924.0,-2.0,2.0,0.0,4.0,3.0,10.0,1.0
LOLTMNT02_351343,complete,LCP,2026.0,1.0,1.0,16.03,Blue,mid,AD Ciro QQ,The AstroDucks,1.0,Veigar,Akali,Yone,Dr. Mundo,Gwen,Trundle,1713.0,0.0,1.0,7.0,1.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1751,0.9807,0.0,0.0,10.0,1.0,2.0,19.0,10590.0,6820.0,238.8792,10100.0,270.0,270.0,0.0,9.4571,3431.0,5138.0,92.0,3724.0,5158.0,98.0,-293.0,-20.0,-6.0,0.0,0.0,1.0,0.0,1.0,0.0,5130.0,7963.0,150.0,6289.0,8524.0,151.0,-1159.0,-561.0,-1.0,0.0,0.0,3.0,2.0,3.0,0.0,6748.0,10318.0,195.0,9041.0,12279.0,220.0,-2293.0,-1961.0,-25.0,0.0,0.0,4.0,3.0,3.0,0.0,9328.0,12880.0,238.0,12213.0,16438.0,250.0,-2885.0,-3558.0,-12.0,1.0,1.0,6.0,7.0,5.0,1.0
LOLTMNT02_353579,complete,LCP,2026.0,1.0,2.0,16.03,Red,mid,Sharon,Deacoy,0.0,Veigar,Aatrox,Orianna,Ambessa,Bard,Neeko,2011.0,0.0,4.0,2.0,3.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3282,1.0741,0.0,0.0,10.0,3.0,0.0,22.0,13711.0,9333.0,278.4585,13150.0,332.0,332.0,0.0,9.9055,3832.0,5136.0,102.0,3784.0,4829.0,97.0,48.0,307.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,5443.0,7922.0,154.0,5480.0,7152.0,143.0,-37.0,770.0,11.0,1.0,0.0,0.0,1.0,1.0,1.0,7563.0,11259.0,225.0,8098.0,9707.0,185.0,-535.0,1552.0,40.0,1.0,0.0,0.0,4.0,1.0,1.0,10755.0,14353.0,283.0,9403.0,13529.0,217.0,1352.0,824.0,66.0,3.0,0.0,0.0,4.0,2.0,1.0
