gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319672,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Guertas,Senshi eSports,0.0,Viego,Yunara,Zaahen,Azir,Kai'Sa,Nautilus,1766.0,1.0,13.0,2.0,4.0,28.0,8.0,3.0,1.0,1.0,0.0,1.0,0.9513,1.2231,1.0,0.0,4.0,6.0,11.0,31.0,16412.0,12534.0,425.8437,13358.0,263.0,15.0,248.0,8.9354,3970.0,4406.0,77.0,3096.0,3505.0,60.0,874.0,901.0,17.0,2.0,2.0,0.0,0.0,1.0,2.0,6526.0,7945.0,130.0,4451.0,5661.0,89.0,2075.0,2284.0,41.0,4.0,3.0,1.0,0.0,1.0,4.0,8702.0,10882.0,178.0,5857.0,7654.0,110.0,2845.0,3228.0,68.0,5.0,3.0,1.0,0.0,2.0,5.0,12895.0,15127.0,232.0,7211.0,9558.0,127.0,5684.0,5569.0,105.0,9.0,3.0,1.0,0.0,3.0,6.0
LOLTMNT06_164126,complete,AL,2026.0,0.0,3.0,16.01,Red,jng,Kobs,GnG Amazigh,0.0,Viego,Naafiri,Neeko,Ahri,Nami,Rell,1670.0,0.0,2.0,7.0,2.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,0.3234,1.2575,0.0,1.0,8.0,8.0,6.0,39.0,9159.0,5477.0,196.7784,8400.0,172.0,15.0,157.0,6.1796,4107.0,4368.0,77.0,3260.0,3847.0,73.0,847.0,521.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,5692.0,6534.0,115.0,5706.0,6208.0,101.0,-14.0,326.0,14.0,2.0,1.0,2.0,2.0,3.0,2.0,7228.0,8736.0,150.0,8494.0,9848.0,144.0,-1266.0,-1112.0,6.0,2.0,2.0,4.0,3.0,8.0,3.0,8556.0,10356.0,170.0,11168.0,13767.0,170.0,-2612.0,-3411.0,0.0,2.0,2.0,6.0,4.0,15.0,3.0
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Viego,Bard,Caitlyn,Jarvan IV,Nocturne,Vi,2114.0,0.0,5.0,5.0,4.0,14.0,24.0,1.0,0.0,0.0,0.0,1.0,0.3974,1.0785,1.0,1.0,9.0,8.0,9.0,47.0,14354.0,9766.0,277.1807,13425.0,224.0,35.0,189.0,6.3576,3623.0,3287.0,64.0,3631.0,3747.0,70.0,-8.0,-460.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,5378.0,5899.0,105.0,6463.0,6586.0,121.0,-1085.0,-687.0,-16.0,1.0,2.0,2.0,4.0,1.0,1.0,7861.0,9552.0,145.0,10048.0,10289.0,168.0,-2187.0,-737.0,-23.0,2.0,3.0,3.0,6.0,2.0,1.0,10396.0,12257.0,177.0,12487.0,13189.0,201.0,-2091.0,-932.0,-24.0,3.0,4.0,4.0,7.0,3.0,1.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,jng,Afroboi,E WIE EINFACH E-SPORTS,1.0,Viego,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,14.0,1.0,5.0,32.0,23.0,3.0,1.0,1.0,0.0,0.0,0.884,1.5193,0.0,0.0,7.0,12.0,7.0,54.0,19807.0,15101.0,417.1547,17375.0,299.0,41.0,258.0,8.2597,5810.0,5015.0,89.0,4242.0,4248.0,82.0,1568.0,767.0,7.0,6.0,0.0,0.0,1.0,1.0,2.0,7903.0,7567.0,137.0,6861.0,6752.0,120.0,1042.0,815.0,17.0,6.0,1.0,0.0,2.0,3.0,2.0,10529.0,10355.0,177.0,9487.0,9476.0,163.0,1042.0,879.0,14.0,7.0,3.0,0.0,3.0,5.0,3.0,13594.0,14794.0,241.0,12072.0,11035.0,179.0,1522.0,3759.0,62.0,8.0,4.0,0.0,5.0,6.0,4.0
LOLTMNT03_339547,complete,LCKC,2026.0,0.0,3.0,16.01,Red,jng,Guertas,Senshi eSports,0.0,Viego,Rengar,Aurelion Sol,Dr. Mundo,Fiora,Galio,2369.0,1.0,10.0,2.0,7.0,31.0,17.0,2.0,0.0,0.0,0.0,1.0,0.7851,1.2157,2.0,0.0,5.0,9.0,9.0,48.0,19371.0,14263.0,361.241,16783.0,290.0,37.0,253.0,7.3449,3721.0,3977.0,75.0,3914.0,3917.0,68.0,-193.0,60.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,5454.0,6762.0,115.0,5478.0,6140.0,104.0,-24.0,622.0,11.0,1.0,1.0,0.0,1.0,0.0,2.0,7823.0,9434.0,158.0,8250.0,8629.0,128.0,-427.0,805.0,30.0,1.0,3.0,1.0,3.0,1.0,4.0,10694.0,12860.0,202.0,10953.0,12681.0,177.0,-259.0,179.0,25.0,3.0,5.0,1.0,3.0,4.0,5.0
LOLTMNT04_151084,complete,CCWS,2026.0,0.0,3.0,16.02,Red,jng,Luncafoer,The Bandits,0.0,Viego,Volibear,Varus,Renekton,Braum,Neeko,1903.0,1.0,4.0,3.0,14.0,22.0,17.0,1.0,0.0,0.0,0.0,0.0,0.6936,1.2296,1.0,0.0,3.0,8.0,13.0,37.0,16420.0,12262.0,386.6106,14675.0,268.0,35.0,233.0,8.4498,3896.0,4609.0,86.0,3856.0,4217.0,74.0,40.0,392.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,6540.0,7695.0,125.0,5321.0,6085.0,94.0,1219.0,1610.0,31.0,2.0,3.0,1.0,1.0,3.0,2.0,9853.0,11050.0,173.0,7794.0,8458.0,124.0,2059.0,2592.0,49.0,3.0,7.0,1.0,3.0,4.0,4.0,12441.0,14473.0,220.0,9695.0,11063.0,154.0,2746.0,3410.0,66.0,3.0,8.0,1.0,4.0,4.0,4.0
LOLTMNT06_166105,complete,AL,2026.0,0.0,1.0,16.02,Red,jng,LoLpop,Gity Meavedronu,0.0,Viego,Gwen,Diana,Taliyah,Orianna,Viktor,1995.0,0.0,2.0,7.0,7.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.4511,1.1429,0.0,1.0,3.0,8.0,3.0,29.0,11581.0,7236.0,217.6241,11250.0,224.0,19.0,205.0,6.7368,3370.0,3674.0,70.0,3440.0,4091.0,78.0,-70.0,-417.0,-8.0,0.0,2.0,0.0,0.0,0.0,1.0,5183.0,5793.0,102.0,5447.0,6220.0,116.0,-264.0,-427.0,-14.0,1.0,2.0,2.0,1.0,0.0,1.0,7514.0,8359.0,143.0,7713.0,9455.0,161.0,-199.0,-1096.0,-18.0,2.0,5.0,3.0,2.0,0.0,2.0,9226.0,11110.0,177.0,11162.0,12367.0,199.0,-1936.0,-1257.0,-22.0,2.0,6.0,4.0,7.0,0.0,2.0
LOLTMNT01_333250,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,POP9,Deep Cross Gaming,1.0,Viego,Malphite,Sion,Nocturne,Bard,Renekton,2035.0,0.0,4.0,5.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2359,0.7961,0.0,1.0,12.0,17.0,15.0,60.0,12107.0,7680.0,226.4373,11908.0,237.0,23.0,214.0,6.9877,3302.0,3683.0,75.0,4145.0,4334.0,81.0,-843.0,-651.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,5037.0,6215.0,119.0,6057.0,7284.0,131.0,-1020.0,-1069.0,-12.0,0.0,0.0,1.0,1.0,0.0,0.0,7326.0,9299.0,167.0,8541.0,9566.0,167.0,-1215.0,-267.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,9319.0,11608.0,201.0,10556.0,11890.0,212.0,-1237.0,-282.0,-11.0,2.0,0.0,2.0,2.0,0.0,0.0
LOLTMNT04_152253,complete,LCP,2026.0,0.0,1.0,16.02,Red,mid,D1verse,Howl Esports,0.0,Viego,Rumble,Ryze,Trundle,Jax,Braum,2131.0,1.0,11.0,1.0,5.0,19.0,12.0,3.0,0.0,0.0,0.0,1.0,0.535,0.8728,0.0,0.0,6.0,6.0,3.0,41.0,16581.0,11958.0,336.687,15000.0,281.0,267.0,14.0,7.9118,5135.0,5114.0,80.0,3682.0,4735.0,88.0,1453.0,379.0,-8.0,7.0,0.0,0.0,1.0,0.0,2.0,6828.0,8012.0,132.0,5423.0,7262.0,141.0,1405.0,750.0,-9.0,7.0,0.0,0.0,1.0,0.0,2.0,8351.0,10638.0,171.0,7645.0,10533.0,201.0,706.0,105.0,-30.0,7.0,0.0,0.0,1.0,1.0,2.0,10402.0,13025.0,208.0,10221.0,12836.0,229.0,181.0,189.0,-21.0,8.0,1.0,1.0,4.0,3.0,3.0
LOLTMNT01_334665,complete,CBLOL,2026.0,0.0,2.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Viego,Akali,Xin Zhao,Malphite,Sejuani,Bard,1846.0,0.0,7.0,3.0,6.0,15.0,21.0,1.0,0.0,0.0,0.0,1.0,0.4875,1.1701,1.0,1.0,9.0,9.0,20.0,53.0,13171.0,9130.0,296.7497,11783.0,222.0,21.0,201.0,7.2156,4321.0,4607.0,83.0,3650.0,4508.0,89.0,671.0,99.0,-6.0,2.0,1.0,0.0,0.0,0.0,1.0,5817.0,7135.0,119.0,5855.0,7084.0,127.0,-38.0,51.0,-8.0,2.0,1.0,0.0,1.0,2.0,1.0,8339.0,9683.0,154.0,7765.0,9683.0,171.0,574.0,0.0,-17.0,4.0,3.0,0.0,1.0,2.0,2.0,10914.0,12710.0,186.0,10496.0,11499.0,196.0,418.0,1211.0,-10.0,6.0,5.0,1.0,3.0,2.0,3.0
