gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,DejaVu,GMBLERS Esports,1.0,Viktor,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,0.0,3.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1615,0.775,0.0,0.0,15.0,6.0,9.0,31.0,10308.0,6242.0,201.5716,10375.0,264.0,264.0,0.0,8.5253,2960.0,4876.0,70.0,4082.0,5895.0,106.0,-1122.0,-1019.0,-36.0,0.0,0.0,1.0,1.0,0.0,0.0,4980.0,8027.0,131.0,5898.0,8347.0,156.0,-918.0,-320.0,-25.0,0.0,0.0,1.0,1.0,1.0,0.0,6811.0,10999.0,186.0,8820.0,12233.0,225.0,-2009.0,-1234.0,-39.0,0.0,1.0,1.0,3.0,1.0,0.0,8331.0,14781.0,230.0,11136.0,14888.0,270.0,-2805.0,-107.0,-40.0,0.0,1.0,1.0,5.0,2.0,0.0
LOLTMNT06_163113,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Warner,BAAM Esports,1.0,Viktor,Rumble,Jarvan IV,Malphite,Wukong,Vi,1945.0,0.0,3.0,4.0,7.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4627,1.3882,0.0,0.0,16.0,4.0,11.0,32.0,12199.0,7956.0,245.4293,12185.0,268.0,264.0,4.0,8.2674,3719.0,4919.0,82.0,3608.0,4975.0,92.0,111.0,-56.0,-10.0,1.0,2.0,0.0,0.0,2.0,1.0,5536.0,7394.0,130.0,4884.0,7058.0,126.0,652.0,336.0,4.0,1.0,2.0,2.0,0.0,2.0,2.0,7633.0,10286.0,187.0,7287.0,10257.0,185.0,346.0,29.0,2.0,1.0,4.0,2.0,1.0,6.0,2.0,8867.0,11807.0,215.0,8804.0,12598.0,228.0,63.0,-791.0,-13.0,1.0,4.0,2.0,1.0,6.0,2.0
LOLTMNT01_318863,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Kruimel,mCon esports,1.0,Viktor,Bel'Veth,Aphelios,Sylas,Darius,Jarvan IV,1935.0,1.0,4.0,2.0,3.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5581,0.9922,0.0,0.0,15.0,5.0,3.0,36.0,15418.0,11195.0,347.1318,11825.0,368.0,361.0,7.0,11.4109,3657.0,5379.0,108.0,3823.0,5717.0,109.0,-166.0,-338.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,6050.0,8476.0,165.0,5927.0,8422.0,165.0,123.0,54.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,8227.0,11642.0,228.0,7910.0,11460.0,226.0,317.0,182.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,10266.0,13998.0,279.0,9845.0,14028.0,271.0,421.0,-30.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0
LOLTMNT01_318877,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Unchained,Dynasty,0.0,Viktor,Aatrox,Gwen,Azir,Nami,Nautilus,1543.0,0.0,2.0,4.0,2.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5444,1.4388,0.0,0.0,10.0,5.0,1.0,27.0,10201.0,6778.0,263.5645,10125.0,255.0,254.0,1.0,9.9157,3324.0,5045.0,96.0,3082.0,4195.0,75.0,242.0,850.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4967.0,7649.0,143.0,5358.0,7395.0,127.0,-391.0,254.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,7042.0,11044.0,211.0,7759.0,10619.0,184.0,-717.0,425.0,27.0,0.0,0.0,1.0,1.0,2.0,0.0,9865.0,13808.0,252.0,9814.0,15305.0,207.0,51.0,-1497.0,45.0,2.0,1.0,3.0,2.0,7.0,2.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Blue,mid,Clozer,DN SOOPers,0.0,Viktor,Jayce,Azir,Orianna,Jarvan IV,Nocturne,1650.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.0,0.0,13.0,7.0,5.0,33.0,9298.0,5656.0,205.6727,8725.0,278.0,278.0,0.0,10.1091,3355.0,4826.0,94.0,3938.0,5315.0,106.0,-583.0,-489.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,5145.0,7871.0,155.0,6171.0,8410.0,167.0,-1026.0,-539.0,-12.0,0.0,0.0,1.0,1.0,1.0,0.0,7099.0,10843.0,216.0,8711.0,11655.0,237.0,-1612.0,-812.0,-21.0,0.0,0.0,1.0,1.0,1.0,0.0,8801.0,15155.0,270.0,11611.0,16627.0,292.0,-2810.0,-1472.0,-22.0,0.0,0.0,2.0,3.0,3.0,0.0
LOLTMNT03_336160,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,Alvanai,Gamespace Mediterranean College Esports,1.0,Viktor,Ambessa,Akali,Darius,Nautilus,Orianna,2293.0,0.0,2.0,2.0,4.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2355,0.9682,0.0,0.0,14.0,6.0,2.0,38.0,14609.0,9656.0,252.6646,14500.0,360.0,357.0,3.0,9.42,3628.0,5660.0,106.0,3535.0,5231.0,100.0,93.0,429.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5429.0,8273.0,160.0,6407.0,8354.0,157.0,-978.0,-81.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,7630.0,12998.0,221.0,9352.0,11620.0,210.0,-1722.0,1378.0,11.0,0.0,1.0,0.0,4.0,2.0,1.0,9230.0,15626.0,268.0,12335.0,14608.0,261.0,-3105.0,1018.0,7.0,0.0,2.0,0.0,6.0,3.0,1.0
LOLTMNT06_164126,complete,AL,2026.0,0.0,3.0,16.01,Red,mid,Robenong,GnG Amazigh,0.0,Viktor,Naafiri,Neeko,Ahri,Nami,Rell,1670.0,0.0,2.0,4.0,3.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3234,1.2575,0.0,0.0,15.0,4.0,4.0,29.0,10386.0,6704.0,240.8623,9790.0,250.0,250.0,0.0,8.982,3597.0,5030.0,87.0,3549.0,4556.0,72.0,48.0,474.0,15.0,1.0,0.0,2.0,1.0,1.0,2.0,5285.0,7817.0,138.0,5511.0,7555.0,125.0,-226.0,262.0,13.0,1.0,1.0,2.0,2.0,2.0,3.0,6891.0,10781.0,187.0,8375.0,11039.0,189.0,-1484.0,-258.0,-2.0,1.0,2.0,2.0,3.0,5.0,3.0,8654.0,13607.0,232.0,11461.0,16311.0,244.0,-2807.0,-2704.0,-12.0,1.0,3.0,3.0,4.0,11.0,3.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Red,mid,Guti,T1 Esports Academy,0.0,Viktor,Rumble,Azir,Sion,Miss Fortune,Kai'Sa,2078.0,1.0,3.0,1.0,8.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3465,0.8373,0.0,0.0,14.0,9.0,2.0,49.0,14485.0,9970.0,287.873,13900.0,330.0,329.0,1.0,9.5284,3581.0,5277.0,102.0,3468.0,4704.0,95.0,113.0,573.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5181.0,7699.0,154.0,5699.0,7673.0,149.0,-518.0,26.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,7714.0,11059.0,223.0,7590.0,10387.0,203.0,124.0,672.0,20.0,0.0,0.0,1.0,1.0,3.0,0.0,9750.0,13378.0,251.0,9088.0,11848.0,223.0,662.0,1530.0,28.0,1.0,3.0,1.0,1.0,4.0,1.0
LOLTMNT03_337495,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Viktor,Rumble,Nami,Malphite,Alistar,Lucian,3396.0,1.0,11.0,2.0,13.0,39.0,27.0,1.0,0.0,0.0,0.0,0.0,0.689,1.1661,0.0,0.0,21.0,17.0,1.0,71.0,26819.0,19616.0,346.5724,23025.0,521.0,506.0,15.0,9.2049,3862.0,4893.0,85.0,3936.0,5325.0,106.0,-74.0,-432.0,-21.0,2.0,2.0,0.0,1.0,0.0,1.0,6287.0,7972.0,142.0,5437.0,7399.0,139.0,850.0,573.0,3.0,3.0,4.0,0.0,1.0,0.0,2.0,9469.0,11374.0,210.0,7210.0,10067.0,196.0,2259.0,1307.0,14.0,4.0,4.0,0.0,1.0,0.0,3.0,11203.0,14021.0,259.0,9719.0,14707.0,240.0,1484.0,-686.0,19.0,4.0,4.0,0.0,2.0,0.0,3.0
LOLTMNT03_337511,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Dolis,ZennIT,0.0,Viktor,Orianna,Aatrox,Neeko,Tristana,Corki,1519.0,1.0,1.0,1.0,8.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6715,0.9085,0.0,0.0,11.0,0.0,5.0,18.0,9747.0,6373.0,251.7314,8235.0,207.0,206.0,1.0,8.1764,3327.0,5157.0,87.0,3222.0,4874.0,84.0,105.0,283.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5229.0,7784.0,140.0,5280.0,8119.0,148.0,-51.0,-335.0,-8.0,0.0,2.0,0.0,0.0,0.0,0.0,7389.0,10770.0,187.0,7792.0,10734.0,185.0,-403.0,36.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,9419.0,13699.0,207.0,9687.0,12688.0,227.0,-268.0,1011.0,-20.0,1.0,4.0,1.0,1.0,1.0,1.0
