gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Mario,GMBLERS Esports,1.0,Xin Zhao,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,5.0,7.0,3.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,1.0,3.0,5.0,2.0,26.0,11051.0,7193.0,245.7745,10850.0,180.0,6.0,174.0,6.1503,3798.0,3685.0,66.0,3865.0,4143.0,80.0,-67.0,-458.0,-14.0,2.0,0.0,2.0,1.0,1.0,1.0,5533.0,5956.0,104.0,5829.0,6597.0,120.0,-296.0,-641.0,-16.0,2.0,1.0,3.0,2.0,1.0,2.0,7434.0,7910.0,129.0,8344.0,9734.0,164.0,-910.0,-1824.0,-35.0,3.0,1.0,5.0,4.0,1.0,3.0,9356.0,10417.0,160.0,9942.0,12089.0,194.0,-586.0,-1672.0,-34.0,4.0,2.0,5.0,4.0,2.0,3.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,adi1,HMBLE,0.0,Xin Zhao,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,5.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,1.0,11.0,11.0,7.0,56.0,13916.0,8875.0,227.9538,12425.0,251.0,38.0,213.0,6.4469,3406.0,4049.0,76.0,3571.0,4133.0,78.0,-165.0,-84.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,4972.0,6204.0,113.0,5493.0,6666.0,120.0,-521.0,-462.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,6788.0,9059.0,158.0,7391.0,8707.0,153.0,-603.0,352.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,8370.0,10895.0,179.0,9821.0,11442.0,191.0,-1451.0,-547.0,-12.0,0.0,0.0,3.0,1.0,4.0,1.0
LOLTMNT03_334607,complete,LCKC,2026.0,0.0,2.0,16.01,Red,jng,DDoiV,DN SOOPers Challengers,1.0,Xin Zhao,Neeko,Malphite,Poppy,Lulu,Ziggs,2074.0,0.0,5.0,4.0,4.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4339,1.3308,0.0,2.0,10.0,11.0,8.0,48.0,12578.0,8071.0,233.4908,13887.0,209.0,37.0,172.0,6.0463,3804.0,4016.0,72.0,3930.0,4472.0,79.0,-126.0,-456.0,-7.0,1.0,1.0,0.0,1.0,1.0,0.0,5736.0,6519.0,112.0,5726.0,6368.0,112.0,10.0,151.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,7705.0,8412.0,140.0,7463.0,8483.0,142.0,242.0,-71.0,-2.0,3.0,2.0,1.0,2.0,3.0,1.0,9072.0,10451.0,164.0,9965.0,12403.0,176.0,-893.0,-1952.0,-12.0,3.0,3.0,3.0,3.0,5.0,1.0
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Dinai,HANJIN BRION Challengers,0.0,Xin Zhao,Jayce,Malphite,Rumble,Bard,Karma,2188.0,1.0,5.0,8.0,13.0,23.0,21.0,1.0,0.0,0.0,0.0,1.0,0.6307,1.2066,0.0,2.0,14.0,11.0,13.0,54.0,13464.0,8725.0,239.2596,11600.0,203.0,22.0,181.0,5.5667,3435.0,3844.0,73.0,3639.0,4324.0,80.0,-204.0,-480.0,-7.0,0.0,1.0,1.0,0.0,2.0,1.0,5994.0,6505.0,112.0,5338.0,6724.0,120.0,656.0,-219.0,-8.0,3.0,1.0,2.0,0.0,3.0,2.0,7420.0,8217.0,137.0,6811.0,8406.0,147.0,609.0,-189.0,-10.0,3.0,4.0,3.0,0.0,5.0,3.0,9474.0,10772.0,168.0,9352.0,11411.0,173.0,122.0,-639.0,-5.0,4.0,7.0,5.0,1.0,9.0,4.0
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Xin Zhao,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,1.0,5.0,5.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2704,0.7775,0.0,1.0,8.0,11.0,6.0,46.0,9477.0,5580.0,188.6197,9350.0,185.0,17.0,168.0,6.2535,3661.0,4027.0,80.0,3489.0,4216.0,82.0,172.0,-189.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,5581.0,6751.0,127.0,5691.0,7154.0,129.0,-110.0,-403.0,-2.0,0.0,4.0,0.0,1.0,0.0,0.0,6945.0,8212.0,150.0,7795.0,10172.0,172.0,-850.0,-1960.0,-22.0,0.0,5.0,2.0,1.0,3.0,1.0,8640.0,9864.0,175.0,10219.0,13094.0,223.0,-1579.0,-3230.0,-48.0,1.0,5.0,3.0,2.0,3.0,1.0
LOLTMNT03_335791,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Jackal,Hanwha Life Esports Challengers,1.0,Xin Zhao,Poppy,Malphite,Gnar,Ambessa,Varus,1428.0,0.0,0.0,3.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.084,0.7143,0.0,1.0,11.0,5.0,7.0,33.0,6974.0,3785.0,159.0336,6500.0,144.0,6.0,138.0,6.0504,3344.0,3910.0,73.0,3667.0,4132.0,78.0,-323.0,-222.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,4631.0,5526.0,100.0,5643.0,6366.0,113.0,-1012.0,-840.0,-13.0,0.0,0.0,1.0,1.0,3.0,0.0,6097.0,7820.0,130.0,8223.0,9906.0,153.0,-2126.0,-2086.0,-23.0,0.0,0.0,2.0,2.0,5.0,0.0,,,,,,,,,,,,,,,
LOLTMNT06_163114,complete,AL,2026.0,0.0,2.0,16.01,Blue,jng,Goliah,NextGeneration Esports,1.0,Xin Zhao,Ambessa,Kai'Sa,Malphite,Syndra,LeBlanc,1829.0,0.0,3.0,5.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,1.0,0.5577,1.4762,0.0,1.0,11.0,9.0,8.0,52.0,12632.0,8625.0,282.9415,12550.0,203.0,28.0,175.0,6.6594,3488.0,4022.0,73.0,3582.0,3826.0,78.0,-94.0,196.0,-5.0,0.0,2.0,0.0,0.0,1.0,1.0,4850.0,5684.0,95.0,6095.0,6588.0,119.0,-1245.0,-904.0,-24.0,0.0,3.0,1.0,1.0,4.0,1.0,8229.0,8638.0,131.0,8242.0,9406.0,158.0,-13.0,-768.0,-27.0,2.0,5.0,1.0,1.0,4.0,2.0,9984.0,11085.0,166.0,10496.0,11484.0,185.0,-512.0,-399.0,-19.0,2.0,7.0,3.0,2.0,7.0,3.0
LOLTMNT01_319634,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Hatred,ZennIT,1.0,Xin Zhao,Jayce,Zaahen,Syndra,Lulu,Tristana,2120.0,0.0,2.0,3.0,2.0,6.0,26.0,1.0,0.0,0.0,0.0,0.0,0.1698,0.9057,0.0,1.0,7.0,7.0,6.0,55.0,11837.0,7237.0,204.8208,11700.0,229.0,20.0,209.0,6.4811,3439.0,4109.0,82.0,3258.0,3719.0,69.0,181.0,390.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.0,5853.0,106.0,4679.0,5553.0,98.0,624.0,300.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,7074.0,8511.0,137.0,6758.0,8343.0,132.0,316.0,168.0,5.0,2.0,1.0,1.0,1.0,3.0,0.0,8929.0,11147.0,178.0,9202.0,12160.0,169.0,-273.0,-1013.0,9.0,2.0,2.0,1.0,2.0,6.0,0.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Xin Zhao,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,2.0,5.0,8.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.825,1.2057,2.0,0.0,12.0,9.0,6.0,58.0,13081.0,8948.0,283.9133,11700.0,251.0,39.0,212.0,7.964,3396.0,4018.0,80.0,3607.0,3601.0,64.0,-211.0,417.0,16.0,0.0,0.0,2.0,1.0,2.0,0.0,5581.0,7379.0,136.0,5080.0,5190.0,85.0,501.0,2189.0,51.0,0.0,1.0,2.0,2.0,2.0,1.0,7285.0,9775.0,168.0,7128.0,8398.0,118.0,157.0,1377.0,50.0,0.0,4.0,4.0,3.0,3.0,3.0,9917.0,13105.0,207.0,8483.0,10114.0,143.0,1434.0,2991.0,64.0,1.0,7.0,4.0,3.0,4.0,4.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Red,jng,Silva2,3BL Esports,0.0,Xin Zhao,Aphelios,Lee Sin,Braum,Jayce,Viktor,1975.0,0.0,4.0,6.0,8.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5772,1.3063,0.0,1.0,9.0,9.0,7.0,41.0,13703.0,9398.0,285.5089,13300.0,234.0,31.0,203.0,7.1089,4100.0,4014.0,67.0,3319.0,3769.0,78.0,781.0,245.0,-11.0,2.0,2.0,1.0,0.0,0.0,1.0,6005.0,7276.0,118.0,5246.0,6159.0,119.0,759.0,1117.0,-1.0,2.0,3.0,1.0,0.0,0.0,2.0,8096.0,10308.0,167.0,8467.0,10085.0,165.0,-371.0,223.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,10299.0,12989.0,200.0,12265.0,14260.0,200.0,-1966.0,-1271.0,0.0,3.0,5.0,2.0,5.0,4.0,2.0
