gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337109,complete,LCK,2026.0,0.0,3.0,16.01,Blue,mid,Bdd,KT Rolster,0.0,Zoe,Vi,Neeko,Orianna,Nautilus,Leona,2197.0,1.0,5.0,1.0,8.0,17.0,14.0,0.0,0.0,0.0,0.0,1.0,0.4643,0.8466,0.0,0.0,23.0,5.0,9.0,46.0,14384.0,9627.0,262.9131,13625.0,306.0,301.0,5.0,8.3569,4265.0,5310.0,100.0,3336.0,5014.0,91.0,929.0,296.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,5951.0,7742.0,150.0,5357.0,8167.0,142.0,594.0,-425.0,8.0,1.0,3.0,1.0,1.0,2.0,1.0,7988.0,9868.0,189.0,7754.0,10703.0,192.0,234.0,-835.0,-3.0,2.0,3.0,1.0,3.0,2.0,1.0,9750.0,12271.0,240.0,9869.0,13871.0,254.0,-119.0,-1600.0,-14.0,3.0,3.0,1.0,3.0,4.0,1.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Red,mid,VAEII,3BL Esports,0.0,Zoe,Neeko,Jayce,Rengar,Viktor,Xayah,2059.0,1.0,10.0,1.0,11.0,33.0,17.0,2.0,0.0,0.0,0.0,0.0,0.9616,1.457,0.0,0.0,20.0,4.0,3.0,41.0,14271.0,9795.0,285.4298,12275.0,232.0,232.0,0.0,6.7606,4592.0,4618.0,82.0,3527.0,4925.0,86.0,1065.0,-307.0,-4.0,4.0,2.0,0.0,1.0,0.0,1.0,7270.0,8170.0,139.0,5316.0,7790.0,142.0,1954.0,380.0,-3.0,6.0,2.0,0.0,1.0,0.0,2.0,9422.0,10357.0,177.0,8272.0,9860.0,181.0,1150.0,497.0,-4.0,7.0,4.0,0.0,2.0,0.0,2.0,10504.0,11920.0,202.0,10731.0,13160.0,241.0,-227.0,-1240.0,-39.0,7.0,4.0,0.0,3.0,0.0,2.0
LOLTMNT03_336925,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,mid,Kaze,RED Canids,1.0,Zoe,Ryze,Poppy,Jarvan IV,Leona,Yone,2083.0,1.0,3.0,2.0,6.0,20.0,16.0,1.0,0.0,0.0,0.0,0.0,0.5761,1.037,0.0,0.0,17.0,9.0,6.0,53.0,13296.0,8771.0,252.6452,12700.0,282.0,282.0,0.0,8.1229,3810.0,5315.0,105.0,3576.0,4948.0,85.0,234.0,367.0,20.0,0.0,1.0,1.0,1.0,1.0,0.0,5624.0,8265.0,161.0,5120.0,7465.0,136.0,504.0,800.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,7645.0,10574.0,203.0,6971.0,10293.0,188.0,674.0,281.0,15.0,0.0,2.0,1.0,2.0,2.0,0.0,9483.0,13000.0,243.0,8764.0,13029.0,233.0,719.0,-29.0,10.0,1.0,2.0,1.0,2.0,5.0,0.0
LOLTMNT03_339549,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,ShowMaker,Dplus Kia,0.0,Zoe,Orianna,Azir,Jayce,Braum,Alistar,1436.0,0.0,2.0,6.0,3.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.2117,0.0,0.0,14.0,2.0,6.0,29.0,8649.0,5444.0,227.4652,8400.0,196.0,196.0,0.0,8.1894,3802.0,4762.0,89.0,4261.0,5315.0,97.0,-459.0,-553.0,-8.0,1.0,2.0,2.0,2.0,1.0,0.0,5556.0,7653.0,142.0,6359.0,8273.0,149.0,-803.0,-620.0,-7.0,1.0,3.0,2.0,2.0,2.0,0.0,8168.0,10667.0,196.0,9042.0,11396.0,212.0,-874.0,-729.0,-16.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Blue,mid,Clozer,DN SOOPers,1.0,Zoe,Malphite,Bard,Ambessa,Miss Fortune,Ashe,2003.0,1.0,7.0,4.0,12.0,21.0,16.0,1.0,1.0,0.0,0.0,1.0,0.6291,1.1083,0.0,0.0,19.0,4.0,9.0,37.0,15926.0,11564.0,346.4004,14175.0,308.0,304.0,4.0,9.2262,3968.0,5309.0,100.0,3477.0,4389.0,78.0,491.0,920.0,22.0,1.0,0.0,1.0,2.0,1.0,1.0,6198.0,7825.0,155.0,5067.0,7110.0,119.0,1131.0,715.0,36.0,1.0,0.0,2.0,2.0,2.0,1.0,8542.0,11241.0,219.0,7165.0,9963.0,171.0,1377.0,1278.0,48.0,2.0,0.0,2.0,3.0,2.0,2.0,10836.0,14527.0,245.0,8421.0,11765.0,202.0,2415.0,2762.0,43.0,2.0,5.0,2.0,3.0,2.0,4.0
LOLTMNT05_174020,complete,LIT,2026.0,0.0,3.0,16.01,Red,mid,VAEII,3BL Esports,0.0,Zoe,Ryze,Viktor,Malphite,Aurora,LeBlanc,1396.0,0.0,3.0,2.0,2.0,7.0,20.0,0.0,0.0,0.0,0.0,1.0,0.3009,1.1605,0.0,1.0,9.0,3.0,0.0,26.0,9643.0,6520.0,280.2292,7950.0,179.0,179.0,0.0,7.6934,3900.0,4566.0,83.0,3532.0,4695.0,78.0,368.0,-129.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,6053.0,7385.0,137.0,5730.0,7352.0,128.0,323.0,33.0,9.0,2.0,0.0,1.0,1.0,4.0,0.0,7576.0,9113.0,166.0,7784.0,10646.0,182.0,-208.0,-1533.0,-16.0,2.0,0.0,1.0,2.0,5.0,0.0,,,,,,,,,,,,,,,
LOLTMNT03_341189,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,VAEII,3BL Esports,0.0,Zoe,Neeko,Ambessa,Ahri,Caitlyn,Corki,1829.0,1.0,6.0,2.0,17.0,24.0,13.0,1.0,0.0,0.0,0.0,1.0,0.7873,1.2138,0.0,0.0,10.0,4.0,1.0,25.0,12709.0,8702.0,285.4675,10625.0,213.0,201.0,12.0,6.9874,3774.0,4804.0,83.0,3536.0,5345.0,99.0,238.0,-541.0,-16.0,1.0,1.0,1.0,0.0,1.0,1.0,5818.0,7577.0,128.0,5764.0,7984.0,132.0,54.0,-407.0,-4.0,2.0,5.0,1.0,1.0,4.0,2.0,7152.0,9582.0,159.0,8246.0,10622.0,179.0,-1094.0,-1040.0,-20.0,2.0,6.0,1.0,2.0,6.0,2.0,10127.0,12774.0,192.0,9671.0,12371.0,211.0,456.0,403.0,-19.0,4.0,10.0,1.0,2.0,7.0,3.0
LOLTMNT06_165067,complete,AL,2026.0,0.0,3.0,16.01,Blue,mid,Bdd,KT Rolster,0.0,Zoe,Jayce,Rumble,Nocturne,Ahri,Alistar,1801.0,1.0,3.0,0.0,11.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5664,0.7329,0.0,0.0,19.0,4.0,6.0,28.0,12315.0,8365.0,278.6785,11250.0,277.0,277.0,0.0,9.2282,3820.0,5246.0,110.0,3677.0,5627.0,103.0,143.0,-381.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5756.0,8219.0,161.0,5213.0,7854.0,150.0,543.0,365.0,11.0,0.0,3.0,0.0,0.0,0.0,1.0,7666.0,11031.0,217.0,7097.0,10328.0,197.0,569.0,703.0,20.0,0.0,6.0,0.0,0.0,3.0,2.0,9196.0,12870.0,250.0,8242.0,11718.0,224.0,954.0,1152.0,26.0,0.0,7.0,0.0,0.0,3.0,2.0
LOLTMNT04_150459,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,mid,Humanoid,Team Vitality,0.0,Zoe,Varus,Wukong,Poppy,Nautilus,Azir,1977.0,1.0,3.0,2.0,9.0,19.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5766,0.9408,0.0,0.0,14.0,5.0,2.0,33.0,14990.0,10681.0,324.1578,14200.0,303.0,303.0,0.0,9.1958,4054.0,5031.0,97.0,3394.0,4802.0,93.0,660.0,229.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5953.0,8309.0,153.0,5308.0,7445.0,150.0,645.0,864.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,8150.0,11218.0,207.0,8127.0,10769.0,214.0,23.0,449.0,-7.0,1.0,3.0,0.0,2.0,0.0,0.0,9674.0,13400.0,243.0,10124.0,13437.0,245.0,-450.0,-37.0,-2.0,1.0,5.0,2.0,2.0,4.0,1.0
LOLTMNT06_166098,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,VAEII,3BL Esports,0.0,Zoe,Neeko,Azir,Ambessa,Trundle,Naafiri,1631.0,1.0,5.0,3.0,7.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.699,1.0668,0.0,0.0,11.0,4.0,3.0,31.0,11143.0,7540.0,277.3758,9475.0,219.0,215.0,4.0,8.0564,3559.0,4692.0,85.0,4034.0,5276.0,101.0,-475.0,-584.0,-16.0,1.0,0.0,1.0,1.0,1.0,1.0,5630.0,7444.0,138.0,5917.0,8012.0,157.0,-287.0,-568.0,-19.0,2.0,1.0,1.0,1.0,1.0,2.0,7279.0,9840.0,183.0,8346.0,12214.0,207.0,-1067.0,-2374.0,-24.0,2.0,1.0,2.0,2.0,1.0,2.0,9317.0,12657.0,209.0,9998.0,14314.0,240.0,-681.0,-1657.0,-31.0,3.0,5.0,3.0,3.0,2.0,3.0
