gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,top,Zest,LØS,0.0,Aurora,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,6.0,0.0,8.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.986,1.1321,0.0,0.0,9.0,6.0,2.0,38.0,12014.0,8387.0,306.2812,10800.0,243.0,243.0,0.0,8.874,3513.0,5324.0,85.0,3280.0,5211.0,89.0,233.0,113.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,5841.0,9216.0,144.0,4697.0,8338.0,132.0,1144.0,878.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,8465.0,12755.0,200.0,6955.0,11063.0,171.0,1510.0,1692.0,29.0,3.0,3.0,0.0,1.0,1.0,1.0,10768.0,15665.0,230.0,8778.0,13250.0,202.0,1990.0,2415.0,28.0,5.0,5.0,0.0,2.0,1.0,2.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,jng,Drakehero,LØS,0.0,Wukong,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,4.0,1.0,13.0,27.0,4.0,0.0,0.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,10.0,7.0,7.0,46.0,11788.0,8161.0,298.028,10258.0,215.0,18.0,197.0,7.8515,3928.0,4121.0,78.0,3396.0,4162.0,78.0,532.0,-41.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,5760.0,6778.0,118.0,5246.0,6104.0,108.0,514.0,674.0,10.0,1.0,4.0,0.0,1.0,0.0,2.0,8294.0,9903.0,163.0,6769.0,8637.0,136.0,1525.0,1266.0,27.0,3.0,5.0,1.0,1.0,1.0,3.0,10479.0,12703.0,198.0,8094.0,10294.0,162.0,2385.0,2409.0,36.0,4.0,8.0,1.0,1.0,2.0,5.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Feisty,LØS,0.0,Akali,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,3.0,1.0,8.0,27.0,4.0,0.0,0.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,13.0,8.0,7.0,43.0,10581.0,6954.0,253.9501,10075.0,240.0,240.0,0.0,8.7645,3497.0,5377.0,93.0,3149.0,4717.0,79.0,348.0,660.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,5503.0,7975.0,140.0,5063.0,7710.0,136.0,440.0,265.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,7826.0,11351.0,194.0,6877.0,10620.0,191.0,949.0,731.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,9645.0,13970.0,224.0,8508.0,13267.0,236.0,1137.0,703.0,-12.0,3.0,4.0,1.0,0.0,3.0,3.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Duduhh,LØS,0.0,Corki,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,13.0,2.0,5.0,27.0,4.0,2.0,1.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,11.0,7.0,3.0,31.0,15141.0,11514.0,420.4747,13463.0,255.0,237.0,18.0,9.3122,4981.0,3875.0,89.0,2909.0,3331.0,70.0,2072.0,544.0,19.0,6.0,1.0,0.0,0.0,0.0,2.0,7686.0,6964.0,149.0,4753.0,5266.0,105.0,2933.0,1698.0,44.0,6.0,1.0,0.0,0.0,0.0,2.0,10433.0,9293.0,193.0,7824.0,7701.0,155.0,2609.0,1592.0,38.0,7.0,4.0,1.0,1.0,0.0,3.0,13208.0,11547.0,236.0,9687.0,9819.0,197.0,3521.0,1728.0,39.0,9.0,5.0,2.0,1.0,1.0,5.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,Ackerman,LØS,0.0,Bard,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,1.0,0.0,21.0,27.0,4.0,0.0,0.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,44.0,20.0,12.0,122.0,8494.0,4867.0,177.7358,7370.0,31.0,31.0,0.0,1.1321,3126.0,2963.0,10.0,2337.0,2121.0,12.0,789.0,842.0,-2.0,1.0,7.0,0.0,0.0,0.0,5.0,4436.0,3980.0,15.0,3452.0,3645.0,19.0,984.0,335.0,-4.0,1.0,8.0,0.0,0.0,0.0,5.0,5899.0,5725.0,18.0,4482.0,4876.0,19.0,1417.0,849.0,-1.0,1.0,12.0,0.0,0.0,2.0,7.0,7556.0,7819.0,28.0,5452.0,6113.0,20.0,2104.0,1706.0,8.0,1.0,17.0,0.0,0.0,3.0,7.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,top,xyno,LOUD,1.0,Rumble,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,2.0,2.0,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,13.0,0.0,7.0,30.0,9590.0,5963.0,217.7602,9025.0,221.0,221.0,0.0,8.0706,3280.0,5211.0,89.0,3513.0,5324.0,85.0,-233.0,-113.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4697.0,8338.0,132.0,5841.0,9216.0,144.0,-1144.0,-878.0,-12.0,0.0,0.0,1.0,2.0,0.0,0.0,6955.0,11063.0,171.0,8465.0,12755.0,200.0,-1510.0,-1692.0,-29.0,1.0,1.0,1.0,3.0,3.0,0.0,8778.0,13250.0,202.0,10768.0,15665.0,230.0,-1990.0,-2415.0,-28.0,2.0,1.0,2.0,5.0,5.0,0.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,jng,YoungJae,LOUD,1.0,Nocturne,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,1.0,6.0,2.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,14.0,7.0,7.0,43.0,8641.0,5014.0,183.1041,8375.0,171.0,13.0,158.0,6.2447,3396.0,4162.0,78.0,3928.0,4121.0,78.0,-532.0,41.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,5246.0,6104.0,108.0,5760.0,6778.0,118.0,-514.0,-674.0,-10.0,1.0,0.0,2.0,1.0,4.0,0.0,6769.0,8637.0,136.0,8294.0,9903.0,163.0,-1525.0,-1266.0,-27.0,1.0,1.0,3.0,3.0,5.0,1.0,8094.0,10294.0,162.0,10479.0,12703.0,198.0,-2385.0,-2409.0,-36.0,1.0,2.0,5.0,4.0,8.0,1.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,mid,Mago,LOUD,1.0,Orianna,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,0.0,4.0,3.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,17.0,2.0,7.0,27.0,9045.0,5418.0,197.8576,8925.0,248.0,248.0,0.0,9.0566,3149.0,4717.0,79.0,3497.0,5377.0,93.0,-348.0,-660.0,-14.0,0.0,0.0,0.0,0.0,2.0,0.0,5063.0,7710.0,136.0,5503.0,7975.0,140.0,-440.0,-265.0,-4.0,0.0,1.0,1.0,1.0,2.0,1.0,6877.0,10620.0,191.0,7826.0,11351.0,194.0,-949.0,-731.0,-3.0,0.0,2.0,2.0,2.0,3.0,1.0,8508.0,13267.0,236.0,9645.0,13970.0,224.0,-1137.0,-703.0,12.0,0.0,3.0,3.0,3.0,4.0,1.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,bot,Bull,LOUD,1.0,Lucian,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,1.0,6.0,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,9.0,6.0,0.0,21.0,10557.0,6930.0,253.0736,10200.0,210.0,210.0,0.0,7.6689,2909.0,3331.0,70.0,4981.0,3875.0,89.0,-2072.0,-544.0,-19.0,0.0,0.0,2.0,6.0,1.0,0.0,4753.0,5266.0,105.0,7686.0,6964.0,149.0,-2933.0,-1698.0,-44.0,0.0,0.0,2.0,6.0,1.0,0.0,7824.0,7701.0,155.0,10433.0,9293.0,193.0,-2609.0,-1592.0,-38.0,1.0,0.0,3.0,7.0,4.0,1.0,9687.0,9819.0,197.0,13208.0,11547.0,236.0,-3521.0,-1728.0,-39.0,1.0,1.0,5.0,9.0,5.0,2.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,sup,RedBert,LOUD,1.0,Alistar,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,0.0,9.0,3.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,44.0,6.0,11.0,85.0,5906.0,2279.0,83.2258,5505.0,21.0,21.0,0.0,0.7669,2337.0,2121.0,12.0,3126.0,2963.0,10.0,-789.0,-842.0,2.0,0.0,0.0,5.0,1.0,7.0,0.0,3452.0,3645.0,19.0,4436.0,3980.0,15.0,-984.0,-335.0,4.0,0.0,0.0,5.0,1.0,8.0,0.0,4482.0,4876.0,19.0,5899.0,5725.0,18.0,-1417.0,-849.0,1.0,0.0,2.0,7.0,1.0,12.0,0.0,5452.0,6113.0,20.0,7556.0,7819.0,28.0,-2104.0,-1706.0,-8.0,0.0,3.0,7.0,1.0,17.0,0.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,team,,LØS,0.0,,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,27.0,4.0,55.0,27.0,4.0,2.0,1.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,87.0,48.0,31.0,280.0,58018.0,39881.0,1456.3968,51966.0,,769.0,215.0,35.9343,19045.0,21660.0,355.0,15071.0,19542.0,328.0,3974.0,2118.0,27.0,9.0,13.0,0.0,0.0,0.0,9.0,29226.0,34913.0,566.0,23211.0,31063.0,500.0,6015.0,3850.0,66.0,11.0,15.0,1.0,1.0,1.0,11.0,40917.0,49027.0,768.0,32907.0,42897.0,672.0,8010.0,6130.0,96.0,16.0,27.0,3.0,3.0,6.0,16.0,51656.0,61704.0,916.0,40519.0,52743.0,817.0,11137.0,8961.0,99.0,22.0,39.0,4.0,4.0,10.0,22.0
