gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,APP,HMBLE,0.0,K'Sante,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,1.0,5.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,10.0,3.0,4.0,39.0,12600.0,7559.0,194.1524,12400.0,272.0,272.0,0.0,6.9863,3784.0,5534.0,105.0,3382.0,5057.0,95.0,402.0,477.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5267.0,8790.0,152.0,4940.0,8757.0,144.0,327.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7478.0,12560.0,195.0,6460.0,11794.0,191.0,1018.0,766.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,9329.0,14756.0,229.0,8021.0,13822.0,214.0,1308.0,934.0,15.0,1.0,1.0,0.0,1.0,2.0,1.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Ambessa,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,7.0,0.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.703,0.827,0.0,0.0,10.0,2.0,4.0,29.0,11407.0,8171.0,337.8773,10430.0,207.0,203.0,4.0,8.5596,3971.0,5495.0,84.0,3262.0,4759.0,83.0,709.0,736.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6911.0,9818.0,148.0,4569.0,6171.0,109.0,2342.0,3647.0,39.0,3.0,1.0,0.0,0.0,0.0,3.0,8740.0,12649.0,183.0,6173.0,9914.0,157.0,2567.0,2735.0,26.0,4.0,1.0,0.0,0.0,0.0,3.0,11407.0,15820.0,207.0,7000.0,11139.0,173.0,4407.0,4681.0,34.0,7.0,6.0,0.0,0.0,0.0,5.0
LOLTMNT06_164122,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Rumble,Akali,Naafiri,Jayce,Poppy,Taric,1403.0,1.0,9.0,1.0,5.0,26.0,5.0,2.0,0.0,0.0,0.0,1.0,1.1119,1.3257,0.0,0.0,7.0,2.0,2.0,20.0,11026.0,7888.0,337.3343,9000.0,203.0,192.0,11.0,8.6814,3906.0,5381.0,92.0,3046.0,4558.0,76.0,860.0,823.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5916.0,9135.0,129.0,4248.0,6690.0,102.0,1668.0,2445.0,27.0,3.0,1.0,0.0,0.0,0.0,3.0,8431.0,12604.0,179.0,6067.0,9112.0,143.0,2364.0,3492.0,36.0,5.0,1.0,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_148254,complete,NLC,2026.0,0.0,1.0,16.01,Red,top,APP,HMBLE,0.0,K'Sante,Diana,Zaahen,Malphite,Darius,Fiora,3403.0,1.0,3.0,6.0,18.0,49.0,39.0,0.0,0.0,0.0,0.0,0.0,0.8639,1.5516,0.0,0.0,9.0,6.0,4.0,48.0,20282.0,13064.0,230.3379,22140.0,314.0,311.0,3.0,5.5363,3268.0,4963.0,80.0,3607.0,5254.0,86.0,-339.0,-291.0,-6.0,0.0,0.0,1.0,0.0,1.0,0.0,5045.0,8569.0,125.0,5309.0,8608.0,126.0,-264.0,-39.0,-1.0,0.0,1.0,2.0,1.0,1.0,1.0,6940.0,12096.0,172.0,7445.0,11965.0,179.0,-505.0,131.0,-7.0,0.0,2.0,3.0,2.0,1.0,1.0,8557.0,14409.0,193.0,9946.0,15722.0,214.0,-1389.0,-1313.0,-21.0,0.0,4.0,3.0,4.0,2.0,2.0
LOLTMNT03_337813,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Rumble,Orianna,Ryze,Jayce,Zac,Sona,1727.0,1.0,4.0,1.0,5.0,24.0,6.0,1.0,0.0,0.0,0.0,1.0,0.8338,1.0423,0.0,0.0,6.0,2.0,2.0,25.0,12852.0,9053.0,314.5223,11750.0,258.0,255.0,3.0,8.9635,3726.0,5264.0,89.0,2755.0,4697.0,60.0,971.0,567.0,29.0,0.0,2.0,0.0,0.0,0.0,2.0,6106.0,9595.0,139.0,4274.0,7864.0,103.0,1832.0,1731.0,36.0,1.0,2.0,0.0,0.0,0.0,3.0,7978.0,13021.0,193.0,6106.0,11212.0,162.0,1872.0,1809.0,31.0,1.0,2.0,0.0,0.0,0.0,4.0,10104.0,16081.0,224.0,8195.0,14953.0,212.0,1909.0,1128.0,12.0,1.0,2.0,1.0,0.0,1.0,4.0
LOLTMNT04_149122,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Renekton,Gwen,Urgot,Malphite,Akali,Aatrox,2017.0,1.0,2.0,4.0,3.0,19.0,18.0,0.0,0.0,0.0,0.0,1.0,0.5652,1.1006,0.0,0.0,16.0,4.0,4.0,34.0,12639.0,8249.0,245.3842,10525.0,261.0,253.0,8.0,7.764,3227.0,4838.0,76.0,4150.0,5461.0,90.0,-923.0,-623.0,-14.0,0.0,1.0,1.0,2.0,0.0,1.0,4549.0,8045.0,114.0,6293.0,9927.0,140.0,-1744.0,-1882.0,-26.0,0.0,1.0,2.0,3.0,0.0,2.0,6742.0,10984.0,158.0,8594.0,14196.0,196.0,-1852.0,-3212.0,-38.0,0.0,1.0,2.0,4.0,0.0,3.0,8353.0,13219.0,188.0,10088.0,16264.0,218.0,-1735.0,-3045.0,-30.0,1.0,1.0,4.0,5.0,1.0,4.0
LOLTMNT01_324984,complete,LCS,2026.0,0.0,1.0,16.01,Red,top,APP,HMBLE,0.0,Rumble,Orianna,Corki,Ambessa,LeBlanc,Syndra,1566.0,1.0,2.0,0.0,9.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9579,1.341,1.0,0.0,11.0,1.0,2.0,27.0,10048.0,6578.0,252.0307,8500.0,238.0,222.0,16.0,9.1188,3424.0,5162.0,88.0,3449.0,5200.0,75.0,-25.0,-38.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,5097.0,9039.0,143.0,4776.0,8930.0,114.0,321.0,109.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,7001.0,12554.0,196.0,6357.0,11573.0,157.0,644.0,981.0,39.0,0.0,4.0,0.0,1.0,0.0,1.0,9239.0,15686.0,229.0,7902.0,13780.0,195.0,1337.0,1906.0,34.0,1.0,7.0,0.0,1.0,0.0,2.0
LOLTMNT01_334942,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,APP,HMBLE,0.0,Renekton,Ambessa,Syndra,Veigar,Sylas,Dr. Mundo,1336.0,1.0,5.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8084,0.8982,0.0,0.0,12.0,1.0,3.0,24.0,11463.0,8462.0,380.0299,9575.0,213.0,213.0,0.0,9.5659,4155.0,5414.0,100.0,2913.0,4635.0,66.0,1242.0,779.0,34.0,1.0,0.0,0.0,0.0,0.0,1.0,6424.0,8689.0,147.0,4310.0,7676.0,110.0,2114.0,1013.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,9678.0,12934.0,190.0,6356.0,10589.0,154.0,3322.0,2345.0,36.0,4.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_334969,complete,LCP,2026.0,0.0,2.0,16.02,Blue,top,APP,HMBLE,1.0,Sion,Akali,Sivir,Varus,Nautilus,Thresh,1541.0,1.0,3.0,1.0,7.0,19.0,11.0,0.0,0.0,0.0,0.0,1.0,0.7398,1.1681,0.0,0.0,11.0,2.0,4.0,23.0,11271.0,7852.0,305.7236,10800.0,235.0,235.0,0.0,9.1499,3814.0,5241.0,83.0,3237.0,5038.0,79.0,577.0,203.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5980.0,9945.0,142.0,4655.0,8347.0,120.0,1325.0,1598.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,8744.0,13519.0,199.0,6504.0,11003.0,151.0,2240.0,2516.0,48.0,3.0,0.0,1.0,1.0,1.0,2.0,10789.0,16817.0,233.0,8138.0,12767.0,172.0,2651.0,4050.0,61.0,3.0,6.0,1.0,2.0,1.0,4.0
LOLTMNT01_335069,complete,LCK,2026.0,0.0,3.0,16.02,Blue,top,APP,HMBLE,1.0,Rek'Sai,Jarvan IV,Sivir,Ambessa,Veigar,Mel,1689.0,1.0,11.0,3.0,6.0,30.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0657,1.6341,0.0,0.0,15.0,1.0,5.0,32.0,14511.0,10790.0,383.3037,13125.0,231.0,231.0,0.0,8.206,4121.0,5314.0,96.0,3392.0,5131.0,84.0,729.0,183.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6570.0,9845.0,150.0,4775.0,8164.0,121.0,1795.0,1681.0,29.0,2.0,0.0,0.0,0.0,0.0,1.0,8828.0,12972.0,205.0,6427.0,10980.0,160.0,2401.0,1992.0,45.0,2.0,0.0,1.0,0.0,1.0,2.0,12651.0,15896.0,220.0,8349.0,13405.0,187.0,4302.0,2491.0,33.0,8.0,3.0,2.0,0.0,4.0,3.0
