gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337997,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,sup,Ackerman,LØS,1.0,Leona,Neeko,Akali,Sylas,Varus,Bard,1513.0,1.0,1.0,1.0,10.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.6742,0.7931,0.0,0.0,43.0,14.0,11.0,108.0,7397.0,4035.0,160.0132,6115.0,29.0,29.0,0.0,1.15,2696.0,2747.0,11.0,2714.0,2396.0,13.0,-18.0,351.0,-2.0,0.0,4.0,0.0,1.0,1.0,1.0,3898.0,3926.0,21.0,3815.0,2984.0,22.0,83.0,942.0,-1.0,0.0,5.0,1.0,1.0,1.0,1.0,5112.0,4708.0,25.0,4947.0,3616.0,29.0,165.0,1092.0,-4.0,0.0,5.0,1.0,1.0,1.0,1.0,7260.0,7524.0,29.0,5955.0,5061.0,29.0,1305.0,2463.0,0.0,1.0,10.0,1.0,1.0,1.0,2.0
LOLTMNT04_147315,complete,TCL,2026.0,0.0,1.0,16.01,Red,sup,Ackerman,LØS,0.0,Alistar,Varus,Jayce,Rumble,Renekton,K'Sante,1806.0,1.0,0.0,1.0,16.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7309,1.0631,0.0,0.0,58.0,17.0,14.0,133.0,8452.0,4492.0,149.2359,7400.0,45.0,45.0,0.0,1.495,2428.0,3013.0,21.0,2238.0,2481.0,9.0,190.0,532.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3727.0,4069.0,37.0,3376.0,3381.0,19.0,351.0,688.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,5280.0,5852.0,39.0,4603.0,4592.0,24.0,677.0,1260.0,15.0,0.0,9.0,0.0,0.0,1.0,2.0,6690.0,7647.0,42.0,5960.0,7882.0,29.0,730.0,-235.0,13.0,0.0,11.0,1.0,0.0,4.0,4.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Red,sup,Ackerman,LØS,1.0,Rakan,Akali,Malphite,Corki,Bard,Xayah,1842.0,1.0,1.0,0.0,17.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6189,0.9772,0.0,0.0,63.0,26.0,17.0,151.0,9262.0,5229.0,170.3257,8045.0,47.0,47.0,0.0,1.5309,2564.0,2766.0,18.0,2373.0,2369.0,19.0,191.0,397.0,-1.0,0.0,2.0,0.0,0.0,1.0,2.0,3774.0,4234.0,25.0,3686.0,3188.0,28.0,88.0,1046.0,-3.0,0.0,5.0,0.0,0.0,2.0,4.0,5096.0,5390.0,38.0,4888.0,4591.0,34.0,208.0,799.0,4.0,0.0,5.0,0.0,0.0,4.0,4.0,7112.0,7302.0,45.0,6089.0,6282.0,40.0,1023.0,1020.0,5.0,1.0,9.0,0.0,0.0,7.0,5.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,Ackerman,LØS,0.0,Bard,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,1.0,0.0,21.0,27.0,4.0,0.0,0.0,0.0,0.0,1.0,0.986,1.1321,0.0,0.0,44.0,20.0,12.0,122.0,8494.0,4867.0,177.7358,7370.0,31.0,31.0,0.0,1.1321,3126.0,2963.0,10.0,2337.0,2121.0,12.0,789.0,842.0,-2.0,1.0,7.0,0.0,0.0,0.0,5.0,4436.0,3980.0,15.0,3452.0,3645.0,19.0,984.0,335.0,-4.0,1.0,8.0,0.0,0.0,0.0,5.0,5899.0,5725.0,18.0,4482.0,4876.0,19.0,1417.0,849.0,-1.0,1.0,12.0,0.0,0.0,2.0,7.0,7556.0,7819.0,28.0,5452.0,6113.0,20.0,2104.0,1706.0,8.0,1.0,17.0,0.0,0.0,3.0,7.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Blue,sup,Ackerman,LØS,0.0,Nautilus,Jayce,Varus,Orianna,Miss Fortune,Neeko,1680.0,1.0,0.0,2.0,9.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6429,0.0,0.0,56.0,9.0,17.0,105.0,6917.0,3214.0,114.7857,6535.0,38.0,38.0,0.0,1.3571,2343.0,2681.0,23.0,2244.0,2717.0,17.0,99.0,-36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,3654.0,30.0,3187.0,3054.0,19.0,221.0,600.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,4570.0,5276.0,31.0,4352.0,3910.0,24.0,218.0,1366.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,5738.0,6496.0,37.0,5439.0,5277.0,28.0,299.0,1219.0,9.0,0.0,2.0,1.0,0.0,1.0,2.0
LOLTMNT01_336821,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,Ackerman,LØS,0.0,Leona,Jayce,Varus,Orianna,Neeko,Ezreal,1879.0,0.0,0.0,3.0,5.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2235,0.8302,0.0,0.0,60.0,19.0,15.0,148.0,7331.0,3222.0,102.8845,6440.0,43.0,43.0,0.0,1.3731,2394.0,2773.0,21.0,2925.0,3228.0,19.0,-531.0,-455.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3529.0,3760.0,28.0,3993.0,4040.0,20.0,-464.0,-280.0,8.0,0.0,2.0,2.0,1.0,3.0,1.0,4622.0,4533.0,33.0,5391.0,5768.0,25.0,-769.0,-1235.0,8.0,0.0,2.0,2.0,1.0,5.0,1.0,5969.0,7073.0,36.0,6468.0,6227.0,29.0,-499.0,846.0,7.0,0.0,5.0,2.0,1.0,5.0,2.0
LOLTMNT01_337419,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,Ackerman,LØS,1.0,Bard,Sion,Akali,Varus,Alistar,Neeko,2014.0,1.0,1.0,1.0,11.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4171,0.715,0.0,0.0,65.0,29.0,17.0,174.0,10138.0,5754.0,171.4201,8150.0,36.0,36.0,0.0,1.0725,2867.0,2775.0,9.0,2426.0,2694.0,19.0,441.0,81.0,-10.0,0.0,1.0,0.0,0.0,1.0,0.0,4034.0,3738.0,14.0,3515.0,3562.0,25.0,519.0,176.0,-11.0,0.0,1.0,0.0,0.0,2.0,0.0,5394.0,5480.0,21.0,4820.0,5030.0,30.0,574.0,450.0,-9.0,0.0,3.0,0.0,0.0,4.0,0.0,6520.0,6786.0,26.0,5999.0,6682.0,33.0,521.0,104.0,-7.0,0.0,3.0,1.0,0.0,6.0,0.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,sup,Ackerman,LØS,1.0,Alistar,Qiyana,Ambessa,Varus,Jarvan IV,Neeko,2565.0,1.0,1.0,5.0,20.0,23.0,16.0,0.0,0.0,0.0,0.0,1.0,0.538,0.9123,0.0,0.0,86.0,13.0,17.0,165.0,11015.0,5507.0,128.8187,9825.0,40.0,40.0,0.0,0.9357,2399.0,2462.0,17.0,2347.0,2525.0,19.0,52.0,-63.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,3771.0,3207.0,24.0,3398.0,3469.0,24.0,373.0,-262.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5222.0,5100.0,28.0,4522.0,5082.0,26.0,700.0,18.0,2.0,1.0,6.0,1.0,0.0,2.0,3.0,6309.0,6859.0,29.0,5599.0,6126.0,27.0,710.0,733.0,2.0,1.0,9.0,3.0,0.0,4.0,4.0
LOLTMNT05_176516,complete,AL,2026.0,0.0,2.0,16.03,Blue,sup,Ackerman,LØS,1.0,Lulu,Qiyana,Renekton,Jarvan IV,Ahri,Akali,1891.0,0.0,0.0,4.0,6.0,8.0,18.0,0.0,0.0,0.0,0.0,1.0,0.2538,0.825,0.0,0.0,64.0,16.0,20.0,139.0,8056.0,3923.0,124.4738,7925.0,26.0,26.0,0.0,0.825,2602.0,3015.0,9.0,2723.0,2625.0,13.0,-121.0,390.0,-4.0,0.0,1.0,1.0,1.0,0.0,0.0,4061.0,4520.0,13.0,3744.0,4292.0,19.0,317.0,228.0,-6.0,0.0,2.0,1.0,1.0,0.0,1.0,5417.0,6214.0,17.0,4849.0,5983.0,21.0,568.0,231.0,-4.0,0.0,5.0,1.0,1.0,1.0,1.0,6710.0,7316.0,20.0,7040.0,8677.0,22.0,-330.0,-1361.0,-2.0,0.0,6.0,3.0,2.0,8.0,1.0
LOLTMNT02_351668,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,sup,Ackerman,LØS,0.0,Karma,Qiyana,Varus,Ambessa,Nocturne,Vi,2278.0,0.0,0.0,4.0,7.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2371,0.6058,0.0,0.0,76.0,17.0,13.0,154.0,9254.0,4331.0,114.0737,8325.0,46.0,46.0,0.0,1.2116,2429.0,2826.0,19.0,2710.0,3477.0,21.0,-281.0,-651.0,-2.0,0.0,1.0,1.0,0.0,2.0,0.0,3645.0,4265.0,28.0,3889.0,4802.0,28.0,-244.0,-537.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,4961.0,6179.0,31.0,5270.0,6146.0,34.0,-309.0,33.0,-3.0,0.0,3.0,2.0,0.0,4.0,2.0,6179.0,8410.0,37.0,7089.0,8676.0,47.0,-910.0,-266.0,-10.0,0.0,4.0,3.0,0.0,7.0,2.0
