gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Anivia,Ambessa,Sylas,Bard,Azir,Renekton,2369.0,0.0,0.0,4.0,7.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,22.0,8.0,9.0,51.0,14111.0,9003.0,228.0203,16060.0,327.0,322.0,5.0,8.282,3603.0,5250.0,96.0,3440.0,4971.0,95.0,163.0,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.0,8526.0,159.0,5119.0,7693.0,146.0,403.0,833.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,11281.0,214.0,7008.0,10367.0,200.0,1117.0,914.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,9840.0,15225.0,253.0,8787.0,12910.0,252.0,1053.0,2315.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Red,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Taliyah,Ambessa,Sylas,Azir,Alistar,Neeko,2302.0,0.0,1.0,3.0,9.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2867,0.8341,0.0,0.0,12.0,6.0,8.0,38.0,14605.0,9633.0,251.0773,14750.0,359.0,359.0,0.0,9.3571,3621.0,5031.0,99.0,3853.0,5273.0,105.0,-232.0,-242.0,-6.0,0.0,0.0,1.0,0.0,2.0,0.0,5612.0,8110.0,162.0,6490.0,7869.0,159.0,-878.0,241.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,7619.0,11095.0,215.0,9843.0,11091.0,224.0,-2224.0,4.0,-9.0,0.0,2.0,1.0,2.0,3.0,0.0,9232.0,13457.0,260.0,12532.0,14174.0,276.0,-3300.0,-717.0,-16.0,0.0,3.0,1.0,4.0,5.0,0.0
LOLTMNT06_163405,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Ryze,Malphite,Nocturne,Orianna,Gwen,Kai'Sa,1961.0,0.0,2.0,5.0,1.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2142,0.8873,0.0,0.0,10.0,10.0,9.0,36.0,12341.0,8065.0,246.7619,12375.0,309.0,305.0,4.0,9.4544,3598.0,5352.0,101.0,3488.0,5035.0,99.0,110.0,317.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5774.0,8675.0,167.0,5462.0,7910.0,162.0,312.0,765.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7220.0,10354.0,204.0,9291.0,12025.0,227.0,-2071.0,-1671.0,-23.0,1.0,0.0,2.0,3.0,2.0,0.0,9737.0,14032.0,240.0,11519.0,15335.0,271.0,-1782.0,-1303.0,-31.0,2.0,0.0,3.0,3.0,6.0,1.0
LOLTMNT06_164458,complete,LEC,2026.0,0.0,2.0,16.01,Red,mid,Aria,Fukuoka SoftBank HAWKS gaming,0.0,Yone,Nocturne,Orianna,Ambessa,Aurora,Galio,1909.0,0.0,6.0,4.0,4.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3143,0.88,0.0,0.0,9.0,4.0,6.0,31.0,14086.0,9916.0,311.6606,13700.0,301.0,289.0,12.0,9.4605,4456.0,5593.0,102.0,3714.0,5058.0,91.0,742.0,535.0,11.0,2.0,1.0,0.0,0.0,2.0,0.0,6454.0,8755.0,160.0,5392.0,7486.0,146.0,1062.0,1269.0,14.0,2.0,2.0,0.0,0.0,2.0,1.0,8150.0,10730.0,189.0,7656.0,10246.0,202.0,494.0,484.0,-13.0,3.0,2.0,1.0,0.0,3.0,1.0,9804.0,12422.0,216.0,11454.0,14624.0,253.0,-1650.0,-2202.0,-37.0,4.0,4.0,3.0,5.0,8.0,1.0
LOLTMNT01_327352,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Taliyah,Malphite,Jax,Gwen,Sejuani,Vi,2185.0,1.0,4.0,2.0,11.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5492,0.7414,0.0,0.0,16.0,9.0,9.0,39.0,15917.0,11184.0,307.1121,14475.0,386.0,377.0,9.0,10.5995,3439.0,5183.0,99.0,3861.0,5399.0,96.0,-422.0,-216.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5235.0,8135.0,157.0,5444.0,7848.0,145.0,-209.0,287.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,7250.0,11192.0,217.0,7466.0,11062.0,212.0,-216.0,130.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,9003.0,13781.0,271.0,9286.0,13966.0,266.0,-283.0,-185.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0
LOLTMNT01_326451,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Ahri,Malphite,Jax,Gwen,Nautilus,Azir,2167.0,0.0,2.0,3.0,6.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4153,1.0798,0.0,0.0,7.0,10.0,3.0,37.0,13904.0,9208.0,254.9515,14075.0,338.0,338.0,0.0,9.3586,3943.0,5040.0,96.0,3328.0,4713.0,95.0,615.0,327.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5749.0,8030.0,151.0,5142.0,7430.0,149.0,607.0,600.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,7617.0,11122.0,216.0,6647.0,9983.0,192.0,970.0,1139.0,24.0,1.0,2.0,1.0,0.0,1.0,1.0,9492.0,14116.0,273.0,8700.0,13083.0,223.0,792.0,1033.0,50.0,1.0,2.0,1.0,1.0,1.0,1.0
LOLTMNT01_326468,complete,LCKC,2026.0,0.0,3.0,16.01,Red,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Orianna,Jax,Gwen,Sylas,Akali,Aurora,2028.0,1.0,6.0,1.0,11.0,19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.5621,0.7692,0.0,0.0,15.0,7.0,3.0,39.0,15907.0,11494.0,340.0592,14925.0,320.0,320.0,0.0,9.4675,3615.0,4948.0,94.0,3162.0,4713.0,88.0,453.0,235.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5975.0,8157.0,160.0,4649.0,6822.0,134.0,1326.0,1335.0,26.0,1.0,2.0,0.0,0.0,0.0,1.0,7838.0,10969.0,213.0,6522.0,9280.0,190.0,1316.0,1689.0,23.0,1.0,2.0,0.0,0.0,0.0,1.0,10020.0,13476.0,256.0,8283.0,11739.0,238.0,1737.0,1737.0,18.0,1.0,6.0,1.0,0.0,2.0,2.0
LOLTMNT01_334153,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,0.0,Akali,Qiyana,Varus,Neeko,Bard,Miss Fortune,1516.0,0.0,3.0,4.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1979,0.9103,0.0,0.0,9.0,5.0,4.0,25.0,9729.0,6361.0,251.7546,9400.0,222.0,222.0,0.0,8.7863,3128.0,5147.0,80.0,3824.0,5654.0,97.0,-696.0,-507.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,5472.0,8015.0,136.0,5587.0,8183.0,149.0,-115.0,-168.0,-13.0,1.0,0.0,1.0,1.0,1.0,1.0,7218.0,10587.0,189.0,8324.0,12885.0,206.0,-1106.0,-2298.0,-17.0,1.0,0.0,2.0,1.0,6.0,1.0,9696.0,12473.0,222.0,11291.0,16778.0,263.0,-1595.0,-4305.0,-41.0,3.0,0.0,4.0,1.0,12.0,1.0
LOLTMNT01_333268,complete,LJL,2026.0,0.0,2.0,16.02,Red,mid,Aria,Fukuoka SoftBank HAWKS gaming,1.0,Taliyah,Qiyana,Azir,Gwen,Neeko,Bard,2097.0,0.0,1.0,2.0,6.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3433,1.0014,0.0,0.0,16.0,7.0,8.0,46.0,12560.0,8007.0,229.0987,11800.0,335.0,331.0,4.0,9.5851,3835.0,5581.0,111.0,4021.0,5358.0,103.0,-186.0,223.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,5234.0,7945.0,153.0,6744.0,8822.0,157.0,-1510.0,-877.0,-4.0,0.0,0.0,1.0,4.0,1.0,1.0,7331.0,10894.0,200.0,8260.0,10792.0,197.0,-929.0,102.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,8956.0,13097.0,245.0,10185.0,15270.0,249.0,-1229.0,-2173.0,-4.0,1.0,4.0,1.0,4.0,3.0,2.0
LOLTMNT01_335735,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,mid,Aria,Fukuoka SoftBank HAWKS gaming,0.0,Taliyah,Qiyana,Orianna,Jayce,Ezreal,Kai'Sa,2392.0,1.0,1.0,2.0,11.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.4264,0.5518,0.0,0.0,11.0,15.0,7.0,76.0,16743.0,11588.0,290.6689,15425.0,398.0,385.0,13.0,9.9833,4075.0,5544.0,103.0,3324.0,5248.0,94.0,751.0,296.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5735.0,7828.0,152.0,5455.0,8102.0,153.0,280.0,-274.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,7714.0,10530.0,204.0,7947.0,10972.0,213.0,-233.0,-442.0,-9.0,0.0,2.0,1.0,2.0,0.0,0.0,10349.0,14459.0,261.0,9508.0,12914.0,251.0,841.0,1545.0,10.0,1.0,4.0,1.0,2.0,0.0,0.0
