gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Syndra,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,1.0,2.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,13.0,1.0,3.0,24.0,7902.0,4760.0,203.274,7825.0,195.0,195.0,0.0,8.3274,3202.0,5260.0,86.0,3522.0,5487.0,98.0,-320.0,-227.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.0,7941.0,136.0,5501.0,8100.0,145.0,-196.0,-159.0,-9.0,1.0,0.0,0.0,0.0,2.0,0.0,6855.0,10135.0,177.0,7351.0,11152.0,191.0,-496.0,-1017.0,-14.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Orianna,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,1.0,4.0,4.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,0.0,12.0,3.0,4.0,20.0,8585.0,5194.0,204.0864,8600.0,209.0,209.0,0.0,8.2122,3270.0,4871.0,75.0,3846.0,5142.0,85.0,-576.0,-271.0,-10.0,0.0,2.0,1.0,2.0,1.0,1.0,4925.0,7762.0,129.0,5388.0,7723.0,132.0,-463.0,39.0,-3.0,0.0,2.0,1.0,2.0,1.0,1.0,7000.0,10176.0,172.0,7946.0,11428.0,184.0,-946.0,-1252.0,-12.0,1.0,4.0,2.0,3.0,2.0,1.0,8530.0,11998.0,209.0,11070.0,14742.0,210.0,-2540.0,-2744.0,-1.0,1.0,4.0,4.0,6.0,4.0,1.0
LOLTMNT04_151542,complete,LEC,2026.0,0.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Galio,Varus,LeBlanc,Ryze,Azir,Malphite,1607.0,0.0,0.0,4.0,6.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5227,1.3815,0.0,0.0,14.0,1.0,5.0,40.0,8033.0,4479.0,167.2309,7900.0,190.0,190.0,0.0,7.094,3045.0,4996.0,68.0,3446.0,5090.0,93.0,-401.0,-94.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,4766.0,7584.0,120.0,5190.0,7624.0,139.0,-424.0,-40.0,-19.0,0.0,0.0,0.0,0.0,1.0,0.0,6271.0,9956.0,162.0,7226.0,10211.0,181.0,-955.0,-255.0,-19.0,0.0,0.0,1.0,1.0,1.0,0.0,7561.0,11981.0,187.0,9894.0,13260.0,201.0,-2333.0,-1279.0,-14.0,0.0,4.0,3.0,3.0,8.0,0.0
LOLTMNT04_151632,complete,LIT,2026.0,1.0,1.0,16.02,Red,mid,Asagao,V3 Esports,0.0,Orianna,Varus,Jayce,Akali,Yone,Irelia,1634.0,0.0,2.0,5.0,3.0,12.0,19.0,0.0,0.0,0.0,0.0,1.0,0.4406,1.1383,0.0,0.0,13.0,3.0,4.0,25.0,9566.0,5957.0,218.7393,9700.0,223.0,223.0,0.0,8.1885,3250.0,4581.0,76.0,4150.0,4896.0,93.0,-900.0,-315.0,-17.0,0.0,1.0,0.0,1.0,3.0,0.0,5987.0,7498.0,124.0,6312.0,7650.0,142.0,-325.0,-152.0,-18.0,2.0,3.0,1.0,2.0,3.0,2.0,7715.0,10285.0,177.0,9482.0,11449.0,196.0,-1767.0,-1164.0,-19.0,2.0,3.0,2.0,3.0,4.0,3.0,9078.0,12239.0,213.0,12679.0,16332.0,238.0,-3601.0,-4093.0,-25.0,2.0,3.0,4.0,6.0,8.0,3.0
LOLTMNT01_337230,complete,HW,2026.0,0.0,1.0,16.02,Blue,mid,Asagao,V3 Esports,1.0,Orianna,Lee Sin,Ryze,Caitlyn,Lulu,Braum,1594.0,1.0,2.0,3.0,19.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1292,1.5433,0.0,0.0,12.0,6.0,4.0,30.0,10630.0,7103.0,267.3651,9360.0,214.0,210.0,4.0,8.0552,3385.0,5020.0,86.0,3332.0,4635.0,84.0,53.0,385.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4957.0,7507.0,127.0,5432.0,7783.0,133.0,-475.0,-276.0,-6.0,0.0,3.0,2.0,1.0,2.0,2.0,7351.0,10615.0,174.0,7018.0,10454.0,183.0,333.0,161.0,-9.0,1.0,6.0,2.0,1.0,2.0,2.0,9929.0,14620.0,207.0,9686.0,12990.0,223.0,243.0,1630.0,-16.0,2.0,15.0,3.0,2.0,5.0,3.0
LOLTMNT04_152660,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Asagao,V3 Esports,1.0,Orianna,Ryze,Akali,Jayce,Viego,Tahm Kench,1689.0,0.0,2.0,7.0,4.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4263,1.2789,0.0,0.0,12.0,3.0,3.0,19.0,9091.0,5370.0,190.7638,8725.0,213.0,213.0,0.0,7.5666,3492.0,4845.0,86.0,3882.0,5099.0,83.0,-390.0,-254.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,4904.0,6930.0,117.0,5551.0,8146.0,117.0,-647.0,-1216.0,0.0,1.0,1.0,4.0,3.0,1.0,3.0,6521.0,9188.0,158.0,7530.0,11262.0,172.0,-1009.0,-2074.0,-14.0,1.0,2.0,5.0,3.0,1.0,3.0,8421.0,11877.0,200.0,10315.0,14711.0,220.0,-1894.0,-2834.0,-20.0,2.0,4.0,6.0,6.0,4.0,3.0
LOLTMNT01_338201,complete,LCP,2026.0,0.0,1.0,16.02,Blue,mid,Asagao,V3 Esports,1.0,Syndra,Skarner,Vladimir,Ryze,Kassadin,Akali,2090.0,1.0,3.0,6.0,10.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.7751,1.3206,0.0,0.0,18.0,6.0,6.0,50.0,12340.0,7801.0,223.9522,12150.0,258.0,258.0,0.0,7.4067,3253.0,5028.0,89.0,3505.0,4917.0,86.0,-252.0,111.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5226.0,7847.0,136.0,5212.0,7325.0,132.0,14.0,522.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,7198.0,10642.0,192.0,7443.0,10158.0,179.0,-245.0,484.0,13.0,1.0,0.0,2.0,1.0,0.0,1.0,8700.0,12142.0,212.0,9241.0,12507.0,222.0,-541.0,-365.0,-10.0,1.0,2.0,2.0,1.0,1.0,2.0
LOLTMNT05_176265,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,Asagao,V3 Esports,1.0,Syndra,Ryze,Akali,Corki,Leona,Ashe,1391.0,0.0,0.0,3.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1294,1.2078,0.0,0.0,8.0,3.0,2.0,20.0,8835.0,5722.0,246.8152,8750.0,221.0,221.0,0.0,9.5327,3570.0,5098.0,87.0,3690.0,5434.0,100.0,-120.0,-336.0,-13.0,0.0,0.0,0.0,0.0,2.0,0.0,5627.0,8113.0,149.0,5726.0,8634.0,156.0,-99.0,-521.0,-7.0,0.0,0.0,1.0,0.0,3.0,0.0,7566.0,10702.0,194.0,8161.0,11339.0,194.0,-595.0,-637.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,,,,,,,,,,,,,,,
LOLTMNT02_350922,complete,ROL,2026.0,1.0,1.0,16.03,Blue,mid,Asagao,V3 Esports,1.0,Syndra,Ryze,Jayce,Akali,Neeko,Kai'Sa,1651.0,0.0,0.0,8.0,2.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1817,1.1266,0.0,0.0,12.0,2.0,2.0,22.0,10138.0,6494.0,236.0024,9580.0,235.0,235.0,0.0,8.5403,3128.0,4362.0,68.0,3949.0,5053.0,82.0,-821.0,-691.0,-14.0,0.0,1.0,4.0,3.0,1.0,1.0,5150.0,7013.0,119.0,6480.0,8429.0,144.0,-1330.0,-1416.0,-25.0,0.0,1.0,5.0,5.0,2.0,1.0,7105.0,9717.0,168.0,10320.0,11925.0,201.0,-3215.0,-2208.0,-33.0,0.0,2.0,6.0,8.0,5.0,2.0,9589.0,12426.0,224.0,12286.0,14824.0,250.0,-2697.0,-2398.0,-26.0,0.0,2.0,6.0,8.0,8.0,2.0
LOLTMNT05_175360,complete,AL,2026.0,0.0,1.0,16.03,Blue,mid,Asagao,V3 Esports,1.0,Galio,Ryze,Akali,Azir,Malphite,Renekton,1313.0,0.0,0.0,8.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0914,1.508,0.0,0.0,10.0,3.0,2.0,19.0,6123.0,3169.0,144.8134,5850.0,154.0,154.0,0.0,7.0373,2859.0,4500.0,68.0,4007.0,5409.0,99.0,-1148.0,-909.0,-31.0,0.0,0.0,2.0,0.0,4.0,0.0,4305.0,7030.0,109.0,7018.0,8495.0,146.0,-2713.0,-1465.0,-37.0,0.0,1.0,4.0,2.0,8.0,0.0,5663.0,8957.0,143.0,9463.0,10551.0,172.0,-3800.0,-1594.0,-29.0,0.0,1.0,7.0,4.0,9.0,0.0,,,,,,,,,,,,,,,
