gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,bot,Azu,ALMO Players,1.0,Smolder,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,4.0,3.0,2.0,8.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,8.0,5.0,0.0,17.0,11138.0,7790.0,310.3586,11100.0,222.0,219.0,3.0,8.8446,3132.0,3643.0,71.0,3601.0,3792.0,95.0,-469.0,-149.0,-24.0,0.0,1.0,0.0,0.0,0.0,1.0,5401.0,5847.0,114.0,6282.0,6093.0,142.0,-881.0,-246.0,-28.0,1.0,2.0,0.0,1.0,0.0,2.0,8498.0,7924.0,157.0,9702.0,8392.0,189.0,-1204.0,-468.0,-32.0,3.0,2.0,1.0,3.0,2.0,3.0,11125.0,10678.0,222.0,12785.0,11880.0,234.0,-1660.0,-1202.0,-12.0,4.0,2.0,3.0,3.0,7.0,4.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,bot,Azu,ALMO Players,0.0,Lucian,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,8.0,4.0,8.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,0.8549,1.2665,0.0,0.0,9.0,9.0,0.0,25.0,16176.0,12035.0,381.0554,16330.0,271.0,264.0,7.0,8.5805,4175.0,3410.0,74.0,3626.0,3179.0,81.0,549.0,231.0,-7.0,2.0,3.0,1.0,1.0,0.0,2.0,6305.0,5703.0,134.0,6519.0,5283.0,141.0,-214.0,420.0,-7.0,2.0,3.0,1.0,1.0,0.0,2.0,9067.0,8609.0,189.0,8934.0,7589.0,197.0,133.0,1020.0,-8.0,4.0,4.0,1.0,1.0,1.0,2.0,12298.0,11854.0,231.0,10231.0,9134.0,224.0,2067.0,2720.0,7.0,7.0,6.0,1.0,1.0,2.0,5.0
LOLTMNT02_343036,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Azu,ALMO Players,1.0,Aphelios,Jayce,Akali,Renekton,Neeko,Taliyah,2016.0,0.0,8.0,4.0,4.0,20.0,23.0,1.0,1.0,0.0,0.0,0.0,0.5952,1.2798,0.0,0.0,11.0,8.0,1.0,33.0,17011.0,12623.0,375.6845,16525.0,312.0,288.0,24.0,9.2857,4711.0,4033.0,84.0,3191.0,3405.0,78.0,1520.0,628.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,8082.0,7152.0,147.0,5075.0,5465.0,122.0,3007.0,1687.0,25.0,5.0,0.0,0.0,0.0,0.0,2.0,10469.0,9930.0,201.0,7517.0,7938.0,171.0,2952.0,1992.0,30.0,5.0,2.0,1.0,0.0,2.0,4.0,12951.0,12492.0,253.0,9518.0,9517.0,211.0,3433.0,2975.0,42.0,5.0,3.0,1.0,0.0,2.0,4.0
LOLTMNT05_173046,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,Azu,ALMO Players,0.0,Varus,Jayce,Akali,Darius,Xayah,Neeko,1912.0,0.0,3.0,2.0,5.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3452,1.1611,0.0,0.0,13.0,9.0,1.0,33.0,14755.0,10579.0,331.977,13375.0,290.0,286.0,4.0,9.1004,3779.0,3595.0,86.0,3702.0,3799.0,102.0,77.0,-204.0,-16.0,1.0,0.0,0.0,0.0,1.0,0.0,5794.0,5644.0,128.0,6656.0,6345.0,163.0,-862.0,-701.0,-35.0,1.0,0.0,1.0,1.0,2.0,0.0,8427.0,8461.0,189.0,9170.0,8916.0,220.0,-743.0,-455.0,-31.0,1.0,3.0,1.0,1.0,2.0,0.0,11289.0,11834.0,238.0,12551.0,12110.0,274.0,-1262.0,-276.0,-36.0,1.0,5.0,1.0,3.0,5.0,0.0
LOLTMNT01_326135,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,Azu,ALMO Players,0.0,Varus,Orianna,Gwen,Jarvan IV,Lulu,Sylas,1918.0,0.0,3.0,4.0,3.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3128,1.0323,0.0,0.0,12.0,3.0,0.0,21.0,14512.0,10324.0,322.9614,13450.0,271.0,271.0,0.0,8.4776,3479.0,3886.0,85.0,3423.0,4017.0,95.0,56.0,-131.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5983.0,6386.0,128.0,6405.0,6014.0,133.0,-422.0,372.0,-5.0,1.0,1.0,1.0,2.0,1.0,0.0,8073.0,8677.0,181.0,9335.0,9294.0,195.0,-1262.0,-617.0,-14.0,1.0,1.0,2.0,3.0,4.0,0.0,11922.0,11248.0,221.0,12436.0,12935.0,270.0,-514.0,-1687.0,-49.0,3.0,3.0,3.0,4.0,7.0,0.0
LOLTMNT01_327086,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Azu,ALMO Players,1.0,Aphelios,Gwen,Wukong,Jarvan IV,Lulu,K'Sante,1532.0,0.0,9.0,6.0,3.0,17.0,28.0,3.0,0.0,0.0,0.0,0.0,0.6658,1.7624,0.0,0.0,10.0,4.0,0.0,22.0,14236.0,10835.0,424.3473,14050.0,195.0,195.0,0.0,7.6371,3874.0,3335.0,73.0,3660.0,3394.0,77.0,214.0,-59.0,-4.0,3.0,0.0,2.0,1.0,1.0,2.0,5840.0,5343.0,120.0,6622.0,5798.0,131.0,-782.0,-455.0,-11.0,3.0,1.0,2.0,2.0,1.0,2.0,7669.0,7505.0,157.0,10046.0,8267.0,170.0,-2377.0,-762.0,-13.0,3.0,2.0,3.0,6.0,2.0,4.0,12252.0,10383.0,192.0,13565.0,11392.0,219.0,-1313.0,-1009.0,-27.0,7.0,3.0,5.0,8.0,3.0,5.0
LOLTMNT01_331609,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,Azu,ALMO Players,0.0,Corki,Naafiri,Varus,Orianna,Lulu,Trundle,1384.0,0.0,0.0,6.0,6.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.5202,1.9075,0.0,1.0,9.0,2.0,0.0,19.0,8967.0,5868.0,254.3931,8933.0,190.0,186.0,4.0,8.237,3089.0,3632.0,69.0,3572.0,3679.0,78.0,-483.0,-47.0,-9.0,0.0,0.0,0.0,1.0,1.0,1.0,5527.0,5797.0,120.0,7409.0,6495.0,143.0,-1882.0,-698.0,-23.0,0.0,0.0,2.0,2.0,1.0,1.0,7968.0,9105.0,173.0,10835.0,9702.0,192.0,-2867.0,-597.0,-19.0,0.0,4.0,4.0,5.0,4.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_331638,complete,LCP,2026.0,0.0,2.0,16.02,Blue,bot,Azu,ALMO Players,1.0,Xayah,Naafiri,Akali,Varus,Lulu,Bard,1760.0,0.0,4.0,9.0,9.0,25.0,36.0,1.0,0.0,0.0,0.0,1.0,0.8523,2.0795,0.0,0.0,9.0,4.0,0.0,28.0,14210.0,10344.0,352.6364,14200.0,237.0,227.0,10.0,8.0795,3767.0,3406.0,68.0,4224.0,3630.0,74.0,-457.0,-224.0,-6.0,2.0,3.0,3.0,3.0,1.0,3.0,6233.0,5512.0,115.0,8938.0,6413.0,125.0,-2705.0,-901.0,-10.0,2.0,3.0,5.0,6.0,4.0,3.0,9561.0,8164.0,158.0,12078.0,9257.0,172.0,-2517.0,-1093.0,-14.0,4.0,6.0,7.0,8.0,8.0,4.0,12358.0,11162.0,205.0,14654.0,11040.0,215.0,-2296.0,122.0,-10.0,4.0,9.0,8.0,9.0,9.0,5.0
LOLTMNT02_354619,complete,LCK,2026.0,0.0,1.0,16.03,Red,bot,Azu,ALMO Players,0.0,Yunara,K'Sante,Dr. Mundo,Thresh,Xin Zhao,Karma,1734.0,0.0,5.0,4.0,10.0,16.0,24.0,1.0,0.0,0.0,0.0,1.0,0.5536,1.3495,0.0,0.0,12.0,4.0,2.0,22.0,15254.0,11441.0,395.8824,15300.0,234.0,226.0,8.0,8.0969,3501.0,3512.0,84.0,3313.0,3794.0,85.0,188.0,-282.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,6770.0,5332.0,127.0,5616.0,5496.0,132.0,1154.0,-164.0,-5.0,1.0,3.0,0.0,1.0,1.0,0.0,10122.0,7994.0,176.0,8000.0,8489.0,195.0,2122.0,-495.0,-19.0,3.0,6.0,0.0,1.0,2.0,1.0,12981.0,10502.0,209.0,11355.0,10594.0,217.0,1626.0,-92.0,-8.0,5.0,10.0,2.0,6.0,4.0,2.0
LOLTMNT02_353660,complete,HW,2026.0,0.0,2.0,16.03,Blue,bot,Azu,ALMO Players,1.0,Ezreal,Dr. Mundo,Thresh,Gwen,Darius,Azir,1801.0,1.0,5.0,2.0,7.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6996,0.9994,0.0,0.0,13.0,6.0,3.0,36.0,15809.0,11859.0,395.0805,13375.0,311.0,303.0,8.0,10.3609,4023.0,3601.0,97.0,3061.0,3257.0,74.0,962.0,344.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,6559.0,5620.0,138.0,4939.0,5577.0,119.0,1620.0,43.0,19.0,1.0,3.0,1.0,0.0,3.0,2.0,9667.0,8209.0,190.0,6409.0,7204.0,149.0,3258.0,1005.0,41.0,2.0,5.0,2.0,0.0,3.0,4.0,12350.0,11099.0,257.0,7833.0,8936.0,181.0,4517.0,2163.0,76.0,3.0,5.0,2.0,0.0,4.0,4.0
