gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,BOO KAIRU,Bamboo Juice,1.0,Varus,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,8.0,3.0,8.0,27.0,8.0,2.0,0.0,0.0,0.0,1.0,0.9122,1.1824,0.0,0.0,9.0,1.0,1.0,13.0,15070.0,11171.0,377.3986,14325.0,266.0,262.0,4.0,8.9865,3652.0,3092.0,80.0,3465.0,3725.0,87.0,187.0,-633.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,6886.0,5635.0,133.0,5395.0,5300.0,124.0,1491.0,335.0,9.0,4.0,1.0,1.0,0.0,1.0,2.0,9575.0,8442.0,186.0,8141.0,7432.0,189.0,1434.0,1010.0,-3.0,5.0,2.0,2.0,0.0,1.0,2.0,11915.0,11116.0,243.0,11509.0,10020.0,244.0,406.0,1096.0,-1.0,5.0,3.0,2.0,1.0,2.0,2.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,bot,BOO KAIRU,Bamboo Juice,1.0,Varus,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,3.0,5.0,2.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6996,2.1811,0.0,0.0,8.0,5.0,0.0,21.0,9385.0,6135.0,252.4691,9100.0,187.0,187.0,0.0,7.6955,3836.0,3485.0,75.0,4438.0,3842.0,86.0,-602.0,-357.0,-11.0,2.0,0.0,1.0,3.0,1.0,2.0,5947.0,5711.0,123.0,9016.0,6747.0,146.0,-3069.0,-1036.0,-23.0,2.0,0.0,2.0,6.0,2.0,2.0,7970.0,7575.0,160.0,12230.0,9491.0,190.0,-4260.0,-1916.0,-30.0,3.0,0.0,4.0,6.0,7.0,3.0,9385.0,9187.0,187.0,16553.0,13356.0,219.0,-7168.0,-4169.0,-32.0,3.0,2.0,5.0,13.0,9.0,3.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,bot,BOO KAIRU,Bamboo Juice,1.0,Varus,Orianna,Jayce,Sivir,Aphelios,Braum,1566.0,0.0,3.0,9.0,2.0,8.0,42.0,0.0,0.0,0.0,0.0,1.0,0.3065,1.9157,0.0,0.0,8.0,4.0,0.0,19.0,10823.0,7353.0,281.7241,10350.0,199.0,199.0,0.0,7.6245,3744.0,3706.0,83.0,3788.0,4228.0,95.0,-44.0,-522.0,-12.0,1.0,0.0,1.0,1.0,0.0,0.0,6000.0,5442.0,132.0,7271.0,7071.0,161.0,-1271.0,-1629.0,-29.0,1.0,0.0,3.0,2.0,2.0,0.0,8918.0,7648.0,154.0,10852.0,9770.0,195.0,-1934.0,-2122.0,-41.0,3.0,2.0,6.0,5.0,9.0,1.0,10403.0,9664.0,197.0,15857.0,13416.0,239.0,-5454.0,-3752.0,-42.0,3.0,2.0,8.0,11.0,12.0,1.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Ashe,Jayce,Azir,Jarvan IV,K'Sante,Sion,1790.0,0.0,2.0,8.0,3.0,8.0,32.0,0.0,0.0,0.0,0.0,1.0,0.2682,1.3408,0.0,0.0,9.0,9.0,0.0,37.0,12319.0,8392.0,281.2961,11700.0,231.0,231.0,0.0,7.743,2839.0,2211.0,40.0,3833.0,3467.0,66.0,-994.0,-1256.0,-26.0,1.0,0.0,4.0,2.0,5.0,1.0,5221.0,4647.0,78.0,7286.0,6461.0,126.0,-2065.0,-1814.0,-48.0,2.0,1.0,5.0,3.0,7.0,1.0,7619.0,6624.0,124.0,12368.0,9591.0,173.0,-4749.0,-2967.0,-49.0,2.0,2.0,6.0,8.0,10.0,1.0,10185.0,9691.0,188.0,14816.0,11990.0,215.0,-4631.0,-2299.0,-27.0,2.0,3.0,6.0,9.0,10.0,1.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Caitlyn,Ambessa,Yunara,Jayce,Rakan,Nautilus,1916.0,1.0,7.0,4.0,12.0,39.0,14.0,1.0,0.0,0.0,0.0,0.0,1.2213,1.6597,0.0,0.0,9.0,9.0,0.0,27.0,17785.0,13601.0,425.9186,15800.0,293.0,269.0,24.0,9.1754,3390.0,3669.0,86.0,4222.0,3953.0,96.0,-832.0,-284.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,6286.0,5918.0,134.0,6703.0,5988.0,137.0,-417.0,-70.0,-3.0,3.0,0.0,0.0,1.0,1.0,1.0,8927.0,8279.0,193.0,11077.0,8823.0,199.0,-2150.0,-544.0,-6.0,3.0,1.0,1.0,3.0,1.0,1.0,12991.0,11374.0,234.0,14109.0,10728.0,230.0,-1118.0,646.0,4.0,6.0,5.0,2.0,6.0,2.0,4.0
LOLTMNT04_151668,complete,LFL,2026.0,0.0,1.0,16.02,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Sivir,LeBlanc,Ahri,Qiyana,Braum,Rakan,2333.0,1.0,4.0,4.0,19.0,36.0,15.0,1.0,0.0,0.0,0.0,0.0,0.9258,1.3116,1.0,0.0,13.0,13.0,0.0,44.0,20742.0,15707.0,403.952,18980.0,378.0,358.0,20.0,9.7214,3985.0,3553.0,97.0,3977.0,3982.0,104.0,8.0,-429.0,-7.0,1.0,0.0,0.0,1.0,0.0,1.0,6989.0,5472.0,138.0,6079.0,6025.0,156.0,910.0,-553.0,-18.0,2.0,2.0,0.0,1.0,0.0,2.0,9831.0,8299.0,204.0,7966.0,8010.0,203.0,1865.0,289.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,12606.0,10749.0,252.0,12718.0,11174.0,246.0,-112.0,-425.0,6.0,2.0,7.0,2.0,5.0,1.0,4.0
LOLTMNT01_338201,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Caitlyn,Ambessa,Gwen,Orianna,Braum,Neeko,2090.0,0.0,6.0,4.0,5.0,19.0,27.0,0.0,0.0,0.0,0.0,1.0,0.5455,1.3206,0.0,0.0,15.0,9.0,3.0,38.0,16167.0,11628.0,333.8182,15775.0,317.0,313.0,4.0,9.1005,4272.0,3473.0,93.0,3635.0,3681.0,87.0,637.0,-208.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,6648.0,5157.0,131.0,6309.0,6044.0,128.0,339.0,-887.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,8706.0,7429.0,180.0,8971.0,8104.0,167.0,-265.0,-675.0,13.0,4.0,1.0,1.0,3.0,5.0,2.0,10452.0,9371.0,219.0,11096.0,10269.0,212.0,-644.0,-898.0,7.0,4.0,3.0,2.0,3.0,6.0,2.0
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Kai'Sa,Gwen,Lee Sin,Sivir,Neeko,Karma,1715.0,1.0,6.0,4.0,11.0,36.0,19.0,0.0,0.0,0.0,0.0,1.0,1.2595,1.9242,0.0,0.0,8.0,8.0,0.0,27.0,15437.0,11663.0,408.035,13575.0,240.0,229.0,11.0,8.3965,3835.0,3322.0,77.0,3756.0,3319.0,80.0,79.0,3.0,-3.0,1.0,1.0,2.0,2.0,1.0,0.0,6970.0,5923.0,130.0,5678.0,5309.0,122.0,1292.0,614.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,10262.0,8713.0,169.0,9065.0,8345.0,159.0,1197.0,368.0,10.0,3.0,7.0,3.0,4.0,3.0,3.0,12646.0,11288.0,210.0,12954.0,11053.0,196.0,-308.0,235.0,14.0,4.0,8.0,3.0,6.0,4.0,4.0
LOLTMNT05_176343,complete,AL,2026.0,0.0,1.0,16.03,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Sivir,Ryze,Aurora,Aphelios,Rakan,Yunara,1390.0,0.0,2.0,5.0,4.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4748,1.8129,0.0,0.0,8.0,3.0,0.0,17.0,10002.0,6891.0,297.4532,9750.0,184.0,184.0,0.0,7.9424,3216.0,3009.0,80.0,3991.0,3712.0,91.0,-775.0,-703.0,-11.0,0.0,0.0,1.0,1.0,2.0,0.0,5559.0,5113.0,118.0,7305.0,6125.0,129.0,-1746.0,-1012.0,-11.0,1.0,1.0,2.0,2.0,6.0,1.0,7388.0,7337.0,163.0,11398.0,9417.0,188.0,-4010.0,-2080.0,-25.0,1.0,1.0,3.0,6.0,7.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_351174,complete,HLL,2026.0,0.0,1.0,16.03,Red,bot,BOO KAIRU,Bamboo Juice,0.0,Caitlyn,Yunara,Aatrox,Ambessa,Jayce,Azir,1635.0,0.0,4.0,7.0,7.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5872,1.6881,0.0,0.0,10.0,4.0,2.0,24.0,12539.0,8928.0,327.633,12560.0,226.0,226.0,0.0,8.2936,3188.0,3337.0,77.0,4113.0,3518.0,83.0,-925.0,-181.0,-6.0,0.0,0.0,2.0,2.0,1.0,0.0,5328.0,4905.0,124.0,7280.0,6015.0,136.0,-1952.0,-1110.0,-12.0,0.0,0.0,3.0,3.0,1.0,0.0,9059.0,7596.0,161.0,10440.0,8200.0,165.0,-1381.0,-604.0,-4.0,3.0,3.0,4.0,7.0,1.0,2.0,11513.0,10098.0,201.0,13910.0,11724.0,200.0,-2397.0,-1626.0,1.0,4.0,5.0,6.0,9.0,5.0,2.0
