gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,sup,BOO SEKAI,Bamboo Juice,1.0,Rell,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,3.0,3.0,21.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9122,1.1824,0.0,0.0,36.0,22.0,5.0,110.0,9733.0,5834.0,197.0946,9005.0,38.0,38.0,0.0,1.2838,2504.0,2374.0,18.0,2662.0,2445.0,11.0,-158.0,-71.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,4618.0,3762.0,26.0,3666.0,3600.0,17.0,952.0,162.0,9.0,1.0,7.0,0.0,1.0,0.0,3.0,6320.0,5298.0,33.0,4713.0,6369.0,18.0,1607.0,-1071.0,15.0,2.0,9.0,0.0,1.0,0.0,3.0,8025.0,6648.0,38.0,5788.0,7838.0,25.0,2237.0,-1190.0,13.0,3.0,11.0,1.0,1.0,0.0,4.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,sup,BOO SEKAI,Bamboo Juice,1.0,Rell,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,0.0,6.0,7.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6996,2.1811,0.0,0.0,31.0,6.0,11.0,80.0,5739.0,2489.0,102.428,5315.0,29.0,29.0,0.0,1.1934,2590.0,2200.0,14.0,2524.0,2146.0,12.0,66.0,54.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,3611.0,3442.0,24.0,4398.0,4131.0,16.0,-787.0,-689.0,8.0,0.0,3.0,2.0,1.0,6.0,1.0,4839.0,5971.0,27.0,6274.0,6348.0,17.0,-1435.0,-377.0,10.0,0.0,6.0,4.0,2.0,13.0,2.0,5739.0,7213.0,29.0,8131.0,9293.0,20.0,-2392.0,-2080.0,9.0,0.0,7.0,6.0,2.0,21.0,3.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,sup,BOO SEKAI,Bamboo Juice,1.0,Rell,Orianna,Jayce,Sivir,Aphelios,Braum,1566.0,0.0,1.0,7.0,4.0,8.0,42.0,0.0,0.0,0.0,0.0,1.0,0.3065,1.9157,0.0,0.0,31.0,7.0,11.0,63.0,7441.0,3971.0,152.1456,7160.0,41.0,41.0,0.0,1.5709,2380.0,2781.0,16.0,2458.0,2927.0,11.0,-78.0,-146.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,3543.0,4455.0,33.0,4101.0,4598.0,15.0,-558.0,-143.0,18.0,0.0,1.0,1.0,0.0,5.0,0.0,6155.0,5781.0,33.0,6046.0,7401.0,20.0,109.0,-1620.0,13.0,1.0,4.0,4.0,1.0,15.0,0.0,7246.0,7866.0,41.0,8077.0,10649.0,22.0,-831.0,-2783.0,19.0,1.0,4.0,6.0,1.0,23.0,0.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Seraphine,Jayce,Azir,Jarvan IV,K'Sante,Sion,1790.0,0.0,0.0,4.0,5.0,8.0,32.0,0.0,0.0,0.0,0.0,1.0,0.2682,1.3408,0.0,0.0,37.0,10.0,12.0,76.0,7141.0,3214.0,107.7318,6560.0,42.0,42.0,0.0,1.4078,2567.0,3085.0,18.0,3066.0,1577.0,8.0,-499.0,1508.0,10.0,0.0,1.0,1.0,1.0,6.0,0.0,3960.0,4587.0,26.0,4670.0,3270.0,10.0,-710.0,1317.0,16.0,0.0,3.0,1.0,1.0,9.0,1.0,5051.0,6309.0,34.0,6677.0,5784.0,13.0,-1626.0,525.0,21.0,0.0,4.0,3.0,1.0,15.0,1.0,6181.0,8651.0,37.0,8004.0,8041.0,17.0,-1823.0,610.0,20.0,0.0,5.0,3.0,1.0,17.0,1.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Karma,Ambessa,Yunara,Jayce,Rakan,Nautilus,1916.0,1.0,0.0,3.0,27.0,39.0,14.0,0.0,0.0,0.0,0.0,1.0,1.2213,1.6597,0.0,0.0,36.0,12.0,5.0,93.0,10357.0,6173.0,193.309,8815.0,24.0,24.0,0.0,0.7516,2542.0,2992.0,11.0,2185.0,2786.0,13.0,357.0,206.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,3984.0,4882.0,15.0,3209.0,3646.0,20.0,775.0,1236.0,-5.0,0.0,5.0,1.0,0.0,0.0,3.0,5336.0,6260.0,21.0,4847.0,5769.0,22.0,489.0,491.0,-1.0,0.0,5.0,2.0,0.0,2.0,3.0,7544.0,9907.0,22.0,5948.0,8230.0,25.0,1596.0,1677.0,-3.0,0.0,17.0,3.0,0.0,4.0,6.0
LOLTMNT04_151668,complete,LFL,2026.0,0.0,1.0,16.02,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Alistar,LeBlanc,Ahri,Qiyana,Braum,Rakan,2333.0,1.0,2.0,3.0,21.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9258,1.3116,0.0,0.0,51.0,14.0,8.0,126.0,11229.0,6194.0,159.297,10280.0,43.0,41.0,2.0,1.1059,2435.0,2823.0,20.0,2478.0,2902.0,22.0,-43.0,-79.0,-2.0,0.0,1.0,1.0,0.0,1.0,0.0,4223.0,4195.0,27.0,3612.0,4232.0,32.0,611.0,-37.0,-5.0,2.0,2.0,1.0,0.0,1.0,1.0,5696.0,6374.0,31.0,5617.0,6259.0,35.0,79.0,115.0,-4.0,2.0,6.0,1.0,1.0,1.0,2.0,7299.0,8330.0,35.0,6913.0,8554.0,35.0,386.0,-224.0,0.0,2.0,10.0,2.0,1.0,6.0,4.0
LOLTMNT01_338201,complete,LCP,2026.0,0.0,1.0,16.02,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Rell,Ambessa,Gwen,Orianna,Braum,Neeko,2090.0,0.0,1.0,6.0,11.0,19.0,27.0,0.0,0.0,0.0,0.0,1.0,0.5455,1.3206,0.0,0.0,57.0,9.0,15.0,117.0,8666.0,4127.0,118.4785,8530.0,33.0,33.0,0.0,0.9474,2803.0,2847.0,21.0,2310.0,2561.0,17.0,493.0,286.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,4027.0,4020.0,25.0,3407.0,3847.0,22.0,620.0,173.0,3.0,1.0,3.0,2.0,0.0,2.0,3.0,5228.0,6109.0,26.0,4785.0,5437.0,27.0,443.0,672.0,-1.0,1.0,5.0,3.0,0.0,5.0,3.0,6347.0,7086.0,28.0,5752.0,6368.0,28.0,595.0,718.0,0.0,1.0,7.0,3.0,0.0,5.0,3.0
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Alistar,Gwen,Lee Sin,Sivir,Neeko,Karma,1715.0,1.0,1.0,3.0,21.0,36.0,19.0,0.0,0.0,0.0,0.0,1.0,1.2595,1.9242,0.0,0.0,41.0,8.0,7.0,95.0,8266.0,4492.0,157.1545,7030.0,23.0,23.0,0.0,0.8047,3034.0,3025.0,16.0,2509.0,2917.0,12.0,525.0,108.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,3989.0,4234.0,18.0,3633.0,3713.0,16.0,356.0,521.0,2.0,1.0,4.0,0.0,0.0,5.0,3.0,5346.0,5775.0,20.0,5638.0,5437.0,19.0,-292.0,338.0,1.0,1.0,8.0,0.0,1.0,6.0,4.0,6612.0,7210.0,21.0,7175.0,7021.0,19.0,-563.0,189.0,2.0,1.0,11.0,1.0,1.0,8.0,5.0
LOLTMNT05_176343,complete,AL,2026.0,0.0,1.0,16.03,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Rell,Ryze,Aurora,Aphelios,Rakan,Yunara,1390.0,0.0,0.0,7.0,8.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4748,1.8129,0.0,0.0,24.0,4.0,5.0,48.0,5764.0,2653.0,114.518,5585.0,26.0,26.0,0.0,1.1223,2368.0,2743.0,21.0,2503.0,2353.0,14.0,-135.0,390.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,3541.0,3808.0,23.0,4171.0,4219.0,19.0,-630.0,-411.0,4.0,0.0,2.0,4.0,0.0,12.0,2.0,4847.0,6392.0,25.0,6209.0,6473.0,23.0,-1362.0,-81.0,2.0,0.0,4.0,6.0,0.0,20.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_351174,complete,HLL,2026.0,0.0,1.0,16.03,Red,sup,BOO SEKAI,Bamboo Juice,0.0,Alistar,Yunara,Aatrox,Ambessa,Jayce,Azir,1635.0,0.0,0.0,7.0,5.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5872,1.6881,0.0,0.0,35.0,10.0,10.0,83.0,6233.0,2622.0,96.2202,5920.0,40.0,40.0,0.0,1.4679,2164.0,2341.0,15.0,2461.0,3011.0,10.0,-297.0,-670.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,3437.0,3773.0,30.0,3678.0,4078.0,15.0,-241.0,-305.0,15.0,0.0,0.0,2.0,0.0,3.0,0.0,4800.0,6263.0,35.0,5418.0,6180.0,16.0,-618.0,83.0,19.0,0.0,4.0,4.0,1.0,8.0,3.0,5766.0,8049.0,39.0,7131.0,8362.0,19.0,-1365.0,-313.0,20.0,0.0,4.0,6.0,2.0,13.0,5.0
