gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,top,BOO YonYon,Bamboo Juice,1.0,Ryze,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,4.0,1.0,7.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9122,1.1824,0.0,0.0,16.0,8.0,3.0,52.0,14285.0,10386.0,350.8784,15225.0,301.0,295.0,6.0,10.1689,3786.0,4972.0,90.0,3133.0,5177.0,72.0,653.0,-205.0,18.0,1.0,0.0,1.0,0.0,1.0,1.0,5816.0,8790.0,147.0,4779.0,8650.0,127.0,1037.0,140.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,8593.0,12446.0,207.0,6931.0,11709.0,178.0,1662.0,737.0,29.0,2.0,1.0,1.0,1.0,1.0,2.0,10867.0,14746.0,248.0,9048.0,14074.0,209.0,1819.0,672.0,39.0,2.0,3.0,1.0,2.0,1.0,3.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,BOO YonYon,Bamboo Juice,1.0,Ryze,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,3.0,10.0,2.0,17.0,36.0,0.0,0.0,0.0,0.0,1.0,0.6996,2.1811,0.0,0.0,8.0,0.0,0.0,12.0,7095.0,3845.0,158.2305,6750.0,111.0,111.0,0.0,4.5679,2899.0,3474.0,44.0,3792.0,4650.0,76.0,-893.0,-1176.0,-32.0,1.0,0.0,1.0,2.0,0.0,1.0,5009.0,7274.0,72.0,5846.0,8171.0,108.0,-837.0,-897.0,-36.0,3.0,0.0,4.0,4.0,0.0,3.0,6193.0,9218.0,94.0,9836.0,11544.0,151.0,-3643.0,-2326.0,-57.0,3.0,2.0,7.0,10.0,0.0,3.0,7095.0,10266.0,111.0,12939.0,15522.0,184.0,-5844.0,-5256.0,-73.0,3.0,2.0,10.0,13.0,5.0,4.0
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,top,BOO YonYon,Bamboo Juice,1.0,Akali,Orianna,Jayce,Sivir,Aphelios,Braum,1566.0,0.0,2.0,7.0,4.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,0.3065,1.9157,0.0,0.0,12.0,3.0,1.0,30.0,8238.0,4768.0,182.682,8025.0,174.0,174.0,0.0,6.6667,3563.0,4899.0,78.0,3341.0,4882.0,70.0,222.0,17.0,8.0,2.0,0.0,1.0,1.0,0.0,2.0,5234.0,8186.0,128.0,5216.0,8733.0,115.0,18.0,-547.0,13.0,2.0,0.0,2.0,2.0,0.0,2.0,6916.0,10231.0,147.0,8807.0,13308.0,166.0,-1891.0,-3077.0,-19.0,2.0,4.0,5.0,5.0,3.0,2.0,8060.0,11728.0,171.0,11029.0,16873.0,197.0,-2969.0,-5145.0,-26.0,2.0,4.0,6.0,6.0,8.0,2.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Red,top,BOO YonYon,Bamboo Juice,0.0,Vladimir,Jayce,Azir,Jarvan IV,K'Sante,Sion,1790.0,0.0,1.0,6.0,1.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2682,1.3408,0.0,0.0,14.0,2.0,1.0,34.0,9863.0,5936.0,198.9721,9225.0,262.0,258.0,4.0,8.7821,3728.0,5490.0,94.0,3054.0,4839.0,74.0,674.0,651.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,4988.0,7826.0,122.0,4691.0,7797.0,101.0,297.0,29.0,21.0,1.0,0.0,2.0,1.0,0.0,2.0,6513.0,10288.0,163.0,6525.0,11096.0,131.0,-12.0,-808.0,32.0,1.0,1.0,4.0,2.0,2.0,4.0,8101.0,13152.0,213.0,8603.0,13935.0,158.0,-502.0,-783.0,55.0,1.0,1.0,5.0,4.0,2.0,5.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Red,mid,BOO YonYon,Bamboo Juice,0.0,Kassadin,Ambessa,Yunara,Jayce,Rakan,Nautilus,1916.0,1.0,13.0,3.0,13.0,39.0,14.0,2.0,1.0,0.0,0.0,1.0,1.2213,1.6597,0.0,0.0,14.0,10.0,4.0,52.0,17184.0,13000.0,407.0981,15600.0,266.0,266.0,0.0,8.3299,4096.0,5323.0,86.0,4202.0,5773.0,95.0,-106.0,-450.0,-9.0,1.0,4.0,1.0,1.0,1.0,1.0,6922.0,9810.0,148.0,6093.0,7998.0,128.0,829.0,1812.0,20.0,4.0,4.0,1.0,3.0,1.0,3.0,9385.0,12167.0,196.0,7672.0,9728.0,160.0,1713.0,2439.0,36.0,5.0,4.0,1.0,3.0,1.0,4.0,13480.0,16100.0,232.0,9113.0,11862.0,190.0,4367.0,4238.0,42.0,11.0,10.0,2.0,3.0,4.0,6.0
LOLTMNT04_151668,complete,LFL,2026.0,0.0,1.0,16.02,Red,mid,BOO YonYon,Bamboo Juice,0.0,Veigar,LeBlanc,Ahri,Qiyana,Braum,Rakan,2333.0,1.0,12.0,2.0,8.0,36.0,15.0,2.0,0.0,0.0,0.0,0.0,0.9258,1.3116,0.0,0.0,19.0,10.0,4.0,48.0,19700.0,14665.0,377.1539,19400.0,335.0,316.0,19.0,8.6155,3701.0,5411.0,104.0,3372.0,5410.0,92.0,329.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5829.0,8097.0,158.0,4882.0,7587.0,134.0,947.0,510.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,8785.0,11408.0,194.0,6626.0,9802.0,183.0,2159.0,1606.0,11.0,3.0,2.0,1.0,0.0,0.0,3.0,11720.0,14448.0,243.0,8296.0,12873.0,228.0,3424.0,1575.0,15.0,6.0,2.0,1.0,0.0,3.0,3.0
LOLTMNT01_338201,complete,LCP,2026.0,0.0,1.0,16.02,Red,mid,BOO YonYon,Bamboo Juice,0.0,Viktor,Ambessa,Gwen,Orianna,Braum,Neeko,2090.0,0.0,3.0,5.0,5.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.5455,1.3206,0.0,0.0,17.0,2.0,4.0,42.0,12884.0,8345.0,239.5694,12450.0,258.0,258.0,0.0,7.4067,3505.0,4917.0,86.0,3253.0,5028.0,89.0,252.0,-111.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5212.0,7325.0,132.0,5226.0,7847.0,136.0,-14.0,-522.0,-4.0,0.0,0.0,1.0,1.0,0.0,1.0,7443.0,10158.0,179.0,7198.0,10642.0,192.0,245.0,-484.0,-13.0,1.0,0.0,1.0,1.0,0.0,2.0,9241.0,12507.0,222.0,8700.0,12142.0,212.0,541.0,365.0,10.0,1.0,1.0,2.0,1.0,2.0,2.0
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Red,mid,BOO YonYon,Bamboo Juice,0.0,Orianna,Gwen,Lee Sin,Sivir,Neeko,Karma,1715.0,1.0,8.0,4.0,15.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,1.2595,1.9242,0.0,0.0,11.0,8.0,2.0,37.0,13740.0,9966.0,348.6647,11950.0,224.0,219.0,5.0,7.8367,3644.0,4715.0,88.0,3636.0,4737.0,83.0,8.0,-22.0,5.0,0.0,3.0,1.0,1.0,2.0,2.0,5578.0,7458.0,130.0,5095.0,6914.0,113.0,483.0,544.0,17.0,0.0,5.0,1.0,1.0,4.0,3.0,8822.0,10871.0,175.0,6900.0,9258.0,162.0,1922.0,1613.0,13.0,3.0,7.0,1.0,1.0,4.0,5.0,10788.0,14254.0,213.0,8709.0,11031.0,193.0,2079.0,3223.0,20.0,4.0,9.0,3.0,1.0,5.0,6.0
LOLTMNT05_176343,complete,AL,2026.0,0.0,1.0,16.03,Red,mid,BOO YonYon,Bamboo Juice,0.0,Kassadin,Ryze,Aurora,Aphelios,Rakan,Yunara,1390.0,0.0,1.0,6.0,1.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4748,1.8129,0.0,0.0,9.0,5.0,1.0,23.0,8181.0,5070.0,218.8489,7775.0,177.0,177.0,0.0,7.6403,3449.0,5118.0,82.0,4662.0,5164.0,96.0,-1213.0,-46.0,-14.0,0.0,0.0,0.0,3.0,1.0,0.0,5325.0,6453.0,105.0,8111.0,7803.0,133.0,-2786.0,-1350.0,-28.0,1.0,0.0,3.0,8.0,3.0,1.0,7173.0,8938.0,155.0,11912.0,11276.0,178.0,-4739.0,-2338.0,-23.0,1.0,0.0,4.0,11.0,7.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_351174,complete,HLL,2026.0,0.0,1.0,16.03,Red,mid,BOO YonYon,Bamboo Juice,0.0,Kassadin,Yunara,Aatrox,Ambessa,Jayce,Azir,1635.0,0.0,3.0,5.0,6.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5872,1.6881,0.0,0.0,9.0,2.0,2.0,28.0,10732.0,7121.0,261.3211,10300.0,232.0,232.0,0.0,8.5138,4279.0,5276.0,87.0,3528.0,4874.0,89.0,751.0,402.0,-2.0,2.0,0.0,1.0,0.0,3.0,1.0,6018.0,7857.0,139.0,5949.0,7984.0,143.0,69.0,-127.0,-4.0,2.0,0.0,1.0,0.0,4.0,1.0,7860.0,9636.0,165.0,9099.0,11540.0,199.0,-1239.0,-1904.0,-34.0,3.0,3.0,3.0,2.0,6.0,1.0,9801.0,12661.0,212.0,12876.0,17143.0,255.0,-3075.0,-4482.0,-43.0,3.0,4.0,4.0,4.0,10.0,2.0
