gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336220,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Baca,One More Esports,0.0,Syndra,Rumble,Caitlyn,Orianna,Akali,Yone,1640.0,0.0,3.0,5.0,0.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1463,0.878,0.0,0.0,16.0,2.0,4.0,33.0,12467.0,8846.0,323.6341,12350.0,252.0,252.0,0.0,9.2195,3678.0,5348.0,97.0,3774.0,5509.0,109.0,-96.0,-161.0,-12.0,0.0,0.0,0.0,0.0,2.0,0.0,5496.0,7978.0,146.0,5824.0,8365.0,159.0,-328.0,-387.0,-13.0,0.0,0.0,1.0,1.0,4.0,0.0,7392.0,10623.0,197.0,7921.0,11331.0,217.0,-529.0,-708.0,-20.0,0.0,0.0,2.0,1.0,5.0,0.0,10920.0,12723.0,239.0,9768.0,14177.0,244.0,1152.0,-1454.0,-5.0,2.0,0.0,4.0,2.0,12.0,1.0
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Baca,One More Esports,1.0,Orianna,Bard,Caitlyn,Jarvan IV,Nocturne,Vi,2114.0,0.0,5.0,4.0,3.0,14.0,24.0,1.0,0.0,0.0,0.0,0.0,0.3974,1.0785,0.0,0.0,16.0,8.0,2.0,40.0,14040.0,9452.0,268.2687,14510.0,321.0,317.0,4.0,9.1107,3944.0,4666.0,85.0,3622.0,5195.0,100.0,322.0,-529.0,-15.0,2.0,0.0,0.0,0.0,0.0,0.0,6259.0,7615.0,145.0,5319.0,7738.0,145.0,940.0,-123.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,8266.0,10241.0,193.0,7978.0,11713.0,202.0,288.0,-1472.0,-9.0,4.0,1.0,1.0,2.0,3.0,2.0,10471.0,12872.0,239.0,10238.0,16021.0,251.0,233.0,-3149.0,-12.0,5.0,1.0,3.0,3.0,3.0,2.0
LOLTMNT01_320332,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Baca,One More Esports,1.0,Ryze,Neeko,Poppy,Ambessa,Jax,Malphite,2074.0,0.0,3.0,4.0,6.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4918,1.1861,0.0,0.0,21.0,4.0,9.0,47.0,14859.0,10352.0,299.4793,15285.0,338.0,338.0,0.0,9.7782,3800.0,5200.0,101.0,3559.0,5142.0,101.0,241.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5463.0,8020.0,153.0,5244.0,7533.0,151.0,219.0,487.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,7379.0,10444.0,202.0,8583.0,11251.0,216.0,-1204.0,-807.0,-14.0,0.0,3.0,1.0,2.0,2.0,1.0,9947.0,14203.0,239.0,10116.0,13374.0,243.0,-169.0,829.0,-4.0,2.0,4.0,2.0,2.0,8.0,3.0
LOLTMNT03_337513,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Baca,One More Esports,1.0,Taliyah,Neeko,Poppy,Lillia,Akali,Galio,1595.0,0.0,1.0,5.0,6.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.489,1.6552,0.0,0.0,15.0,2.0,7.0,34.0,9549.0,6020.0,226.4577,9425.0,217.0,217.0,0.0,8.163,3516.0,5254.0,90.0,3407.0,5242.0,92.0,109.0,12.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,5091.0,7541.0,130.0,5236.0,8192.0,146.0,-145.0,-651.0,-16.0,0.0,3.0,0.0,0.0,1.0,1.0,6646.0,9448.0,161.0,8234.0,12317.0,191.0,-1588.0,-2869.0,-30.0,0.0,4.0,3.0,2.0,8.0,1.0,9262.0,12933.0,214.0,9805.0,15071.0,205.0,-543.0,-2138.0,9.0,1.0,6.0,4.0,2.0,15.0,3.0
LOLTMNT02_343037,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Baca,One More Esports,1.0,Ryze,Qiyana,Caitlyn,Neeko,Fiora,Taliyah,2490.0,0.0,12.0,4.0,10.0,26.0,20.0,2.0,2.0,0.0,0.0,1.0,0.6265,1.1084,0.0,0.0,25.0,13.0,9.0,60.0,20570.0,15215.0,366.6265,21425.0,406.0,394.0,12.0,9.7831,3754.0,5487.0,111.0,3411.0,4962.0,99.0,343.0,525.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,5894.0,8541.0,175.0,5157.0,7396.0,148.0,737.0,1145.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,8747.0,11760.0,237.0,8157.0,10354.0,203.0,590.0,1406.0,34.0,2.0,3.0,1.0,2.0,1.0,1.0,11725.0,16084.0,283.0,10350.0,12641.0,245.0,1375.0,3443.0,38.0,5.0,4.0,1.0,3.0,2.0,2.0
LOLTMNT06_166043,complete,LFL,2026.0,0.0,2.0,16.01,Red,mid,Baca,One More Esports,0.0,Taliyah,Qiyana,Rumble,Orianna,Poppy,Leona,1705.0,0.0,2.0,4.0,5.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2815,0.9853,0.0,0.0,18.0,6.0,8.0,34.0,10777.0,7023.0,247.1437,10500.0,259.0,259.0,0.0,9.1144,3321.0,4950.0,88.0,3435.0,5088.0,91.0,-114.0,-138.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,5195.0,7729.0,140.0,5089.0,7404.0,130.0,106.0,325.0,10.0,0.0,2.0,0.0,1.0,1.0,1.0,7280.0,9816.0,181.0,8265.0,10795.0,187.0,-985.0,-979.0,-6.0,1.0,2.0,1.0,3.0,2.0,1.0,9118.0,12462.0,233.0,10248.0,13640.0,235.0,-1130.0,-1178.0,-2.0,1.0,4.0,2.0,3.0,3.0,1.0
LOLTMNT03_341342,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Baca,One More Esports,0.0,Orianna,Jayce,Rumble,Ambessa,Alistar,Rakan,2485.0,1.0,6.0,1.0,15.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7243,1.0865,0.0,0.0,30.0,5.0,12.0,61.0,17719.0,12374.0,298.7686,14750.0,395.0,387.0,8.0,9.5372,3735.0,5196.0,95.0,3697.0,5055.0,92.0,38.0,141.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,5460.0,7862.0,153.0,5531.0,7884.0,148.0,-71.0,-22.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,8085.0,11471.0,223.0,7271.0,10884.0,206.0,814.0,587.0,17.0,2.0,3.0,0.0,1.0,0.0,1.0,9745.0,13827.0,271.0,9218.0,13878.0,259.0,527.0,-51.0,12.0,2.0,3.0,0.0,1.0,1.0,1.0
LOLTMNT04_149134,complete,LEC,2026.0,0.0,2.0,16.01,Blue,mid,Baca,One More Esports,1.0,Azir,Malphite,Ambessa,Aphelios,Gnar,Neeko,2088.0,0.0,4.0,6.0,5.0,12.0,24.0,0.0,0.0,0.0,0.0,1.0,0.3448,1.0345,0.0,0.0,21.0,9.0,10.0,58.0,14947.0,10412.0,299.1954,14275.0,321.0,317.0,4.0,9.2241,3934.0,5355.0,97.0,3412.0,4761.0,86.0,522.0,594.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,6068.0,7962.0,148.0,5352.0,7609.0,143.0,716.0,353.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,8189.0,10433.0,199.0,8737.0,10771.0,196.0,-548.0,-338.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,9724.0,12486.0,235.0,10590.0,12476.0,233.0,-866.0,10.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Red,mid,Baca,One More Esports,0.0,Syndra,Jayce,Rumble,Ryze,Akali,Viktor,1732.0,0.0,2.0,2.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2079,0.97,0.0,0.0,18.0,5.0,7.0,32.0,11306.0,7497.0,259.7113,11375.0,265.0,265.0,0.0,9.1801,3416.0,4698.0,94.0,3135.0,4777.0,80.0,281.0,-79.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5509.0,7277.0,139.0,5441.0,7806.0,127.0,68.0,-529.0,12.0,1.0,1.0,0.0,1.0,3.0,0.0,7508.0,9985.0,193.0,7962.0,10008.0,166.0,-454.0,-23.0,27.0,1.0,2.0,1.0,2.0,4.0,0.0,10207.0,12421.0,241.0,9640.0,12682.0,217.0,567.0,-261.0,24.0,2.0,2.0,1.0,2.0,4.0,0.0
LOLTMNT01_331565,complete,LCP,2026.0,0.0,1.0,16.01,Red,mid,Baca,One More Esports,0.0,Cassiopeia,Jayce,Rengar,Neeko,Sylas,Xin Zhao,1504.0,0.0,4.0,2.0,2.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.359,0.9574,0.0,0.0,15.0,4.0,5.0,30.0,10253.0,6909.0,275.625,9975.0,231.0,231.0,0.0,9.2154,3921.0,5222.0,102.0,4063.0,5211.0,96.0,-142.0,11.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,6347.0,8350.0,161.0,5882.0,7655.0,145.0,465.0,695.0,16.0,3.0,1.0,0.0,2.0,0.0,2.0,7961.0,10566.0,202.0,8848.0,10414.0,201.0,-887.0,152.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,10244.0,13778.0,231.0,13160.0,13844.0,248.0,-2916.0,-66.0,-17.0,4.0,2.0,2.0,6.0,6.0,2.0
