gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150239,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Baro,Meavedron,0.0,Fiora,Jayce,Aurora,Rumble,Sion,K'Sante,2118.0,0.0,3.0,8.0,2.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.3683,1.2748,0.0,0.0,13.0,3.0,0.0,40.0,13791.0,9195.0,260.4816,13183.0,259.0,257.0,2.0,7.3371,3006.0,4963.0,79.0,3175.0,5100.0,83.0,-169.0,-137.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4820.0,8230.0,128.0,5287.0,9238.0,132.0,-467.0,-1008.0,-4.0,0.0,0.0,2.0,1.0,0.0,0.0,6931.0,10592.0,159.0,7045.0,11775.0,169.0,-114.0,-1183.0,-10.0,1.0,0.0,3.0,1.0,2.0,0.0,8619.0,12742.0,192.0,8777.0,15405.0,194.0,-158.0,-2663.0,-2.0,2.0,0.0,5.0,1.0,7.0,0.0
LOLTMNT04_151072,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Baro,Meavedron,0.0,Zaahen,Ambessa,Orianna,Jayce,Aphelios,Corki,2309.0,0.0,6.0,3.0,7.0,16.0,27.0,1.0,0.0,0.0,0.0,1.0,0.4158,1.1174,0.0,0.0,16.0,5.0,2.0,51.0,15683.0,10697.0,277.9645,15033.0,275.0,271.0,4.0,7.146,3402.0,4844.0,75.0,2975.0,4852.0,69.0,427.0,-8.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,5293.0,8813.0,135.0,4442.0,8543.0,114.0,851.0,270.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,6843.0,11752.0,175.0,7117.0,11736.0,155.0,-274.0,16.0,20.0,1.0,1.0,1.0,2.0,2.0,1.0,8587.0,15039.0,218.0,8490.0,13352.0,171.0,97.0,1687.0,47.0,1.0,3.0,2.0,3.0,4.0,2.0
LOLTMNT01_334000,complete,LJL,2026.0,0.0,1.0,16.02,Blue,top,Baro,Meavedron,1.0,Sion,Ekko,Syndra,Malphite,Darius,Yorick,2199.0,1.0,1.0,5.0,7.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.6548,1.2005,0.0,0.0,19.0,5.0,6.0,43.0,13828.0,9066.0,247.367,14500.0,285.0,281.0,4.0,7.7763,3078.0,5139.0,78.0,3320.0,5410.0,93.0,-242.0,-271.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,8488.0,121.0,4905.0,8429.0,129.0,175.0,59.0,-8.0,1.0,1.0,2.0,0.0,2.0,1.0,6964.0,11437.0,167.0,7093.0,12029.0,177.0,-129.0,-592.0,-10.0,1.0,1.0,3.0,1.0,4.0,2.0,8623.0,14260.0,209.0,9578.0,15290.0,233.0,-955.0,-1030.0,-24.0,1.0,1.0,3.0,1.0,4.0,2.0
LOLTMNT01_334943,complete,LJL,2026.0,0.0,2.0,16.02,Blue,top,Baro,Meavedron,1.0,Aurora,Ekko,Syndra,Sylas,Darius,Rakan,1413.0,1.0,6.0,3.0,4.0,34.0,12.0,1.0,0.0,0.0,0.0,0.0,1.4437,1.9533,0.0,0.0,8.0,1.0,0.0,16.0,10067.0,6909.0,293.3758,8450.0,177.0,177.0,0.0,7.5159,3432.0,5131.0,84.0,2711.0,5025.0,50.0,721.0,106.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5156.0,8803.0,129.0,4716.0,8993.0,93.0,440.0,-190.0,36.0,0.0,0.0,1.0,1.0,0.0,1.0,7456.0,11799.0,164.0,6750.0,10922.0,119.0,706.0,877.0,45.0,1.0,2.0,2.0,2.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_348955,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,top,Baro,Meavedron,1.0,Ambessa,Nunu & Willump,Malphite,Varus,Orianna,Renekton,1580.0,1.0,4.0,0.0,2.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.8354,1.1013,0.0,0.0,11.0,2.0,1.0,24.0,11438.0,7939.0,301.481,9675.0,242.0,238.0,4.0,9.1899,3239.0,5472.0,80.0,3261.0,5100.0,86.0,-22.0,372.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5709.0,9236.0,126.0,5016.0,8569.0,131.0,693.0,667.0,-5.0,2.0,0.0,0.0,0.0,4.0,0.0,7713.0,12612.0,181.0,6512.0,10951.0,171.0,1201.0,1661.0,10.0,2.0,0.0,0.0,0.0,6.0,0.0,10232.0,17074.0,225.0,7919.0,13084.0,210.0,2313.0,3990.0,15.0,3.0,2.0,0.0,0.0,7.0,1.0
LOLTMNT05_176049,complete,LEC,2026.0,0.0,2.0,16.02,Blue,top,Baro,Meavedron,1.0,Renekton,Nunu & Willump,Malphite,Gnar,Thresh,Alistar,2557.0,1.0,5.0,3.0,5.0,24.0,25.0,0.0,0.0,0.0,0.0,1.0,0.5632,1.1498,0.0,0.0,16.0,4.0,1.0,42.0,17959.0,12467.0,292.5381,15825.0,354.0,338.0,16.0,8.3066,4421.0,5494.0,95.0,2867.0,4117.0,69.0,1554.0,1377.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0,6585.0,8641.0,143.0,4448.0,6862.0,103.0,2137.0,1779.0,40.0,2.0,1.0,1.0,0.0,3.0,3.0,8805.0,11621.0,183.0,6066.0,9770.0,153.0,2739.0,1851.0,30.0,3.0,1.0,1.0,0.0,3.0,3.0,11225.0,15604.0,257.0,7681.0,12549.0,201.0,3544.0,3055.0,56.0,3.0,1.0,1.0,0.0,3.0,3.0
LOLTMNT02_350488,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,top,Baro,Meavedron,1.0,Renekton,Zed,Malphite,Ambessa,Sion,Ornn,1394.0,1.0,4.0,2.0,7.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,1.076,1.3773,0.0,0.0,9.0,2.0,1.0,23.0,9701.0,6582.0,283.2999,8775.0,161.0,161.0,0.0,6.9297,3720.0,5117.0,68.0,3286.0,4627.0,75.0,434.0,490.0,-7.0,1.0,2.0,0.0,1.0,0.0,3.0,5642.0,8494.0,101.0,5200.0,8267.0,117.0,442.0,227.0,-16.0,2.0,4.0,2.0,1.0,1.0,3.0,8052.0,12092.0,153.0,6590.0,10613.0,152.0,1462.0,1479.0,1.0,3.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_350496,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,top,Baro,Meavedron,1.0,Zaahen,Zed,Malphite,Orianna,Wukong,Xin Zhao,1751.0,1.0,5.0,1.0,8.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0623,1.5077,0.0,0.0,12.0,1.0,2.0,34.0,14180.0,10332.0,354.0377,13358.0,238.0,228.0,10.0,8.1553,4259.0,4646.0,74.0,3084.0,4347.0,62.0,1175.0,299.0,12.0,3.0,2.0,0.0,1.0,0.0,2.0,6935.0,8688.0,128.0,4514.0,7204.0,97.0,2421.0,1484.0,31.0,4.0,2.0,0.0,1.0,0.0,3.0,9772.0,11935.0,184.0,7395.0,10450.0,132.0,2377.0,1485.0,52.0,4.0,2.0,0.0,3.0,3.0,3.0,12479.0,16007.0,226.0,8617.0,12345.0,157.0,3862.0,3662.0,69.0,5.0,4.0,1.0,3.0,4.0,6.0
LOLTMNT05_176646,complete,LIT,2026.0,0.0,1.0,16.03,Red,top,Baro,Meavedron,0.0,Ambessa,Ryze,Orianna,Jayce,K'Sante,Renekton,1456.0,0.0,4.0,4.0,2.0,12.0,35.0,0.0,0.0,0.0,0.0,1.0,0.4945,1.9368,0.0,0.0,10.0,1.0,2.0,21.0,9018.0,5772.0,237.8571,8800.0,194.0,194.0,0.0,7.9945,3916.0,5289.0,86.0,3753.0,5398.0,90.0,163.0,-109.0,-4.0,2.0,0.0,0.0,1.0,0.0,2.0,5548.0,9075.0,136.0,5982.0,8980.0,142.0,-434.0,95.0,-6.0,2.0,0.0,1.0,2.0,1.0,2.0,8096.0,12382.0,187.0,8515.0,12652.0,190.0,-419.0,-270.0,-3.0,4.0,1.0,1.0,4.0,1.0,3.0,9018.0,13098.0,194.0,10972.0,16844.0,208.0,-1954.0,-3746.0,-14.0,4.0,2.0,4.0,6.0,9.0,3.0
LOLTMNT02_354876,complete,LCS,2026.0,0.0,2.0,16.03,Blue,top,Baro,Meavedron,1.0,Aatrox,,Orianna,Malphite,Gnar,,1608.0,0.0,1.0,6.0,2.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.4851,1.5299,0.0,0.0,8.0,1.0,0.0,21.0,8112.0,4556.0,170.0,8100.0,183.0,183.0,0.0,6.8284,3146.0,5318.0,81.0,3490.0,5162.0,91.0,-344.0,156.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.0,8488.0,121.0,6739.0,9786.0,147.0,-2114.0,-1298.0,-26.0,0.0,0.0,1.0,3.0,0.0,0.0,6625.0,11397.0,159.0,8833.0,13187.0,205.0,-2208.0,-1790.0,-46.0,1.0,1.0,2.0,3.0,0.0,0.0,7871.0,12962.0,182.0,11458.0,16824.0,231.0,-3587.0,-3862.0,-49.0,1.0,2.0,5.0,4.0,5.0,1.0
