gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Bobsik,eSuba,1.0,Ambessa,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,1.0,4.0,5.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,10.0,2.0,1.0,24.0,9852.0,6782.0,297.0219,9100.0,199.0,191.0,8.0,8.7153,3287.0,4813.0,76.0,4354.0,5728.0,99.0,-1067.0,-915.0,-23.0,0.0,1.0,2.0,2.0,0.0,1.0,5137.0,8090.0,116.0,6699.0,9740.0,157.0,-1562.0,-1650.0,-41.0,0.0,2.0,3.0,3.0,0.0,2.0,7968.0,11879.0,172.0,8521.0,12170.0,197.0,-553.0,-291.0,-25.0,0.0,4.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Bobsik,eSuba,0.0,Jax,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,9.0,4.0,3.0,20.0,15.0,3.0,1.0,0.0,0.0,1.0,0.6312,1.1047,0.0,0.0,14.0,10.0,1.0,54.0,15280.0,11126.0,351.1625,13275.0,265.0,257.0,8.0,8.364,3933.0,5493.0,76.0,3308.0,4492.0,78.0,625.0,1001.0,-2.0,2.0,1.0,1.0,1.0,0.0,3.0,6300.0,8752.0,116.0,4855.0,7909.0,109.0,1445.0,843.0,7.0,4.0,1.0,3.0,1.0,3.0,4.0,8507.0,11952.0,162.0,6439.0,10696.0,156.0,2068.0,1256.0,6.0,4.0,1.0,3.0,1.0,3.0,5.0,10223.0,14101.0,204.0,7939.0,13398.0,197.0,2284.0,703.0,7.0,4.0,1.0,4.0,1.0,4.0,5.0
LOLTMNT01_334173,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Bobsik,eSuba,0.0,Rumble,Jayce,Ryze,Orianna,Ezreal,Sivir,2202.0,0.0,2.0,4.0,10.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5722,1.1172,0.0,0.0,16.0,6.0,3.0,52.0,14510.0,9742.0,265.4496,14175.0,279.0,279.0,0.0,7.6022,3697.0,5211.0,96.0,3121.0,4808.0,83.0,576.0,403.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6067.0,9011.0,146.0,4794.0,8054.0,132.0,1273.0,957.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,7965.0,10779.0,172.0,7134.0,10681.0,164.0,831.0,98.0,8.0,1.0,2.0,2.0,1.0,2.0,3.0,10122.0,14637.0,224.0,8385.0,12745.0,194.0,1737.0,1892.0,30.0,1.0,3.0,2.0,1.0,2.0,4.0
LOLTMNT01_334197,complete,LJL,2026.0,0.0,2.0,16.02,Red,top,Bobsik,eSuba,0.0,Rek'Sai,Jayce,Ryze,Orianna,Lulu,Karma,1589.0,0.0,1.0,3.0,2.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4531,1.6237,0.0,1.0,10.0,1.0,0.0,22.0,9253.0,5736.0,216.589,8950.0,204.0,200.0,4.0,7.703,3360.0,5200.0,67.0,3154.0,5132.0,78.0,206.0,68.0,-11.0,1.0,0.0,0.0,0.0,0.0,1.0,5428.0,9198.0,126.0,4784.0,8739.0,129.0,644.0,459.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,7314.0,12573.0,180.0,7033.0,12299.0,180.0,281.0,274.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,9052.0,13863.0,203.0,8664.0,15201.0,203.0,388.0,-1338.0,0.0,1.0,2.0,2.0,1.0,7.0,2.0
LOLTMNT04_151797,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,Bobsik,eSuba,0.0,Yorick,Diana,Ambessa,Orianna,,Karma,1978.0,1.0,7.0,3.0,6.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5157,0.9707,0.0,0.0,14.0,1.0,3.0,31.0,18512.0,14201.0,430.7685,16108.0,323.0,319.0,4.0,9.7978,3741.0,5098.0,98.0,3262.0,5038.0,84.0,479.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7154.0,10129.0,161.0,4469.0,7555.0,114.0,2685.0,2574.0,47.0,2.0,0.0,0.0,0.0,0.0,2.0,9891.0,12681.0,190.0,6819.0,10830.0,150.0,3072.0,1851.0,40.0,5.0,0.0,2.0,2.0,0.0,2.0,12831.0,16072.0,249.0,8906.0,14706.0,196.0,3925.0,1366.0,53.0,5.0,0.0,3.0,3.0,2.0,2.0
LOLTMNT02_346771,complete,LJL,2026.0,0.0,2.0,16.02,Blue,top,Bobsik,eSuba,1.0,Gwen,Taliyah,Orianna,Diana,Karma,Poppy,1447.0,1.0,4.0,1.0,4.0,29.0,6.0,1.0,0.0,0.0,0.0,0.0,1.2025,1.4098,1.0,0.0,9.0,3.0,0.0,28.0,9219.0,5992.0,248.4589,8500.0,197.0,193.0,4.0,8.1686,3323.0,5403.0,86.0,2905.0,4976.0,70.0,418.0,427.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5134.0,8913.0,139.0,4680.0,9508.0,125.0,454.0,-595.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,7120.0,11810.0,175.0,6309.0,11736.0,163.0,811.0,74.0,12.0,1.0,0.0,1.0,0.0,0.0,2.0,9219.0,15109.0,197.0,7350.0,13741.0,190.0,1869.0,1368.0,7.0,4.0,4.0,1.0,0.0,0.0,4.0
LOLTMNT02_356496,complete,HW,2026.0,0.0,1.0,16.03,Blue,top,Bobsik,eSuba,1.0,Rumble,Ivern,Syndra,Viktor,K'Sante,Ornn,1493.0,1.0,11.0,5.0,6.0,44.0,12.0,1.0,0.0,0.0,0.0,0.0,1.7683,2.2505,0.0,0.0,9.0,0.0,0.0,15.0,11829.0,8508.0,341.9156,10100.0,152.0,151.0,1.0,6.1085,4046.0,4332.0,59.0,4393.0,3774.0,69.0,-347.0,558.0,-10.0,3.0,2.0,2.0,3.0,0.0,4.0,6928.0,9351.0,99.0,6991.0,6734.0,110.0,-63.0,2617.0,-11.0,8.0,3.0,2.0,5.0,0.0,7.0,10094.0,12807.0,140.0,10545.0,10471.0,173.0,-451.0,2336.0,-33.0,11.0,3.0,3.0,6.0,0.0,9.0,11829.0,15213.0,152.0,12628.0,12135.0,190.0,-799.0,3078.0,-38.0,11.0,6.0,5.0,8.0,1.0,12.0
LOLTMNT02_356516,complete,HW,2026.0,0.0,2.0,16.03,Blue,top,Bobsik,eSuba,1.0,Sion,Ivern,Syndra,Viktor,Corki,Sivir,1988.0,1.0,8.0,6.0,15.0,49.0,23.0,1.0,0.0,0.0,0.0,1.0,1.4789,2.173,0.0,0.0,11.0,2.0,2.0,31.0,13788.0,9457.0,285.4225,12200.0,222.0,222.0,0.0,6.7002,3848.0,5515.0,73.0,2899.0,3805.0,52.0,949.0,1710.0,21.0,2.0,3.0,1.0,0.0,1.0,5.0,6258.0,9417.0,110.0,4968.0,7114.0,86.0,1290.0,2303.0,24.0,5.0,5.0,2.0,1.0,1.0,7.0,9015.0,13228.0,170.0,7085.0,10259.0,125.0,1930.0,2969.0,45.0,6.0,7.0,2.0,2.0,1.0,10.0,10538.0,15870.0,191.0,9180.0,13945.0,162.0,1358.0,1925.0,29.0,6.0,11.0,4.0,2.0,6.0,10.0
LOLTMNT02_355549,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,top,Bobsik,eSuba,1.0,K'Sante,Ivern,Viktor,Vladimir,Lulu,Karma,1572.0,1.0,12.0,3.0,8.0,34.0,16.0,1.0,0.0,0.0,0.0,0.0,1.2977,1.9084,0.0,0.0,6.0,1.0,2.0,13.0,12685.0,9203.0,351.2595,11980.0,191.0,191.0,0.0,7.2901,4210.0,5509.0,83.0,2872.0,3883.0,62.0,1338.0,1626.0,21.0,4.0,0.0,0.0,0.0,0.0,4.0,7820.0,10314.0,139.0,3910.0,5584.0,86.0,3910.0,4730.0,53.0,9.0,1.0,0.0,0.0,0.0,8.0,9530.0,12459.0,167.0,7590.0,9649.0,139.0,1940.0,2810.0,28.0,9.0,3.0,1.0,1.0,1.0,9.0,11814.0,15461.0,187.0,10935.0,14091.0,180.0,879.0,1370.0,7.0,11.0,7.0,2.0,3.0,4.0,9.0
LOLTMNT06_168053,complete,LIT,2026.0,0.0,1.0,16.03,Red,top,Bobsik,eSuba,0.0,Jayce,Sivir,Ambessa,Orianna,Pantheon,Vi,2003.0,0.0,0.0,5.0,4.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5392,1.1682,0.0,0.0,14.0,3.0,0.0,34.0,10851.0,6489.0,194.3784,10150.0,275.0,275.0,0.0,8.2376,3200.0,4921.0,77.0,3479.0,5134.0,88.0,-279.0,-213.0,-11.0,0.0,1.0,0.0,0.0,1.0,1.0,4710.0,8219.0,126.0,5776.0,9637.0,148.0,-1066.0,-1418.0,-22.0,0.0,1.0,1.0,1.0,1.0,1.0,6725.0,11769.0,177.0,7964.0,12169.0,183.0,-1239.0,-400.0,-6.0,0.0,3.0,2.0,2.0,1.0,3.0,8331.0,14702.0,225.0,9628.0,14686.0,211.0,-1297.0,16.0,14.0,0.0,3.0,3.0,2.0,4.0,3.0
