gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166032,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,Bonnie,S2G Esports,0.0,Dr. Mundo,Mel,Wukong,Ambessa,Azir,Syndra,1541.0,1.0,2.0,0.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4283,0.5062,1.0,0.0,10.0,7.0,6.0,52.0,11069.0,7650.0,297.8585,9350.0,233.0,19.0,214.0,9.072,4008.0,4581.0,90.0,3706.0,4499.0,83.0,302.0,82.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,5944.0,7426.0,140.0,5157.0,6352.0,117.0,787.0,1074.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,8399.0,11006.0,195.0,6600.0,7938.0,139.0,1799.0,3068.0,56.0,2.0,0.0,0.0,0.0,2.0,1.0,10732.0,14544.0,231.0,7934.0,9829.0,162.0,2798.0,4715.0,69.0,2.0,2.0,0.0,0.0,2.0,2.0
LOLTMNT02_343039,complete,ROL,2026.0,0.0,2.0,16.01,Blue,jng,Bonnie,S2G Esports,1.0,Xin Zhao,Mel,Ambessa,Neeko,Alistar,Jax,1890.0,1.0,1.0,3.0,7.0,15.0,12.0,0.0,0.0,0.0,0.0,1.0,0.4762,0.8571,1.0,0.0,9.0,11.0,5.0,50.0,13194.0,9063.0,287.7143,13100.0,260.0,27.0,233.0,8.254,4128.0,4822.0,91.0,3400.0,3985.0,72.0,728.0,837.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,6261.0,7944.0,139.0,5037.0,6377.0,108.0,1224.0,1567.0,31.0,1.0,3.0,0.0,0.0,2.0,2.0,8727.0,11261.0,193.0,6456.0,8493.0,138.0,2271.0,2768.0,55.0,1.0,3.0,0.0,0.0,2.0,2.0,10486.0,13870.0,234.0,8134.0,10848.0,169.0,2352.0,3022.0,65.0,1.0,3.0,1.0,0.0,3.0,3.0
LOLTMNT01_334934,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Bonnie,S2G Esports,0.0,Jarvan IV,Jayce,Sion,Neeko,Xin Zhao,Wukong,1896.0,0.0,1.0,3.0,6.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2532,0.9177,0.0,1.0,9.0,13.0,6.0,51.0,10379.0,6236.0,197.3418,10200.0,210.0,33.0,177.0,6.6456,3383.0,3863.0,76.0,3949.0,4373.0,80.0,-566.0,-510.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,4833.0,5758.0,111.0,6275.0,7843.0,139.0,-1442.0,-2085.0,-28.0,0.0,0.0,1.0,1.0,1.0,0.0,7033.0,9061.0,152.0,8876.0,10686.0,183.0,-1843.0,-1625.0,-31.0,1.0,3.0,1.0,2.0,1.0,0.0,8325.0,11428.0,177.0,11338.0,12494.0,201.0,-3013.0,-1066.0,-24.0,1.0,4.0,1.0,4.0,2.0,1.0
LOLTMNT01_334936,complete,LJL,2026.0,0.0,2.0,16.02,Red,jng,Bonnie,S2G Esports,0.0,Vi,Jayce,Sion,Orianna,Xin Zhao,Nocturne,1488.0,0.0,0.0,3.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0403,0.6855,0.0,1.0,8.0,7.0,4.0,41.0,7160.0,3849.0,155.2016,6925.0,136.0,22.0,114.0,5.4839,2878.0,3311.0,52.0,3238.0,3960.0,65.0,-360.0,-649.0,-13.0,0.0,0.0,0.0,0.0,1.0,0.0,4411.0,5796.0,89.0,5242.0,6854.0,110.0,-831.0,-1058.0,-21.0,0.0,0.0,0.0,0.0,1.0,0.0,5757.0,7551.0,120.0,7650.0,9839.0,146.0,-1893.0,-2288.0,-26.0,0.0,0.0,1.0,1.0,2.0,0.0,7160.0,9324.0,136.0,11020.0,13546.0,185.0,-3860.0,-4222.0,-49.0,0.0,1.0,3.0,3.0,7.0,0.0
LOLTMNT02_350063,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,Bonnie,S2G Esports,0.0,Pantheon,Jayce,Varus,Neeko,Xin Zhao,Qiyana,1985.0,1.0,3.0,2.0,6.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6045,0.8766,2.0,0.0,10.0,4.0,8.0,34.0,13106.0,8781.0,265.4207,11350.0,237.0,9.0,228.0,7.1637,3485.0,4309.0,80.0,3555.0,4461.0,84.0,-70.0,-152.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5013.0,6492.0,112.0,5532.0,6726.0,122.0,-519.0,-234.0,-10.0,0.0,1.0,1.0,1.0,2.0,1.0,6994.0,9482.0,160.0,7206.0,8793.0,157.0,-212.0,689.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,9093.0,12471.0,192.0,9829.0,11328.0,188.0,-736.0,1143.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0
LOLTMNT02_350086,complete,LCS,2026.0,0.0,2.0,16.02,Red,jng,Bonnie,S2G Esports,0.0,Vi,Jayce,Varus,Neeko,Qiyana,Viego,1639.0,1.0,1.0,0.0,8.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5125,0.5857,0.0,0.0,11.0,11.0,6.0,51.0,11740.0,8121.0,297.291,9650.0,225.0,28.0,197.0,8.2367,3625.0,4620.0,88.0,3524.0,4292.0,83.0,101.0,328.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5606.0,7100.0,128.0,5042.0,6444.0,119.0,564.0,656.0,9.0,0.0,4.0,0.0,0.0,0.0,1.0,8149.0,10759.0,180.0,6499.0,8329.0,150.0,1650.0,2430.0,30.0,0.0,5.0,0.0,0.0,0.0,1.0,10406.0,13761.0,199.0,8498.0,10659.0,189.0,1908.0,3102.0,10.0,1.0,6.0,0.0,0.0,0.0,1.0
LOLTMNT05_175585,complete,TCL,2026.0,0.0,1.0,16.03,Blue,jng,Bonnie,S2G Esports,1.0,Pantheon,Akali,Orianna,Kai'Sa,Aatrox,Xin Zhao,1988.0,1.0,10.0,0.0,7.0,21.0,9.0,1.0,1.0,0.0,0.0,0.0,0.6338,0.9054,0.0,0.0,10.0,6.0,7.0,51.0,16124.0,11793.0,355.9256,15425.0,252.0,9.0,243.0,7.6056,3400.0,4083.0,73.0,4169.0,4501.0,85.0,-769.0,-418.0,-12.0,0.0,1.0,0.0,1.0,0.0,0.0,5542.0,6986.0,122.0,6230.0,6780.0,118.0,-688.0,206.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,9145.0,10840.0,169.0,8749.0,9304.0,156.0,396.0,1536.0,13.0,5.0,1.0,0.0,2.0,3.0,2.0,11528.0,13714.0,204.0,10677.0,11615.0,195.0,851.0,2099.0,9.0,7.0,1.0,0.0,2.0,3.0,2.0
LOLTMNT05_176544,complete,AL,2026.0,0.0,2.0,16.03,Blue,jng,Bonnie,S2G Esports,1.0,Dr. Mundo,Akali,Xayah,Kai'Sa,Rakan,Lulu,2052.0,1.0,1.0,1.0,13.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.614,0.9357,2.0,0.0,10.0,10.0,8.0,62.0,14788.0,10326.0,301.9298,14000.0,308.0,25.0,283.0,9.0058,3652.0,4394.0,84.0,3962.0,3997.0,71.0,-310.0,397.0,13.0,0.0,1.0,1.0,2.0,1.0,0.0,5705.0,7223.0,128.0,6054.0,6720.0,116.0,-349.0,503.0,12.0,1.0,1.0,1.0,3.0,1.0,0.0,7888.0,10872.0,173.0,8107.0,9102.0,154.0,-219.0,1770.0,19.0,1.0,4.0,1.0,3.0,1.0,1.0,10573.0,15709.0,240.0,9222.0,10507.0,171.0,1351.0,5202.0,69.0,1.0,5.0,1.0,3.0,1.0,3.0
LOLTMNT02_354227,complete,LCP,2026.0,1.0,1.0,16.03,Red,jng,Bonnie,S2G Esports,0.0,Xin Zhao,Dr. Mundo,Jarvan IV,Orianna,Kai'Sa,Rakan,1672.0,1.0,8.0,0.0,6.0,20.0,4.0,3.0,0.0,0.0,0.0,1.0,0.7177,0.8612,1.0,0.0,10.0,13.0,9.0,51.0,14255.0,10569.0,379.2703,12725.0,241.0,27.0,214.0,8.6483,3796.0,4661.0,89.0,3339.0,4049.0,76.0,457.0,612.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,5689.0,7412.0,138.0,4910.0,5980.0,113.0,779.0,1432.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,8574.0,10993.0,192.0,7092.0,8983.0,155.0,1482.0,2010.0,37.0,2.0,2.0,0.0,1.0,0.0,1.0,12387.0,14576.0,212.0,8679.0,11196.0,179.0,3708.0,3380.0,33.0,6.0,5.0,0.0,1.0,2.0,4.0
LOLTMNT02_354263,complete,LCK,2026.0,0.0,2.0,16.03,Blue,jng,Bonnie,S2G Esports,1.0,Qiyana,Akali,Dr. Mundo,Neeko,Braum,Sivir,2189.0,1.0,7.0,5.0,8.0,23.0,14.0,1.0,0.0,0.0,0.0,1.0,0.6304,1.0142,1.0,1.0,10.0,15.0,7.0,63.0,18915.0,14174.0,388.5062,16825.0,298.0,51.0,247.0,8.1681,4304.0,4167.0,79.0,3870.0,4367.0,77.0,434.0,-200.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6739.0,7338.0,135.0,5942.0,6903.0,118.0,797.0,435.0,17.0,1.0,2.0,1.0,2.0,1.0,2.0,9021.0,10524.0,180.0,8491.0,10106.0,161.0,530.0,418.0,19.0,1.0,4.0,3.0,3.0,5.0,2.0,11301.0,12430.0,209.0,10348.0,13096.0,201.0,953.0,-666.0,8.0,2.0,4.0,3.0,3.0,5.0,2.0
