gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337985,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Bull,LOUD,0.0,Kai'Sa,Varus,Ambessa,Poppy,Bard,Syndra,1779.0,0.0,2.0,6.0,1.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2024,1.1467,0.0,0.0,10.0,5.0,1.0,20.0,12405.0,8500.0,286.6779,12375.0,267.0,263.0,4.0,9.0051,3259.0,3322.0,86.0,3813.0,3736.0,98.0,-554.0,-414.0,-12.0,0.0,0.0,1.0,0.0,0.0,0.0,5880.0,5609.0,132.0,6342.0,6238.0,148.0,-462.0,-629.0,-16.0,1.0,0.0,1.0,0.0,1.0,1.0,8547.0,7382.0,171.0,11431.0,9836.0,212.0,-2884.0,-2454.0,-41.0,2.0,0.0,2.0,4.0,1.0,2.0,10347.0,9985.0,221.0,14907.0,12354.0,241.0,-4560.0,-2369.0,-20.0,2.0,0.0,4.0,7.0,3.0,2.0
LOLTMNT05_172198,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,bot,Bull,LOUD,0.0,Sivir,Orianna,Rumble,Renekton,Zaahen,K'Sante,1821.0,1.0,10.0,2.0,8.0,23.0,16.0,2.0,1.0,1.0,0.0,1.0,0.7578,1.285,0.0,0.0,13.0,12.0,4.0,52.0,17675.0,13685.0,450.9061,15350.0,314.0,306.0,8.0,10.346,3882.0,3873.0,97.0,3203.0,3322.0,69.0,679.0,551.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,6901.0,6440.0,150.0,5995.0,5615.0,119.0,906.0,825.0,31.0,3.0,2.0,0.0,3.0,0.0,2.0,9560.0,9214.0,207.0,8758.0,8920.0,181.0,802.0,294.0,26.0,3.0,4.0,1.0,3.0,3.0,2.0,12739.0,12215.0,261.0,10313.0,11316.0,221.0,2426.0,899.0,40.0,5.0,6.0,1.0,3.0,4.0,3.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Red,bot,Bull,LOUD,1.0,Lucian,Taliyah,Malphite,Renekton,Rakan,Ezreal,1643.0,0.0,1.0,6.0,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1461,1.1321,0.0,0.0,9.0,6.0,0.0,21.0,10557.0,6930.0,253.0736,10200.0,210.0,210.0,0.0,7.6689,2909.0,3331.0,70.0,4981.0,3875.0,89.0,-2072.0,-544.0,-19.0,0.0,0.0,2.0,6.0,1.0,0.0,4753.0,5266.0,105.0,7686.0,6964.0,149.0,-2933.0,-1698.0,-44.0,0.0,0.0,2.0,6.0,1.0,0.0,7824.0,7701.0,155.0,10433.0,9293.0,193.0,-2609.0,-1592.0,-38.0,1.0,0.0,3.0,7.0,4.0,1.0,9687.0,9819.0,197.0,13208.0,11547.0,236.0,-3521.0,-1728.0,-39.0,1.0,1.0,5.0,9.0,5.0,2.0
LOLTMNT04_150460,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,Bull,LOUD,1.0,Corki,Taliyah,Sylas,Malphite,Bard,Nautilus,2657.0,1.0,9.0,4.0,4.0,17.0,31.0,4.0,0.0,0.0,0.0,0.0,0.3839,1.0839,1.0,0.0,16.0,5.0,0.0,31.0,26870.0,21174.0,478.1483,21533.0,452.0,424.0,28.0,10.207,3460.0,3848.0,90.0,3737.0,3885.0,88.0,-277.0,-37.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5676.0,5599.0,140.0,7179.0,6579.0,146.0,-1503.0,-980.0,-6.0,0.0,0.0,1.0,3.0,2.0,0.0,8330.0,8841.0,209.0,9430.0,9028.0,197.0,-1100.0,-187.0,12.0,0.0,1.0,1.0,3.0,3.0,1.0,10925.0,11779.0,272.0,12154.0,12399.0,257.0,-1229.0,-620.0,15.0,0.0,1.0,2.0,3.0,5.0,1.0
LOLTMNT04_150463,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,bot,Bull,LOUD,0.0,Ezreal,Jayce,Varus,Thresh,Malphite,Jarvan IV,2019.0,1.0,1.0,0.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.2675,0.4458,0.0,0.0,17.0,13.0,6.0,53.0,17167.0,12773.0,379.584,15483.0,367.0,365.0,2.0,10.9064,3633.0,3958.0,99.0,3515.0,3533.0,89.0,118.0,425.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6097.0,6582.0,154.0,6420.0,6084.0,137.0,-323.0,498.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,9130.0,9999.0,218.0,9004.0,9272.0,207.0,126.0,727.0,11.0,0.0,3.0,0.0,2.0,0.0,1.0,11569.0,12727.0,281.0,11226.0,11671.0,263.0,343.0,1056.0,18.0,0.0,3.0,0.0,2.0,1.0,1.0
LOLTMNT01_335968,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Bull,LOUD,0.0,Sivir,Orianna,Jayce,Rumble,K'Sante,Alistar,2137.0,0.0,0.0,4.0,4.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2808,0.8704,0.0,0.0,13.0,8.0,2.0,29.0,14574.0,9939.0,279.0547,13800.0,321.0,317.0,4.0,9.0126,3272.0,3637.0,82.0,3618.0,3555.0,90.0,-346.0,82.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,5742.0,6067.0,127.0,6564.0,6550.0,150.0,-822.0,-483.0,-23.0,0.0,0.0,1.0,1.0,2.0,0.0,7850.0,9040.0,194.0,9126.0,9907.0,226.0,-1276.0,-867.0,-32.0,0.0,0.0,1.0,1.0,2.0,0.0,10152.0,11748.0,237.0,12841.0,12084.0,256.0,-2689.0,-336.0,-19.0,0.0,1.0,1.0,4.0,2.0,1.0
LOLTMNT01_337440,complete,AL,2026.0,0.0,1.0,16.02,Blue,bot,Bull,LOUD,0.0,Corki,Jayce,Varus,Orianna,Ezreal,Sivir,1719.0,0.0,2.0,5.0,1.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1745,0.8028,0.0,0.0,11.0,8.0,1.0,33.0,12691.0,8909.0,310.9599,11908.0,276.0,268.0,8.0,9.6335,3246.0,3536.0,79.0,4323.0,3738.0,104.0,-1077.0,-202.0,-25.0,0.0,0.0,2.0,2.0,0.0,0.0,5240.0,5731.0,129.0,7418.0,6691.0,159.0,-2178.0,-960.0,-30.0,0.0,0.0,3.0,3.0,2.0,0.0,8545.0,8538.0,191.0,10667.0,9531.0,218.0,-2122.0,-993.0,-27.0,1.0,1.0,4.0,4.0,5.0,0.0,10481.0,10844.0,247.0,13182.0,12232.0,275.0,-2701.0,-1388.0,-28.0,1.0,1.0,4.0,4.0,6.0,0.0
LOLTMNT02_352361,complete,LCP,2026.0,1.0,1.0,16.03,Blue,bot,Bull,LOUD,0.0,Kai'Sa,Jayce,Varus,Orianna,Bard,Corki,2201.0,1.0,2.0,1.0,10.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.5179,0.9541,0.0,0.0,16.0,7.0,4.0,37.0,17814.0,13048.0,355.6929,15525.0,328.0,321.0,7.0,8.9414,3385.0,3801.0,89.0,3773.0,3634.0,95.0,-388.0,167.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,5979.0,6115.0,143.0,6506.0,5819.0,151.0,-527.0,296.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,8661.0,9262.0,213.0,9527.0,8684.0,219.0,-866.0,578.0,-6.0,0.0,0.0,0.0,1.0,1.0,0.0,10318.0,11562.0,239.0,12351.0,11152.0,265.0,-2033.0,410.0,-26.0,0.0,3.0,1.0,2.0,3.0,1.0
LOLTMNT02_351402,complete,LCK,2026.0,0.0,2.0,16.03,Red,bot,Bull,LOUD,1.0,Ezreal,Orianna,Malphite,Ahri,Corki,Sivir,1899.0,1.0,3.0,1.0,2.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.3791,0.7267,0.0,0.0,13.0,6.0,3.0,33.0,16169.0,12019.0,379.7472,14458.0,353.0,353.0,0.0,11.1532,3302.0,3799.0,88.0,3876.0,3324.0,88.0,-574.0,475.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5608.0,6500.0,144.0,6383.0,5469.0,132.0,-775.0,1031.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0,8252.0,9420.0,201.0,9289.0,8494.0,194.0,-1037.0,926.0,7.0,1.0,1.0,1.0,5.0,1.0,0.0,11082.0,13056.0,262.0,11904.0,10832.0,245.0,-822.0,2224.0,17.0,1.0,2.0,1.0,6.0,1.0,0.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,bot,Bull,LOUD,0.0,Ezreal,Orianna,Jayce,Bard,Nami,Sivir,2565.0,0.0,3.0,5.0,5.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3743,0.9123,0.0,0.0,17.0,15.0,4.0,47.0,18717.0,13209.0,308.9825,18283.0,402.0,386.0,16.0,9.4035,3391.0,3605.0,94.0,3753.0,3643.0,93.0,-362.0,-38.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4829.0,5091.0,126.0,7878.0,7048.0,155.0,-3049.0,-1957.0,-29.0,0.0,0.0,3.0,3.0,3.0,0.0,7142.0,7692.0,184.0,10330.0,9546.0,212.0,-3188.0,-1854.0,-28.0,0.0,1.0,3.0,3.0,5.0,0.0,9509.0,10205.0,240.0,12665.0,11034.0,243.0,-3156.0,-829.0,-3.0,0.0,3.0,4.0,5.0,6.0,1.0
