gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164317,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Caliste,Karmine Corp,1.0,Ezreal,Malphite,Pantheon,Ambessa,Alistar,Rell,2135.0,1.0,5.0,0.0,7.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5621,0.8712,0.0,0.0,18.0,9.0,4.0,33.0,20349.0,15718.0,441.7237,18200.0,408.0,377.0,31.0,11.466,3789.0,3686.0,82.0,3677.0,3644.0,92.0,112.0,42.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,6585.0,6556.0,139.0,6231.0,6495.0,147.0,354.0,61.0,-8.0,2.0,0.0,0.0,1.0,1.0,0.0,9452.0,9632.0,211.0,8598.0,9893.0,225.0,854.0,-261.0,-14.0,2.0,0.0,0.0,1.0,1.0,0.0,13271.0,13604.0,281.0,10590.0,12342.0,274.0,2681.0,1262.0,7.0,4.0,2.0,0.0,1.0,3.0,1.0
LOLTMNT01_323365,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Caliste,Karmine Corp,0.0,Caitlyn,Varus,Jayce,Pantheon,K'Sante,Galio,1934.0,0.0,3.0,3.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2482,0.7446,0.0,0.0,14.0,11.0,1.0,41.0,16932.0,12711.0,394.3433,15575.0,344.0,344.0,0.0,10.6722,3714.0,4172.0,101.0,3397.0,4072.0,86.0,317.0,100.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6731.0,6851.0,163.0,6531.0,6821.0,149.0,200.0,30.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,9143.0,9280.0,224.0,9841.0,10312.0,216.0,-698.0,-1032.0,8.0,1.0,0.0,1.0,1.0,3.0,0.0,11663.0,12303.0,295.0,12441.0,13111.0,288.0,-778.0,-808.0,7.0,1.0,0.0,1.0,1.0,3.0,0.0
LOLTMNT03_339476,complete,HLL,2026.0,0.0,1.0,16.01,Red,bot,Caliste,Karmine Corp,1.0,Aphelios,Sion,Malphite,Jarvan IV,Jax,Nocturne,2241.0,1.0,5.0,2.0,5.0,15.0,11.0,0.0,0.0,0.0,0.0,1.0,0.4016,0.6961,0.0,0.0,22.0,8.0,7.0,47.0,19987.0,15140.0,405.3548,17725.0,418.0,387.0,31.0,11.1914,3985.0,3320.0,90.0,3670.0,3291.0,90.0,315.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6723.0,6215.0,158.0,5916.0,5834.0,145.0,807.0,381.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,9251.0,8640.0,210.0,8151.0,8491.0,183.0,1100.0,149.0,27.0,1.0,3.0,1.0,0.0,3.0,2.0,11233.0,11315.0,274.0,10683.0,11607.0,253.0,550.0,-292.0,21.0,1.0,3.0,1.0,1.0,3.0,2.0
LOLTMNT01_326685,complete,HLL,2026.0,0.0,1.0,16.02,Red,bot,Caliste,Karmine Corp,1.0,Yunara,Irelia,Vi,Akali,Gwen,Ambessa,2240.0,1.0,8.0,2.0,10.0,22.0,6.0,1.0,0.0,0.0,0.0,1.0,0.5893,0.75,0.0,0.0,21.0,17.0,6.0,68.0,22320.0,17475.0,468.0804,19750.0,453.0,418.0,35.0,12.1339,3792.0,3820.0,97.0,4063.0,3965.0,101.0,-271.0,-145.0,-4.0,1.0,2.0,1.0,1.0,0.0,0.0,6689.0,6145.0,146.0,6556.0,6099.0,149.0,133.0,46.0,-3.0,2.0,3.0,1.0,1.0,1.0,1.0,9158.0,8957.0,206.0,8572.0,8945.0,209.0,586.0,12.0,-3.0,3.0,4.0,2.0,1.0,2.0,1.0,12491.0,12230.0,267.0,11643.0,11964.0,269.0,848.0,266.0,-2.0,5.0,5.0,2.0,3.0,2.0,1.0
LOLTMNT01_328152,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,Caliste,Karmine Corp,1.0,Yunara,Jayce,Pantheon,Jarvan IV,Anivia,Nami,2023.0,1.0,4.0,0.0,5.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5635,0.6822,1.0,0.0,17.0,11.0,3.0,44.0,18142.0,13739.0,407.4839,15825.0,372.0,348.0,24.0,11.0331,3682.0,3790.0,98.0,3360.0,3447.0,90.0,322.0,343.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6405.0,6441.0,151.0,5508.0,5538.0,139.0,897.0,903.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,8896.0,9371.0,209.0,7785.0,8800.0,208.0,1111.0,571.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11776.0,12561.0,273.0,10257.0,11207.0,264.0,1519.0,1354.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0
LOLTMNT04_152008,complete,TCL,2026.0,0.0,1.0,16.02,Red,bot,Caliste,Karmine Corp,1.0,Yunara,K'Sante,Sion,Akali,Renekton,Alistar,1848.0,1.0,5.0,0.0,4.0,16.0,6.0,1.0,1.0,0.0,0.0,1.0,0.5195,0.7143,0.0,0.0,15.0,12.0,3.0,43.0,15934.0,11888.0,385.974,12450.0,341.0,331.0,10.0,11.0714,3397.0,3644.0,93.0,3838.0,4144.0,101.0,-441.0,-500.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,6477.0,149.0,5934.0,6632.0,147.0,-58.0,-155.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,9311.0,10270.0,219.0,7899.0,9588.0,203.0,1412.0,682.0,16.0,2.0,4.0,0.0,0.0,0.0,1.0,11667.0,12978.0,266.0,10335.0,11961.0,265.0,1332.0,1017.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0
LOLTMNT01_335988,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,bot,Caliste,Karmine Corp,0.0,Sivir,Orianna,Varus,Xayah,Kai'Sa,Rakan,1978.0,0.0,0.0,2.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1517,0.637,0.0,0.0,15.0,15.0,3.0,46.0,14735.0,10424.0,316.1982,14375.0,378.0,378.0,0.0,11.4661,3496.0,4351.0,96.0,4007.0,4448.0,103.0,-511.0,-97.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,5748.0,6498.0,149.0,6688.0,7055.0,155.0,-940.0,-557.0,-6.0,0.0,0.0,0.0,1.0,1.0,0.0,8128.0,9900.0,224.0,9639.0,10434.0,218.0,-1511.0,-534.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,10514.0,13034.0,288.0,12116.0,13402.0,278.0,-1602.0,-368.0,10.0,0.0,0.0,0.0,2.0,4.0,0.0
LOLTMNT01_338321,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,Caliste,Karmine Corp,0.0,Jhin,Rumble,Pantheon,Vi,Nautilus,Karma,1818.0,1.0,4.0,0.0,3.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.363,0.396,0.0,0.0,17.0,8.0,7.0,49.0,16960.0,12976.0,428.2508,14725.0,353.0,334.0,19.0,11.6502,3544.0,3746.0,82.0,3320.0,4242.0,87.0,224.0,-496.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,6443.0,7122.0,148.0,5749.0,6497.0,146.0,694.0,625.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9300.0,10317.0,218.0,8171.0,9470.0,217.0,1129.0,847.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,12551.0,13987.0,280.0,9931.0,11956.0,270.0,2620.0,2031.0,10.0,3.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT04_151778,complete,AL,2026.0,0.0,1.0,16.02,Blue,bot,Caliste,Karmine Corp,1.0,Varus,Neeko,Vi,Bard,Dr. Mundo,Malphite,1876.0,1.0,9.0,2.0,9.0,25.0,6.0,1.0,1.0,0.0,0.0,1.0,0.7996,0.9915,0.0,0.0,16.0,6.0,4.0,33.0,17797.0,13694.0,437.9744,14850.0,338.0,334.0,4.0,10.8102,4103.0,3841.0,87.0,4257.0,4105.0,82.0,-154.0,-264.0,5.0,2.0,1.0,2.0,3.0,0.0,1.0,6701.0,6373.0,138.0,6956.0,6474.0,137.0,-255.0,-101.0,1.0,3.0,2.0,2.0,3.0,0.0,2.0,10528.0,9977.0,215.0,9537.0,9202.0,189.0,991.0,775.0,26.0,5.0,5.0,2.0,4.0,0.0,3.0,12957.0,13209.0,283.0,12112.0,12450.0,261.0,845.0,759.0,22.0,5.0,5.0,2.0,4.0,0.0,3.0
LOLTMNT02_352499,complete,HW,2026.0,0.0,1.0,16.03,Blue,bot,Caliste,Karmine Corp,1.0,Jhin,Neeko,Vi,Yone,Caitlyn,Ezreal,1991.0,1.0,8.0,0.0,5.0,15.0,3.0,1.0,1.0,0.0,0.0,1.0,0.452,0.5424,0.0,0.0,18.0,6.0,6.0,46.0,20455.0,16118.0,485.7258,18000.0,375.0,356.0,19.0,11.3009,3764.0,3816.0,99.0,3652.0,3722.0,100.0,112.0,94.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,6588.0,6595.0,147.0,6018.0,5713.0,143.0,570.0,882.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,9233.0,9679.0,216.0,8207.0,8362.0,203.0,1026.0,1317.0,13.0,1.0,3.0,0.0,0.0,0.0,3.0,13098.0,12977.0,271.0,9926.0,10320.0,250.0,3172.0,2657.0,21.0,4.0,3.0,0.0,0.0,0.0,3.0
LOLTMNT02_352662,complete,ROL,2026.0,1.0,1.0,16.03,Red,bot,Caliste,Karmine Corp,1.0,Varus,Dr. Mundo,Ryze,Orianna,Vi,Nocturne,2043.0,0.0,0.0,4.0,2.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1175,0.6461,0.0,0.0,16.0,3.0,6.0,27.0,13870.0,9427.0,276.8576,13850.0,340.0,340.0,0.0,9.9853,3410.0,3308.0,85.0,4512.0,3943.0,94.0,-1102.0,-635.0,-9.0,0.0,0.0,2.0,2.0,2.0,0.0,5734.0,6009.0,144.0,7363.0,7255.0,160.0,-1629.0,-1246.0,-16.0,0.0,0.0,3.0,3.0,3.0,0.0,8188.0,8721.0,208.0,9708.0,9800.0,217.0,-1520.0,-1079.0,-9.0,0.0,1.0,3.0,3.0,3.0,0.0,10090.0,11228.0,263.0,12587.0,12606.0,261.0,-2497.0,-1378.0,2.0,0.0,2.0,3.0,4.0,5.0,0.0
LOLTMNT03_345516,complete,LCS,2026.0,0.0,1.0,16.03,Blue,bot,Caliste,Karmine Corp,1.0,Varus,Vi,Yone,Jhin,K'Sante,Sion,1954.0,1.0,9.0,1.0,3.0,16.0,4.0,2.0,1.0,0.0,0.0,0.0,0.4913,0.6141,0.0,0.0,19.0,13.0,6.0,61.0,19659.0,15397.0,472.784,15900.0,386.0,386.0,0.0,11.8526,3905.0,3872.0,101.0,3560.0,3681.0,96.0,345.0,191.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,6340.0,6487.0,155.0,5980.0,6259.0,157.0,360.0,228.0,-2.0,1.0,1.0,1.0,0.0,1.0,0.0,9293.0,9468.0,211.0,7957.0,8411.0,198.0,1336.0,1057.0,13.0,2.0,2.0,1.0,0.0,3.0,0.0,12005.0,12688.0,284.0,10154.0,11698.0,266.0,1851.0,990.0,18.0,2.0,2.0,1.0,0.0,3.0,0.0
