gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_326723,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Callme,Disguised,0.0,Taliyah,Jayce,Rumble,Jarvan IV,Poppy,Bard,2982.0,0.0,5.0,4.0,11.0,19.0,22.0,1.0,0.0,0.0,0.0,0.0,0.3823,0.8249,0.0,0.0,13.0,22.0,7.0,78.0,21100.0,14741.0,296.5996,18675.0,459.0,445.0,14.0,9.2354,3646.0,5356.0,97.0,3700.0,5325.0,100.0,-54.0,31.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,5934.0,8278.0,153.0,5923.0,8304.0,174.0,11.0,-26.0,-21.0,1.0,1.0,1.0,0.0,1.0,0.0,8046.0,10603.0,203.0,8843.0,12000.0,246.0,-797.0,-1397.0,-43.0,2.0,2.0,2.0,0.0,4.0,0.0,10803.0,14062.0,254.0,10557.0,14323.0,292.0,246.0,-261.0,-38.0,4.0,4.0,2.0,0.0,5.0,1.0
LOLTMNT01_326821,complete,LCK,2026.0,0.0,2.0,16.02,Red,mid,Callme,Disguised,1.0,Aurora,Jayce,Varus,Jarvan IV,Viktor,Syndra,2230.0,1.0,8.0,5.0,16.0,31.0,14.0,1.0,0.0,0.0,0.0,1.0,0.8341,1.2108,0.0,0.0,8.0,12.0,2.0,49.0,15409.0,10584.0,284.7713,17500.0,281.0,281.0,0.0,7.5605,3986.0,5370.0,89.0,3213.0,4635.0,86.0,773.0,735.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,6026.0,8189.0,139.0,4944.0,7572.0,146.0,1082.0,617.0,-7.0,2.0,2.0,1.0,0.0,0.0,2.0,8345.0,11005.0,191.0,6800.0,10281.0,195.0,1545.0,724.0,-4.0,3.0,2.0,1.0,0.0,0.0,3.0,10671.0,13618.0,230.0,8530.0,14133.0,230.0,2141.0,-515.0,0.0,5.0,3.0,2.0,0.0,2.0,5.0
LOLTMNT01_326837,complete,LCK,2026.0,0.0,3.0,16.02,Blue,mid,Callme,Disguised,0.0,Akali,Rumble,Jayce,Orianna,Lulu,Thresh,1716.0,1.0,6.0,1.0,4.0,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.5944,0.8042,0.0,0.0,6.0,10.0,1.0,31.0,13678.0,9902.0,346.2238,9875.0,276.0,276.0,0.0,9.6503,3688.0,5148.0,103.0,3245.0,4771.0,85.0,443.0,377.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5601.0,8243.0,164.0,4935.0,8049.0,141.0,666.0,194.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8429.0,12073.0,210.0,6572.0,10518.0,191.0,1857.0,1555.0,19.0,3.0,0.0,0.0,0.0,1.0,1.0,10413.0,14658.0,249.0,8523.0,14599.0,249.0,1890.0,59.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0
LOLTMNT01_338322,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,Callme,Disguised,1.0,Azir,Jayce,Varus,Nocturne,Neeko,Lucian,1707.0,0.0,0.0,3.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.5624,0.0,0.0,8.0,18.0,4.0,59.0,10209.0,6451.0,226.7487,9700.0,278.0,278.0,0.0,9.7715,3391.0,5242.0,93.0,3471.0,4965.0,100.0,-80.0,277.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5489.0,7887.0,155.0,5547.0,8073.0,160.0,-58.0,-186.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7434.0,10392.0,207.0,8030.0,10841.0,206.0,-596.0,-449.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,9177.0,12398.0,250.0,9960.0,13148.0,239.0,-783.0,-750.0,11.0,0.0,1.0,1.0,2.0,5.0,0.0
LOLTMNT04_152722,complete,NLC,2026.0,0.0,2.0,16.02,Blue,mid,Callme,Disguised,0.0,Ryze,Jayce,Varus,Ambessa,Xin Zhao,Dr. Mundo,2105.0,1.0,5.0,4.0,6.0,17.0,15.0,1.0,0.0,0.0,0.0,1.0,0.4846,0.9121,0.0,0.0,10.0,15.0,6.0,55.0,16861.0,12291.0,350.3373,13850.0,369.0,349.0,20.0,10.5178,3538.0,5084.0,101.0,3340.0,5118.0,94.0,198.0,-34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5814.0,8301.0,165.0,5300.0,7902.0,150.0,514.0,399.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,8194.0,10600.0,200.0,8603.0,10701.0,183.0,-409.0,-101.0,17.0,1.0,3.0,2.0,3.0,2.0,3.0,10139.0,14604.0,248.0,10772.0,13848.0,221.0,-633.0,756.0,27.0,1.0,5.0,3.0,4.0,5.0,3.0
LOLTMNT04_152721,complete,EBL,2026.0,0.0,3.0,16.02,Red,mid,Callme,Disguised,0.0,Yone,Jayce,Varus,Cassiopeia,Lulu,Lucian,1823.0,0.0,3.0,6.0,5.0,11.0,21.0,0.0,0.0,0.0,0.0,1.0,0.362,1.0532,0.0,0.0,8.0,12.0,4.0,41.0,12595.0,8600.0,283.0499,12600.0,295.0,283.0,12.0,9.7093,3589.0,5048.0,90.0,3612.0,5007.0,94.0,-23.0,41.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,5368.0,7961.0,143.0,5864.0,7805.0,147.0,-496.0,156.0,-4.0,0.0,3.0,1.0,0.0,0.0,0.0,7605.0,10468.0,194.0,7866.0,10342.0,193.0,-261.0,126.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,10076.0,12778.0,234.0,11475.0,14055.0,222.0,-1399.0,-1277.0,12.0,2.0,5.0,4.0,2.0,7.0,1.0
LOLTMNT05_175456,complete,AL,2026.0,0.0,1.0,16.03,Red,mid,Callme,Disguised,0.0,Azir,Varus,Jayce,Orianna,Karma,Nami,1981.0,1.0,2.0,1.0,7.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4543,0.6058,0.0,0.0,14.0,17.0,10.0,69.0,14303.0,9986.0,302.4533,12800.0,342.0,342.0,0.0,10.3584,3579.0,5202.0,105.0,3536.0,5348.0,101.0,43.0,-146.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5836.0,8410.0,162.0,6307.0,8194.0,150.0,-471.0,216.0,12.0,1.0,1.0,1.0,3.0,0.0,2.0,7450.0,11249.0,214.0,8134.0,10599.0,204.0,-684.0,650.0,10.0,1.0,1.0,1.0,3.0,0.0,2.0,9255.0,14269.0,269.0,9883.0,13015.0,246.0,-628.0,1254.0,23.0,1.0,2.0,1.0,3.0,0.0,3.0
LOLTMNT05_175470,complete,TCL,2026.0,0.0,2.0,16.03,Red,mid,Callme,Disguised,1.0,Ryze,Jarvan IV,Jayce,Lulu,Gnar,Blitzcrank,1862.0,0.0,1.0,4.0,3.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1933,0.6445,0.0,0.0,10.0,16.0,7.0,59.0,11605.0,7531.0,242.6745,10325.0,295.0,292.0,3.0,9.5059,3757.0,5366.0,107.0,3439.0,5348.0,99.0,318.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5695.0,8163.0,162.0,5240.0,8108.0,159.0,455.0,55.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7805.0,11040.0,217.0,7442.0,10660.0,196.0,363.0,380.0,21.0,1.0,1.0,1.0,1.0,2.0,1.0,9729.0,15399.0,261.0,9451.0,14974.0,249.0,278.0,425.0,12.0,1.0,2.0,2.0,1.0,4.0,1.0
LOLTMNT02_352555,complete,HLL,2026.0,0.0,3.0,16.03,Red,mid,Callme,Disguised,0.0,Jayce,Orianna,Varus,Karma,Viktor,Syndra,1690.0,1.0,3.0,1.0,9.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.568,0.7101,0.0,0.0,8.0,7.0,5.0,42.0,13155.0,9432.0,334.8639,11475.0,281.0,277.0,4.0,9.9763,3731.0,5268.0,89.0,3145.0,4505.0,80.0,586.0,763.0,9.0,0.0,4.0,1.0,0.0,1.0,1.0,5499.0,7808.0,140.0,4824.0,7128.0,135.0,675.0,680.0,5.0,0.0,4.0,1.0,0.0,1.0,1.0,7971.0,11200.0,210.0,6275.0,9240.0,176.0,1696.0,1960.0,34.0,0.0,5.0,1.0,0.0,1.0,3.0,10768.0,14722.0,260.0,7977.0,13047.0,217.0,2791.0,1675.0,43.0,1.0,6.0,1.0,0.0,2.0,4.0
LOLTMNT03_345140,complete,LCS,2026.0,0.0,1.0,16.03,Red,mid,Callme,Disguised,0.0,Akali,Rumble,Jarvan IV,Renekton,Varus,Yunara,1975.0,1.0,5.0,2.0,7.0,20.0,8.0,1.0,0.0,0.0,0.0,1.0,0.6076,0.8506,0.0,0.0,10.0,12.0,7.0,56.0,15332.0,11027.0,334.9975,13825.0,308.0,308.0,0.0,9.357,3273.0,4643.0,82.0,3281.0,4679.0,88.0,-8.0,-36.0,-6.0,0.0,2.0,0.0,0.0,0.0,0.0,5422.0,7470.0,135.0,4800.0,7278.0,138.0,622.0,192.0,-3.0,1.0,3.0,1.0,0.0,0.0,1.0,8146.0,10542.0,203.0,6747.0,10223.0,201.0,1399.0,319.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,10132.0,13360.0,258.0,9101.0,14639.0,256.0,1031.0,-1279.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0
