gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,Carlsen,Galions,1.0,Zaahen,Poppy,Malphite,Orianna,Alistar,Lulu,1552.0,1.0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5026,0.6572,0.0,0.0,9.0,2.0,2.0,26.0,11727.0,8285.0,320.2964,9583.0,270.0,266.0,4.0,10.4381,3833.0,5472.0,102.0,3292.0,5410.0,84.0,541.0,62.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6205.0,10340.0,159.0,5097.0,8881.0,134.0,1108.0,1459.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,8492.0,12944.0,206.0,6589.0,11972.0,181.0,1903.0,972.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,11236.0,17057.0,266.0,8429.0,15020.0,234.0,2807.0,2037.0,32.0,1.0,0.0,0.0,0.0,0.0,2.0
LOLTMNT01_332727,complete,LCK,2026.0,0.0,1.0,16.02,Red,top,Carlsen,Galions,0.0,Renekton,Rumble,Jayce,Azir,Gnar,Poppy,2161.0,1.0,6.0,2.0,7.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.6941,1.1384,0.0,0.0,9.0,8.0,4.0,37.0,16769.0,12085.0,335.5391,16400.0,324.0,324.0,0.0,8.9958,3798.0,5415.0,101.0,3187.0,5069.0,84.0,611.0,346.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,5842.0,9258.0,162.0,4909.0,9076.0,143.0,933.0,182.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,8367.0,12949.0,221.0,7303.0,12606.0,195.0,1064.0,343.0,26.0,2.0,0.0,0.0,1.0,1.0,1.0,11440.0,15654.0,257.0,8987.0,15876.0,226.0,2453.0,-222.0,31.0,4.0,2.0,1.0,1.0,4.0,2.0
LOLTMNT01_337669,complete,LCP,2026.0,0.0,1.0,16.02,Red,top,Carlsen,Galions,0.0,Ambessa,Rumble,Jayce,Yunara,Alistar,Caitlyn,1755.0,1.0,1.0,2.0,8.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6838,0.8547,0.0,0.0,10.0,4.0,4.0,33.0,10923.0,7067.0,241.6068,9625.0,240.0,236.0,4.0,8.2051,3519.0,5352.0,87.0,3493.0,5090.0,95.0,26.0,262.0,-8.0,0.0,3.0,0.0,0.0,0.0,1.0,5345.0,9046.0,140.0,5318.0,8722.0,146.0,27.0,324.0,-6.0,0.0,3.0,0.0,0.0,0.0,1.0,7501.0,12611.0,194.0,6937.0,11751.0,195.0,564.0,860.0,-1.0,0.0,5.0,1.0,0.0,0.0,2.0,8836.0,14656.0,206.0,9172.0,15252.0,245.0,-336.0,-596.0,-39.0,0.0,7.0,2.0,0.0,0.0,2.0
LOLTMNT01_337856,complete,LCK,2026.0,0.0,1.0,16.02,Red,top,Carlsen,Galions,0.0,Gnar,Jayce,Ryze,Dr. Mundo,Braum,Rell,1856.0,1.0,5.0,4.0,11.0,32.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0345,1.5194,0.0,0.0,13.0,4.0,7.0,41.0,12296.0,8234.0,266.1853,11693.0,221.0,215.0,6.0,7.1444,3841.0,5170.0,92.0,2918.0,4550.0,67.0,923.0,620.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,5503.0,8704.0,128.0,4960.0,7912.0,104.0,543.0,792.0,24.0,1.0,2.0,1.0,1.0,0.0,2.0,7922.0,11669.0,165.0,8160.0,11069.0,147.0,-238.0,600.0,18.0,3.0,3.0,3.0,5.0,1.0,4.0,9806.0,15265.0,200.0,9464.0,12787.0,167.0,342.0,2478.0,33.0,3.0,8.0,3.0,6.0,2.0,5.0
LOLTMNT05_175274,complete,TCL,2026.0,0.0,1.0,16.02,Red,top,Carlsen,Galions,0.0,Aurora,Rumble,Orianna,Jayce,Vi,Azir,1828.0,1.0,13.0,3.0,6.0,30.0,11.0,2.0,1.0,0.0,0.0,0.0,0.9847,1.3457,0.0,0.0,13.0,6.0,7.0,43.0,15804.0,11799.0,387.2757,14325.0,276.0,276.0,0.0,9.0591,4008.0,5139.0,90.0,3201.0,5098.0,71.0,807.0,41.0,19.0,2.0,0.0,1.0,0.0,1.0,1.0,5990.0,8744.0,147.0,5079.0,8646.0,115.0,911.0,98.0,32.0,2.0,0.0,2.0,0.0,2.0,2.0,9966.0,12783.0,193.0,7011.0,11423.0,165.0,2955.0,1360.0,28.0,8.0,2.0,2.0,0.0,3.0,2.0,12281.0,16445.0,233.0,10553.0,14218.0,199.0,1728.0,2227.0,34.0,10.0,4.0,3.0,2.0,4.0,3.0
LOLTMNT02_353317,complete,LES,2026.0,0.0,1.0,16.03,Red,top,Carlsen,Galions,0.0,Aurora,Jayce,Varus,Poppy,Alistar,Caitlyn,2669.0,0.0,1.0,4.0,2.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3597,0.7419,0.0,0.0,13.0,14.0,7.0,57.0,15930.0,10210.0,229.5242,16025.0,396.0,393.0,3.0,8.9022,3690.0,5410.0,103.0,3308.0,5286.0,90.0,382.0,124.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5183.0,8600.0,148.0,5908.0,9487.0,144.0,-725.0,-887.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6600.0,10354.0,183.0,7608.0,12627.0,197.0,-1008.0,-2273.0,-14.0,0.0,0.0,1.0,0.0,1.0,0.0,7943.0,12572.0,216.0,9583.0,15348.0,220.0,-1640.0,-2776.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0
LOLTMNT02_354678,complete,RL,2026.0,0.0,1.0,16.03,Blue,top,Carlsen,Galions,1.0,Ambessa,Ahri,Zoe,Rumble,Nautilus,Alistar,1431.0,1.0,6.0,1.0,1.0,21.0,8.0,0.0,0.0,0.0,0.0,1.0,0.8805,1.2159,0.0,0.0,8.0,1.0,3.0,19.0,11225.0,8030.0,336.6876,10800.0,215.0,213.0,2.0,9.0147,3870.0,5182.0,86.0,3226.0,5193.0,87.0,644.0,-11.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,6827.0,9751.0,139.0,4762.0,8429.0,134.0,2065.0,1322.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,9159.0,13732.0,201.0,7190.0,12026.0,194.0,1969.0,1706.0,7.0,4.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT05_176849,complete,EBL,2026.0,1.0,1.0,16.03,Blue,top,Carlsen,Galions,1.0,Sion,Rumble,Ambessa,Ryze,Nautilus,Alistar,1871.0,1.0,1.0,2.0,3.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.2886,0.481,0.0,0.0,7.0,3.0,4.0,22.0,10977.0,6885.0,220.791,9650.0,262.0,258.0,4.0,8.4019,3301.0,5065.0,92.0,3112.0,4914.0,78.0,189.0,151.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5678.0,9628.0,152.0,4615.0,8040.0,123.0,1063.0,1588.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,7236.0,11915.0,191.0,7469.0,11404.0,177.0,-233.0,511.0,14.0,1.0,0.0,1.0,1.0,0.0,2.0,8464.0,13675.0,217.0,8957.0,13809.0,218.0,-493.0,-134.0,-1.0,1.0,1.0,1.0,1.0,0.0,2.0
LOLTMNT05_176944,complete,EBL,2026.0,1.0,1.0,16.03,Blue,top,Carlsen,Galions,1.0,Sion,Fiora,Rumble,Ambessa,Alistar,Nautilus,2283.0,0.0,5.0,2.0,7.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3679,0.9724,0.0,0.0,10.0,3.0,6.0,32.0,14450.0,9517.0,250.1183,13400.0,309.0,309.0,0.0,8.1209,3318.0,5348.0,90.0,4128.0,5472.0,104.0,-810.0,-124.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0,9781.0,153.0,6350.0,8997.0,154.0,-762.0,784.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,7357.0,13014.0,213.0,8698.0,12385.0,211.0,-1341.0,629.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,9815.0,16059.0,266.0,11313.0,16030.0,276.0,-1498.0,29.0,-10.0,2.0,1.0,0.0,2.0,0.0,1.0
LOLTMNT03_345561,complete,LJL,2026.0,1.0,1.0,16.03,Blue,top,Carlsen,Galions,1.0,Sion,,,,,,1686.0,1.0,3.0,1.0,8.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.7117,1.1032,0.0,0.0,8.0,1.0,5.0,20.0,11816.0,8101.0,288.2918,9975.0,215.0,215.0,0.0,7.6512,3276.0,5210.0,91.0,3786.0,5461.0,92.0,-510.0,-251.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,5113.0,9111.0,145.0,5647.0,9136.0,141.0,-534.0,-25.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,7141.0,11752.0,186.0,8210.0,12699.0,207.0,-1069.0,-947.0,-21.0,0.0,0.0,1.0,1.0,1.0,0.0,9990.0,15040.0,203.0,10208.0,14845.0,233.0,-218.0,195.0,-30.0,2.0,4.0,1.0,2.0,4.0,1.0
