gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,Carry,SU Esports,0.0,Rell,Orianna,Jayce,Rumble,Xin Zhao,Jarvan IV,1606.0,0.0,0.0,5.0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1494,0.7846,0.0,0.0,50.0,7.0,14.0,90.0,6075.0,2523.0,94.259,5585.0,29.0,29.0,0.0,1.0834,2265.0,2683.0,19.0,2428.0,2921.0,12.0,-163.0,-238.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3443.0,3909.0,27.0,3870.0,3972.0,23.0,-427.0,-63.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4479.0,5502.0,28.0,5171.0,4962.0,26.0,-692.0,540.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,5577.0,5969.0,29.0,6760.0,7589.0,34.0,-1183.0,-1620.0,-5.0,0.0,3.0,3.0,0.0,7.0,0.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Blue,sup,Carry,SU Esports,1.0,Pyke,Neeko,Orianna,Malphite,Taliyah,Aurora,2599.0,0.0,6.0,3.0,8.0,22.0,24.0,1.0,0.0,0.0,0.0,1.0,0.5079,1.0619,0.0,0.0,98.0,30.0,17.0,209.0,12634.0,7056.0,162.8934,11770.0,49.0,49.0,0.0,1.1312,2984.0,2435.0,17.0,2572.0,2448.0,14.0,412.0,-13.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,4198.0,3207.0,23.0,3916.0,3611.0,22.0,282.0,-404.0,1.0,2.0,3.0,0.0,0.0,6.0,2.0,5143.0,4894.0,26.0,5146.0,4906.0,24.0,-3.0,-12.0,2.0,2.0,3.0,0.0,0.0,7.0,2.0,6334.0,6887.0,32.0,6398.0,6332.0,27.0,-64.0,555.0,5.0,2.0,5.0,1.0,0.0,9.0,2.0
LOLTMNT01_333338,complete,LCP,2026.0,0.0,1.0,16.02,Red,sup,Carry,SU Esports,0.0,Leona,Mel,Caitlyn,Sion,Taliyah,Ryze,1535.0,1.0,1.0,2.0,12.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5081,0.5863,0.0,0.0,43.0,15.0,14.0,98.0,7602.0,4195.0,163.9739,6150.0,39.0,39.0,0.0,1.5244,2197.0,2855.0,22.0,2339.0,2947.0,16.0,-142.0,-92.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,3647.0,4060.0,30.0,3416.0,3753.0,25.0,231.0,307.0,5.0,0.0,4.0,1.0,0.0,1.0,1.0,5073.0,4853.0,35.0,4498.0,4742.0,27.0,575.0,111.0,8.0,0.0,7.0,2.0,0.0,2.0,2.0,6859.0,7017.0,39.0,5590.0,6041.0,28.0,1269.0,976.0,11.0,0.0,9.0,2.0,0.0,2.0,2.0
LOLTMNT04_151244,complete,LCP,2026.0,0.0,2.0,16.02,Blue,sup,Carry,SU Esports,1.0,Neeko,Mel,Caitlyn,LeBlanc,Tristana,Sivir,1506.0,1.0,1.0,0.0,12.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5578,0.6375,0.0,0.0,45.0,9.0,8.0,103.0,7416.0,4068.0,162.0717,6210.0,26.0,26.0,0.0,1.0359,2439.0,3011.0,14.0,2337.0,2606.0,18.0,102.0,405.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,3680.0,3616.0,19.0,3373.0,3966.0,26.0,307.0,-350.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,5440.0,5155.0,23.0,4598.0,5515.0,30.0,842.0,-360.0,-7.0,1.0,4.0,0.0,0.0,1.0,0.0,7399.0,9456.0,26.0,5713.0,6962.0,34.0,1686.0,2494.0,-8.0,1.0,12.0,0.0,0.0,2.0,0.0
LOLTMNT02_350063,complete,LCS,2026.0,0.0,1.0,16.02,Blue,sup,Carry,SU Esports,1.0,Rakan,Orianna,Rumble,Ambessa,Olaf,Gwen,1985.0,0.0,0.0,4.0,6.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.272,0.8766,0.0,0.0,74.0,25.0,14.0,163.0,7834.0,3509.0,106.0655,7455.0,50.0,50.0,0.0,1.5113,2465.0,2548.0,19.0,2248.0,2440.0,17.0,217.0,108.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3741.0,3687.0,29.0,3525.0,2775.0,22.0,216.0,912.0,7.0,0.0,3.0,0.0,0.0,4.0,2.0,4867.0,4327.0,35.0,4872.0,4644.0,23.0,-5.0,-317.0,12.0,0.0,4.0,0.0,0.0,6.0,3.0,6056.0,5372.0,41.0,6396.0,6377.0,25.0,-340.0,-1005.0,16.0,0.0,5.0,1.0,0.0,9.0,4.0
LOLTMNT02_350086,complete,LCS,2026.0,0.0,2.0,16.02,Blue,sup,Carry,SU Esports,1.0,Leona,Orianna,Jarvan IV,K'Sante,Kai'Sa,Xin Zhao,1639.0,0.0,0.0,2.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0732,0.5857,0.0,0.0,66.0,20.0,11.0,138.0,6574.0,2955.0,108.1757,5965.0,46.0,46.0,0.0,1.684,2275.0,2713.0,23.0,2501.0,2565.0,18.0,-226.0,148.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3418.0,3552.0,32.0,4009.0,4025.0,28.0,-591.0,-473.0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,4554.0,5240.0,40.0,5296.0,4660.0,36.0,-742.0,580.0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,6021.0,6478.0,44.0,6991.0,6538.0,38.0,-970.0,-60.0,6.0,0.0,1.0,2.0,0.0,8.0,0.0
LOLTMNT05_175583,complete,AL,2026.0,0.0,2.0,16.03,Blue,sup,Carry,SU Esports,1.0,Neeko,Kai'Sa,Akali,K'Sante,Aphelios,Xayah,2273.0,1.0,1.0,4.0,13.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.5279,0.9767,0.0,0.0,79.0,19.0,19.0,186.0,10791.0,5878.0,155.1606,9115.0,31.0,29.0,2.0,0.8183,2816.0,2643.0,7.0,2235.0,1953.0,10.0,581.0,690.0,-3.0,1.0,2.0,0.0,0.0,0.0,0.0,3928.0,3348.0,12.0,3474.0,3499.0,14.0,454.0,-151.0,-2.0,1.0,3.0,1.0,0.0,2.0,2.0,5004.0,3952.0,19.0,5251.0,4696.0,17.0,-247.0,-744.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,6357.0,6284.0,19.0,6319.0,5284.0,22.0,38.0,1000.0,-3.0,1.0,6.0,3.0,2.0,2.0,3.0
LOLTMNT02_353128,complete,LES,2026.0,0.0,1.0,16.03,Red,sup,Carry,SU Esports,0.0,Neeko,Varus,Ambessa,Ryze,Aatrox,Gwen,1611.0,0.0,0.0,4.0,1.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2235,0.8939,0.0,0.0,38.0,20.0,5.0,98.0,6198.0,2636.0,98.175,5870.0,41.0,41.0,0.0,1.527,2318.0,2863.0,14.0,2758.0,3098.0,11.0,-440.0,-235.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,3540.0,3649.0,24.0,3927.0,4143.0,16.0,-387.0,-494.0,8.0,0.0,1.0,0.0,1.0,3.0,0.0,4592.0,4571.0,26.0,5433.0,5929.0,21.0,-841.0,-1358.0,5.0,0.0,1.0,2.0,1.0,8.0,0.0,5866.0,5994.0,41.0,7051.0,8102.0,25.0,-1185.0,-2108.0,16.0,0.0,1.0,3.0,1.0,12.0,0.0
LOLTMNT02_353163,complete,LFL,2026.0,0.0,2.0,16.03,Blue,sup,Carry,SU Esports,1.0,Nautilus,LeBlanc,K'Sante,Renekton,Leona,Gnar,1736.0,0.0,1.0,5.0,3.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4147,1.1751,0.0,0.0,51.0,16.0,8.0,107.0,7900.0,4083.0,141.1175,6300.0,43.0,43.0,0.0,1.4862,2361.0,2552.0,20.0,2738.0,3092.0,11.0,-377.0,-540.0,9.0,0.0,1.0,1.0,0.0,3.0,1.0,3581.0,3727.0,29.0,3819.0,4443.0,20.0,-238.0,-716.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,4915.0,5097.0,37.0,5161.0,6067.0,20.0,-246.0,-970.0,17.0,0.0,3.0,3.0,0.0,7.0,1.0,6017.0,6700.0,40.0,6817.0,8657.0,25.0,-800.0,-1957.0,15.0,0.0,3.0,4.0,0.0,11.0,1.0
LOLTMNT05_175874,complete,NLC,2026.0,0.0,1.0,16.03,Red,sup,Carry,SU Esports,0.0,Bard,Varus,Orianna,Kai'Sa,Qiyana,Nautilus,1767.0,1.0,0.0,2.0,15.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5772,0.781,0.0,0.0,55.0,17.0,2.0,139.0,8517.0,4637.0,157.4533,7490.0,42.0,42.0,0.0,1.4261,2333.0,3271.0,24.0,2217.0,2812.0,19.0,116.0,459.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3470.0,3877.0,28.0,3264.0,3842.0,31.0,206.0,35.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,4620.0,5569.0,34.0,4616.0,5087.0,35.0,4.0,482.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,6570.0,8695.0,38.0,6590.0,5819.0,41.0,-20.0,2876.0,-3.0,0.0,7.0,1.0,2.0,0.0,2.0
