gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,CaviaVampier,The Bandits,1.0,Sivir,Karma,Malphite,Lucian,Aatrox,Naafiri,2151.0,1.0,4.0,0.0,11.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7252,0.9763,0.0,0.0,7.0,7.0,0.0,20.0,18333.0,13669.0,381.2831,14650.0,353.0,339.0,14.0,9.8466,2915.0,3379.0,65.0,3259.0,3544.0,82.0,-344.0,-165.0,-17.0,0.0,0.0,0.0,0.0,1.0,0.0,5048.0,5747.0,113.0,5945.0,5296.0,135.0,-897.0,451.0,-22.0,0.0,0.0,0.0,0.0,1.0,0.0,8686.0,9588.0,179.0,9006.0,8090.0,187.0,-320.0,1498.0,-8.0,1.0,4.0,0.0,1.0,3.0,2.0,10925.0,12120.0,226.0,11339.0,9883.0,237.0,-414.0,2237.0,-11.0,2.0,5.0,0.0,2.0,3.0,3.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,CaviaVampier,The Bandits,1.0,Aphelios,Syndra,Yunara,Lulu,Nami,Corki,1396.0,1.0,5.0,1.0,8.0,21.0,4.0,1.0,0.0,0.0,0.0,1.0,0.9026,1.0745,0.0,0.0,4.0,0.0,0.0,5.0,12758.0,9635.0,414.1117,12000.0,193.0,189.0,4.0,8.2951,3530.0,3524.0,75.0,3334.0,3414.0,86.0,196.0,110.0,-11.0,0.0,2.0,0.0,0.0,0.0,0.0,5877.0,5723.0,125.0,6305.0,5612.0,133.0,-428.0,111.0,-8.0,0.0,3.0,1.0,1.0,0.0,0.0,10309.0,8792.0,174.0,7952.0,7400.0,180.0,2357.0,1392.0,-6.0,4.0,5.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_319673,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,CaviaVampier,The Bandits,1.0,Corki,Zed,Akali,Yunara,Braum,Lulu,1987.0,1.0,4.0,1.0,4.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.4227,0.6341,0.0,0.0,12.0,10.0,0.0,38.0,18119.0,13790.0,416.4066,14400.0,345.0,317.0,28.0,10.4177,3187.0,3403.0,80.0,3381.0,3555.0,81.0,-194.0,-152.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,6770.0,5892.0,137.0,5150.0,5390.0,116.0,1620.0,502.0,21.0,2.0,1.0,0.0,0.0,1.0,1.0,10125.0,9214.0,215.0,7856.0,8435.0,179.0,2269.0,779.0,36.0,2.0,1.0,0.0,0.0,2.0,1.0,12337.0,11260.0,262.0,10743.0,11290.0,241.0,1594.0,-30.0,21.0,2.0,3.0,1.0,1.0,2.0,1.0
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,CaviaVampier,The Bandits,0.0,Corki,Bel'Veth,Aphelios,Wukong,Rell,Ashe,1807.0,1.0,0.0,2.0,7.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4981,0.7969,0.0,0.0,10.0,6.0,0.0,27.0,12972.0,9010.0,299.1699,11050.0,280.0,273.0,7.0,9.2972,3336.0,3529.0,77.0,4045.0,3948.0,78.0,-709.0,-419.0,-1.0,0.0,1.0,2.0,3.0,0.0,1.0,5449.0,5573.0,124.0,6414.0,6152.0,131.0,-965.0,-579.0,-7.0,0.0,1.0,2.0,3.0,0.0,1.0,7301.0,8047.0,164.0,9521.0,8676.0,197.0,-2220.0,-629.0,-33.0,0.0,3.0,2.0,4.0,0.0,1.0,9742.0,10123.0,227.0,12632.0,10805.0,254.0,-2890.0,-682.0,-27.0,0.0,3.0,2.0,5.0,0.0,1.0
LOLTMNT04_147249,complete,NLC,2026.0,0.0,1.0,16.01,Red,bot,CaviaVampier,The Bandits,0.0,Aphelios,Neeko,Rumble,Ambessa,Braum,Lulu,1639.0,0.0,1.0,11.0,4.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,0.4393,1.6107,0.0,0.0,7.0,2.0,0.0,15.0,10559.0,6940.0,254.0574,10350.0,215.0,211.0,4.0,7.8707,3071.0,2959.0,59.0,4099.0,3634.0,83.0,-1028.0,-675.0,-24.0,1.0,0.0,4.0,2.0,4.0,0.0,4740.0,4964.0,95.0,7118.0,6478.0,141.0,-2378.0,-1514.0,-46.0,1.0,1.0,6.0,5.0,5.0,0.0,7080.0,6977.0,137.0,11246.0,9443.0,196.0,-4166.0,-2466.0,-59.0,1.0,2.0,9.0,10.0,7.0,0.0,9795.0,10299.0,194.0,13430.0,12344.0,244.0,-3635.0,-2045.0,-50.0,1.0,4.0,10.0,10.0,8.0,1.0
LOLTMNT03_336495,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,CaviaVampier,The Bandits,0.0,Corki,Neeko,Aatrox,Ambessa,Braum,Nautilus,1420.0,1.0,14.0,2.0,6.0,30.0,6.0,3.0,1.0,0.0,0.0,1.0,1.2676,1.5211,0.0,0.0,6.0,5.0,0.0,22.0,15278.0,12106.0,511.5211,14400.0,200.0,195.0,5.0,8.4507,4090.0,3890.0,76.0,2986.0,3074.0,64.0,1104.0,816.0,12.0,4.0,0.0,0.0,0.0,0.0,2.0,8537.0,6883.0,122.0,4531.0,5367.0,105.0,4006.0,1516.0,17.0,8.0,2.0,1.0,0.0,1.0,3.0,12762.0,10613.0,181.0,6916.0,7815.0,142.0,5846.0,2798.0,39.0,13.0,4.0,1.0,0.0,1.0,5.0,,,,,,,,,,,,,,,
LOLTMNT04_148363,complete,NLC,2026.0,0.0,1.0,16.01,Red,bot,CaviaVampier,The Bandits,0.0,Aphelios,Heimerdinger,Ambessa,Orianna,Aatrox,Braum,1915.0,0.0,3.0,6.0,5.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.5013,1.4726,0.0,0.0,7.0,5.0,0.0,21.0,14198.0,10016.0,313.8172,13725.0,284.0,269.0,15.0,8.8982,3389.0,3708.0,90.0,3686.0,3800.0,99.0,-297.0,-92.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5892.0,5771.0,146.0,5912.0,6339.0,154.0,-20.0,-568.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,8061.0,7959.0,187.0,8781.0,9070.0,210.0,-720.0,-1111.0,-23.0,1.0,1.0,2.0,0.0,2.0,1.0,10379.0,10341.0,236.0,11509.0,11029.0,247.0,-1130.0,-688.0,-11.0,1.0,2.0,3.0,2.0,2.0,1.0
LOLTMNT03_338636,complete,LCKC,2026.0,0.0,2.0,16.01,Red,bot,CaviaVampier,The Bandits,0.0,Yunara,Heimerdinger,Ambessa,Orianna,Braum,Alistar,1975.0,1.0,10.0,3.0,9.0,27.0,15.0,2.0,1.0,0.0,0.0,0.0,0.8203,1.2456,0.0,0.0,6.0,11.0,0.0,28.0,19185.0,14880.0,452.0506,17300.0,298.0,283.0,15.0,9.0532,4154.0,3607.0,78.0,2975.0,3481.0,66.0,1179.0,126.0,12.0,2.0,1.0,0.0,0.0,1.0,2.0,6566.0,5561.0,124.0,5584.0,5648.0,113.0,982.0,-87.0,11.0,3.0,1.0,1.0,1.0,1.0,2.0,9630.0,9167.0,180.0,8454.0,8655.0,162.0,1176.0,512.0,18.0,4.0,1.0,2.0,2.0,2.0,3.0,12270.0,11823.0,221.0,10433.0,10512.0,195.0,1837.0,1311.0,26.0,4.0,5.0,3.0,3.0,3.0,5.0
LOLTMNT04_152071,complete,NLC,2026.0,0.0,1.0,16.02,Red,bot,CaviaVampier,The Bandits,0.0,Yunara,Volibear,Jarvan IV,Ryze,Braum,Nautilus,2239.0,1.0,4.0,7.0,8.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.6431,1.0987,0.0,0.0,9.0,12.0,0.0,37.0,17025.0,12182.0,326.4493,15050.0,297.0,288.0,9.0,7.9589,3314.0,3362.0,84.0,3459.0,3566.0,97.0,-145.0,-204.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,6046.0,140.0,5442.0,5493.0,142.0,758.0,553.0,-2.0,0.0,2.0,0.0,0.0,0.0,1.0,8335.0,8315.0,190.0,7689.0,8445.0,206.0,646.0,-130.0,-16.0,0.0,2.0,1.0,0.0,0.0,1.0,9934.0,10185.0,226.0,10704.0,10120.0,240.0,-770.0,65.0,-14.0,0.0,3.0,2.0,3.0,0.0,2.0
LOLTMNT01_331405,complete,ROL,2026.0,0.0,2.0,16.02,Blue,bot,CaviaVampier,The Bandits,1.0,Corki,Volibear,Varus,Ryze,Renekton,Taliyah,2476.0,0.0,2.0,3.0,3.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2908,0.7512,0.0,0.0,9.0,6.0,0.0,26.0,18678.0,13351.0,323.5299,17600.0,376.0,358.0,18.0,9.1115,3026.0,3270.0,68.0,4544.0,4099.0,104.0,-1518.0,-829.0,-36.0,0.0,0.0,1.0,1.0,0.0,0.0,5345.0,5575.0,120.0,7841.0,6518.0,161.0,-2496.0,-943.0,-41.0,0.0,0.0,1.0,2.0,0.0,0.0,7617.0,8232.0,182.0,10788.0,9213.0,230.0,-3171.0,-981.0,-48.0,0.0,1.0,1.0,3.0,0.0,0.0,10118.0,11291.0,240.0,13573.0,11703.0,291.0,-3455.0,-412.0,-51.0,0.0,1.0,1.0,4.0,0.0,1.0
