gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Wukong,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,7.0,2.0,14.0,35.0,12.0,1.0,0.0,0.0,0.0,0.0,1.2674,1.7019,1.0,0.0,9.0,10.0,5.0,46.0,13483.0,9827.0,355.8358,11658.0,201.0,15.0,186.0,7.2782,3516.0,4334.0,86.0,3062.0,3289.0,62.0,454.0,1045.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6244.0,8246.0,141.0,4676.0,5972.0,95.0,1568.0,2274.0,46.0,1.0,2.0,0.0,0.0,1.0,2.0,9103.0,11359.0,179.0,7408.0,8821.0,124.0,1695.0,2538.0,55.0,3.0,6.0,1.0,2.0,3.0,3.0,11829.0,13821.0,190.0,10056.0,11359.0,149.0,1773.0,2462.0,41.0,6.0,11.0,2.0,3.0,5.0,6.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Xin Zhao,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,2.0,5.0,8.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.825,1.2057,2.0,0.0,12.0,9.0,6.0,58.0,13081.0,8948.0,283.9133,11700.0,251.0,39.0,212.0,7.964,3396.0,4018.0,80.0,3607.0,3601.0,64.0,-211.0,417.0,16.0,0.0,0.0,2.0,1.0,2.0,0.0,5581.0,7379.0,136.0,5080.0,5190.0,85.0,501.0,2189.0,51.0,0.0,1.0,2.0,2.0,2.0,1.0,7285.0,9775.0,168.0,7128.0,8398.0,118.0,157.0,1377.0,50.0,0.0,4.0,4.0,3.0,3.0,3.0,9917.0,13105.0,207.0,8483.0,10114.0,143.0,1434.0,2991.0,64.0,1.0,7.0,4.0,3.0,4.0,4.0
LOLTMNT01_318864,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Cboi,Frites Esports Club,0.0,Jayce,Aatrox,Sion,Malphite,Rakan,Lulu,1334.0,1.0,7.0,1.0,6.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.9445,1.1244,1.0,0.0,10.0,7.0,3.0,37.0,12793.0,9796.0,440.5997,11325.0,213.0,24.0,189.0,9.5802,3824.0,4270.0,85.0,3672.0,4071.0,71.0,152.0,199.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,6887.0,7752.0,132.0,5220.0,5712.0,99.0,1667.0,2040.0,33.0,2.0,2.0,1.0,1.0,2.0,2.0,11427.0,12260.0,197.0,6387.0,7520.0,117.0,5040.0,4740.0,80.0,6.0,5.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,
LOLTMNT01_318874,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Cboi,Frites Esports Club,0.0,Sejuani,Malphite,Ryze,Kai'Sa,Yunara,Sivir,1387.0,1.0,4.0,0.0,17.0,34.0,5.0,0.0,0.0,0.0,0.0,1.0,1.4708,1.6871,1.0,0.0,8.0,1.0,4.0,25.0,10210.0,7105.0,307.354,9150.0,162.0,8.0,154.0,7.0079,4173.0,4674.0,80.0,3298.0,3679.0,72.0,875.0,995.0,8.0,1.0,5.0,0.0,0.0,0.0,1.0,6305.0,7755.0,125.0,5302.0,5446.0,96.0,1003.0,2309.0,29.0,2.0,9.0,0.0,1.0,1.0,2.0,8751.0,10365.0,152.0,7928.0,8368.0,139.0,823.0,1997.0,13.0,4.0,13.0,0.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_147233,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,Cboi,Frites Esports Club,0.0,Vi,Bel'Veth,Dr. Mundo,Malphite,Nautilus,Leona,1490.0,1.0,6.0,2.0,16.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,1.4094,1.8121,1.0,0.0,11.0,1.0,5.0,29.0,12487.0,9172.0,369.3423,11075.0,197.0,14.0,183.0,7.9329,3852.0,4737.0,89.0,3614.0,3770.0,67.0,238.0,967.0,22.0,0.0,3.0,1.0,1.0,1.0,1.0,6983.0,8656.0,147.0,5392.0,6150.0,98.0,1591.0,2506.0,49.0,2.0,6.0,1.0,2.0,1.0,2.0,9676.0,11673.0,179.0,6413.0,7412.0,105.0,3263.0,4261.0,74.0,4.0,10.0,2.0,2.0,3.0,4.0,12487.0,14917.0,197.0,7588.0,9792.0,122.0,4899.0,5125.0,75.0,6.0,16.0,2.0,2.0,4.0,6.0
LOLTMNT04_147249,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Jarvan IV,Aurelion Sol,Dr. Mundo,Tristana,Thresh,Alistar,1639.0,1.0,4.0,1.0,21.0,32.0,12.0,0.0,0.0,0.0,0.0,1.0,1.1714,1.6107,1.0,0.0,8.0,1.0,4.0,28.0,12414.0,8795.0,321.9646,11575.0,193.0,6.0,187.0,7.0653,4036.0,4213.0,75.0,3702.0,3953.0,70.0,334.0,260.0,5.0,1.0,4.0,0.0,1.0,1.0,0.0,6257.0,6922.0,112.0,6633.0,6927.0,112.0,-376.0,-5.0,0.0,3.0,6.0,1.0,3.0,2.0,1.0,8928.0,10790.0,149.0,9994.0,10024.0,150.0,-1066.0,766.0,-1.0,4.0,12.0,1.0,6.0,2.0,2.0,11060.0,13952.0,174.0,12938.0,12113.0,180.0,-1878.0,1839.0,-6.0,4.0,16.0,1.0,7.0,3.0,3.0
LOLTMNT03_336502,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Vi,Bel'Veth,Zed,Azir,Jax,Ambessa,1895.0,1.0,4.0,2.0,10.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6016,0.8232,0.0,0.0,8.0,8.0,5.0,42.0,13283.0,9142.0,289.4565,12175.0,225.0,38.0,187.0,7.124,3570.0,4236.0,79.0,3202.0,3449.0,67.0,368.0,787.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,6283.0,7792.0,121.0,4767.0,5793.0,102.0,1516.0,1999.0,19.0,2.0,3.0,0.0,0.0,0.0,1.0,8306.0,10760.0,163.0,8086.0,9213.0,141.0,220.0,1547.0,22.0,3.0,3.0,2.0,2.0,1.0,1.0,9614.0,12230.0,181.0,9789.0,11959.0,182.0,-175.0,271.0,-1.0,3.0,4.0,2.0,2.0,1.0,1.0
LOLTMNT06_164553,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Xin Zhao,Malphite,Bel'Veth,Zed,Varus,Aphelios,2045.0,1.0,3.0,3.0,11.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.7628,1.1149,1.0,1.0,17.0,5.0,12.0,51.0,13832.0,9385.0,275.3545,12400.0,245.0,28.0,217.0,7.1883,3634.0,3854.0,73.0,3183.0,3518.0,66.0,451.0,336.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,5741.0,6927.0,123.0,4866.0,5992.0,101.0,875.0,935.0,22.0,1.0,4.0,1.0,0.0,2.0,0.0,7821.0,9505.0,168.0,6342.0,8535.0,125.0,1479.0,970.0,43.0,1.0,5.0,2.0,0.0,5.0,0.0,9379.0,11972.0,196.0,8664.0,12872.0,175.0,715.0,-900.0,21.0,1.0,5.0,3.0,0.0,9.0,0.0
LOLTMNT06_164556,complete,LFL,2026.0,0.0,2.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Jarvan IV,Bel'Veth,Zed,Malphite,Ezreal,Corki,1908.0,1.0,1.0,3.0,20.0,30.0,16.0,0.0,0.0,0.0,0.0,1.0,0.9434,1.4465,1.0,0.0,13.0,11.0,8.0,59.0,13020.0,8852.0,278.3648,11500.0,206.0,14.0,192.0,6.478,3631.0,4215.0,77.0,3509.0,3297.0,60.0,122.0,918.0,17.0,0.0,3.0,1.0,1.0,2.0,0.0,5510.0,7146.0,119.0,4988.0,5209.0,79.0,522.0,1937.0,40.0,0.0,5.0,2.0,1.0,5.0,0.0,7532.0,9917.0,156.0,6732.0,8366.0,118.0,800.0,1551.0,38.0,0.0,5.0,2.0,1.0,6.0,0.0,9350.0,12667.0,185.0,8024.0,9989.0,139.0,1326.0,2678.0,46.0,0.0,8.0,3.0,1.0,7.0,1.0
LOLTMNT01_332417,complete,HW,2026.0,0.0,1.0,16.02,Blue,jng,Cboi,Frites Esports Club,1.0,Xin Zhao,Heimerdinger,Jarvan IV,Dr. Mundo,Jhin,Alistar,1405.0,1.0,6.0,1.0,5.0,24.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0249,1.4093,1.0,0.0,11.0,4.0,5.0,34.0,11086.0,7944.0,339.2456,9850.0,192.0,16.0,176.0,8.1993,3810.0,4389.0,82.0,3989.0,4163.0,72.0,-179.0,226.0,10.0,1.0,0.0,1.0,2.0,1.0,0.0,6662.0,7609.0,121.0,5804.0,6317.0,106.0,858.0,1292.0,15.0,4.0,3.0,1.0,3.0,1.0,2.0,8843.0,10651.0,168.0,7460.0,8897.0,132.0,1383.0,1754.0,36.0,4.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,
