gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336395,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,Chovy,Gen.G,1.0,Azir,Neeko,Malphite,Varus,Lulu,Bard,1783.0,1.0,2.0,2.0,5.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5384,0.774,0.0,0.0,17.0,16.0,5.0,60.0,12378.0,8465.0,284.857,11435.0,291.0,287.0,4.0,9.7925,3543.0,5022.0,102.0,3657.0,5478.0,103.0,-114.0,-456.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,5452.0,8205.0,168.0,5611.0,8529.0,168.0,-159.0,-324.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8240.0,11079.0,219.0,7572.0,11821.0,235.0,668.0,-742.0,-16.0,2.0,1.0,0.0,0.0,1.0,0.0,9941.0,12931.0,263.0,9784.0,15793.0,284.0,157.0,-2862.0,-21.0,2.0,1.0,2.0,0.0,5.0,0.0
LOLTMNT05_171148,complete,LIT,2026.0,0.0,2.0,16.01,Blue,mid,Chovy,Gen.G,1.0,Ryze,Neeko,Sylas,Vi,Varus,Sivir,1469.0,1.0,8.0,1.0,8.0,34.0,5.0,1.0,0.0,0.0,0.0,0.0,1.3887,1.5929,0.0,0.0,14.0,3.0,5.0,37.0,12426.0,9154.0,373.887,11225.0,257.0,224.0,33.0,10.4969,4023.0,5160.0,103.0,3430.0,5001.0,100.0,593.0,159.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6809.0,9053.0,162.0,4945.0,6987.0,142.0,1864.0,2066.0,20.0,4.0,2.0,0.0,0.0,0.0,3.0,9428.0,12011.0,214.0,6890.0,9888.0,202.0,2538.0,2123.0,12.0,5.0,2.0,0.0,0.0,0.0,4.0,12426.0,16929.0,257.0,8059.0,13048.0,227.0,4367.0,3881.0,30.0,8.0,8.0,1.0,0.0,2.0,7.0
LOLTMNT01_322115,complete,LCP,2026.0,0.0,1.0,16.01,Red,mid,Chovy,Gen.G,1.0,Yone,Neeko,Malphite,Orianna,Sivir,Ziggs,1872.0,1.0,4.0,2.0,8.0,22.0,7.0,0.0,0.0,0.0,0.0,1.0,0.7051,0.9295,0.0,0.0,11.0,13.0,4.0,54.0,15041.0,10947.0,350.8654,14000.0,321.0,306.0,15.0,10.2885,3549.0,5188.0,102.0,3586.0,5471.0,107.0,-37.0,-283.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6406.0,8210.0,159.0,5046.0,7618.0,150.0,1360.0,592.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,9007.0,11103.0,220.0,7093.0,10538.0,203.0,1914.0,565.0,17.0,2.0,1.0,1.0,0.0,3.0,1.0,11621.0,15009.0,277.0,8748.0,12109.0,242.0,2873.0,2900.0,35.0,3.0,3.0,1.0,0.0,3.0,2.0
LOLTMNT01_322119,complete,LCP,2026.0,0.0,2.0,16.01,Blue,mid,Chovy,Gen.G,0.0,Anivia,Azir,Orianna,Malphite,Aphelios,Corki,1682.0,1.0,6.0,1.0,16.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9631,1.2485,0.0,0.0,15.0,11.0,4.0,38.0,14405.0,10698.0,381.6171,13750.0,269.0,251.0,18.0,9.5957,4522.0,4832.0,86.0,3811.0,3845.0,76.0,711.0,987.0,10.0,2.0,4.0,1.0,2.0,1.0,3.0,7098.0,8016.0,149.0,5387.0,6564.0,131.0,1711.0,1452.0,18.0,4.0,4.0,1.0,2.0,1.0,3.0,10062.0,10987.0,199.0,6755.0,8222.0,164.0,3307.0,2765.0,35.0,5.0,7.0,1.0,2.0,1.0,4.0,12494.0,15672.0,248.0,8951.0,11730.0,201.0,3543.0,3942.0,47.0,6.0,10.0,1.0,3.0,1.0,5.0
LOLTMNT06_166059,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Chovy,Gen.G,1.0,Azir,Neeko,Malphite,Varus,Taliyah,Sion,2075.0,1.0,2.0,4.0,8.0,18.0,22.0,1.0,0.0,0.0,0.0,0.0,0.5205,1.1566,0.0,0.0,18.0,10.0,4.0,49.0,14242.0,9733.0,281.4361,12350.0,326.0,318.0,8.0,9.4265,3519.0,5100.0,99.0,3883.0,5364.0,103.0,-364.0,-264.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,5331.0,7650.0,155.0,5784.0,8828.0,152.0,-453.0,-1178.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,7329.0,10950.0,223.0,7928.0,11900.0,215.0,-599.0,-950.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,9556.0,14260.0,269.0,9990.0,14363.0,249.0,-434.0,-103.0,20.0,0.0,2.0,2.0,4.0,2.0,1.0
LOLTMNT02_343107,complete,HW,2026.0,0.0,2.0,16.01,Blue,mid,Chovy,Gen.G,0.0,Ryze,Rumble,Jayce,Neeko,Jax,Aurora,1916.0,1.0,7.0,0.0,5.0,23.0,10.0,2.0,0.0,0.0,0.0,1.0,0.7203,1.0334,0.0,0.0,18.0,15.0,5.0,55.0,17060.0,12876.0,403.215,14125.0,370.0,350.0,20.0,11.5866,3850.0,4985.0,103.0,3668.0,5087.0,103.0,182.0,-102.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6555.0,8253.0,166.0,5560.0,7827.0,162.0,995.0,426.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,8791.0,11439.0,231.0,7522.0,10547.0,216.0,1269.0,892.0,15.0,2.0,2.0,0.0,0.0,0.0,1.0,13095.0,17453.0,301.0,8842.0,12372.0,249.0,4253.0,5081.0,52.0,6.0,3.0,0.0,0.0,0.0,3.0
LOLTMNT06_166077,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Chovy,Gen.G,0.0,Anivia,Jayce,Rumble,Orianna,Nautilus,Neeko,2034.0,1.0,4.0,2.0,5.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5605,0.7375,0.0,0.0,16.0,10.0,0.0,52.0,14785.0,10360.0,305.6047,13900.0,328.0,317.0,11.0,9.6755,3710.0,5173.0,106.0,4046.0,5181.0,101.0,-336.0,-8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5866.0,8019.0,155.0,5846.0,8089.0,157.0,20.0,-70.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,7696.0,10834.0,208.0,8731.0,11223.0,218.0,-1035.0,-389.0,-10.0,1.0,2.0,1.0,1.0,2.0,1.0,9764.0,14894.0,256.0,10281.0,15111.0,265.0,-517.0,-217.0,-9.0,2.0,2.0,1.0,1.0,2.0,1.0
LOLTMNT01_327530,complete,HW,2026.0,0.0,2.0,16.01,Blue,mid,Chovy,Gen.G,1.0,Galio,Neeko,Malphite,Orianna,K'Sante,Ornn,1817.0,1.0,4.0,0.0,8.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7265,0.8916,0.0,0.0,12.0,11.0,2.0,47.0,13690.0,9708.0,320.5724,12750.0,303.0,303.0,0.0,10.0055,3778.0,5244.0,103.0,4076.0,5554.0,104.0,-298.0,-310.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,5566.0,8000.0,157.0,6042.0,8350.0,157.0,-476.0,-350.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7936.0,11091.0,212.0,7823.0,11041.0,212.0,113.0,50.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,10236.0,13295.0,254.0,9240.0,12046.0,233.0,996.0,1249.0,21.0,1.0,4.0,0.0,0.0,2.0,1.0
LOLTMNT04_151709,complete,TCL,2026.0,0.0,1.0,16.02,Blue,mid,Chovy,Gen.G,0.0,Yone,Jayce,Varus,Rumble,Nami,Bard,2164.0,1.0,3.0,4.0,9.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5823,0.8041,0.0,0.0,22.0,14.0,5.0,75.0,16867.0,12177.0,337.6248,13575.0,351.0,331.0,20.0,9.732,3422.0,5028.0,89.0,3973.0,5110.0,99.0,-551.0,-82.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,5276.0,7892.0,148.0,5892.0,7933.0,162.0,-616.0,-41.0,-14.0,0.0,0.0,1.0,1.0,0.0,0.0,8080.0,10487.0,202.0,7484.0,9571.0,193.0,596.0,916.0,9.0,1.0,0.0,2.0,2.0,0.0,2.0,9972.0,13964.0,254.0,9838.0,12990.0,249.0,134.0,974.0,5.0,1.0,0.0,3.0,3.0,0.0,2.0
LOLTMNT01_338311,complete,HW,2026.0,0.0,2.0,16.02,Blue,mid,Chovy,Gen.G,0.0,Galio,Rumble,Varus,Jayce,Sivir,Kalista,2103.0,1.0,3.0,5.0,7.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.5991,1.0842,0.0,0.0,19.0,12.0,5.0,64.0,13912.0,9346.0,266.6476,11825.0,317.0,311.0,6.0,9.0442,4194.0,5680.0,108.0,3674.0,5010.0,96.0,520.0,670.0,12.0,1.0,2.0,0.0,0.0,1.0,0.0,5536.0,7512.0,142.0,6637.0,8477.0,155.0,-1101.0,-965.0,-13.0,1.0,3.0,2.0,3.0,2.0,0.0,8299.0,10683.0,204.0,8455.0,11146.0,208.0,-156.0,-463.0,-4.0,2.0,4.0,2.0,3.0,2.0,1.0,9447.0,11759.0,225.0,10089.0,12600.0,230.0,-642.0,-841.0,-5.0,2.0,4.0,4.0,4.0,5.0,1.0
