gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Claww,3BL Esports,0.0,Udyr,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,1.0,5.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.18,0.6839,0.0,0.0,11.0,1.0,0.0,27.0,8847.0,5171.0,186.1188,9530.0,221.0,221.0,0.0,7.9544,2915.0,4410.0,68.0,3861.0,5299.0,84.0,-946.0,-889.0,-16.0,0.0,0.0,2.0,1.0,1.0,0.0,4707.0,8598.0,131.0,5796.0,9088.0,143.0,-1089.0,-490.0,-12.0,0.0,0.0,2.0,1.0,1.0,0.0,6708.0,11293.0,170.0,7705.0,11858.0,185.0,-997.0,-565.0,-15.0,1.0,0.0,3.0,2.0,2.0,0.0,8124.0,13643.0,206.0,10394.0,16262.0,228.0,-2270.0,-2619.0,-22.0,1.0,0.0,4.0,4.0,3.0,0.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Red,top,Claww,3BL Esports,0.0,Ornn,Aphelios,Lee Sin,Braum,Jayce,Viktor,1975.0,0.0,2.0,5.0,9.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5772,1.3063,0.0,0.0,11.0,1.0,0.0,29.0,11150.0,6845.0,207.9494,10650.0,226.0,226.0,0.0,6.8658,3361.0,5087.0,74.0,3373.0,4757.0,79.0,-12.0,330.0,-5.0,0.0,4.0,0.0,0.0,1.0,1.0,5049.0,8844.0,123.0,4955.0,8240.0,125.0,94.0,604.0,-2.0,0.0,4.0,0.0,0.0,1.0,1.0,6514.0,11761.0,161.0,7365.0,11088.0,168.0,-851.0,673.0,-7.0,0.0,5.0,1.0,1.0,1.0,1.0,8426.0,14516.0,195.0,9313.0,14655.0,198.0,-887.0,-139.0,-3.0,1.0,7.0,3.0,1.0,7.0,3.0
LOLTMNT03_336695,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,Claww,3BL Esports,1.0,Ambessa,Jayce,Neeko,Sylas,Viktor,Syndra,2137.0,1.0,1.0,2.0,8.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7019,0.9827,0.0,0.0,12.0,3.0,1.0,36.0,12620.0,7985.0,224.1928,12505.0,282.0,270.0,12.0,7.9176,3555.0,5032.0,75.0,3695.0,5301.0,93.0,-140.0,-269.0,-18.0,1.0,0.0,1.0,0.0,1.0,0.0,5091.0,8638.0,121.0,5526.0,9016.0,148.0,-435.0,-378.0,-27.0,1.0,0.0,1.0,0.0,2.0,0.0,7132.0,12168.0,173.0,7167.0,12088.0,195.0,-35.0,80.0,-22.0,1.0,2.0,1.0,0.0,2.0,1.0,8993.0,14716.0,209.0,8784.0,14902.0,244.0,209.0,-186.0,-35.0,1.0,5.0,1.0,0.0,2.0,1.0
LOLTMNT03_337782,complete,LCK,2026.0,0.0,2.0,16.01,Blue,top,Claww,3BL Esports,1.0,Gnar,Jayce,Neeko,Sylas,Rengar,Nami,2801.0,0.0,1.0,9.0,13.0,32.0,39.0,0.0,0.0,0.0,0.0,0.0,0.6855,1.5209,0.0,0.0,18.0,5.0,0.0,51.0,16341.0,10351.0,221.728,15333.0,363.0,352.0,11.0,7.7758,3488.0,5286.0,88.0,3503.0,5322.0,80.0,-15.0,-36.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,5480.0,8998.0,129.0,5383.0,9006.0,124.0,97.0,-8.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,7188.0,12428.0,173.0,7530.0,11767.0,160.0,-342.0,661.0,13.0,1.0,2.0,4.0,2.0,2.0,1.0,9013.0,15622.0,216.0,9873.0,15677.0,197.0,-860.0,-55.0,19.0,1.0,3.0,5.0,3.0,5.0,1.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Red,top,Claww,3BL Esports,0.0,Camille,Neeko,Jayce,Rengar,Viktor,Xayah,2059.0,1.0,3.0,6.0,5.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9616,1.457,0.0,1.0,8.0,2.0,0.0,27.0,11423.0,6947.0,202.4381,10108.0,259.0,249.0,10.0,7.5474,2996.0,4671.0,74.0,3504.0,5257.0,83.0,-508.0,-586.0,-9.0,0.0,0.0,1.0,0.0,1.0,0.0,4482.0,8373.0,110.0,5234.0,8505.0,124.0,-752.0,-132.0,-14.0,0.0,1.0,2.0,0.0,2.0,1.0,6455.0,11977.0,158.0,6904.0,10911.0,161.0,-449.0,1066.0,-3.0,1.0,1.0,2.0,0.0,2.0,2.0,8060.0,14735.0,205.0,8314.0,12637.0,183.0,-254.0,2098.0,22.0,1.0,1.0,3.0,0.0,3.0,2.0
LOLTMNT03_340045,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Claww,3BL Esports,0.0,Udyr,Rumble,Ryze,Malphite,Rell,Aphelios,2120.0,1.0,3.0,2.0,5.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.6226,1.1038,0.0,0.0,12.0,5.0,2.0,42.0,14854.0,10254.0,290.2075,13450.0,336.0,334.0,2.0,9.5094,3539.0,5209.0,92.0,3383.0,5286.0,91.0,156.0,-77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5551.0,9035.0,140.0,5130.0,8654.0,142.0,421.0,381.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,7718.0,12908.0,207.0,7088.0,12255.0,198.0,630.0,653.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,9736.0,16150.0,260.0,9064.0,14970.0,236.0,672.0,1180.0,24.0,1.0,1.0,1.0,1.0,4.0,2.0
LOLTMNT02_344044,complete,ROL,2026.0,0.0,2.0,16.01,Blue,top,Claww,3BL Esports,1.0,K'Sante,Ryze,Sylas,Rell,Gnar,Jax,1879.0,0.0,1.0,3.0,7.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5428,1.3092,0.0,0.0,12.0,1.0,0.0,29.0,9929.0,5820.0,185.8435,9750.0,211.0,211.0,0.0,6.7376,3084.0,4760.0,66.0,3638.0,4864.0,92.0,-554.0,-104.0,-26.0,0.0,2.0,0.0,0.0,1.0,1.0,4424.0,7556.0,100.0,6811.0,8808.0,134.0,-2387.0,-1252.0,-34.0,0.0,3.0,1.0,4.0,3.0,1.0,6232.0,10366.0,147.0,8928.0,12074.0,191.0,-2696.0,-1708.0,-44.0,0.0,3.0,1.0,4.0,3.0,1.0,7477.0,12472.0,169.0,10590.0,14030.0,218.0,-3113.0,-1558.0,-49.0,0.0,7.0,1.0,4.0,4.0,2.0
LOLTMNT05_174020,complete,LIT,2026.0,0.0,3.0,16.01,Red,top,Claww,3BL Esports,0.0,Cho'Gath,Ryze,Viktor,Malphite,Aurora,LeBlanc,1396.0,0.0,0.0,5.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3009,1.1605,0.0,0.0,7.0,1.0,0.0,18.0,6704.0,3581.0,153.9112,5950.0,148.0,144.0,4.0,6.361,3110.0,4622.0,73.0,2996.0,4545.0,70.0,114.0,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4637.0,7357.0,111.0,5551.0,8497.0,123.0,-914.0,-1140.0,-12.0,0.0,0.0,2.0,1.0,1.0,1.0,6145.0,9226.0,141.0,7687.0,11295.0,165.0,-1542.0,-2069.0,-24.0,0.0,0.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_341189,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Claww,3BL Esports,0.0,Udyr,Neeko,Ambessa,Ahri,Caitlyn,Corki,1829.0,1.0,1.0,4.0,5.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.7873,1.2138,0.0,0.0,10.0,2.0,0.0,28.0,10860.0,6853.0,224.8114,10350.0,234.0,234.0,0.0,7.6763,3380.0,5286.0,84.0,3325.0,5255.0,85.0,55.0,31.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4753.0,8618.0,119.0,4855.0,8918.0,135.0,-102.0,-300.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,6192.0,10882.0,161.0,6630.0,12184.0,185.0,-438.0,-1302.0,-24.0,0.0,0.0,1.0,0.0,1.0,0.0,8467.0,15136.0,198.0,8360.0,14311.0,222.0,107.0,825.0,-24.0,1.0,5.0,2.0,0.0,2.0,1.0
LOLTMNT06_166062,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Claww,3BL Esports,1.0,Sion,Neeko,Jayce,Naafiri,Alistar,Poppy,1744.0,0.0,3.0,4.0,5.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0.6193,1.6858,0.0,0.0,4.0,0.0,1.0,15.0,10513.0,6680.0,229.8165,10375.0,206.0,206.0,0.0,7.0872,4120.0,5281.0,83.0,3845.0,5410.0,102.0,275.0,-129.0,-19.0,3.0,1.0,0.0,0.0,0.0,0.0,6437.0,9119.0,138.0,5740.0,8615.0,145.0,697.0,504.0,-7.0,3.0,2.0,0.0,0.0,0.0,1.0,8198.0,11554.0,178.0,8200.0,11548.0,183.0,-2.0,6.0,-5.0,3.0,4.0,1.0,2.0,2.0,2.0,9677.0,13392.0,202.0,10255.0,15128.0,223.0,-578.0,-1736.0,-21.0,3.0,4.0,2.0,2.0,5.0,2.0
