gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152349,complete,LIT,2026.0,0.0,1.0,16.02,Blue,sup,Coli,BeFive,1.0,Rell,Malphite,Akali,Taliyah,Braum,Lulu,1915.0,1.0,0.0,3.0,19.0,30.0,9.0,0.0,0.0,0.0,0.0,1.0,0.9399,1.1906,0.0,0.0,59.0,9.0,15.0,116.0,8643.0,4461.0,139.7702,7800.0,22.0,22.0,0.0,0.6893,2594.0,2922.0,11.0,2396.0,2488.0,6.0,198.0,434.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,3810.0,4238.0,14.0,3405.0,3757.0,10.0,405.0,481.0,4.0,0.0,5.0,1.0,0.0,3.0,2.0,5193.0,5672.0,18.0,4617.0,4904.0,14.0,576.0,768.0,4.0,0.0,8.0,1.0,0.0,3.0,3.0,6485.0,7724.0,21.0,5708.0,6712.0,20.0,777.0,1012.0,1.0,0.0,10.0,1.0,0.0,3.0,4.0
LOLTMNT01_333947,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Coli,BeFive,0.0,Braum,Jayce,Orianna,Varus,Renekton,Gnar,1535.0,0.0,1.0,5.0,5.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3909,1.4853,0.0,0.0,27.0,7.0,6.0,48.0,6490.0,3083.0,120.5081,5830.0,23.0,23.0,0.0,0.899,2590.0,2966.0,15.0,2358.0,2629.0,17.0,232.0,337.0,-2.0,0.0,2.0,0.0,0.0,1.0,1.0,3940.0,4462.0,18.0,4012.0,4365.0,20.0,-72.0,97.0,-2.0,0.0,4.0,2.0,1.0,4.0,1.0,5371.0,6392.0,20.0,5332.0,6066.0,21.0,39.0,326.0,-1.0,1.0,5.0,3.0,1.0,7.0,2.0,6388.0,7671.0,23.0,6963.0,8358.0,23.0,-575.0,-687.0,0.0,1.0,5.0,4.0,1.0,10.0,3.0
LOLTMNT01_334904,complete,LJL,2026.0,0.0,3.0,16.02,Blue,sup,Coli,BeFive,1.0,Rakan,Malphite,Akali,Caitlyn,Aphelios,Kai'Sa,1331.0,0.0,0.0,4.0,3.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2705,1.3974,0.0,0.0,26.0,11.0,6.0,67.0,5105.0,2114.0,95.2968,4710.0,35.0,34.0,1.0,1.5778,2329.0,3014.0,24.0,2428.0,2792.0,14.0,-99.0,222.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3568.0,4141.0,28.0,3831.0,4202.0,22.0,-263.0,-61.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,4693.0,5560.0,34.0,5844.0,7252.0,34.0,-1151.0,-1692.0,0.0,0.0,3.0,4.0,1.0,9.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_335056,complete,LCP,2026.0,0.0,1.0,16.02,Blue,sup,Coli,BeFive,1.0,Blitzcrank,Malphite,Akali,Vi,Fiora,Gwen,1683.0,1.0,1.0,4.0,16.0,28.0,17.0,0.0,0.0,0.0,0.0,1.0,0.9982,1.6043,0.0,0.0,38.0,11.0,7.0,83.0,8531.0,4822.0,171.9073,7860.0,28.0,28.0,0.0,0.9982,3003.0,2865.0,15.0,2949.0,2422.0,16.0,54.0,443.0,-1.0,1.0,3.0,2.0,1.0,4.0,1.0,4285.0,4681.0,21.0,4040.0,4006.0,25.0,245.0,675.0,-4.0,1.0,6.0,2.0,1.0,4.0,1.0,5682.0,5889.0,21.0,5135.0,5298.0,32.0,547.0,591.0,-11.0,1.0,9.0,3.0,1.0,5.0,1.0,7277.0,7731.0,26.0,6162.0,6652.0,33.0,1115.0,1079.0,-7.0,1.0,11.0,3.0,1.0,6.0,3.0
LOLTMNT01_336167,complete,CBLOL,2026.0,0.0,2.0,16.02,Red,sup,Coli,BeFive,0.0,Nami,Vi,Fiora,Darius,Karma,Nautilus,1718.0,1.0,3.0,5.0,32.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,1.362,1.9907,0.0,0.0,34.0,7.0,9.0,74.0,9895.0,6115.0,213.5623,8660.0,19.0,19.0,0.0,0.6636,2621.0,3003.0,8.0,2265.0,2316.0,8.0,356.0,687.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,4352.0,4402.0,10.0,3730.0,4452.0,17.0,622.0,-50.0,-7.0,2.0,3.0,4.0,0.0,5.0,1.0,6417.0,7624.0,16.0,4872.0,5322.0,20.0,1545.0,2302.0,-4.0,2.0,13.0,4.0,0.0,5.0,4.0,8635.0,11297.0,19.0,5920.0,7187.0,24.0,2715.0,4110.0,-5.0,3.0,24.0,4.0,0.0,6.0,7.0
LOLTMNT01_337737,complete,LCP,2026.0,0.0,1.0,16.02,Red,sup,Coli,BeFive,0.0,Nautilus,Varus,Jayce,Yunara,Gnar,Gwen,2125.0,1.0,1.0,5.0,28.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9882,1.5247,0.0,0.0,73.0,16.0,14.0,143.0,11058.0,6447.0,182.0329,9890.0,32.0,32.0,0.0,0.9035,3049.0,3115.0,14.0,2749.0,2770.0,13.0,300.0,345.0,1.0,0.0,5.0,2.0,0.0,5.0,2.0,4558.0,4066.0,20.0,3972.0,3349.0,19.0,586.0,717.0,1.0,0.0,7.0,3.0,0.0,6.0,3.0,5715.0,4879.0,24.0,5354.0,5178.0,24.0,361.0,-299.0,0.0,0.0,7.0,4.0,0.0,9.0,3.0,7746.0,8185.0,27.0,6450.0,5904.0,29.0,1296.0,2281.0,-2.0,0.0,17.0,4.0,0.0,10.0,6.0
LOLTMNT05_175070,complete,LEC,2026.0,0.0,2.0,16.02,Red,sup,Coli,BeFive,0.0,Nami,Varus,Yunara,Jayce,Gwen,Fiora,1675.0,1.0,2.0,3.0,19.0,28.0,13.0,0.0,0.0,0.0,0.0,1.0,1.003,1.4687,0.0,0.0,38.0,13.0,9.0,95.0,8804.0,5111.0,183.0806,7300.0,30.0,30.0,0.0,1.0746,2851.0,2293.0,15.0,2460.0,2442.0,20.0,391.0,-149.0,-5.0,1.0,4.0,2.0,0.0,1.0,3.0,4546.0,4470.0,20.0,3621.0,3551.0,26.0,925.0,919.0,-6.0,1.0,9.0,2.0,0.0,1.0,6.0,6114.0,5513.0,24.0,4827.0,4807.0,27.0,1287.0,706.0,-3.0,2.0,11.0,2.0,0.0,3.0,7.0,7427.0,6936.0,29.0,6624.0,6551.0,30.0,803.0,385.0,-1.0,2.0,14.0,3.0,1.0,3.0,8.0
LOLTMNT05_176846,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,Coli,BeFive,1.0,Nautilus,Neeko,Vi,Azir,K'Sante,Ornn,1614.0,0.0,0.0,11.0,6.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2974,1.7844,0.0,0.0,49.0,6.0,13.0,89.0,6409.0,2841.0,105.6134,6125.0,25.0,25.0,0.0,0.9294,2634.0,2614.0,16.0,2717.0,2787.0,12.0,-83.0,-173.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0,3752.0,3511.0,20.0,4143.0,4001.0,15.0,-391.0,-490.0,5.0,0.0,2.0,5.0,0.0,8.0,2.0,4754.0,3957.0,21.0,5964.0,5701.0,17.0,-1210.0,-1744.0,4.0,0.0,3.0,7.0,1.0,16.0,2.0,6078.0,6895.0,25.0,7998.0,8605.0,21.0,-1920.0,-1710.0,4.0,0.0,6.0,9.0,1.0,23.0,3.0
LOLTMNT05_176851,complete,AL,2026.0,1.0,2.0,16.03,Blue,sup,Coli,BeFive,1.0,Pyke,Neeko,LeBlanc,Vi,Ahri,Viktor,1843.0,0.0,6.0,9.0,9.0,20.0,34.0,0.0,0.0,0.0,0.0,1.0,0.6511,1.7254,0.0,0.0,44.0,14.0,9.0,99.0,10808.0,6773.0,220.4992,8930.0,20.0,20.0,0.0,0.6511,2804.0,2799.0,7.0,2691.0,2897.0,18.0,113.0,-98.0,-11.0,1.0,1.0,2.0,0.0,3.0,2.0,4934.0,3777.0,10.0,4467.0,4569.0,23.0,467.0,-792.0,-13.0,4.0,2.0,5.0,1.0,7.0,3.0,6225.0,5294.0,16.0,5753.0,5727.0,31.0,472.0,-433.0,-15.0,4.0,4.0,6.0,1.0,8.0,3.0,8162.0,7979.0,17.0,7290.0,7740.0,36.0,872.0,239.0,-19.0,5.0,7.0,6.0,1.0,13.0,4.0
LOLTMNT03_346121,complete,HLL,2026.0,1.0,1.0,16.03,Blue,sup,Coli,BeFive,1.0,Nautilus,Vi,Fiora,Taliyah,Braum,Gnar,1720.0,0.0,1.0,9.0,2.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2791,1.186,0.0,0.0,42.0,7.0,5.0,80.0,7399.0,3615.0,126.1047,6170.0,20.0,20.0,0.0,0.6977,2102.0,2030.0,8.0,2887.0,3038.0,16.0,-785.0,-1008.0,-8.0,0.0,0.0,3.0,1.0,4.0,0.0,4038.0,4048.0,15.0,4162.0,4679.0,20.0,-124.0,-631.0,-5.0,1.0,0.0,4.0,1.0,6.0,1.0,5056.0,5354.0,15.0,5580.0,5954.0,25.0,-524.0,-600.0,-10.0,1.0,1.0,6.0,1.0,10.0,1.0,6064.0,6209.0,17.0,7476.0,8443.0,28.0,-1412.0,-2234.0,-11.0,1.0,1.0,8.0,1.0,15.0,1.0
