gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151154,complete,TCL,2026.0,0.0,1.0,16.02,Red,sup,Corriragazzo,P11 Esports,0.0,Karma,Diana,Gwen,Ambessa,Gnar,Aatrox,1847.0,0.0,0.0,5.0,7.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3249,1.007,0.0,0.0,32.0,9.0,9.0,88.0,6982.0,2939.0,95.4737,6430.0,17.0,17.0,0.0,0.5522,2360.0,2653.0,11.0,2436.0,2433.0,10.0,-76.0,220.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3613.0,3934.0,14.0,3581.0,3317.0,16.0,32.0,617.0,-2.0,0.0,2.0,2.0,0.0,3.0,0.0,4818.0,5942.0,15.0,4700.0,4712.0,24.0,118.0,1230.0,-9.0,0.0,5.0,2.0,0.0,4.0,0.0,5847.0,7353.0,16.0,6175.0,7012.0,27.0,-328.0,341.0,-11.0,0.0,6.0,4.0,0.0,8.0,0.0
LOLTMNT01_332905,complete,HW,2026.0,0.0,2.0,16.02,Red,sup,Corriragazzo,P11 Esports,0.0,Milio,Diana,Gwen,Ambessa,Gnar,Fiora,2623.0,1.0,3.0,3.0,30.0,35.0,21.0,0.0,0.0,0.0,0.0,1.0,0.8006,1.281,0.0,0.0,71.0,11.0,9.0,142.0,13481.0,7854.0,179.6569,11510.0,28.0,28.0,0.0,0.6405,2506.0,2539.0,15.0,2148.0,2639.0,15.0,358.0,-100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4013.0,4492.0,20.0,3388.0,3789.0,21.0,625.0,703.0,-1.0,0.0,6.0,0.0,0.0,2.0,1.0,5608.0,6108.0,21.0,4697.0,5156.0,24.0,911.0,952.0,-3.0,1.0,8.0,1.0,0.0,4.0,3.0,7153.0,8543.0,22.0,6035.0,6880.0,27.0,1118.0,1663.0,-5.0,1.0,15.0,2.0,0.0,7.0,5.0
LOLTMNT04_151168,complete,LFL,2026.0,0.0,3.0,16.02,Blue,sup,Corriragazzo,P11 Esports,1.0,Nautilus,Diana,Gwen,Urgot,Renekton,Gnar,2481.0,1.0,2.0,3.0,27.0,41.0,26.0,0.0,0.0,0.0,0.0,0.0,0.9915,1.6203,0.0,0.0,73.0,13.0,15.0,162.0,12368.0,7031.0,170.0363,10910.0,34.0,34.0,0.0,0.8222,2956.0,2273.0,13.0,2275.0,2397.0,17.0,681.0,-124.0,-4.0,2.0,2.0,0.0,0.0,0.0,1.0,4591.0,4043.0,21.0,4379.0,3858.0,20.0,212.0,185.0,1.0,2.0,7.0,0.0,2.0,0.0,3.0,5964.0,5796.0,23.0,5346.0,4924.0,21.0,618.0,872.0,2.0,2.0,10.0,0.0,2.0,0.0,4.0,7274.0,7690.0,25.0,6755.0,7792.0,24.0,519.0,-102.0,1.0,2.0,12.0,1.0,2.0,4.0,6.0
LOLTMNT04_152149,complete,LIT,2026.0,1.0,4.0,16.02,Blue,sup,Corriragazzo,P11 Esports,1.0,Leona,Diana,Gwen,Urgot,Xin Zhao,Qiyana,1861.0,0.0,0.0,6.0,8.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.4191,1.2896,0.0,0.0,48.0,14.0,14.0,112.0,7250.0,3178.0,102.461,7150.0,30.0,30.0,0.0,0.9672,2426.0,2501.0,13.0,2409.0,2644.0,15.0,17.0,-143.0,-2.0,0.0,2.0,1.0,0.0,2.0,0.0,3853.0,3976.0,20.0,4067.0,3463.0,21.0,-214.0,513.0,-1.0,0.0,5.0,3.0,2.0,3.0,1.0,4824.0,5242.0,22.0,5350.0,5416.0,22.0,-526.0,-174.0,0.0,0.0,6.0,4.0,2.0,6.0,2.0,6025.0,7180.0,28.0,6377.0,6440.0,25.0,-352.0,740.0,3.0,0.0,7.0,4.0,2.0,6.0,2.0
LOLTMNT04_151179,complete,LFL,2026.0,0.0,5.0,16.02,Red,sup,Corriragazzo,P11 Esports,0.0,Amumu,Diana,Gwen,Urgot,Jax,Zaahen,1879.0,1.0,1.0,3.0,11.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.7344,1.1176,0.0,0.0,43.0,14.0,8.0,110.0,9303.0,5194.0,165.8542,8300.0,30.0,30.0,0.0,0.958,2491.0,2540.0,10.0,2257.0,2644.0,17.0,234.0,-104.0,-7.0,0.0,2.0,1.0,0.0,0.0,1.0,3661.0,3576.0,20.0,3431.0,4154.0,30.0,230.0,-578.0,-10.0,0.0,2.0,1.0,0.0,0.0,1.0,4990.0,5191.0,22.0,4581.0,5437.0,34.0,409.0,-246.0,-12.0,0.0,4.0,2.0,0.0,2.0,1.0,6852.0,7345.0,25.0,5804.0,6904.0,40.0,1048.0,441.0,-15.0,0.0,8.0,2.0,0.0,2.0,2.0
LOLTMNT01_337681,complete,LCP,2026.0,0.0,1.0,16.02,Blue,sup,Corriragazzo,P11 Esports,1.0,Bard,Syndra,Diana,Nautilus,Neeko,Karma,1831.0,0.0,0.0,4.0,4.0,7.0,22.0,0.0,0.0,0.0,0.0,1.0,0.2294,0.9503,0.0,0.0,50.0,7.0,10.0,111.0,7126.0,3115.0,102.0754,6485.0,32.0,32.0,0.0,1.0486,2483.0,2927.0,18.0,2444.0,2971.0,17.0,39.0,-44.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3623.0,4303.0,27.0,4144.0,5043.0,23.0,-521.0,-740.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,4864.0,5916.0,28.0,5318.0,6737.0,29.0,-454.0,-821.0,-1.0,0.0,3.0,2.0,0.0,6.0,0.0,6033.0,7582.0,30.0,6953.0,8893.0,33.0,-920.0,-1311.0,-3.0,0.0,4.0,2.0,0.0,10.0,0.0
LOLTMNT01_338623,complete,LCP,2026.0,0.0,2.0,16.02,Red,sup,Corriragazzo,P11 Esports,0.0,Braum,Diana,Jarvan IV,Orianna,Neeko,Aatrox,1734.0,1.0,1.0,1.0,12.0,20.0,9.0,0.0,0.0,0.0,0.0,1.0,0.692,1.0035,0.0,0.0,39.0,7.0,9.0,100.0,8477.0,4664.0,161.3841,7510.0,27.0,23.0,4.0,0.9343,2807.0,2994.0,14.0,2271.0,2758.0,15.0,536.0,236.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,4458.0,4867.0,21.0,3480.0,4155.0,21.0,978.0,712.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,5813.0,6143.0,24.0,4678.0,5593.0,24.0,1135.0,550.0,0.0,1.0,6.0,0.0,0.0,2.0,3.0,7403.0,7722.0,27.0,5940.0,6608.0,26.0,1463.0,1114.0,1.0,1.0,9.0,0.0,0.0,2.0,4.0
LOLTMNT01_337768,complete,LCK,2026.0,0.0,3.0,16.02,Blue,sup,Corriragazzo,P11 Esports,1.0,Seraphine,Diana,Lucian,Malphite,Sivir,Smolder,2406.0,1.0,0.0,1.0,12.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4738,0.7481,0.0,0.0,63.0,8.0,11.0,134.0,10417.0,5233.0,130.4988,9145.0,38.0,38.0,0.0,0.9476,2200.0,2798.0,20.0,2484.0,3098.0,23.0,-284.0,-300.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,3260.0,4009.0,28.0,3930.0,4142.0,33.0,-670.0,-133.0,-5.0,0.0,0.0,1.0,0.0,3.0,0.0,4266.0,5690.0,31.0,5318.0,5427.0,37.0,-1052.0,263.0,-6.0,0.0,1.0,1.0,0.0,4.0,0.0,5504.0,7736.0,33.0,6287.0,7367.0,37.0,-783.0,369.0,-4.0,0.0,3.0,1.0,0.0,5.0,0.0
LOLTMNT02_348966,complete,CBLOL,2026.0,0.0,4.0,16.02,Red,sup,Corriragazzo,P11 Esports,0.0,Neeko,Diana,Ryze,Varus,LeBlanc,Ahri,1954.0,0.0,0.0,6.0,8.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3685,1.1361,0.0,0.0,44.0,11.0,10.0,119.0,8150.0,3888.0,119.3859,8085.0,34.0,34.0,0.0,1.044,2561.0,2584.0,14.0,2390.0,2766.0,18.0,171.0,-182.0,-4.0,0.0,2.0,1.0,0.0,1.0,0.0,3875.0,4477.0,25.0,3382.0,3845.0,24.0,493.0,632.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,5325.0,5560.0,29.0,4404.0,4823.0,28.0,921.0,737.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,6492.0,7213.0,31.0,5985.0,7865.0,33.0,507.0,-652.0,-2.0,0.0,6.0,2.0,0.0,6.0,1.0
LOLTMNT02_346996,complete,CBLOL,2026.0,0.0,5.0,16.02,Blue,sup,Corriragazzo,P11 Esports,1.0,Rakan,Diana,Gwen,Lucian,Miss Fortune,Ziggs,2076.0,0.0,0.0,7.0,9.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.289,0.9827,0.0,0.0,55.0,10.0,10.0,122.0,8504.0,3993.0,115.4046,7780.0,28.0,28.0,0.0,0.8092,2545.0,2439.0,11.0,2888.0,2763.0,12.0,-343.0,-324.0,-1.0,0.0,4.0,3.0,1.0,3.0,2.0,3729.0,3618.0,21.0,4224.0,4049.0,19.0,-495.0,-431.0,2.0,0.0,4.0,3.0,1.0,6.0,2.0,5112.0,4615.0,24.0,5416.0,5257.0,20.0,-304.0,-642.0,4.0,0.0,5.0,4.0,1.0,10.0,3.0,6172.0,6347.0,25.0,6420.0,5909.0,22.0,-248.0,438.0,3.0,0.0,7.0,4.0,1.0,10.0,3.0
