gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335767,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Xin Zhao,Poppy,Malphite,Jayce,Jarvan IV,Vi,1775.0,0.0,1.0,5.0,5.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2704,0.7775,0.0,1.0,8.0,11.0,6.0,46.0,9477.0,5580.0,188.6197,9350.0,185.0,17.0,168.0,6.2535,3661.0,4027.0,80.0,3489.0,4216.0,82.0,172.0,-189.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,5581.0,6751.0,127.0,5691.0,7154.0,129.0,-110.0,-403.0,-2.0,0.0,4.0,0.0,1.0,0.0,0.0,6945.0,8212.0,150.0,7795.0,10172.0,172.0,-850.0,-1960.0,-22.0,0.0,5.0,2.0,1.0,3.0,1.0,8640.0,9864.0,175.0,10219.0,13094.0,223.0,-1579.0,-3230.0,-48.0,1.0,5.0,3.0,2.0,3.0,1.0
LOLTMNT03_334841,complete,LCKC,2026.0,0.0,2.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Nocturne,Poppy,Malphite,Jayce,Gnar,Gwen,1804.0,0.0,1.0,4.0,4.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2661,0.8647,0.0,1.0,14.0,8.0,9.0,61.0,9866.0,5910.0,196.5632,9525.0,193.0,12.0,181.0,6.4191,3676.0,4506.0,87.0,3506.0,4234.0,81.0,170.0,272.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5455.0,6645.0,122.0,5245.0,6709.0,126.0,210.0,-64.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,7455.0,9044.0,158.0,7190.0,8714.0,148.0,265.0,330.0,10.0,1.0,2.0,1.0,1.0,2.0,2.0,8776.0,10688.0,178.0,10576.0,13090.0,194.0,-1800.0,-2402.0,-16.0,1.0,3.0,2.0,3.0,7.0,2.0
LOLTMNT03_336227,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Malphite,Jayce,Neeko,Sylas,Lulu,Kai'Sa,2474.0,0.0,1.0,3.0,9.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3395,0.8488,1.0,1.0,14.0,18.0,14.0,73.0,13896.0,8573.0,207.9143,13500.0,235.0,19.0,216.0,5.6993,3575.0,4237.0,73.0,3949.0,4357.0,84.0,-374.0,-120.0,-11.0,0.0,2.0,0.0,1.0,0.0,0.0,5804.0,6694.0,112.0,6051.0,7543.0,138.0,-247.0,-849.0,-26.0,0.0,4.0,0.0,1.0,1.0,0.0,7493.0,8743.0,147.0,7618.0,9375.0,167.0,-125.0,-632.0,-20.0,0.0,4.0,0.0,1.0,3.0,0.0,9158.0,11302.0,186.0,9398.0,11878.0,207.0,-240.0,-576.0,-21.0,0.0,4.0,0.0,1.0,3.0,0.0
LOLTMNT03_337298,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Courage,Gen.G Global Academy,0.0,Wukong,Orianna,Rumble,Jayce,Lulu,Leona,1388.0,0.0,0.0,6.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1297,1.0375,0.0,1.0,6.0,2.0,3.0,25.0,7436.0,4329.0,187.1326,7158.0,147.0,5.0,142.0,6.3545,3500.0,4349.0,82.0,3357.0,3740.0,74.0,143.0,609.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4939.0,6063.0,110.0,6380.0,7200.0,123.0,-1441.0,-1137.0,-13.0,0.0,1.0,2.0,3.0,1.0,0.0,6678.0,8151.0,139.0,9207.0,10677.0,166.0,-2529.0,-2526.0,-27.0,0.0,2.0,4.0,5.0,6.0,0.0,,,,,,,,,,,,,,,
LOLTMNT06_163474,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Courage,Gen.G Global Academy,0.0,Jarvan IV,Rumble,Jayce,Pantheon,Sivir,Corki,2002.0,1.0,4.0,0.0,10.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4795,0.7193,1.0,0.0,12.0,14.0,11.0,67.0,15234.0,10874.0,325.8941,14075.0,259.0,22.0,237.0,7.7622,3730.0,4118.0,78.0,3424.0,4105.0,78.0,306.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5780.0,7130.0,126.0,5055.0,6167.0,113.0,725.0,963.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,8970.0,10077.0,160.0,7092.0,8865.0,144.0,1878.0,1212.0,16.0,3.0,2.0,0.0,1.0,2.0,1.0,11077.0,13277.0,204.0,8483.0,10321.0,167.0,2594.0,2956.0,37.0,3.0,4.0,0.0,1.0,2.0,2.0
LOLTMNT05_171228,complete,CCWS,2026.0,0.0,2.0,16.01,Blue,jng,Courage,Gen.G Global Academy,1.0,Wukong,Poppy,Malphite,Neeko,Gnar,Yorick,1553.0,0.0,2.0,3.0,6.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4636,1.275,0.0,1.0,5.0,6.0,2.0,33.0,8890.0,5446.0,210.4057,8833.0,162.0,10.0,152.0,6.2589,3587.0,4259.0,82.0,3886.0,4419.0,81.0,-299.0,-160.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5631.0,6966.0,115.0,5507.0,6449.0,110.0,124.0,517.0,5.0,1.0,3.0,0.0,1.0,2.0,1.0,6985.0,8393.0,140.0,8106.0,9046.0,138.0,-1121.0,-653.0,2.0,1.0,4.0,2.0,3.0,7.0,2.0,8781.0,11049.0,162.0,10917.0,12697.0,176.0,-2136.0,-1648.0,-14.0,2.0,6.0,3.0,4.0,9.0,2.0
LOLTMNT01_323370,complete,ROL,2026.0,0.0,3.0,16.01,Red,jng,Courage,Gen.G Global Academy,0.0,Zac,Jayce,Kennen,Dr. Mundo,Poppy,Lucian,2132.0,0.0,3.0,6.0,12.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5347,1.379,0.0,1.0,11.0,11.0,10.0,52.0,12079.0,7454.0,209.7749,12250.0,194.0,22.0,172.0,5.4597,3822.0,4034.0,69.0,3546.0,3780.0,72.0,276.0,254.0,-3.0,1.0,3.0,1.0,0.0,2.0,0.0,5948.0,6552.0,105.0,5437.0,6441.0,123.0,511.0,111.0,-18.0,2.0,5.0,1.0,0.0,2.0,0.0,7571.0,8721.0,138.0,7816.0,9587.0,158.0,-245.0,-866.0,-20.0,2.0,6.0,3.0,0.0,11.0,1.0,9790.0,11166.0,166.0,9645.0,12001.0,186.0,145.0,-835.0,-20.0,3.0,10.0,3.0,1.0,13.0,2.0
LOLTMNT01_325721,complete,LCS,2026.0,0.0,1.0,16.01,Blue,jng,Courage,Gen.G Global Academy,0.0,Jarvan IV,Jayce,Rumble,Vi,Gwen,Lulu,1516.0,0.0,1.0,6.0,3.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.1979,1.3456,0.0,0.0,8.0,7.0,7.0,34.0,7759.0,4391.0,173.7863,7525.0,143.0,9.0,134.0,5.6596,3270.0,3907.0,72.0,3817.0,3946.0,71.0,-547.0,-39.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4973.0,6076.0,110.0,5559.0,6394.0,114.0,-586.0,-318.0,-4.0,0.0,1.0,0.0,1.0,2.0,0.0,6673.0,8041.0,131.0,8283.0,8683.0,141.0,-1610.0,-642.0,-10.0,1.0,2.0,3.0,3.0,7.0,0.0,7726.0,9365.0,143.0,10926.0,12483.0,171.0,-3200.0,-3118.0,-28.0,1.0,3.0,5.0,5.0,13.0,0.0
LOLTMNT01_325749,complete,LCS,2026.0,0.0,2.0,16.01,Red,jng,Courage,Gen.G Global Academy,1.0,Wukong,Vi,Pantheon,Jayce,Qiyana,Gnar,1252.0,0.0,3.0,4.0,2.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2396,1.3419,0.0,0.0,6.0,7.0,2.0,26.0,8196.0,5366.0,257.1565,8033.0,113.0,9.0,104.0,5.4153,3467.0,3964.0,74.0,5162.0,4532.0,81.0,-1695.0,-568.0,-7.0,0.0,0.0,1.0,6.0,0.0,0.0,5287.0,5768.0,94.0,7617.0,8591.0,140.0,-2330.0,-2823.0,-46.0,1.0,0.0,1.0,7.0,0.0,0.0,6883.0,7465.0,112.0,10379.0,11864.0,172.0,-3496.0,-4399.0,-60.0,2.0,1.0,3.0,9.0,2.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151192,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Courage,Gen.G Global Academy,0.0,Xin Zhao,Jayce,Rumble,Vi,Gnar,Gwen,1891.0,0.0,2.0,3.0,6.0,8.0,21.0,0.0,0.0,0.0,0.0,1.0,0.2538,0.9201,0.0,1.0,6.0,12.0,4.0,42.0,11550.0,7417.0,235.3358,11050.0,230.0,25.0,205.0,7.2977,3791.0,3919.0,78.0,3574.0,4159.0,78.0,217.0,-240.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5909.0,6894.0,125.0,5617.0,6590.0,119.0,292.0,304.0,6.0,1.0,3.0,1.0,0.0,5.0,0.0,7777.0,9449.0,154.0,7419.0,8910.0,154.0,358.0,539.0,0.0,2.0,4.0,2.0,0.0,8.0,0.0,9157.0,11077.0,182.0,9154.0,11243.0,183.0,3.0,-166.0,-1.0,2.0,4.0,2.0,0.0,9.0,0.0
