gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,DDahyuk,HANJIN BRION Challengers,0.0,K'Sante,Jayce,Malphite,Rumble,Bard,Karma,2188.0,1.0,2.0,2.0,11.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.6307,1.2066,0.0,0.0,18.0,2.0,11.0,42.0,12706.0,7967.0,218.4735,11900.0,263.0,263.0,0.0,7.2121,3324.0,5286.0,89.0,3489.0,5149.0,94.0,-165.0,137.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.0,9152.0,145.0,5243.0,9078.0,148.0,-45.0,74.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,7621.0,12356.0,186.0,6720.0,11806.0,188.0,901.0,550.0,-2.0,2.0,2.0,0.0,0.0,4.0,1.0,8859.0,13746.0,196.0,8796.0,14660.0,218.0,63.0,-914.0,-22.0,2.0,6.0,1.0,0.0,8.0,2.0
LOLTMNT03_334658,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,0.0,Renekton,Rumble,Jayce,Malphite,Bard,Varus,2211.0,1.0,1.0,2.0,15.0,28.0,8.0,0.0,0.0,0.0,0.0,1.0,0.7598,0.9769,0.0,0.0,18.0,3.0,9.0,43.0,12824.0,8038.0,218.1275,12910.0,264.0,263.0,1.0,7.1642,3138.0,4929.0,78.0,3358.0,4745.0,85.0,-220.0,184.0,-7.0,0.0,1.0,0.0,0.0,0.0,1.0,4937.0,8003.0,114.0,5345.0,8526.0,140.0,-408.0,-523.0,-26.0,1.0,1.0,0.0,0.0,0.0,1.0,6435.0,10708.0,160.0,7804.0,12843.0,198.0,-1369.0,-2135.0,-38.0,1.0,1.0,1.0,1.0,0.0,1.0,8266.0,13900.0,196.0,9179.0,14965.0,226.0,-913.0,-1065.0,-30.0,1.0,5.0,1.0,1.0,0.0,4.0
LOLTMNT03_336232,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,1.0,K'Sante,Neeko,Malphite,Jayce,Varus,Bard,1699.0,0.0,0.0,3.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1766,0.9182,0.0,0.0,12.0,2.0,2.0,32.0,8232.0,4490.0,158.5639,8200.0,231.0,231.0,0.0,8.1577,3386.0,5349.0,97.0,3371.0,5273.0,90.0,15.0,76.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4989.0,8864.0,150.0,5397.0,9280.0,150.0,-408.0,-416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6070.0,10892.0,176.0,7911.0,12867.0,203.0,-1841.0,-1975.0,-27.0,0.0,0.0,1.0,0.0,3.0,0.0,7385.0,12804.0,209.0,10094.0,16856.0,248.0,-2709.0,-4052.0,-39.0,0.0,0.0,2.0,1.0,4.0,0.0
LOLTMNT03_336246,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,DDahyuk,HANJIN BRION Challengers,0.0,Gwen,Rumble,Jayce,Neeko,Bard,Alistar,2109.0,1.0,2.0,4.0,6.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5121,0.7966,0.0,0.0,17.0,11.0,5.0,60.0,14250.0,9672.0,275.1636,12675.0,321.0,307.0,14.0,9.1323,3577.0,4782.0,85.0,3568.0,5179.0,87.0,9.0,-397.0,-2.0,0.0,2.0,1.0,1.0,0.0,1.0,5211.0,8389.0,137.0,5506.0,8872.0,133.0,-295.0,-483.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,6799.0,11461.0,187.0,7389.0,12175.0,191.0,-590.0,-714.0,-4.0,0.0,2.0,3.0,1.0,2.0,1.0,8651.0,14670.0,241.0,8624.0,13797.0,215.0,27.0,873.0,26.0,0.0,2.0,3.0,1.0,2.0,1.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,1.0,Sejuani,Neeko,Malphite,Jarvan IV,Ezreal,Gnar,2078.0,0.0,3.0,2.0,6.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4909,0.8373,0.0,0.0,16.0,5.0,4.0,39.0,12183.0,7668.0,221.4052,11950.0,291.0,291.0,0.0,8.4023,3441.0,4608.0,73.0,3389.0,4286.0,73.0,52.0,322.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4881.0,8018.0,114.0,5300.0,7581.0,122.0,-419.0,437.0,-8.0,1.0,2.0,1.0,1.0,0.0,2.0,6661.0,11601.0,168.0,7355.0,10653.0,173.0,-694.0,948.0,-5.0,2.0,2.0,1.0,1.0,0.0,2.0,8506.0,13917.0,212.0,10138.0,14620.0,237.0,-1632.0,-703.0,-25.0,3.0,3.0,1.0,2.0,2.0,2.0
LOLTMNT05_172225,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,0.0,Yasuo,Varus,Vi,Jarvan IV,Neeko,Poppy,1988.0,0.0,2.0,4.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0,0.1207,0.3924,0.0,0.0,12.0,2.0,4.0,38.0,11617.0,7286.0,219.8994,11800.0,281.0,262.0,19.0,8.4809,3243.0,4840.0,83.0,3359.0,5006.0,85.0,-116.0,-166.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,4926.0,8168.0,133.0,5219.0,9064.0,139.0,-293.0,-896.0,-6.0,0.0,1.0,1.0,0.0,1.0,0.0,7299.0,11185.0,178.0,7656.0,12737.0,195.0,-357.0,-1552.0,-17.0,2.0,1.0,2.0,0.0,2.0,0.0,8750.0,13773.0,215.0,10246.0,16453.0,244.0,-1496.0,-2680.0,-29.0,2.0,1.0,3.0,0.0,4.0,0.0
LOLTMNT06_163502,complete,AL,2026.0,0.0,2.0,16.01,Red,top,DDahyuk,HANJIN BRION Challengers,1.0,K'Sante,Varus,Malphite,Jarvan IV,Akali,Ahri,1571.0,0.0,1.0,2.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.8784,0.0,0.0,13.0,1.0,3.0,27.0,9150.0,5670.0,216.55,9325.0,248.0,248.0,0.0,9.4717,3122.0,4870.0,84.0,4129.0,5864.0,101.0,-1007.0,-994.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,5336.0,9592.0,142.0,5634.0,8967.0,137.0,-298.0,625.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,7449.0,13462.0,207.0,8317.0,13156.0,207.0,-868.0,306.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8824.0,15693.0,240.0,11059.0,17459.0,270.0,-2235.0,-1766.0,-30.0,1.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_341106,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,DDahyuk,HANJIN BRION Challengers,0.0,Akali,Jayce,Rumble,Pantheon,Bard,Poppy,1835.0,0.0,2.0,5.0,3.0,6.0,26.0,0.0,0.0,0.0,0.0,1.0,0.1962,1.0463,0.0,0.0,17.0,7.0,7.0,40.0,9758.0,5739.0,187.6512,9575.0,222.0,222.0,0.0,7.2589,3733.0,5480.0,94.0,3032.0,4808.0,78.0,701.0,672.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5202.0,8750.0,138.0,4608.0,7827.0,119.0,594.0,923.0,19.0,1.0,1.0,0.0,0.0,0.0,1.0,7059.0,11857.0,176.0,7744.0,11789.0,163.0,-685.0,68.0,13.0,2.0,1.0,2.0,4.0,2.0,1.0,8540.0,14423.0,203.0,9904.0,14708.0,208.0,-1364.0,-285.0,-5.0,2.0,2.0,3.0,4.0,4.0,1.0
LOLTMNT03_341110,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,DDahyuk,HANJIN BRION Challengers,1.0,Renekton,Neeko,Malphite,Vi,Pantheon,Wukong,1929.0,0.0,3.0,3.0,2.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4044,1.3686,0.0,0.0,13.0,7.0,7.0,42.0,12831.0,8620.0,268.1182,12900.0,288.0,288.0,0.0,8.958,3581.0,5196.0,96.0,3594.0,5441.0,100.0,-13.0,-245.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5364.0,9108.0,158.0,5298.0,9470.0,152.0,66.0,-362.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7627.0,12351.0,209.0,7155.0,12691.0,202.0,472.0,-340.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,10271.0,15659.0,255.0,8639.0,14753.0,229.0,1632.0,906.0,26.0,2.0,2.0,1.0,1.0,4.0,1.0
LOLTMNT04_151192,complete,EBL,2026.0,0.0,1.0,16.02,Red,top,DDahyuk,HANJIN BRION Challengers,1.0,Ambessa,Varus,Malphite,Jarvan IV,Corki,Aphelios,1891.0,1.0,2.0,1.0,8.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6663,0.9201,0.0,0.0,14.0,4.0,6.0,35.0,12457.0,8324.0,264.1142,11650.0,288.0,284.0,4.0,9.138,3538.0,5410.0,100.0,3277.0,5131.0,86.0,261.0,279.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5358.0,9524.0,161.0,4948.0,8900.0,142.0,410.0,624.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7704.0,12890.0,202.0,6804.0,11525.0,183.0,900.0,1365.0,19.0,1.0,4.0,0.0,1.0,0.0,1.0,9534.0,15678.0,250.0,8079.0,13506.0,214.0,1455.0,2172.0,36.0,1.0,4.0,0.0,1.0,0.0,1.0
