gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Azir,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,1.0,3.0,5.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2486,0.6906,0.0,0.0,16.0,2.0,6.0,31.0,13062.0,8356.0,230.8287,12300.0,302.0,296.0,6.0,8.3425,3391.0,4845.0,94.0,3445.0,5174.0,98.0,-54.0,-329.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5043.0,7543.0,146.0,5334.0,8134.0,158.0,-291.0,-591.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6802.0,10134.0,199.0,7118.0,10867.0,216.0,-316.0,-733.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,8423.0,12702.0,228.0,9610.0,13318.0,254.0,-1187.0,-616.0,-26.0,0.0,1.0,0.0,2.0,1.0,0.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Orianna,Neeko,Rumble,Malphite,Gwen,Kennen,1621.0,1.0,8.0,1.0,14.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1474,1.3325,0.0,0.0,13.0,2.0,4.0,33.0,14854.0,11272.0,417.2239,13400.0,299.0,291.0,8.0,11.0672,3880.0,5454.0,103.0,3135.0,4612.0,80.0,745.0,842.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,6898.0,9247.0,166.0,4279.0,6162.0,110.0,2619.0,3085.0,56.0,3.0,2.0,0.0,0.0,0.0,3.0,10554.0,12956.0,223.0,6206.0,8960.0,166.0,4348.0,3996.0,57.0,6.0,5.0,0.0,0.0,1.0,4.0,13163.0,16205.0,277.0,9123.0,11637.0,212.0,4040.0,4568.0,65.0,8.0,9.0,1.0,1.0,1.0,5.0
LOLTMNT01_335502,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Orianna,Ivern,Gragas,Varus,Caitlyn,Ezreal,1229.0,1.0,3.0,0.0,10.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9276,0.9276,0.0,0.0,9.0,5.0,2.0,25.0,10366.0,7583.0,370.2034,8900.0,222.0,222.0,0.0,10.8381,3763.0,5479.0,103.0,2831.0,4831.0,68.0,932.0,648.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6860.0,9086.0,163.0,4031.0,6618.0,96.0,2829.0,2468.0,67.0,2.0,1.0,0.0,0.0,0.0,1.0,10195.0,12163.0,222.0,5686.0,9442.0,143.0,4509.0,2721.0,79.0,3.0,9.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_152550,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Akali,Irelia,Fiora,Gwen,Rakan,Zaahen,1961.0,0.0,5.0,3.0,7.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4895,1.2239,0.0,0.0,8.0,9.0,3.0,45.0,14384.0,10108.0,309.2708,14075.0,285.0,285.0,0.0,8.72,3297.0,4918.0,88.0,3120.0,3746.0,64.0,177.0,1172.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,5805.0,7347.0,129.0,5293.0,6698.0,120.0,512.0,649.0,9.0,2.0,2.0,1.0,2.0,1.0,0.0,7472.0,10409.0,182.0,7260.0,9801.0,174.0,212.0,608.0,8.0,2.0,3.0,1.0,2.0,3.0,0.0,10087.0,13269.0,226.0,8985.0,14043.0,217.0,1102.0,-774.0,9.0,3.0,5.0,1.0,2.0,4.0,2.0
LOLTMNT01_338084,complete,HW,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Aurora,Neeko,Rumble,Qiyana,Braum,Bard,2039.0,1.0,4.0,3.0,10.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,0.412,0.7357,0.0,0.0,7.0,9.0,5.0,37.0,15695.0,11260.0,331.3389,13975.0,328.0,328.0,0.0,9.6518,3265.0,5034.0,87.0,3444.0,5058.0,91.0,-179.0,-24.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4754.0,7584.0,133.0,5453.0,7653.0,140.0,-699.0,-69.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,6639.0,9609.0,174.0,7529.0,10609.0,191.0,-890.0,-1000.0,-17.0,0.0,0.0,3.0,1.0,5.0,0.0,9414.0,13095.0,235.0,9482.0,14101.0,209.0,-68.0,-1006.0,26.0,0.0,0.0,3.0,2.0,6.0,0.0
LOLTMNT04_152648,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,LeBlanc,Neeko,Qiyana,Elise,Bard,Thresh,2540.0,0.0,6.0,2.0,6.0,19.0,21.0,0.0,0.0,0.0,0.0,1.0,0.4488,0.9449,0.0,0.0,8.0,11.0,4.0,44.0,18789.0,13332.0,314.9291,19700.0,391.0,391.0,0.0,9.2362,4123.0,5419.0,95.0,3101.0,4738.0,78.0,1022.0,681.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,6106.0,7989.0,147.0,4842.0,7581.0,137.0,1264.0,408.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,8300.0,11216.0,210.0,6673.0,10314.0,192.0,1627.0,902.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,10650.0,13887.0,262.0,9193.0,13750.0,259.0,1457.0,137.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0
LOLTMNT04_152665,complete,LIT,2026.0,1.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Orianna,Neeko,Qiyana,Gwen,Lee Sin,Jarvan IV,2148.0,0.0,5.0,2.0,7.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3911,0.9777,0.0,0.0,16.0,9.0,5.0,44.0,15553.0,10895.0,304.3296,15625.0,320.0,308.0,12.0,8.9385,3773.0,5357.0,103.0,3282.0,5229.0,83.0,491.0,128.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6810.0,9138.0,167.0,4467.0,6847.0,113.0,2343.0,2291.0,54.0,0.0,3.0,0.0,0.0,0.0,3.0,9774.0,11918.0,219.0,6406.0,9285.0,159.0,3368.0,2633.0,60.0,1.0,5.0,0.0,0.0,1.0,4.0,11584.0,13328.0,247.0,7832.0,10863.0,186.0,3752.0,2465.0,61.0,2.0,5.0,0.0,0.0,1.0,4.0
LOLTMNT05_176261,complete,TCL,2026.0,0.0,1.0,16.03,Red,mid,Daemi,Arneb,0.0,Aurora,Qiyana,LeBlanc,Neeko,Illaoi,Kayle,2011.0,1.0,10.0,2.0,11.0,29.0,17.0,2.0,0.0,0.0,0.0,0.0,0.8652,1.3725,0.0,0.0,16.0,7.0,7.0,51.0,15437.0,11059.0,329.9552,14625.0,269.0,261.0,8.0,8.0259,3584.0,5432.0,99.0,3180.0,4932.0,86.0,404.0,500.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5359.0,7649.0,133.0,5619.0,8074.0,129.0,-260.0,-425.0,4.0,0.0,3.0,1.0,2.0,2.0,1.0,7716.0,10588.0,174.0,9106.0,10936.0,177.0,-1390.0,-348.0,-3.0,2.0,4.0,2.0,6.0,5.0,1.0,10446.0,13767.0,203.0,10760.0,13112.0,216.0,-314.0,655.0,-13.0,5.0,5.0,2.0,6.0,5.0,1.0
LOLTMNT02_350922,complete,ROL,2026.0,1.0,1.0,16.03,Red,mid,Daemi,Arneb,0.0,Aurora,Qiyana,Bard,Orianna,Samira,Sivir,1651.0,1.0,11.0,2.0,9.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.9449,1.1266,0.0,0.0,13.0,10.0,4.0,43.0,15229.0,11585.0,421.0176,13750.0,277.0,277.0,0.0,10.0666,3949.0,5053.0,82.0,3128.0,4362.0,68.0,821.0,691.0,14.0,3.0,1.0,1.0,0.0,1.0,4.0,6480.0,8429.0,144.0,5150.0,7013.0,119.0,1330.0,1416.0,25.0,5.0,2.0,1.0,0.0,1.0,5.0,10320.0,11925.0,201.0,7105.0,9717.0,168.0,3215.0,2208.0,33.0,8.0,5.0,2.0,0.0,2.0,6.0,12286.0,14824.0,250.0,9589.0,12426.0,224.0,2697.0,2398.0,26.0,8.0,8.0,2.0,0.0,2.0,6.0
LOLTMNT05_176358,complete,PRM,2026.0,0.0,1.0,16.03,Red,mid,Daemi,Arneb,0.0,Orianna,Qiyana,Rumble,Bard,Gwen,Rakan,1478.0,1.0,5.0,1.0,18.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,1.2585,1.4614,0.0,0.0,11.0,5.0,3.0,28.0,12211.0,8920.0,362.111,10725.0,224.0,220.0,4.0,9.0934,3943.0,5437.0,96.0,3167.0,4984.0,74.0,776.0,453.0,22.0,0.0,3.0,1.0,0.0,1.0,1.0,5689.0,8125.0,136.0,4740.0,7496.0,114.0,949.0,629.0,22.0,0.0,8.0,1.0,0.0,4.0,2.0,8926.0,11655.0,188.0,6925.0,10142.0,163.0,2001.0,1513.0,25.0,1.0,9.0,1.0,0.0,4.0,3.0,12211.0,16790.0,224.0,7781.0,11216.0,178.0,4430.0,5574.0,46.0,5.0,18.0,1.0,0.0,4.0,5.0
