gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Deadly,Skillcamp,0.0,Yunara,Orianna,Jayce,Neeko,Anivia,Taliyah,1587.0,1.0,8.0,0.0,6.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.6805,0.8318,0.0,0.0,11.0,9.0,2.0,33.0,16629.0,13116.0,495.879,14025.0,314.0,307.0,7.0,11.8715,4318.0,3803.0,103.0,3777.0,3540.0,87.0,541.0,263.0,16.0,1.0,0.0,0.0,1.0,0.0,1.0,7234.0,6509.0,164.0,6044.0,5992.0,138.0,1190.0,517.0,26.0,2.0,0.0,0.0,1.0,0.0,1.0,9855.0,9400.0,221.0,8638.0,9038.0,206.0,1217.0,362.0,15.0,2.0,2.0,0.0,1.0,1.0,1.0,14183.0,14799.0,294.0,10902.0,11016.0,254.0,3281.0,3783.0,40.0,5.0,5.0,0.0,1.0,2.0,2.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,Deadly,Skillcamp,0.0,Kai'Sa,Orianna,Ambessa,Varus,Rakan,Braum,1853.0,1.0,3.0,0.0,4.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4857,0.5505,0.0,0.0,15.0,17.0,4.0,58.0,15950.0,11894.0,385.1268,14900.0,322.0,314.0,8.0,10.4263,3460.0,3615.0,91.0,3671.0,3732.0,98.0,-211.0,-117.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,6764.0,6357.0,146.0,6414.0,6066.0,157.0,350.0,291.0,-11.0,1.0,2.0,0.0,0.0,0.0,1.0,9326.0,8945.0,217.0,8973.0,8858.0,225.0,353.0,87.0,-8.0,1.0,2.0,0.0,0.0,0.0,1.0,12366.0,11357.0,271.0,11183.0,11103.0,291.0,1183.0,254.0,-20.0,3.0,3.0,0.0,0.0,0.0,1.0
LOLTMNT01_338603,complete,LCK,2026.0,0.0,1.0,16.02,Red,bot,Deadly,Skillcamp,0.0,Ezreal,Azir,Jayce,Orianna,Renekton,Alistar,2043.0,1.0,7.0,1.0,10.0,23.0,14.0,1.0,0.0,0.0,0.0,0.0,0.6755,1.0866,1.0,0.0,16.0,11.0,5.0,51.0,18164.0,13721.0,402.9662,15358.0,355.0,335.0,20.0,10.4258,4032.0,3658.0,89.0,3684.0,4048.0,91.0,348.0,-390.0,-2.0,2.0,0.0,0.0,0.0,1.0,1.0,6223.0,6241.0,150.0,5997.0,6753.0,150.0,226.0,-512.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,8782.0,9481.0,211.0,8093.0,9282.0,205.0,689.0,199.0,6.0,2.0,3.0,0.0,0.0,1.0,2.0,10930.0,12047.0,259.0,11357.0,12246.0,252.0,-427.0,-199.0,7.0,2.0,4.0,1.0,1.0,5.0,3.0
LOLTMNT02_350130,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Deadly,Skillcamp,0.0,Varus,Ahri,Rumble,Jayce,K'Sante,Gnar,1948.0,1.0,8.0,3.0,7.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8624,1.2012,0.0,0.0,16.0,3.0,5.0,30.0,17579.0,13329.0,410.5441,15125.0,308.0,304.0,4.0,9.4867,3912.0,4182.0,103.0,3570.0,3852.0,97.0,342.0,330.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7003.0,6710.0,161.0,6466.0,6210.0,150.0,537.0,500.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,10486.0,9943.0,215.0,9379.0,8670.0,206.0,1107.0,1273.0,9.0,4.0,3.0,0.0,2.0,1.0,2.0,13248.0,12244.0,253.0,13269.0,11249.0,256.0,-21.0,995.0,-3.0,6.0,4.0,1.0,3.0,4.0,3.0
LOLTMNT02_350846,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,Deadly,Skillcamp,1.0,Kai'Sa,Dr. Mundo,Azir,Orianna,Bard,Sion,2321.0,1.0,11.0,3.0,10.0,27.0,14.0,1.0,0.0,0.0,0.0,0.0,0.698,1.0599,0.0,0.0,15.0,12.0,4.0,44.0,23572.0,18562.0,479.8449,21750.0,379.0,348.0,31.0,9.7975,3565.0,3722.0,97.0,3752.0,3883.0,103.0,-187.0,-161.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,6379.0,6429.0,155.0,6281.0,6581.0,161.0,98.0,-152.0,-6.0,1.0,0.0,0.0,0.0,1.0,1.0,9911.0,8302.0,189.0,8776.0,8983.0,207.0,1135.0,-681.0,-18.0,4.0,1.0,2.0,1.0,1.0,1.0,13935.0,12217.0,247.0,10670.0,10985.0,254.0,3265.0,1232.0,-7.0,6.0,4.0,2.0,1.0,1.0,2.0
LOLTMNT02_353339,complete,LES,2026.0,0.0,1.0,16.03,Red,bot,Deadly,Skillcamp,0.0,Jhin,Orianna,Neeko,Fiora,Taliyah,Anivia,1946.0,1.0,8.0,1.0,3.0,17.0,7.0,2.0,1.0,0.0,0.0,0.0,0.5242,0.74,0.0,0.0,15.0,13.0,5.0,48.0,17983.0,13738.0,423.5766,15875.0,350.0,346.0,4.0,10.7914,4400.0,4097.0,97.0,3320.0,3601.0,88.0,1080.0,496.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,6939.0,6637.0,154.0,5392.0,5986.0,137.0,1547.0,651.0,17.0,2.0,1.0,0.0,0.0,0.0,2.0,9566.0,9603.0,225.0,7688.0,8896.0,202.0,1878.0,707.0,23.0,2.0,1.0,0.0,0.0,0.0,2.0,11604.0,11695.0,267.0,10267.0,11376.0,236.0,1337.0,319.0,31.0,3.0,1.0,1.0,1.0,0.0,2.0
LOLTMNT02_354540,complete,LCS,2026.0,0.0,1.0,16.03,Red,bot,Deadly,Skillcamp,0.0,Ezreal,Orianna,Azir,Dr. Mundo,Sylas,Renekton,2272.0,0.0,1.0,1.0,4.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.4489,0.0,0.0,17.0,16.0,6.0,54.0,16383.0,11473.0,302.9842,15133.0,410.0,405.0,5.0,10.8275,3712.0,3785.0,100.0,3531.0,3570.0,98.0,181.0,215.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6006.0,6443.0,157.0,5953.0,6024.0,163.0,53.0,419.0,-6.0,0.0,1.0,0.0,0.0,0.0,1.0,8696.0,9864.0,229.0,7931.0,8412.0,220.0,765.0,1452.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,10883.0,12700.0,288.0,10112.0,10658.0,273.0,771.0,2042.0,15.0,1.0,3.0,0.0,0.0,0.0,2.0
LOLTMNT05_176849,complete,EBL,2026.0,1.0,1.0,16.03,Red,bot,Deadly,Skillcamp,0.0,Corki,Orianna,Pantheon,Yunara,Gnar,K'Sante,1871.0,0.0,2.0,1.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1924,0.481,0.0,0.0,12.0,15.0,4.0,39.0,13562.0,9470.0,303.6879,13508.0,321.0,313.0,8.0,10.294,3500.0,3133.0,94.0,3272.0,3535.0,84.0,228.0,-402.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6068.0,5526.0,141.0,5430.0,6338.0,145.0,638.0,-812.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,8217.0,8594.0,192.0,7360.0,9169.0,197.0,857.0,-575.0,-5.0,1.0,2.0,0.0,0.0,0.0,1.0,10320.0,10950.0,249.0,9152.0,11518.0,241.0,1168.0,-568.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT05_175911,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Deadly,Skillcamp,0.0,Yunara,Caitlyn,Orianna,Dr. Mundo,Kai'Sa,Corki,2954.0,0.0,10.0,1.0,7.0,21.0,15.0,1.0,0.0,0.0,0.0,0.0,0.4265,0.7312,0.0,0.0,21.0,25.0,5.0,71.0,26587.0,20285.0,412.0176,27337.0,469.0,451.0,18.0,9.5261,3426.0,3698.0,91.0,3618.0,4252.0,103.0,-192.0,-554.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6945.0,6283.0,142.0,5710.0,6264.0,146.0,1235.0,19.0,-4.0,3.0,0.0,0.0,0.0,0.0,2.0,9898.0,9382.0,210.0,8133.0,9364.0,212.0,1765.0,18.0,-2.0,3.0,0.0,0.0,0.0,0.0,2.0,12161.0,11983.0,271.0,11081.0,12208.0,275.0,1080.0,-225.0,-4.0,3.0,1.0,0.0,1.0,2.0,2.0
LOLTMNT03_344915,complete,RL,2026.0,0.0,1.0,16.03,Red,bot,Deadly,Skillcamp,0.0,Kai'Sa,Kindred,Dr. Mundo,Pantheon,Yasuo,Caitlyn,2592.0,0.0,6.0,3.0,5.0,21.0,20.0,0.0,0.0,0.0,0.0,1.0,0.4861,0.9491,0.0,0.0,19.0,14.0,4.0,61.0,22979.0,17416.0,403.1481,21900.0,429.0,425.0,4.0,9.9306,3543.0,3503.0,89.0,3326.0,3731.0,89.0,217.0,-228.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6031.0,6150.0,150.0,5799.0,5860.0,142.0,232.0,290.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9827.0,9480.0,208.0,8211.0,8666.0,194.0,1616.0,814.0,14.0,2.0,1.0,1.0,1.0,0.0,1.0,13099.0,13388.0,274.0,10645.0,11697.0,256.0,2454.0,1691.0,18.0,3.0,3.0,1.0,2.0,0.0,1.0
