gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_343149,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Deepe,EXILE esports,1.0,Syndra,Cho'Gath,Diana,Sylas,Rell,Ornn,1681.0,1.0,5.0,2.0,7.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.7139,1.2849,0.0,0.0,19.0,3.0,7.0,48.0,15016.0,11311.0,403.724,12325.0,281.0,279.0,2.0,10.0297,3912.0,5067.0,96.0,3236.0,4808.0,85.0,676.0,259.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,6277.0,7567.0,146.0,6163.0,7540.0,131.0,114.0,27.0,15.0,1.0,2.0,1.0,4.0,1.0,1.0,8844.0,10742.0,203.0,8381.0,10756.0,187.0,463.0,-14.0,16.0,2.0,2.0,2.0,5.0,1.0,1.0,12137.0,14494.0,249.0,10430.0,13762.0,232.0,1707.0,732.0,17.0,3.0,7.0,2.0,6.0,2.0,2.0
LOLTMNT01_332400,complete,HLL,2026.0,0.0,1.0,16.02,Red,mid,Deepe,EXILE esports,0.0,Orianna,Gwen,Viego,Ryze,Alistar,Nautilus,1789.0,0.0,2.0,3.0,4.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.4025,1.1738,0.0,0.0,14.0,3.0,4.0,27.0,10435.0,6510.0,218.3343,10050.0,254.0,254.0,0.0,8.5187,3558.0,4827.0,88.0,3595.0,5402.0,109.0,-37.0,-575.0,-21.0,1.0,0.0,0.0,0.0,0.0,0.0,5240.0,7324.0,135.0,5207.0,8078.0,160.0,33.0,-754.0,-25.0,1.0,1.0,0.0,0.0,0.0,0.0,7060.0,10115.0,195.0,7361.0,10858.0,217.0,-301.0,-743.0,-22.0,1.0,1.0,0.0,0.0,0.0,0.0,9158.0,12615.0,235.0,9277.0,13623.0,257.0,-119.0,-1008.0,-22.0,2.0,3.0,1.0,0.0,3.0,1.0
LOLTMNT04_152588,complete,CCWS,2026.0,0.0,1.0,16.02,Red,mid,Deepe,EXILE esports,0.0,Neeko,Varus,Zed,Gwen,Rell,Nautilus,2706.0,1.0,2.0,5.0,16.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5987,1.1973,0.0,0.0,15.0,12.0,11.0,58.0,15807.0,10011.0,221.9734,15200.0,315.0,313.0,2.0,6.9845,3888.0,5170.0,97.0,3712.0,4965.0,98.0,176.0,205.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,5568.0,8151.0,150.0,5663.0,7842.0,156.0,-95.0,309.0,-6.0,0.0,1.0,0.0,1.0,1.0,1.0,7974.0,10938.0,189.0,7835.0,10628.0,209.0,139.0,310.0,-20.0,1.0,4.0,0.0,1.0,2.0,2.0,9446.0,12598.0,220.0,10107.0,13446.0,237.0,-661.0,-848.0,-17.0,1.0,5.0,1.0,2.0,6.0,3.0
LOLTMNT02_348803,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Deepe,EXILE esports,1.0,Tristana,Rek'Sai,Diana,Sivir,Braum,Janna,1929.0,1.0,5.0,2.0,9.0,28.0,17.0,1.0,0.0,0.0,0.0,0.0,0.8709,1.3997,0.0,0.0,15.0,4.0,2.0,39.0,13854.0,9643.0,299.9378,12700.0,265.0,261.0,4.0,8.2426,3674.0,4782.0,89.0,3253.0,4614.0,87.0,421.0,168.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6736.0,7551.0,133.0,5422.0,6885.0,128.0,1314.0,666.0,5.0,3.0,1.0,0.0,2.0,0.0,3.0,8832.0,10559.0,183.0,7558.0,10967.0,183.0,1274.0,-408.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,10211.0,12930.0,220.0,9619.0,12358.0,213.0,592.0,572.0,7.0,3.0,4.0,1.0,4.0,1.0,4.0
LOLTMNT02_346787,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,Deepe,EXILE esports,1.0,Orianna,Rek'Sai,Diana,Aurora,Lulu,Karma,1379.0,1.0,2.0,2.0,14.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,1.1748,1.5664,0.0,0.0,11.0,3.0,2.0,32.0,10462.0,7373.0,320.7977,9950.0,204.0,200.0,4.0,8.876,3835.0,5186.0,96.0,3275.0,4836.0,80.0,560.0,350.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,6418.0,8009.0,142.0,5631.0,6919.0,114.0,787.0,1090.0,28.0,2.0,4.0,2.0,3.0,1.0,3.0,8834.0,10627.0,178.0,7620.0,9807.0,159.0,1214.0,820.0,19.0,2.0,9.0,2.0,4.0,2.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_356496,complete,HW,2026.0,0.0,1.0,16.03,Red,mid,Deepe,EXILE esports,0.0,Galio,Varus,Ambessa,Aurora,Naafiri,Wukong,1493.0,0.0,1.0,8.0,7.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,0.4823,2.2505,0.0,0.0,9.0,0.0,0.0,17.0,7808.0,4487.0,180.3215,7150.0,154.0,154.0,0.0,6.1889,2915.0,4579.0,67.0,4418.0,5015.0,77.0,-1503.0,-436.0,-10.0,0.0,1.0,2.0,2.0,5.0,0.0,4370.0,6670.0,101.0,7168.0,8207.0,129.0,-2798.0,-1537.0,-28.0,0.0,4.0,4.0,4.0,8.0,0.0,5716.0,8317.0,122.0,9528.0,10627.0,167.0,-3812.0,-2310.0,-45.0,0.0,5.0,6.0,5.0,12.0,1.0,7808.0,11340.0,154.0,13157.0,14339.0,193.0,-5349.0,-2999.0,-39.0,1.0,7.0,8.0,7.0,22.0,1.0
LOLTMNT02_356516,complete,HW,2026.0,0.0,2.0,16.03,Red,mid,Deepe,EXILE esports,0.0,Yone,Varus,Ambessa,Aurora,Karma,Aphelios,1988.0,0.0,6.0,9.0,9.0,23.0,49.0,1.0,0.0,0.0,0.0,0.0,0.6942,2.173,0.0,0.0,15.0,1.0,1.0,30.0,13754.0,9423.0,284.3964,13525.0,219.0,215.0,4.0,6.6097,3501.0,5242.0,92.0,3301.0,4941.0,90.0,200.0,301.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.0,6827.0,119.0,6568.0,8735.0,147.0,-1730.0,-1908.0,-28.0,0.0,0.0,2.0,3.0,1.0,0.0,7710.0,9673.0,163.0,11502.0,13507.0,193.0,-3792.0,-3834.0,-30.0,1.0,1.0,5.0,10.0,2.0,1.0,11265.0,12505.0,184.0,13849.0,15912.0,218.0,-2584.0,-3407.0,-34.0,5.0,3.0,6.0,11.0,4.0,3.0
LOLTMNT02_355549,complete,LPLOL,2026.0,0.0,3.0,16.03,Red,mid,Deepe,EXILE esports,0.0,Akali,Ambessa,Varus,Aurora,Aphelios,Alistar,1572.0,0.0,6.0,4.0,3.0,16.0,34.0,0.0,0.0,0.0,0.0,1.0,0.6107,1.9084,0.0,0.0,11.0,2.0,1.0,22.0,11381.0,7899.0,301.4885,11155.0,199.0,199.0,0.0,7.5954,3279.0,4762.0,68.0,4461.0,5034.0,91.0,-1182.0,-272.0,-23.0,1.0,0.0,1.0,3.0,0.0,1.0,5228.0,7175.0,103.0,6705.0,7603.0,143.0,-1477.0,-428.0,-40.0,2.0,0.0,1.0,3.0,1.0,2.0,8123.0,10046.0,150.0,8759.0,10370.0,168.0,-636.0,-324.0,-18.0,3.0,0.0,2.0,6.0,2.0,3.0,10673.0,13827.0,198.0,11065.0,13136.0,198.0,-392.0,691.0,0.0,5.0,2.0,3.0,8.0,7.0,4.0
LOLTMNT02_357037,complete,LCKC,2026.0,0.0,1.0,16.03,Blue,mid,Deepe,EXILE esports,0.0,Tristana,Ambessa,Varus,Naafiri,Galio,Ornn,1666.0,1.0,3.0,7.0,10.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.9724,1.8727,0.0,0.0,10.0,3.0,0.0,30.0,11873.0,8199.0,295.2821,10250.0,204.0,204.0,0.0,7.3469,3467.0,5194.0,94.0,4001.0,5255.0,105.0,-534.0,-61.0,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,5432.0,7205.0,131.0,5930.0,8046.0,158.0,-498.0,-841.0,-27.0,0.0,1.0,3.0,1.0,4.0,1.0,8090.0,9795.0,171.0,9605.0,11844.0,213.0,-1515.0,-2049.0,-42.0,1.0,2.0,5.0,3.0,7.0,2.0,10055.0,11481.0,188.0,12139.0,16003.0,253.0,-2084.0,-4522.0,-65.0,2.0,4.0,7.0,6.0,8.0,3.0
LOLTMNT02_357056,complete,LCKC,2026.0,0.0,2.0,16.03,Blue,mid,Deepe,EXILE esports,1.0,Renekton,Naafiri,Akali,Ambessa,Diana,Sylas,1983.0,0.0,3.0,5.0,6.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4539,1.2405,0.0,0.0,14.0,2.0,0.0,26.0,12334.0,8013.0,242.4508,12200.0,269.0,265.0,4.0,8.1392,3656.0,5052.0,84.0,4009.0,4963.0,96.0,-353.0,89.0,-12.0,0.0,4.0,0.0,1.0,0.0,2.0,5830.0,7817.0,129.0,5540.0,6844.0,128.0,290.0,973.0,1.0,1.0,5.0,1.0,2.0,0.0,3.0,7669.0,10660.0,185.0,7852.0,10058.0,185.0,-183.0,602.0,0.0,1.0,5.0,1.0,4.0,1.0,3.0,9880.0,13310.0,230.0,9844.0,12678.0,233.0,36.0,632.0,-3.0,2.0,6.0,2.0,4.0,4.0,4.0
