gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Diobello,GMBLERS Esports,1.0,Gnar,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,7.0,6.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,0.0,10.0,3.0,0.0,27.0,12087.0,8229.0,281.1731,10033.0,189.0,187.0,2.0,6.4579,2647.0,4230.0,57.0,4017.0,5185.0,85.0,-1370.0,-955.0,-28.0,0.0,0.0,2.0,2.0,0.0,0.0,5857.0,8207.0,109.0,7296.0,8799.0,123.0,-1439.0,-592.0,-14.0,1.0,0.0,2.0,5.0,1.0,2.0,8993.0,12371.0,147.0,9225.0,11307.0,158.0,-232.0,1064.0,-11.0,5.0,1.0,3.0,6.0,4.0,3.0,10372.0,13489.0,164.0,11475.0,14049.0,192.0,-1103.0,-560.0,-28.0,6.0,1.0,4.0,7.0,4.0,4.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Diobello,GMBLERS Esports,1.0,Sion,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,0.0,3.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1615,0.775,0.0,0.0,9.0,0.0,0.0,20.0,10333.0,6267.0,202.3789,10150.0,258.0,258.0,0.0,8.3315,3225.0,5038.0,84.0,3255.0,5276.0,79.0,-30.0,-238.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.0,8141.0,129.0,5204.0,9499.0,126.0,-285.0,-1358.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6720.0,11512.0,182.0,7788.0,13623.0,192.0,-1068.0,-2111.0,-10.0,0.0,1.0,1.0,1.0,1.0,0.0,8267.0,13994.0,226.0,9499.0,16295.0,230.0,-1232.0,-2301.0,-4.0,0.0,1.0,2.0,1.0,2.0,0.0
LOLTMNT03_337247,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Diobello,GMBLERS Esports,0.0,Camille,Zac,Jayce,Sona,Karma,Braum,3079.0,0.0,5.0,8.0,7.0,22.0,24.0,2.0,0.0,0.0,0.0,0.0,0.4287,0.8964,0.0,0.0,16.0,9.0,0.0,50.0,19485.0,12928.0,251.9259,19183.0,357.0,357.0,0.0,6.9568,3227.0,5317.0,83.0,3599.0,5286.0,99.0,-372.0,31.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,4544.0,8256.0,120.0,5683.0,9344.0,146.0,-1139.0,-1088.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,7425.0,11911.0,169.0,7353.0,11664.0,182.0,72.0,247.0,-13.0,2.0,3.0,1.0,1.0,0.0,1.0,8985.0,13784.0,192.0,9266.0,14615.0,232.0,-281.0,-831.0,-40.0,3.0,5.0,2.0,1.0,2.0,1.0
LOLTMNT01_320423,complete,LCP,2026.0,0.0,1.0,16.01,Red,top,Diobello,GMBLERS Esports,0.0,K'Sante,Zoe,Jayce,Neeko,Gnar,Malphite,1502.0,1.0,2.0,0.0,7.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9188,0.9987,0.0,0.0,11.0,2.0,0.0,26.0,11015.0,7675.0,306.5912,10500.0,232.0,232.0,0.0,9.2676,3362.0,5596.0,93.0,3524.0,5348.0,95.0,-162.0,248.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.0,9190.0,146.0,5075.0,8406.0,140.0,584.0,784.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,8122.0,13723.0,208.0,7486.0,12152.0,205.0,636.0,1571.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,11012.0,17922.0,232.0,8773.0,14523.0,235.0,2239.0,3399.0,-3.0,2.0,7.0,0.0,0.0,0.0,3.0
LOLTMNT03_336773,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,top,Diobello,GMBLERS Esports,0.0,K'Sante,Jayce,Gwen,Ambessa,Ziggs,Ashe,1693.0,1.0,1.0,4.0,13.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1695,1.5594,0.0,0.0,7.0,1.0,0.0,18.0,9133.0,5404.0,191.518,8250.0,179.0,179.0,0.0,6.3438,3065.0,4483.0,60.0,3630.0,4960.0,82.0,-565.0,-477.0,-22.0,1.0,0.0,1.0,0.0,1.0,1.0,4717.0,7801.0,96.0,6828.0,8966.0,137.0,-2111.0,-1165.0,-41.0,1.0,1.0,3.0,2.0,1.0,2.0,6309.0,11613.0,139.0,9890.0,12857.0,187.0,-3581.0,-1244.0,-48.0,1.0,3.0,3.0,3.0,2.0,4.0,7763.0,15151.0,160.0,11756.0,15040.0,222.0,-3993.0,111.0,-62.0,1.0,9.0,4.0,3.0,4.0,6.0
LOLTMNT02_343177,complete,LCP,2026.0,0.0,1.0,16.01,Red,top,Diobello,GMBLERS Esports,0.0,Jax,Akali,Qiyana,Naafiri,Gwen,Urgot,2505.0,0.0,2.0,3.0,9.0,21.0,19.0,1.0,0.0,0.0,0.0,0.0,0.503,0.9581,0.0,0.0,22.0,11.0,0.0,72.0,15287.0,9901.0,237.1497,13450.0,295.0,295.0,0.0,7.0659,3119.0,5007.0,79.0,3284.0,5162.0,80.0,-165.0,-155.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4476.0,8250.0,117.0,5009.0,8961.0,134.0,-533.0,-711.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,6881.0,11309.0,150.0,7021.0,11204.0,165.0,-140.0,105.0,-15.0,2.0,3.0,0.0,2.0,0.0,1.0,8954.0,14060.0,188.0,8603.0,13878.0,205.0,351.0,182.0,-17.0,2.0,8.0,1.0,2.0,2.0,2.0
LOLTMNT01_324984,complete,LCS,2026.0,0.0,1.0,16.01,Blue,top,Diobello,GMBLERS Esports,1.0,K'Sante,Jayce,Neeko,Renekton,Bard,Azir,1566.0,0.0,1.0,3.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3831,1.341,0.0,1.0,11.0,2.0,0.0,25.0,8051.0,4581.0,175.5172,7600.0,196.0,196.0,0.0,7.5096,3449.0,5200.0,75.0,3424.0,5162.0,88.0,25.0,38.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,4776.0,8930.0,114.0,5097.0,9039.0,143.0,-321.0,-109.0,-29.0,1.0,0.0,0.0,0.0,0.0,0.0,6357.0,11573.0,157.0,7001.0,12554.0,196.0,-644.0,-981.0,-39.0,1.0,0.0,1.0,0.0,4.0,0.0,7902.0,13780.0,195.0,9239.0,15686.0,229.0,-1337.0,-1906.0,-34.0,1.0,0.0,2.0,1.0,7.0,0.0
LOLTMNT01_337681,complete,LCP,2026.0,0.0,1.0,16.02,Red,top,Diobello,GMBLERS Esports,0.0,Ambessa,Orianna,Varus,Ryze,Renekton,Sion,1831.0,1.0,3.0,2.0,12.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7209,0.9503,0.0,0.0,10.0,1.0,0.0,20.0,12843.0,8832.0,289.4156,10720.0,279.0,274.0,5.0,9.1425,3259.0,5255.0,91.0,3315.0,5162.0,86.0,-56.0,93.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5210.0,8654.0,135.0,5456.0,9193.0,140.0,-246.0,-539.0,-5.0,1.0,1.0,1.0,0.0,1.0,0.0,6862.0,11657.0,178.0,7192.0,12340.0,190.0,-330.0,-683.0,-12.0,1.0,4.0,2.0,0.0,2.0,1.0,9326.0,15484.0,227.0,8828.0,14924.0,234.0,498.0,560.0,-7.0,1.0,5.0,2.0,0.0,2.0,1.0
LOLTMNT01_338623,complete,LCP,2026.0,0.0,2.0,16.02,Blue,top,Diobello,GMBLERS Esports,1.0,Gnar,Jayce,Varus,Malphite,Lulu,Karma,1734.0,0.0,0.0,4.0,4.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3114,1.0035,0.0,0.0,8.0,3.0,0.0,23.0,9716.0,5903.0,204.2561,9458.0,224.0,224.0,0.0,7.7509,3115.0,4932.0,83.0,4022.0,5667.0,94.0,-907.0,-735.0,-11.0,0.0,0.0,2.0,2.0,0.0,0.0,4910.0,8635.0,134.0,6529.0,9729.0,149.0,-1619.0,-1094.0,-15.0,0.0,0.0,2.0,4.0,1.0,0.0,6434.0,10908.0,167.0,8220.0,12801.0,194.0,-1786.0,-1893.0,-27.0,0.0,0.0,3.0,4.0,1.0,0.0,8289.0,13308.0,203.0,10130.0,16403.0,226.0,-1841.0,-3095.0,-23.0,0.0,0.0,3.0,4.0,5.0,0.0
LOLTMNT01_337768,complete,LCK,2026.0,0.0,3.0,16.02,Red,top,Diobello,GMBLERS Esports,0.0,Zaahen,Varus,Jarvan IV,Jayce,Neeko,Nautilus,2406.0,0.0,1.0,3.0,1.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2743,0.7481,0.0,0.0,12.0,4.0,0.0,41.0,13427.0,8243.0,205.5611,13100.0,307.0,307.0,0.0,7.6559,3070.0,5162.0,75.0,3975.0,5212.0,103.0,-905.0,-50.0,-28.0,0.0,0.0,0.0,1.0,0.0,1.0,5073.0,9591.0,121.0,5461.0,8610.0,150.0,-388.0,981.0,-29.0,1.0,0.0,0.0,1.0,0.0,2.0,7211.0,12823.0,177.0,7209.0,11952.0,204.0,2.0,871.0,-27.0,1.0,0.0,0.0,1.0,1.0,2.0,8884.0,15368.0,221.0,8733.0,14714.0,240.0,151.0,654.0,-19.0,1.0,1.0,1.0,1.0,2.0,2.0
