gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,1.0,Yunara,Akali,Nocturne,Malphite,Varus,Alistar,2217.0,0.0,3.0,2.0,1.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.6495,0.0,0.0,17.0,27.0,9.0,79.0,19600.0,14802.0,400.5954,19225.0,432.0,428.0,4.0,11.6915,3630.0,4083.0,95.0,3619.0,3814.0,94.0,11.0,269.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6752.0,6552.0,150.0,6345.0,6342.0,157.0,407.0,210.0,-7.0,1.0,0.0,1.0,0.0,2.0,1.0,9559.0,9604.0,216.0,9214.0,9379.0,226.0,345.0,225.0,-10.0,2.0,0.0,2.0,1.0,2.0,1.0,12284.0,12107.0,278.0,11449.0,11857.0,293.0,835.0,250.0,-15.0,2.0,1.0,2.0,1.0,2.0,1.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,1.0,Kai'Sa,Akali,Poppy,Malphite,Rakan,Gwen,2020.0,0.0,8.0,4.0,5.0,15.0,19.0,1.0,0.0,0.0,0.0,0.0,0.4455,1.0099,0.0,1.0,18.0,16.0,9.0,49.0,17172.0,12776.0,379.4851,15525.0,312.0,308.0,4.0,9.2673,3923.0,3504.0,79.0,3849.0,3730.0,84.0,74.0,-226.0,-5.0,2.0,1.0,1.0,2.0,0.0,2.0,7269.0,5754.0,127.0,6207.0,6352.0,144.0,1062.0,-598.0,-17.0,4.0,1.0,1.0,2.0,0.0,2.0,9458.0,8198.0,184.0,9732.0,9396.0,208.0,-274.0,-1198.0,-24.0,4.0,1.0,2.0,6.0,2.0,2.0,11584.0,10490.0,239.0,11712.0,11537.0,270.0,-128.0,-1047.0,-31.0,4.0,1.0,2.0,6.0,2.0,2.0
LOLTMNT01_324691,complete,LCS,2026.0,0.0,1.0,16.01,Red,bot,Doggo,CTBC Flying Oyster,1.0,Lucian,Ryze,Malphite,Jarvan IV,Wukong,Nautilus,1814.0,1.0,5.0,3.0,7.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6284,0.9261,0.0,0.0,19.0,19.0,8.0,65.0,16368.0,12392.0,409.8787,14200.0,307.0,307.0,0.0,10.1544,4168.0,3730.0,102.0,3082.0,3116.0,72.0,1086.0,614.0,30.0,1.0,0.0,0.0,0.0,1.0,1.0,6374.0,5643.0,149.0,5862.0,5526.0,129.0,512.0,117.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,9380.0,8337.0,210.0,8004.0,7794.0,178.0,1376.0,543.0,32.0,2.0,2.0,2.0,1.0,2.0,2.0,11968.0,10712.0,256.0,11162.0,10480.0,220.0,806.0,232.0,36.0,3.0,3.0,3.0,2.0,4.0,3.0
LOLTMNT02_344203,complete,LCP,2026.0,0.0,2.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,0.0,Kai'Sa,Jayce,Aphelios,Sion,Bard,Nautilus,1583.0,1.0,8.0,1.0,4.0,21.0,7.0,0.0,0.0,0.0,0.0,1.0,0.796,1.0613,0.0,0.0,13.0,7.0,4.0,43.0,16491.0,12986.0,492.2047,16300.0,268.0,256.0,12.0,10.1579,4278.0,3580.0,95.0,3101.0,3455.0,74.0,1177.0,125.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,8028.0,6581.0,150.0,5169.0,5735.0,118.0,2859.0,846.0,32.0,4.0,2.0,0.0,0.0,0.0,2.0,11901.0,9165.0,208.0,7174.0,8130.0,175.0,4727.0,1035.0,33.0,6.0,2.0,0.0,0.0,1.0,3.0,16198.0,13406.0,268.0,9179.0,9921.0,211.0,7019.0,3485.0,57.0,8.0,4.0,0.0,0.0,2.0,4.0
LOLTMNT01_327784,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,0.0,Sivir,Nocturne,Malphite,Azir,Wukong,Nami,2140.0,1.0,6.0,1.0,9.0,17.0,8.0,2.0,0.0,0.0,0.0,1.0,0.4766,0.7009,0.0,0.0,18.0,18.0,4.0,67.0,21978.0,17337.0,486.0841,19850.0,422.0,390.0,32.0,11.8318,4551.0,3601.0,95.0,3536.0,3197.0,85.0,1015.0,404.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,7732.0,6321.0,152.0,5327.0,5108.0,130.0,2405.0,1213.0,22.0,2.0,2.0,0.0,1.0,0.0,2.0,10637.0,9297.0,227.0,7251.0,7330.0,187.0,3386.0,1967.0,40.0,3.0,2.0,0.0,1.0,0.0,2.0,13828.0,12438.0,304.0,9553.0,9971.0,258.0,4275.0,2467.0,46.0,4.0,2.0,0.0,1.0,0.0,2.0
LOLTMNT01_327799,complete,LCK,2026.0,0.0,2.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,0.0,Yunara,Zyra,Malphite,Vi,Aphelios,Nautilus,2095.0,0.0,3.0,3.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1146,0.3723,0.0,0.0,15.0,23.0,4.0,69.0,17803.0,13254.0,379.5895,15100.0,367.0,357.0,10.0,10.5107,3395.0,2992.0,85.0,3372.0,3326.0,87.0,23.0,-334.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5907.0,5054.0,141.0,6010.0,6197.0,147.0,-103.0,-1143.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,8694.0,7123.0,204.0,8313.0,9015.0,211.0,381.0,-1892.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,11331.0,9136.0,253.0,11105.0,11576.0,268.0,226.0,-2440.0,-15.0,1.0,0.0,1.0,1.0,1.0,0.0
LOLTMNT06_166086,complete,AL,2026.0,0.0,3.0,16.01,Blue,bot,Doggo,CTBC Flying Oyster,1.0,Aphelios,Zyra,Malphite,Sion,Hwei,Jax,2269.0,1.0,5.0,2.0,8.0,23.0,9.0,0.0,0.0,0.0,0.0,1.0,0.6082,0.8462,0.0,0.0,23.0,21.0,10.0,81.0,20900.0,15996.0,422.9881,19475.0,395.0,348.0,47.0,10.4451,3887.0,3390.0,89.0,3429.0,3259.0,84.0,458.0,131.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,6916.0,5468.0,145.0,5650.0,5482.0,132.0,1266.0,-14.0,13.0,1.0,3.0,0.0,1.0,1.0,1.0,9896.0,8059.0,198.0,7860.0,7944.0,189.0,2036.0,115.0,9.0,2.0,6.0,1.0,2.0,2.0,2.0,11938.0,9951.0,246.0,10703.0,11507.0,248.0,1235.0,-1556.0,-2.0,2.0,6.0,2.0,3.0,4.0,2.0
LOLTMNT01_334153,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Doggo,CTBC Flying Oyster,1.0,Ezreal,Lee Sin,Jarvan IV,Jayce,Yunara,Aphelios,1516.0,1.0,2.0,0.0,9.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,0.7124,0.9103,0.0,0.0,12.0,8.0,3.0,27.0,13747.0,10379.0,410.7784,11708.0,267.0,256.0,11.0,10.5673,3660.0,3783.0,97.0,3412.0,3400.0,89.0,248.0,383.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.0,6100.0,157.0,5679.0,5963.0,144.0,604.0,137.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9446.0,9474.0,215.0,7649.0,8894.0,207.0,1797.0,580.0,8.0,0.0,3.0,0.0,0.0,0.0,1.0,13336.0,13096.0,265.0,9534.0,10720.0,244.0,3802.0,2376.0,21.0,1.0,9.0,0.0,0.0,1.0,3.0
LOLTMNT01_333268,complete,LJL,2026.0,0.0,2.0,16.02,Blue,bot,Doggo,CTBC Flying Oyster,0.0,Lucian,Lee Sin,Jayce,Varus,Renekton,Anivia,2097.0,1.0,7.0,3.0,6.0,23.0,13.0,2.0,0.0,0.0,0.0,0.0,0.6581,1.0014,1.0,0.0,21.0,20.0,7.0,61.0,19006.0,14453.0,413.5336,19058.0,320.0,304.0,16.0,9.1559,3813.0,3422.0,72.0,4681.0,3899.0,90.0,-868.0,-477.0,-18.0,2.0,1.0,1.0,3.0,0.0,0.0,6414.0,5691.0,123.0,6629.0,5542.0,139.0,-215.0,149.0,-16.0,2.0,2.0,1.0,3.0,0.0,1.0,8644.0,8125.0,183.0,9879.0,7844.0,191.0,-1235.0,281.0,-8.0,2.0,2.0,1.0,5.0,2.0,1.0,12648.0,10357.0,245.0,11929.0,9813.0,257.0,719.0,544.0,-12.0,4.0,2.0,1.0,5.0,2.0,1.0
LOLTMNT04_151573,complete,LIT,2026.0,0.0,1.0,16.02,Blue,bot,Doggo,CTBC Flying Oyster,1.0,Caitlyn,Malphite,Vi,Jarvan IV,Xin Zhao,Wukong,2000.0,1.0,9.0,0.0,11.0,25.0,10.0,1.0,0.0,0.0,0.0,1.0,0.75,1.05,1.0,0.0,17.0,11.0,4.0,39.0,19718.0,15362.0,460.86,17900.0,348.0,315.0,33.0,10.44,4742.0,3553.0,102.0,2828.0,3389.0,61.0,1914.0,164.0,41.0,0.0,3.0,0.0,0.0,0.0,1.0,6928.0,5640.0,150.0,4590.0,6190.0,119.0,2338.0,-550.0,31.0,0.0,4.0,0.0,0.0,0.0,1.0,9595.0,8021.0,214.0,6977.0,9033.0,175.0,2618.0,-1012.0,39.0,0.0,4.0,0.0,0.0,0.0,1.0,12314.0,11584.0,253.0,8940.0,10901.0,213.0,3374.0,683.0,40.0,2.0,4.0,0.0,0.0,2.0,2.0
