gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152349,complete,LIT,2026.0,0.0,1.0,16.02,Blue,jng,DoubleAiM,BeFive,1.0,Wukong,Malphite,Akali,Taliyah,Braum,Lulu,1915.0,1.0,8.0,2.0,7.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9399,1.1906,1.0,0.0,6.0,13.0,4.0,51.0,14615.0,10433.0,326.8825,12683.0,245.0,47.0,198.0,7.6762,3523.0,3411.0,68.0,4167.0,3905.0,68.0,-644.0,-494.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,5652.0,6121.0,113.0,5721.0,5892.0,106.0,-69.0,229.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,8337.0,9154.0,149.0,8044.0,9107.0,144.0,293.0,47.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,11148.0,13190.0,205.0,9552.0,10780.0,172.0,1596.0,2410.0,33.0,6.0,3.0,2.0,3.0,2.0,4.0
LOLTMNT01_333947,complete,LJL,2026.0,0.0,2.0,16.02,Red,jng,DoubleAiM,BeFive,0.0,Viego,Jayce,Orianna,Varus,Renekton,Gnar,1535.0,0.0,2.0,4.0,1.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3909,1.4853,0.0,1.0,10.0,9.0,6.0,51.0,9353.0,5946.0,232.4169,8625.0,199.0,36.0,163.0,7.7785,3583.0,3780.0,69.0,4176.0,4984.0,98.0,-593.0,-1204.0,-29.0,1.0,0.0,0.0,1.0,0.0,0.0,5577.0,6799.0,107.0,6690.0,7108.0,128.0,-1113.0,-309.0,-21.0,2.0,0.0,1.0,3.0,3.0,1.0,7411.0,9587.0,154.0,9775.0,10863.0,176.0,-2364.0,-1276.0,-22.0,2.0,1.0,2.0,4.0,6.0,1.0,9283.0,12415.0,199.0,11526.0,13381.0,194.0,-2243.0,-966.0,5.0,2.0,1.0,3.0,5.0,9.0,1.0
LOLTMNT01_334904,complete,LJL,2026.0,0.0,3.0,16.02,Blue,jng,DoubleAiM,BeFive,1.0,Jarvan IV,Malphite,Akali,Caitlyn,Aphelios,Kai'Sa,1331.0,0.0,3.0,7.0,2.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2705,1.3974,0.0,1.0,11.0,1.0,2.0,32.0,7482.0,4491.0,202.4493,7025.0,125.0,5.0,120.0,5.6349,3538.0,3559.0,65.0,3971.0,3950.0,72.0,-433.0,-391.0,-7.0,1.0,0.0,1.0,1.0,2.0,1.0,5512.0,6464.0,105.0,5981.0,6512.0,112.0,-469.0,-48.0,-7.0,2.0,0.0,2.0,1.0,5.0,3.0,7058.0,7993.0,121.0,8230.0,9862.0,138.0,-1172.0,-1869.0,-17.0,3.0,2.0,6.0,1.0,11.0,4.0,,,,,,,,,,,,,,,
LOLTMNT01_335056,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,DoubleAiM,BeFive,1.0,Jarvan IV,Malphite,Akali,Vi,Fiora,Gwen,1683.0,1.0,4.0,2.0,18.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9982,1.6043,1.0,0.0,8.0,4.0,8.0,36.0,13330.0,9621.0,342.9947,11450.0,232.0,33.0,199.0,8.2709,3467.0,3789.0,70.0,4794.0,4078.0,72.0,-1327.0,-289.0,-2.0,0.0,2.0,1.0,4.0,1.0,0.0,6192.0,6970.0,120.0,6756.0,6571.0,117.0,-564.0,399.0,3.0,2.0,3.0,1.0,5.0,1.0,2.0,8479.0,10763.0,172.0,8287.0,8626.0,150.0,192.0,2137.0,22.0,2.0,5.0,1.0,5.0,2.0,3.0,11273.0,14351.0,214.0,9436.0,9989.0,162.0,1837.0,4362.0,52.0,3.0,8.0,1.0,5.0,3.0,5.0
LOLTMNT01_336167,complete,CBLOL,2026.0,0.0,2.0,16.02,Red,jng,DoubleAiM,BeFive,0.0,Jayce,Vi,Fiora,Darius,Karma,Nautilus,1718.0,1.0,10.0,3.0,15.0,39.0,18.0,0.0,0.0,0.0,0.0,1.0,1.362,1.9907,1.0,0.0,7.0,6.0,3.0,34.0,16022.0,12242.0,427.5437,14225.0,249.0,55.0,194.0,8.6962,4304.0,3904.0,79.0,3988.0,4371.0,76.0,316.0,-467.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,6742.0,7135.0,128.0,7095.0,6980.0,109.0,-353.0,155.0,19.0,1.0,4.0,2.0,5.0,4.0,1.0,10039.0,10772.0,168.0,8688.0,8607.0,135.0,1351.0,2165.0,33.0,5.0,7.0,2.0,5.0,5.0,4.0,13811.0,15490.0,229.0,9972.0,10147.0,158.0,3839.0,5343.0,71.0,7.0,11.0,2.0,5.0,6.0,7.0
LOLTMNT01_337737,complete,LCP,2026.0,0.0,1.0,16.02,Red,jng,DoubleAiM,BeFive,0.0,Xin Zhao,Varus,Jayce,Yunara,Gnar,Gwen,2125.0,1.0,12.0,4.0,12.0,35.0,19.0,0.0,0.0,0.0,0.0,1.0,0.9882,1.5247,1.0,0.0,8.0,14.0,6.0,54.0,18144.0,13533.0,382.1082,17150.0,284.0,51.0,233.0,8.0188,4804.0,3457.0,60.0,3884.0,4087.0,84.0,920.0,-630.0,-24.0,4.0,1.0,2.0,1.0,2.0,0.0,7480.0,6714.0,113.0,6474.0,7180.0,130.0,1006.0,-466.0,-17.0,6.0,1.0,2.0,2.0,3.0,1.0,9473.0,9565.0,163.0,8620.0,9802.0,169.0,853.0,-237.0,-6.0,6.0,1.0,3.0,2.0,6.0,1.0,12936.0,13760.0,210.0,10307.0,11307.0,192.0,2629.0,2453.0,18.0,9.0,5.0,3.0,2.0,7.0,3.0
LOLTMNT05_175070,complete,LEC,2026.0,0.0,2.0,16.02,Red,jng,DoubleAiM,BeFive,0.0,Wukong,Varus,Yunara,Jayce,Gwen,Fiora,1675.0,1.0,5.0,2.0,12.0,28.0,13.0,1.0,0.0,0.0,0.0,1.0,1.003,1.4687,1.0,0.0,14.0,6.0,5.0,46.0,12792.0,9099.0,325.9343,11125.0,236.0,17.0,219.0,8.4537,4212.0,4754.0,88.0,3429.0,3732.0,66.0,783.0,1022.0,22.0,1.0,4.0,0.0,0.0,2.0,1.0,7012.0,7543.0,124.0,5340.0,6130.0,93.0,1672.0,1413.0,31.0,4.0,7.0,0.0,1.0,3.0,3.0,9008.0,10250.0,168.0,8115.0,7932.0,117.0,893.0,2318.0,51.0,4.0,8.0,1.0,3.0,4.0,4.0,10861.0,13254.0,208.0,10042.0,10476.0,145.0,819.0,2778.0,63.0,4.0,10.0,1.0,3.0,5.0,5.0
LOLTMNT05_176846,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,DoubleAiM,BeFive,1.0,Jayce,Neeko,Vi,Azir,K'Sante,Ornn,1614.0,0.0,2.0,5.0,2.0,8.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2974,1.7844,0.0,1.0,4.0,13.0,2.0,35.0,9571.0,6003.0,223.1599,8800.0,172.0,39.0,133.0,6.3941,3490.0,3619.0,75.0,4182.0,4099.0,69.0,-692.0,-480.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,5543.0,5531.0,110.0,5804.0,5784.0,90.0,-261.0,-253.0,20.0,1.0,0.0,0.0,2.0,7.0,0.0,7319.0,7995.0,142.0,8557.0,9078.0,123.0,-1238.0,-1083.0,19.0,1.0,1.0,3.0,4.0,14.0,0.0,9161.0,10162.0,165.0,12269.0,13357.0,162.0,-3108.0,-3195.0,3.0,2.0,2.0,4.0,8.0,17.0,0.0
LOLTMNT05_176851,complete,AL,2026.0,1.0,2.0,16.03,Blue,jng,DoubleAiM,BeFive,1.0,Taliyah,Neeko,LeBlanc,Vi,Ahri,Viktor,1843.0,0.0,3.0,7.0,6.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,0.6511,1.7254,0.0,1.0,7.0,10.0,5.0,49.0,12962.0,8927.0,290.624,12675.0,229.0,46.0,183.0,7.4552,3878.0,3956.0,77.0,4082.0,3710.0,66.0,-204.0,246.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,6558.0,7044.0,126.0,5914.0,6182.0,93.0,644.0,862.0,33.0,2.0,1.0,0.0,4.0,3.0,1.0,9251.0,9579.0,168.0,7985.0,8950.0,126.0,1266.0,629.0,42.0,3.0,2.0,1.0,5.0,4.0,2.0,10571.0,11148.0,187.0,9767.0,11292.0,157.0,804.0,-144.0,30.0,3.0,4.0,4.0,5.0,7.0,4.0
LOLTMNT03_346121,complete,HLL,2026.0,1.0,1.0,16.03,Blue,jng,DoubleAiM,BeFive,1.0,Jayce,Vi,Fiora,Taliyah,Braum,Gnar,1720.0,0.0,2.0,2.0,2.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2791,1.186,0.0,2.0,6.0,12.0,4.0,54.0,13659.0,9875.0,344.4767,11837.0,263.0,84.0,179.0,9.1744,3523.0,4072.0,75.0,3581.0,4602.0,87.0,-58.0,-530.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5455.0,6357.0,109.0,5768.0,7703.0,136.0,-313.0,-1346.0,-27.0,0.0,1.0,1.0,1.0,0.0,0.0,8250.0,9782.0,164.0,8252.0,10844.0,180.0,-2.0,-1062.0,-16.0,1.0,1.0,1.0,2.0,3.0,0.0,10909.0,13204.0,234.0,11179.0,13849.0,209.0,-270.0,-645.0,25.0,1.0,1.0,2.0,4.0,7.0,0.0
