gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Jarvan IV,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,3.0,2.0,10.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,2.0,0.0,20.0,22.0,16.0,96.0,15152.0,10354.0,280.2165,15000.0,262.0,26.0,236.0,7.0907,3458.0,3715.0,67.0,3513.0,3679.0,62.0,-55.0,36.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,5648.0,6587.0,115.0,5518.0,6556.0,108.0,130.0,31.0,7.0,1.0,4.0,1.0,1.0,0.0,2.0,8319.0,9257.0,152.0,7600.0,9252.0,154.0,719.0,5.0,-2.0,2.0,5.0,1.0,1.0,0.0,3.0,10117.0,11926.0,193.0,9534.0,11946.0,193.0,583.0,-20.0,0.0,2.0,5.0,1.0,1.0,1.0,3.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Wukong,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,4.0,4.0,10.0,19.0,15.0,1.0,0.0,0.0,0.0,1.0,0.5644,1.0099,0.0,0.0,13.0,17.0,11.0,79.0,13540.0,9144.0,271.604,12158.0,239.0,20.0,219.0,7.099,3637.0,3933.0,72.0,3877.0,4199.0,85.0,-240.0,-266.0,-13.0,0.0,3.0,1.0,1.0,0.0,2.0,5575.0,6597.0,117.0,6016.0,7095.0,130.0,-441.0,-498.0,-13.0,1.0,3.0,1.0,1.0,2.0,2.0,8225.0,9887.0,160.0,8226.0,9674.0,168.0,-1.0,213.0,-8.0,2.0,7.0,1.0,1.0,3.0,3.0,10029.0,12311.0,201.0,9800.0,11827.0,204.0,229.0,484.0,-3.0,2.0,7.0,1.0,1.0,3.0,3.0
LOLTMNT03_340339,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Jarvan IV,Poppy,Malphite,Nocturne,Sivir,Wukong,2746.0,1.0,3.0,2.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2185,0.3277,2.0,0.0,14.0,24.0,13.0,92.0,17988.0,12111.0,264.6249,15725.0,304.0,26.0,278.0,6.6424,3555.0,4198.0,82.0,3616.0,4409.0,82.0,-61.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.0,6818.0,128.0,5523.0,6875.0,122.0,-220.0,-57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6774.0,8810.0,160.0,7707.0,9064.0,161.0,-933.0,-254.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8428.0,11335.0,199.0,10396.0,12776.0,216.0,-1968.0,-1441.0,-17.0,0.0,0.0,1.0,1.0,1.0,0.0
LOLTMNT02_344222,complete,LCP,2026.0,0.0,2.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Dr. Mundo,Poppy,Anivia,Ambessa,Gnar,Nautilus,2186.0,0.0,0.0,4.0,7.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2196,0.6862,0.0,1.0,16.0,22.0,15.0,80.0,12177.0,7442.0,204.2635,11675.0,263.0,50.0,213.0,7.2187,3575.0,4348.0,88.0,3668.0,3212.0,60.0,-93.0,1136.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,5289.0,6767.0,131.0,5458.0,6253.0,108.0,-169.0,514.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,6889.0,8785.0,165.0,7914.0,9281.0,151.0,-1025.0,-496.0,14.0,0.0,0.0,1.0,2.0,1.0,0.0,8495.0,11244.0,201.0,10227.0,11897.0,193.0,-1732.0,-653.0,8.0,0.0,0.0,2.0,2.0,3.0,0.0
LOLTMNT03_341450,complete,LCK,2026.0,0.0,3.0,16.01,Blue,jng,Draktharr,GAM Esports,1.0,Wukong,Poppy,Viktor,Nocturne,Rell,Braum,1900.0,0.0,2.0,4.0,2.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2526,0.7263,0.0,1.0,12.0,8.0,9.0,52.0,10927.0,6775.0,213.9474,10858.0,212.0,18.0,194.0,6.6947,3917.0,4226.0,81.0,4147.0,4894.0,94.0,-230.0,-668.0,-13.0,1.0,0.0,0.0,1.0,0.0,0.0,5481.0,6467.0,118.0,5867.0,7211.0,139.0,-386.0,-744.0,-21.0,1.0,0.0,0.0,1.0,0.0,0.0,7562.0,9197.0,151.0,8509.0,11503.0,203.0,-947.0,-2306.0,-52.0,2.0,0.0,1.0,1.0,2.0,0.0,9244.0,11447.0,187.0,10541.0,14558.0,243.0,-1297.0,-3111.0,-56.0,2.0,0.0,2.0,1.0,3.0,0.0
LOLTMNT01_328039,complete,HW,2026.0,0.0,1.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Jarvan IV,Ambessa,Nocturne,Qiyana,Nautilus,Leona,2061.0,1.0,3.0,3.0,23.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9025,1.2227,0.0,1.0,14.0,9.0,12.0,49.0,14293.0,9813.0,285.6769,12400.0,216.0,15.0,201.0,6.2882,3817.0,3721.0,67.0,3349.0,3599.0,61.0,468.0,122.0,6.0,1.0,4.0,0.0,0.0,2.0,1.0,5634.0,6134.0,110.0,5594.0,5853.0,94.0,40.0,281.0,16.0,1.0,5.0,1.0,1.0,2.0,2.0,8096.0,9486.0,154.0,7806.0,9283.0,141.0,290.0,203.0,13.0,2.0,6.0,1.0,1.0,3.0,3.0,9696.0,11211.0,172.0,10865.0,12919.0,176.0,-1169.0,-1708.0,-4.0,3.0,8.0,3.0,2.0,6.0,4.0
LOLTMNT01_328072,complete,HLL,2026.0,0.0,2.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Wukong,Ambessa,Orianna,Nocturne,Xin Zhao,Qiyana,1885.0,1.0,4.0,3.0,9.0,17.0,8.0,1.0,0.0,0.0,0.0,1.0,0.5411,0.7958,0.0,0.0,10.0,16.0,8.0,74.0,14287.0,10166.0,323.5862,13983.0,288.0,25.0,263.0,9.1671,4002.0,4028.0,78.0,3318.0,3636.0,67.0,684.0,392.0,11.0,1.0,2.0,1.0,0.0,1.0,1.0,6006.0,6909.0,125.0,5581.0,6240.0,110.0,425.0,669.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,8247.0,10274.0,182.0,7096.0,8472.0,141.0,1151.0,1802.0,41.0,2.0,2.0,1.0,1.0,2.0,1.0,10294.0,13010.0,228.0,8733.0,11055.0,174.0,1561.0,1955.0,54.0,2.0,4.0,2.0,1.0,4.0,2.0
LOLTMNT01_334914,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Draktharr,GAM Esports,0.0,Wukong,Poppy,Nocturne,Ezreal,Ryze,Leona,1863.0,0.0,2.0,4.0,7.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2899,0.8374,0.0,1.0,14.0,14.0,11.0,61.0,11013.0,6937.0,223.4138,10878.0,207.0,19.0,188.0,6.6667,3651.0,4044.0,80.0,4838.0,4870.0,85.0,-1187.0,-826.0,-5.0,0.0,1.0,0.0,3.0,0.0,0.0,5394.0,6489.0,118.0,7024.0,6879.0,120.0,-1630.0,-390.0,-2.0,0.0,3.0,0.0,4.0,0.0,1.0,7839.0,9174.0,151.0,9601.0,9827.0,168.0,-1762.0,-653.0,-17.0,2.0,6.0,2.0,4.0,3.0,2.0,9352.0,10751.0,178.0,11905.0,12332.0,214.0,-2553.0,-1581.0,-36.0,2.0,7.0,2.0,4.0,3.0,2.0
LOLTMNT01_334926,complete,LJL,2026.0,0.0,2.0,16.02,Red,jng,Draktharr,GAM Esports,0.0,Vi,Poppy,Pantheon,Ezreal,Azir,Aurora,2091.0,1.0,3.0,2.0,13.0,23.0,11.0,0.0,0.0,0.0,0.0,1.0,0.66,0.9756,2.0,0.0,15.0,10.0,14.0,68.0,14888.0,10347.0,296.901,12600.0,260.0,39.0,221.0,7.4605,3856.0,3885.0,72.0,3771.0,4858.0,95.0,85.0,-973.0,-23.0,1.0,2.0,0.0,0.0,0.0,0.0,5653.0,6418.0,114.0,5800.0,7659.0,138.0,-147.0,-1241.0,-24.0,1.0,4.0,0.0,0.0,2.0,0.0,8098.0,9511.0,154.0,7540.0,9397.0,163.0,558.0,114.0,-9.0,2.0,5.0,1.0,1.0,2.0,1.0,9995.0,12058.0,191.0,9688.0,12023.0,196.0,307.0,35.0,-5.0,2.0,9.0,1.0,2.0,3.0,1.0
LOLTMNT01_334928,complete,LJL,2026.0,0.0,3.0,16.02,Red,jng,Draktharr,GAM Esports,1.0,Nocturne,LeBlanc,Pantheon,Malphite,Karma,Leona,1994.0,1.0,0.0,2.0,13.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5717,0.7823,0.0,1.0,13.0,14.0,11.0,64.0,12464.0,8121.0,244.3631,10875.0,241.0,17.0,224.0,7.2518,3590.0,4170.0,85.0,3333.0,3838.0,72.0,257.0,332.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.0,6378.0,120.0,4908.0,5976.0,110.0,447.0,402.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,7383.0,9134.0,162.0,7310.0,8156.0,134.0,73.0,978.0,28.0,0.0,5.0,0.0,1.0,1.0,2.0,8760.0,10762.0,182.0,9104.0,11793.0,170.0,-344.0,-1031.0,12.0,0.0,7.0,2.0,1.0,3.0,2.0
