gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336160,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Drofan,GOAL,0.0,Wukong,Jayce,Aatrox,K'Sante,Zyra,Azir,2293.0,1.0,7.0,2.0,11.0,28.0,9.0,0.0,0.0,0.0,0.0,1.0,0.7327,0.9682,2.0,0.0,10.0,12.0,5.0,54.0,17656.0,12703.0,332.3942,15708.0,317.0,24.0,293.0,8.2948,3735.0,4092.0,73.0,3185.0,3652.0,68.0,550.0,440.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6371.0,7710.0,128.0,4576.0,5562.0,97.0,1795.0,2148.0,31.0,3.0,1.0,0.0,0.0,0.0,1.0,8629.0,10450.0,162.0,7005.0,8435.0,137.0,1624.0,2015.0,25.0,4.0,3.0,0.0,1.0,0.0,1.0,10755.0,13016.0,199.0,8592.0,10920.0,170.0,2163.0,2096.0,29.0,5.0,4.0,1.0,1.0,1.0,2.0
LOLTMNT05_171130,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Drofan,GOAL,1.0,Jarvan IV,Aatrox,Azir,Orianna,Ezreal,Yunara,1374.0,1.0,8.0,2.0,10.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,1.179,1.4847,1.0,0.0,5.0,4.0,4.0,25.0,11889.0,8810.0,384.7162,10600.0,172.0,9.0,163.0,7.5109,3968.0,3721.0,68.0,3621.0,4256.0,76.0,347.0,-535.0,-8.0,2.0,1.0,1.0,0.0,1.0,0.0,7064.0,7517.0,121.0,5139.0,6519.0,115.0,1925.0,998.0,6.0,5.0,2.0,1.0,0.0,1.0,1.0,10288.0,10814.0,157.0,6597.0,7645.0,123.0,3691.0,3169.0,34.0,7.0,6.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
LOLTMNT02_343036,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Drofan,GOAL,0.0,Dr. Mundo,,,Orianna,Lulu,Azir,2016.0,1.0,2.0,3.0,15.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.6845,1.2798,0.0,1.0,7.0,9.0,5.0,48.0,14094.0,9706.0,288.869,11125.0,253.0,28.0,225.0,7.5298,3422.0,3704.0,65.0,4095.0,4069.0,71.0,-673.0,-365.0,-6.0,0.0,2.0,2.0,2.0,5.0,0.0,5885.0,7167.0,118.0,5614.0,5793.0,103.0,271.0,1374.0,15.0,1.0,3.0,2.0,2.0,5.0,0.0,7766.0,9692.0,154.0,7411.0,7913.0,130.0,355.0,1779.0,24.0,1.0,6.0,2.0,3.0,6.0,0.0,10002.0,12603.0,196.0,9064.0,10135.0,158.0,938.0,2468.0,38.0,2.0,6.0,2.0,4.0,6.0,0.0
LOLTMNT05_173046,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Drofan,GOAL,1.0,Naafiri,Azir,Kassadin,Sion,Caitlyn,Corki,1912.0,1.0,6.0,2.0,9.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.8159,1.1611,1.0,1.0,7.0,5.0,3.0,40.0,13086.0,8910.0,279.6025,11025.0,236.0,18.0,218.0,7.4059,3890.0,3618.0,70.0,3552.0,4205.0,80.0,338.0,-587.0,-10.0,3.0,0.0,1.0,0.0,1.0,0.0,5786.0,6541.0,121.0,5231.0,6312.0,120.0,555.0,229.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,7779.0,9282.0,163.0,7231.0,9582.0,166.0,548.0,-300.0,-3.0,3.0,3.0,1.0,0.0,4.0,1.0,10074.0,12044.0,196.0,9607.0,11768.0,181.0,467.0,276.0,15.0,4.0,6.0,2.0,2.0,6.0,3.0
LOLTMNT04_149245,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Drofan,GOAL,1.0,Wukong,Rumble,Orianna,Malphite,Neeko,Yunara,1939.0,0.0,2.0,5.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1547,0.6498,0.0,2.0,9.0,6.0,4.0,38.0,11545.0,7314.0,226.3228,11133.0,208.0,27.0,181.0,6.4363,3278.0,3721.0,70.0,3761.0,3980.0,78.0,-483.0,-259.0,-8.0,0.0,0.0,1.0,1.0,0.0,0.0,4697.0,5533.0,100.0,5672.0,6361.0,122.0,-975.0,-828.0,-22.0,0.0,0.0,2.0,1.0,2.0,0.0,7160.0,8351.0,134.0,8310.0,10249.0,173.0,-1150.0,-1898.0,-39.0,1.0,1.0,3.0,1.0,3.0,0.0,9417.0,11783.0,169.0,9961.0,12627.0,205.0,-544.0,-844.0,-36.0,2.0,2.0,3.0,1.0,3.0,0.0
LOLTMNT01_326059,complete,LCS,2026.0,0.0,2.0,16.01,Red,jng,Drofan,GOAL,0.0,Zyra,Orianna,Ambessa,Jayce,Lulu,Karma,1563.0,0.0,0.0,7.0,6.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.499,1.6123,0.0,1.0,7.0,6.0,3.0,30.0,9058.0,5594.0,214.7409,8375.0,186.0,23.0,163.0,7.1401,4146.0,4400.0,84.0,3607.0,4308.0,78.0,539.0,92.0,6.0,0.0,4.0,1.0,0.0,3.0,1.0,5732.0,6871.0,123.0,5204.0,6402.0,111.0,528.0,469.0,12.0,0.0,4.0,2.0,0.0,5.0,1.0,7374.0,9287.0,163.0,8990.0,10301.0,152.0,-1616.0,-1014.0,11.0,0.0,4.0,4.0,4.0,6.0,1.0,8930.0,11694.0,186.0,12214.0,13476.0,169.0,-3284.0,-1782.0,17.0,0.0,6.0,6.0,7.0,10.0,2.0
LOLTMNT01_334193,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Drofan,GOAL,0.0,Xin Zhao,K'Sante,Rumble,Jayce,Renekton,Gnar,1837.0,1.0,4.0,2.0,14.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7839,1.1105,1.0,0.0,6.0,8.0,6.0,41.0,12820.0,8797.0,287.3272,11150.0,242.0,35.0,207.0,7.9042,3964.0,4378.0,79.0,3858.0,3747.0,66.0,106.0,631.0,13.0,1.0,4.0,0.0,1.0,2.0,1.0,5968.0,6539.0,114.0,6605.0,7159.0,106.0,-637.0,-620.0,8.0,3.0,6.0,1.0,4.0,2.0,2.0,8012.0,9795.0,165.0,8788.0,9893.0,146.0,-776.0,-98.0,19.0,4.0,7.0,1.0,5.0,2.0,2.0,10047.0,12506.0,209.0,10629.0,12071.0,176.0,-582.0,435.0,33.0,4.0,10.0,1.0,6.0,2.0,4.0
LOLTMNT01_334199,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,Drofan,GOAL,1.0,Jarvan IV,K'Sante,Anivia,Jayce,Hwei,Rumble,1346.0,0.0,1.0,4.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1783,0.9807,0.0,0.0,5.0,5.0,2.0,22.0,8229.0,5208.0,232.1545,7950.0,161.0,10.0,151.0,7.1768,3229.0,3704.0,69.0,3820.0,4496.0,85.0,-591.0,-792.0,-16.0,0.0,0.0,0.0,0.0,3.0,0.0,5537.0,6535.0,114.0,6269.0,7106.0,123.0,-732.0,-571.0,-9.0,1.0,0.0,1.0,2.0,4.0,0.0,7507.0,9305.0,152.0,9392.0,10690.0,167.0,-1885.0,-1385.0,-15.0,1.0,3.0,2.0,3.0,7.0,0.0,,,,,,,,,,,,,,,
LOLTMNT02_346786,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,Drofan,GOAL,1.0,Dr. Mundo,Rumble,Azir,Jarvan IV,Gnar,Kennen,1806.0,0.0,2.0,6.0,3.0,6.0,28.0,0.0,0.0,0.0,0.0,1.0,0.1993,1.1296,0.0,2.0,8.0,12.0,5.0,40.0,10418.0,6458.0,214.5515,9775.0,212.0,35.0,177.0,7.0432,3934.0,4236.0,83.0,3750.0,4042.0,79.0,184.0,194.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,5438.0,6299.0,117.0,6651.0,7030.0,122.0,-1213.0,-731.0,-5.0,1.0,0.0,2.0,4.0,4.0,0.0,7552.0,9005.0,156.0,9097.0,9970.0,167.0,-1545.0,-965.0,-11.0,2.0,2.0,3.0,4.0,6.0,0.0,8830.0,10615.0,178.0,12113.0,14401.0,208.0,-3283.0,-3786.0,-30.0,2.0,2.0,4.0,6.0,8.0,0.0
LOLTMNT02_346788,complete,LJL,2026.0,0.0,2.0,16.02,Red,jng,Drofan,GOAL,0.0,Jarvan IV,Rumble,Azir,Jayce,Bard,Gnar,1629.0,0.0,2.0,7.0,6.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.3315,1.326,0.0,0.0,3.0,5.0,3.0,26.0,9519.0,5920.0,218.0479,8875.0,165.0,7.0,158.0,6.0773,3549.0,4435.0,80.0,3449.0,4043.0,78.0,100.0,392.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,5413.0,6579.0,112.0,5755.0,6859.0,124.0,-342.0,-280.0,-12.0,1.0,1.0,2.0,1.0,3.0,1.0,6941.0,8713.0,139.0,7988.0,10177.0,169.0,-1047.0,-1464.0,-30.0,1.0,3.0,3.0,1.0,5.0,1.0,8997.0,10351.0,155.0,9944.0,13355.0,192.0,-947.0,-3004.0,-37.0,2.0,6.0,6.0,2.0,10.0,2.0
